GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N92000002,795263,29094,77072,65059,182087,52273,102221,250986,36471,498273,13840,48832,41084,128865,32282,66777,143215,23378,296990,15254,28240,23975,53222,19991,35444,107771,13093
BHSCT,150870,2049,9210,6539,35382,12253,24760,52741,7936,100148,1230,5488,3989,27326,8253,17352,31158,5352,50722,819,3722,2550,8056,4000,7408,21583,2584
NHSCT,210147,8845,23558,19247,48536,14492,23974,62356,9139,128594,4034,14875,12057,33352,8475,15032,35000,5769,81553,4811,8683,7190,15184,6017,8942,27356,3370
SEHSCT,158531,4219,11866,11611,35490,9764,23141,54641,7799,94323,2011,6683,6864,23926,5768,14156,30140,4775,64208,2208,5183,4747,11564,3996,8985,24501,3024
SHSCT,157636,7617,21488,15862,35722,9102,16810,44598,6437,101259,3748,14530,10460,25312,5596,11224,26042,4347,56377,3869,6958,5402,10410,3506,5586,18556,2090
WHSCT,118079,6364,10950,11800,26957,6662,13536,36650,5160,73949,2817,7256,7714,18949,4190,9013,20875,3135,44130,3547,3694,4086,8008,2472,4523,15775,2025
BELB,118754,1534,6906,4946,28839,9915,19701,40569,6344,81222,963,4259,3046,22754,6849,14197,24777,4377,37532,571,2647,1900,6085,3066,5504,15792,1967
NEELB,194151,7810,20983,17232,44849,13785,22534,58479,8479,117946,3558,13041,10692,30696,8048,14010,32603,5298,76205,4252,7942,6540,14153,5737,8524,25876,3181
SEELB,190647,4734,14170,13204,42033,12102,28200,66813,9391,113249,2278,7912,7807,28498,7172,17311,36521,5750,77398,2456,6258,5397,13535,4930,10889,30292,3641
SELB,173632,8652,24063,17877,39409,9809,18250,48475,7097,111907,4224,16364,11825,27968,6023,12246,28439,4818,61725,4428,7699,6052,11441,3786,6004,20036,2279
WELB,118079,6364,10950,11800,26957,6662,13536,36650,5160,73949,2817,7256,7714,18949,4190,9013,20875,3135,44130,3547,3694,4086,8008,2472,4523,15775,2025
UKN01,118754,1534,6906,4946,28839,9915,19701,40569,6344,81222,963,4259,3046,22754,6849,14197,24777,4377,37532,571,2647,1900,6085,3066,5504,15792,1967
UKN02,182067,3473,14867,10271,41490,13755,27564,61895,8752,109574,1750,8582,6000,28526,8181,17158,33902,5475,72493,1723,6285,4271,12964,5574,10406,27993,3277
UKN03,200970,7886,22505,17823,45175,12702,23750,62327,8802,122632,3712,13892,10920,30989,7511,14750,35368,5490,78338,4174,8613,6903,14186,5191,9000,26959,3312
UKN04,114548,5001,10353,10467,27355,6419,13399,36242,5312,71021,2224,6660,6710,19050,3977,8644,20456,3300,43527,2777,3693,3757,8305,2442,4755,15786,2012
UKN05,178924,11200,22441,21552,39228,9482,17807,49953,7261,113824,5191,15439,14408,27546,5764,12028,28712,4736,65100,6009,7002,7144,11682,3718,5779,21241,2525
95AA,25595,890,2545,2098,5680,2197,2785,8465,935,16037,399,1605,1295,4065,1320,1752,4991,610,9558,491,940,803,1615,877,1033,3474,325
95BB,35743,1361,2822,2810,7888,2189,5156,11737,1780,20587,671,1450,1654,5092,1259,3023,6378,1060,15156,690,1372,1156,2796,930,2133,5359,720
95CC,26586,1819,2914,2513,5831,1557,2669,8166,1117,16435,903,1881,1671,4037,964,1702,4542,735,10151,916,1033,842,1794,593,967,3624,382
95DD,29920,1544,4426,2679,6881,1662,2942,8557,1229,18061,729,2738,1617,4628,985,1773,4859,732,11859,815,1688,1062,2253,677,1169,3698,497
95EE,13426,756,1645,1607,2968,650,1377,3835,588,8284,329,1055,1062,1929,361,863,2293,392,5142,427,590,545,1039,289,514,1542,196
95FF,22621,1061,2298,2291,5039,1356,2776,6875,925,14085,502,1470,1462,3472,803,1773,4002,601,8536,559,828,829,1567,553,1003,2873,324
95GG,118754,1534,6906,4946,28839,9915,19701,40569,6344,81222,963,4259,3046,22754,6849,14197,24777,4377,37532,571,2647,1900,6085,3066,5504,15792,1967
95HH,18104,449,1810,1108,4020,1602,2651,5603,861,10666,226,1064,643,2743,900,1603,2950,537,7438,223,746,465,1277,702,1048,2653,324
95II,32116,515,2304,1593,6543,2338,5059,12172,1592,18926,267,1229,943,4572,1404,3155,6381,975,13190,248,1075,650,1971,934,1904,5791,617
95JJ,25272,937,2172,1717,7038,1170,2921,8016,1301,14655,382,1308,982,4800,634,1719,4059,771,10617,555,864,735,2238,536,1202,3957,530
95KK,15996,1035,2575,2015,3687,707,1440,3877,660,10648,476,1834,1365,2656,427,1022,2397,471,5348,559,741,650,1031,280,418,1480,189
95LL,41320,1099,6739,3082,10010,2401,4559,11774,1656,26904,580,4456,1943,7144,1506,3041,7102,1132,14416,519,2283,1139,2866,895,1518,4672,524
95MM,40612,949,3567,2570,9932,2846,5333,13531,1884,26114,472,2301,1619,7311,1889,3592,7736,1194,14498,477,1266,951,2621,957,1741,5795,690
95NN,30910,1160,1855,3578,6598,1478,3843,10835,1563,18470,512,1079,2189,4607,879,2413,5858,933,12440,648,776,1389,1991,599,1430,4977,630
95OO,25646,1632,5004,2578,5004,1334,2427,6674,993,16928,748,3690,1730,3580,813,1686,3981,700,8718,884,1314,848,1424,521,741,2693,293
95PP,27574,1977,2866,2857,6533,1490,3007,7658,1186,16478,831,1855,1814,4386,859,1994,4045,694,11096,1146,1011,1043,2147,631,1013,3613,492
95QQ,14861,771,1820,1285,3079,1419,1689,4084,714,8488,319,1094,760,1981,759,975,2178,422,6373,452,726,525,1098,660,714,1906,292
95RR,13217,673,1119,1877,2626,582,1554,4262,524,8342,291,755,1282,1807,359,1014,2518,316,4875,382,364,595,819,223,540,1744,208
95SS,54962,1217,4737,3401,13022,3514,7460,19041,2570,33965,595,2944,2021,8950,2092,4701,11000,1662,20997,622,1793,1380,4072,1422,2759,8041,908
95TT,19983,1098,2510,3515,3820,942,1765,5648,685,13023,511,1727,2377,2684,605,1238,3417,464,6960,587,783,1138,1136,337,527,2231,221
95UU,7021,554,491,876,1440,425,692,2220,323,4016,234,315,563,882,237,407,1189,189,3005,320,176,313,558,188,285,1031,134
95VV,41463,2006,4533,5398,9838,2454,4379,11109,1746,26907,1015,3033,3654,7079,1510,3022,6415,1179,14556,991,1500,1744,2759,944,1357,4694,567
95WW,39969,811,3564,2347,9923,3718,5712,12051,1843,24716,429,2135,1393,6984,2247,3680,6667,1181,15253,382,1429,954,2939,1471,2032,5384,662
95XX,36916,481,2452,1822,7982,2583,6682,13028,1886,21301,233,1210,1000,5277,1538,4019,6904,1120,15615,248,1242,822,2705,1045,2663,6124,766
95YY,21676,1633,2039,2676,4515,998,2120,6821,874,13405,707,1419,1797,3124,586,1364,3915,493,8271,926,620,879,1391,412,756,2906,381
95ZZ,15000,1132,1359,1820,3351,746,1522,4378,692,9610,516,926,1202,2321,497,1049,2661,438,5390,616,433,618,1030,249,473,1717,254
