GeographyCode,LC2601NI0001,LC2601NI0002,LC2601NI0003,LC2601NI0004,LC2601NI0005,LC2601NI0006,LC2601NI0007,LC2601NI0008,LC2601NI0009,LC2601NI0010,LC2601NI0011,LC2601NI0012,LC2601NI0013,LC2601NI0014,LC2601NI0015,LC2601NI0016,LC2601NI0017,LC2601NI0018,LC2601NI0019,LC2601NI0020,LC2601NI0021
N92000002,1313420,1147446,165974,869767,751988,117779,555724,474595,81129,314043,277393,36650,443653,395458,48195,169956,148175,21781,273697,247283,26414
BHSCT,257160,221739,35421,166648,140316,26332,112578,92530,20048,54070,47786,6284,90512,81423,9089,37064,31672,5392,53448,49751,3697
NHSCT,335761,300217,35544,227093,201693,25400,141494,124391,17103,85599,77302,8297,108668,98524,10144,39527,35032,4495,69141,63492,5649
SEHSCT,251647,221212,30435,170549,148534,22015,103380,89345,14035,67169,59189,7980,81098,72678,8420,27351,24106,3245,53747,48572,5175
SHSCT,256035,219495,36540,172195,145889,26306,112435,93736,18699,59760,52153,7607,83840,73606,10234,33296,28640,4656,50544,44966,5578
WHSCT,212817,184783,28034,133282,115556,17726,85837,74593,11244,47445,40963,6482,79535,69227,10308,32718,28725,3993,46817,40502,6315
BELB,208609,178592,30017,132666,110478,22188,92253,74980,17273,40413,35498,4915,75943,68114,7829,32390,27464,4926,43553,40650,2903
NEELB,309116,276196,32920,209675,186113,23562,129733,114017,15716,79942,72096,7846,99441,90083,9358,35745,31645,4100,63696,58438,5258
SEELB,300198,264359,35839,204531,178372,26159,123705,106895,16810,80826,71477,9349,95667,85987,9680,32025,28314,3711,63642,57673,5969
SELB,282680,243516,39164,189613,161469,28144,124196,104110,20086,65417,57359,8058,93067,82047,11020,37078,32027,5051,55989,50020,5969
WELB,212817,184783,28034,133282,115556,17726,85837,74593,11244,47445,40963,6482,79535,69227,10308,32718,28725,3993,46817,40502,6315
UKN01,208609,178592,30017,132666,110478,22188,92253,74980,17273,40413,35498,4915,75943,68114,7829,32390,27464,4926,43553,40650,2903
UKN02,283218,249546,33672,194967,170120,24847,119326,103128,16198,75641,66992,8649,88251,79426,8825,30003,26283,3720,58248,53143,5105
UKN03,317543,280871,36672,216558,189847,26711,134518,116477,18041,82040,73370,8670,100985,91024,9961,34993,30923,4070,65992,60101,5891
UKN04,209839,185549,24290,130109,115034,15075,83208,73634,9574,46901,41400,5501,79730,70515,9215,32384,28752,3632,47346,41763,5583
UKN05,294211,252888,41323,195467,166509,28958,126419,106376,20043,69048,60133,8915,98744,86379,12365,40186,34753,5433,58558,51626,6932
95AA,38597,32892,5705,27361,22925,4436,17410,14201,3209,9951,8724,1227,11236,9967,1269,4032,3456,576,7204,6511,693
95BB,57290,51530,5760,38371,34427,3944,22538,20282,2256,15833,14145,1688,18919,17103,1816,5518,4933,585,13401,12170,1231
95CC,42544,37046,5498,28911,24992,3919,18209,15596,2613,10702,9396,1306,13633,12054,1579,5217,4552,665,8416,7502,914
95DD,46337,41373,4964,32020,28247,3773,19650,17024,2626,12370,11223,1147,14317,13126,1191,4806,4294,512,9511,8832,679
95EE,22558,20816,1742,14740,13568,1172,9289,8520,769,5451,5048,403,7818,7248,570,3139,2890,249,4679,4358,321
95FF,34555,31269,3286,24187,21798,2389,15276,13726,1550,8911,8072,839,10368,9471,897,3744,3377,367,6624,6094,530
95GG,208609,178592,30017,132666,110478,22188,92253,74980,17273,40413,35498,4915,75943,68114,7829,32390,27464,4926,43553,40650,2903
95HH,28657,25627,3030,19596,17419,2177,11769,10455,1314,7827,6964,863,9061,8208,853,2893,2592,301,6168,5616,552
95II,48551,43147,5404,33982,29838,4144,20325,17550,2775,13657,12288,1369,14569,13309,1260,4674,4208,466,9895,9101,794
95JJ,43277,37846,5431,27795,24217,3578,16587,14254,2333,11208,9963,1245,15482,13629,1853,5766,4933,833,9716,8696,1020
95KK,26645,24021,2624,17418,15580,1838,11761,10374,1387,5657,5206,451,9227,8441,786,3782,3387,395,5445,5054,391
95LL,67061,57735,9326,45009,38115,6894,29805,24708,5097,15204,13407,1797,22052,19620,2432,8439,7236,1203,13613,12384,1229
95MM,78409,68305,10104,47447,41189,6258,31595,27575,4020,15852,13614,2238,30962,27116,3846,13244,11733,1511,17718,15383,2335
95NN,50138,44633,5505,33648,29781,3867,20566,18035,2531,13082,11746,1336,16490,14852,1638,6160,5538,622,10330,9314,1016
95OO,41315,34013,7302,27881,22377,5504,18669,14431,4238,9212,7946,1266,13434,11636,1798,5715,4684,1031,7719,6952,767
95PP,44465,36463,8002,29852,24495,5357,18168,14901,3267,11684,9594,2090,14613,11968,2645,5448,4504,944,9165,7464,1701
95QQ,23565,21439,2126,15962,14554,1408,9273,8501,772,6689,6053,636,7603,6885,718,2294,2089,205,5309,4796,513
95RR,24610,22401,2209,15067,13709,1358,9770,8925,845,5297,4784,513,9543,8692,851,4161,3786,375,5382,4906,476
95SS,86371,76152,10219,59061,51391,7670,37106,31925,5181,21955,19466,2489,27310,24761,2549,10337,9207,1130,16973,15554,1419
95TT,31959,29354,2605,21505,19555,1950,14174,12772,1402,7331,6783,548,10454,9799,655,4484,4143,341,5970,5656,314
95UU,12375,11126,1249,7837,7091,746,4625,4195,430,3212,2896,316,4538,4035,503,1568,1400,168,2970,2635,335
95VV,70560,59432,11128,46207,38607,7600,30476,25275,5201,15731,13332,2399,24353,20825,3528,10181,8791,1390,14172,12034,2138
95WW,61791,55723,6068,42859,38537,4322,26956,24095,2861,15903,14442,1461,18932,17186,1746,6763,5848,915,12169,11338,831
95XX,57848,48897,8951,39469,32935,6534,23170,19103,4067,16299,13832,2467,18379,15962,2417,5336,4428,908,13043,11534,1509
95YY,36723,32559,4164,23693,20903,2790,14962,13027,1935,8731,7876,855,13030,11656,1374,5359,4692,667,7671,6964,707
95ZZ,28610,25055,3555,17223,15260,1963,11342,10165,1177,5881,5095,786,11387,9795,1592,4506,4010,496,6881,5785,1096
