GeographyCode,LC2302NI0001,LC2302NI0002,LC2302NI0003,LC2302NI0004,LC2302NI0005,LC2302NI0006,LC2302NI0007,LC2302NI0008,LC2302NI0009,LC2302NI0010,LC2302NI0011,LC2302NI0012,LC2302NI0013,LC2302NI0014,LC2302NI0015,LC2302NI0016
N92000002,1810863,817385,875717,117761,864187,413960,385060,65167,575616,242973,295656,36987,371060,160452,195001,15607
BHSCT,348204,151452,164525,32227,159848,75451,66832,17565,107256,43165,53937,10154,81100,32836,43756,4508
NHSCT,463297,155691,276015,31591,218824,80227,121109,17488,153822,48659,95176,9987,90651,26805,59730,4116
SEHSCT,346911,107991,207432,31488,166516,55530,92970,18016,113941,32630,71633,9678,66454,19831,42829,3794
SHSCT,358034,202952,140163,14919,177389,103807,65480,8102,111201,60551,45821,4829,69444,38594,28862,1988
WHSCT,294417,199299,87582,7536,141610,98945,38669,3996,89396,57968,29089,2339,63411,42386,19824,1201
BELB,280962,136497,118856,25609,127861,66244,47737,13880,85293,38935,38252,8106,67808,31318,32867,3623
NEELB,426284,133758,262033,30493,201476,69395,115164,16917,142209,42066,90508,9635,82599,22297,56361,3941
SEELB,414153,122946,253101,38106,198503,64737,112065,21701,135904,36860,87318,11726,79746,21349,53718,4679
SELB,395047,224885,154145,16017,194737,114639,71425,8673,122814,67144,50489,5181,77496,43102,32231,2163
WELB,294417,199299,87582,7536,141610,98945,38669,3996,89396,57968,29089,2339,63411,42386,19824,1201
UKN01,280962,136497,118856,25609,127861,66244,47737,13880,85293,38935,38252,8106,67808,31318,32867,3623
UKN02,390597,92393,259368,38836,187226,50654,114418,22154,128568,27365,89204,11999,74803,14374,55746,4683
UKN03,438823,156162,251695,30966,207960,78110,112626,17224,144245,48514,86046,9685,86618,29538,53023,4057
UKN04,288597,163249,114709,10639,136146,80212,50182,5752,90569,48450,38810,3309,61882,34587,25717,1578
UKN05,411884,269084,131089,11711,204994,138740,60097,6157,126941,79709,43344,3888,79949,50635,27648,1666
95AA,53428,22010,26970,4448,26446,11628,12177,2641,17465,6814,9322,1329,9517,3568,5471,478
95BB,78078,9904,60054,8120,35136,4757,25892,4487,26732,3222,20963,2547,16210,1925,13199,1086
95CC,59340,28698,28486,2156,29927,15086,13635,1206,18248,8334,9220,694,11165,5278,5631,256
95DD,64044,14440,45700,3904,30287,7466,20729,2092,21760,4688,15765,1307,11997,2286,9206,505
95EE,31224,9928,19687,1609,14605,5067,8696,842,10466,3177,6770,519,6153,1684,4221,248
95FF,48339,15479,29979,2881,24032,8125,14199,1708,15244,4588,9842,814,9063,2766,5938,359
95GG,280962,136497,118856,25609,127861,66244,47737,13880,85293,38935,38252,8106,67808,31318,32867,3623
95HH,39114,3738,31005,4371,17696,1840,13411,2445,13283,1219,10752,1312,8135,679,6842,614
95II,67242,14955,45669,6618,31987,9207,19095,3685,21963,4230,15685,2048,13292,1518,10889,885
95JJ,59067,16552,38560,3955,27436,8343,16946,2147,20144,5413,13454,1277,11487,2796,8160,531
95KK,37013,21933,13982,1098,17348,10832,5945,571,11613,6593,4668,352,8052,4508,3369,175
95LL,93023,42735,44686,5602,43838,20733,20155,2950,29623,13121,14661,1841,19562,8881,9870,811
95MM,107877,80729,24105,3043,52363,40025,10630,1708,31722,22958,7870,894,23792,17746,5605,441
95NN,69731,43591,22372,3768,33893,21639,10111,2143,22281,13506,7641,1134,13557,8446,4620,491
95OO,57852,37087,19111,1654,28488,18898,8785,805,18409,11475,6306,628,10955,6714,4020,221
95PP,61805,36563,23350,1892,30480,18892,10601,987,19595,10993,7975,627,11730,6678,4774,278
95QQ,32180,8003,21934,2243,14328,3762,9363,1203,11140,2575,7852,713,6712,1666,4719,327
95RR,33536,20014,12625,897,15934,9847,5627,460,10634,6143,4214,277,6968,4024,2784,160
95SS,120165,43815,67197,9153,59834,23403,31120,5311,37889,12498,22630,2761,22442,7914,13447,1081
95TT,45038,29728,14179,1131,22704,15856,6246,602,13964,8911,4702,351,8370,4961,3231,178
95UU,17050,10155,6310,585,7918,4960,2651,307,5593,3255,2153,185,3539,1940,1506,93
95VV,99480,78953,17901,2626,51104,40965,8706,1433,29677,23033,5792,852,18699,14955,3403,341
95WW,85139,19204,57688,8247,40056,10473,24945,4638,28394,6014,19738,2642,16689,2717,13005,967
95XX,78937,10681,57809,10447,37653,5731,25847,6075,27039,3404,20399,3236,14245,1546,11563,1136
95YY,51356,36122,14080,1154,24943,18211,6179,553,15435,10370,4681,384,10978,7541,3220,217
95ZZ,39843,25871,13422,550,17890,11970,5632,288,12010,7504,4349,157,9943,6397,3441,105
