CODE,NAME
UKN01,BELFAST
UKN02,OUTER BELFAST
UKN03,EAST OF NORTHERN IRELAND
UKN04,NORTH OF NORTHERN IRELAND
UKN05,WEST AND SOUTH OF NORTHERN IRELAND
