GeographyCode,DC2420NI0001,DC2420NI0002,DC2420NI0003,DC2420NI0004,DC2420NI0005,DC2420NI0006,DC2420NI0007,DC2420NI0008,DC2420NI0009,DC2420NI0010,DC2420NI0011,DC2420NI0012,DC2420NI0013,DC2420NI0014,DC2420NI0015,DC2420NI0016,DC2420NI0017,DC2420NI0018,DC2420NI0019,DC2420NI0020,DC2420NI0021,DC2420NI0022,DC2420NI0023,DC2420NI0024,DC2420NI0025,DC2420NI0026,DC2420NI0027,DC2420NI0028,DC2420NI0029,DC2420NI0030,DC2420NI0031,DC2420NI0032,DC2420NI0033,DC2420NI0034,DC2420NI0035,DC2420NI0036,DC2420NI0037,DC2420NI0038,DC2420NI0039,DC2420NI0040,DC2420NI0041,DC2420NI0042,DC2420NI0043,DC2420NI0044,DC2420NI0045,DC2420NI0046,DC2420NI0047,DC2420NI0048,DC2420NI0049,DC2420NI0050,DC2420NI0051,DC2420NI0052,DC2420NI0053,DC2420NI0054,DC2420NI0055,DC2420NI0056,DC2420NI0057,DC2420NI0058,DC2420NI0059,DC2420NI0060,DC2420NI0061,DC2420NI0062,DC2420NI0063,DC2420NI0064,DC2420NI0065,DC2420NI0066,DC2420NI0067,DC2420NI0068,DC2420NI0069,DC2420NI0070
N06000001,40918,3455,26667,11743,8234,3015,3675,475,7181,3140,14342,971,9515,4200,3153,1055,1107,137,2221,1498,13195,1076,8894,3922,2733,1024,1215,126,2255,844,6143,639,3816,1691,1179,419,527,113,1215,360,4990,461,3123,1368,861,370,524,72,1066,268,2248,308,1319,562,308,147,302,27,424,170,2.23,2.49,2.18,2.18,2.09,2.19,2.40,2.44,2.35,2.00
N06000002,44601,16705,18512,8139,5997,2294,2082,433,4766,4185,15823,5112,7154,3240,2363,867,684,165,1526,1866,13367,4782,5958,2658,1883,745,672,91,1479,1057,7160,2921,2751,1167,901,354,329,84,846,558,5180,2317,1780,717,552,236,275,54,637,392,3071,1573,869,357,298,92,122,39,278,312,2.28,2.47,2.11,2.07,2.11,2.12,2.29,2.38,2.32,2.15
N06000003,46630,15524,17777,7347,6041,1920,2469,1057,8382,3890,15710,4271,6712,2808,2406,750,748,288,2515,1924,14529,4637,5775,2386,1929,640,820,280,2833,1004,7191,2620,2479,1002,816,266,395,232,1387,473,5648,2307,1809,741,581,188,299,172,1104,256,3552,1689,1002,410,309,76,207,85,543,233,2.32,2.56,2.16,2.15,2.11,2.08,2.39,2.56,2.35,1.98
N06000004,36580,25726,5283,2062,2260,387,574,203,1701,3667,10445,6638,1823,727,804,134,158,55,554,1375,10339,7312,1639,608,726,129,176,43,458,887,6963,5076,950,385,373,70,122,47,309,581,4959,3711,576,234,233,35,74,38,240,394,3874,2989,295,108,124,19,44,20,140,430,2.55,2.63,2.25,2.24,2.21,2.18,2.50,2.67,2.43,2.44
N06000005,36112,5855,22440,11520,5825,2212,2883,316,5177,2324,10210,1563,6283,3339,1635,634,675,109,1248,1007,11697,1737,7574,3860,2031,741,942,86,1672,628,6176,1044,3780,1907,981,375,517,40,1015,297,5266,865,3255,1626,821,335,473,52,852,242,2763,646,1548,788,357,127,276,29,390,150,2.44,2.58,2.41,2.38,2.37,2.38,2.60,2.40,2.53,2.13
N06000006,37981,13193,19013,9674,7079,450,1810,258,3123,2394,10031,3037,5075,2614,1922,139,400,71,822,1026,11787,3592,6450,3255,2400,167,628,86,999,660,6475,2403,3192,1599,1208,50,335,44,540,296,5618,2171,2705,1416,961,60,268,36,483,223,4070,1990,1591,790,588,34,179,21,279,189,2.57,2.81,2.47,2.46,2.45,2.31,2.61,2.45,2.52,2.16
N06000007,37590,18971,14032,2683,8270,1460,1619,227,1865,2495,9952,4659,3722,740,2237,413,332,59,494,1018,10412,4862,4317,825,2541,477,474,75,526,632,6159,3252,2194,422,1262,242,268,45,335,333,5828,3089,2146,387,1275,185,299,22,309,262,5239,3109,1653,309,955,143,246,26,201,250,2.70,2.84,2.60,2.56,2.59,2.47,2.87,2.59,2.62,2.31
N06000008,38404,24869,8012,3841,3131,353,687,251,1983,3289,10861,6461,2379,1190,923,115,151,52,632,1337,10790,6840,2498,1195,995,100,208,65,577,810,6642,4468,1329,630,526,57,116,58,328,459,5708,3958,1102,512,429,55,106,49,284,315,4403,3142,704,314,258,26,106,27,162,368,2.59,2.68,2.45,2.39,2.43,2.41,2.85,2.78,2.40,2.35
N06000009,39850,5924,25853,10559,9774,1909,3611,383,5302,2388,10435,1256,6968,2836,2827,548,757,113,1103,995,13000,1756,8746,3651,3302,656,1137,118,1745,635,6793,1112,4224,1761,1598,283,582,63,1063,331,6180,1042,3926,1558,1388,281,699,52,918,242,3442,758,1989,753,659,141,436,37,473,185,2.51,2.77,2.45,2.43,2.38,2.40,2.75,2.46,2.64,2.21
N06000010,33690,19764,10325,4332,4187,283,1523,151,1332,2118,7457,3854,2473,1047,1056,83,287,35,287,808,8897,4807,3122,1313,1256,86,467,52,410,506,5476,3224,1692,712,705,34,241,25,217,318,5784,3578,1714,698,683,49,284,17,229,246,6076,4301,1324,562,487,31,244,22,189,240,2.92,3.11,2.70,2.69,2.64,2.55,2.92,2.66,2.77,2.43
N06000011,40538,23814,11254,4421,4569,626,1638,213,1902,3355,10225,5740,2800,1078,1232,161,329,45,445,1195,11186,6356,3356,1345,1357,182,472,62,554,858,6923,4066,1934,694,810,114,316,45,356,522,6197,3749,1745,714,684,104,243,37,318,348,6007,3903,1419,590,486,65,278,24,229,432,2.75,2.82,2.67,2.70,2.57,2.62,2.89,2.76,2.70,2.51
