GeographyCode,DC2503NI0001,DC2503NI0002,DC2503NI0003,DC2503NI0004,DC2503NI0005,DC2503NI0006,DC2503NI0007,DC2503NI0008,DC2503NI0009,DC2503NI0010,DC2503NI0011,DC2503NI0012,DC2503NI0013,DC2503NI0014,DC2503NI0015,DC2503NI0016,DC2503NI0017,DC2503NI0018,DC2503NI0019,DC2503NI0020,DC2503NI0021,DC2503NI0022,DC2503NI0023,DC2503NI0024,DC2503NI0025,DC2503NI0026,DC2503NI0027,DC2503NI0028,DC2503NI0029,DC2503NI0030,DC2503NI0031,DC2503NI0032,DC2503NI0033,DC2503NI0034,DC2503NI0035,DC2503NI0036,DC2503NI0037,DC2503NI0038,DC2503NI0039,DC2503NI0040,DC2503NI0041,DC2503NI0042,DC2503NI0043,DC2503NI0044,DC2503NI0045,DC2503NI0046,DC2503NI0047,DC2503NI0048,DC2503NI0049,DC2503NI0050,DC2503NI0051,DC2503NI0052,DC2503NI0053,DC2503NI0054,DC2503NI0055,DC2503NI0056,DC2503NI0057,DC2503NI0058,DC2503NI0059,DC2503NI0060,DC2503NI0061,DC2503NI0062,DC2503NI0063,DC2503NI0064,DC2503NI0065,DC2503NI0066,DC2503NI0067,DC2503NI0068,DC2503NI0069,DC2503NI0070,DC2503NI0071,DC2503NI0072
N06000001,75141,20865,8428,10263,3418,8427,20589,3151,65518,19266,7549,9193,3182,7501,16948,1879,2878,531,351,416,86,341,1051,102,853,205,96,101,44,90,289,28,162,31,20,21,2,23,62,3,1032,224,59,92,12,87,495,63,537,75,57,64,18,61,188,74,1759,235,97,137,24,119,490,657,2402,298,199,239,50,205,1066,345
N06000002,81552,29063,10679,11599,3229,8829,15215,2938,73186,27264,9816,10527,3012,7980,12629,1958,2471,677,322,387,89,289,623,84,706,253,79,103,31,70,149,21,96,36,12,10,2,11,19,6,1177,303,84,122,26,111,444,87,466,76,45,64,7,54,164,56,1406,178,124,162,24,126,334,458,2044,276,197,224,38,188,853,268
N06000003,93724,17407,7155,10263,2364,16100,36543,3892,75830,15392,6167,8865,2140,13674,27860,1732,4153,419,272,485,63,952,1873,89,973,160,91,95,27,131,438,31,167,21,5,10,2,40,83,6,3157,334,92,176,35,340,1962,218,1087,70,48,68,16,138,595,152,2523,316,176,175,30,251,809,766,5834,695,304,389,51,574,2923,898
N06000004,72358,27546,10094,11002,2646,8158,10818,2094,67326,26288,9541,10371,2519,7641,9390,1576,1413,473,218,219,34,186,250,33,355,112,63,56,14,32,65,13,52,15,5,10,2,3,15,2,1183,360,112,144,34,129,335,69,220,40,28,29,12,26,61,24,507,74,38,54,11,29,128,173,1302,184,89,119,20,112,574,204
N06000005,72357,18282,8817,11342,3911,9957,17280,2768,64667,16922,7969,10347,3637,9004,14707,2081,3188,630,422,519,135,438,930,114,1050,249,147,129,56,109,316,44,136,27,19,22,4,14,41,9,915,204,54,75,24,128,350,80,423,47,41,59,10,55,140,71,432,38,26,40,9,29,124,166,1546,165,139,151,36,180,672,203
N06000006,79190,24470,9075,11874,3107,9976,17566,3122,70490,22635,8166,10764,2875,8974,14957,2119,3367,694,465,575,107,457,949,120,949,259,128,111,41,106,279,25,148,33,16,18,6,21,44,10,1575,464,88,153,36,171,481,182,375,48,45,57,8,54,130,33,1040,175,67,70,12,60,183,473,1246,162,100,126,22,133,543,160
N06000007,80237,25573,8968,11764,2818,8758,17041,5315,65276,21506,7635,10094,2457,7456,13863,2265,3388,766,467,605,123,445,862,120,536,154,74,78,18,53,137,22,79,26,7,9,3,11,20,3,4822,1801,319,484,140,397,1109,572,622,136,53,63,18,56,123,173,3806,771,270,279,36,198,496,1756,1708,413,143,152,23,142,431,404
N06000008,78383,25494,9146,11574,2704,9742,17105,2618,67764,22493,8217,10344,2416,8609,14061,1624,3036,753,387,532,110,436,724,94,835,285,98,106,34,87,196,29,90,22,13,13,0,10,32,0,4125,1526,270,333,113,388,1157,338,413,55,43,58,12,38,140,67,658,152,38,60,6,30,111,261,1462,208,80,128,13,144,684,205
N06000009,80795,19755,9288,12338,3680,9802,22679,3253,70507,18161,8095,10897,3408,8630,19140,2176,4187,636,624,734,131,591,1314,157,987,177,137,147,32,109,336,49,200,38,24,37,6,17,67,11,1320,314,62,100,32,133,570,109,571,63,70,96,19,90,185,48,1174,162,109,106,19,80,236,462,1849,204,167,221,33,152,831,241
N06000010,76074,24511,8714,11503,3229,9016,15615,3486,69170,22887,8003,10677,3027,8363,14131,2082,1981,487,285,342,72,241,482,72,445,156,54,54,26,44,97,14,63,8,11,9,3,7,25,0,1112,336,74,117,37,110,330,108,351,86,37,41,5,23,54,105,2138,407,171,174,33,140,277,936,814,144,79,89,26,88,219,169
N06000011,86877,26887,9715,12970,3922,10129,18531,4723,73782,23460,8538,11551,3488,8891,15510,2344,3026,782,403,497,141,377,714,112,515,149,70,72,20,54,133,17,113,21,13,11,2,22,40,4,4401,1634,327,391,152,389,981,527,321,42,28,28,16,34,110,63,3533,608,243,294,67,237,575,1509,1186,191,93,126,36,125,468,147
N06000012,86137,27769,9700,13109,3959,9896,17989,3715,77853,25932,8801,12056,3706,9077,15859,2422,2917,641,424,476,109,351,802,114,944,275,107,128,39,112,254,29,137,27,13,20,6,20,42,9,915,277,68,82,28,75,301,84,349,69,44,51,8,49,78,50,1993,357,155,173,44,112,288,864,1029,191,88,123,19,100,365,143
N06000013,73038,15293,8413,11752,3344,9390,22106,2740,62147,13524,7190,10221,3002,8088,18219,1903,5085,835,689,868,172,657,1703,161,1244,263,141,174,60,153,408,45,239,42,27,35,10,32,83,10,1258,268,74,118,35,112,533,118,558,72,65,73,12,69,200,67,560,66,40,45,5,43,155,206,1947,223,187,218,48,236,805,230
N06000014,77330,19483,9587,12849,3717,9772,18785,3137,68522,17967,8623,11514,3464,8760,16206,1988,3585,612,524,702,126,489,1026,106,802,183,99,129,22,105,239,25,155,27,25,34,5,21,40,3,933,260,62,94,31,87,329,70,375,46,43,71,26,53,94,42,1403,205,85,127,12,82,230,662,1555,183,126,178,31,175,621,241
N06000015,83951,22788,9270,13113,4413,10706,20057,3604,74226,20820,8315,11750,4109,9607,17209,2416,3746,733,493,689,149,479,1060,143,634,163,72,94,23,79,179,24,133,35,14,12,7,16,43,6,2230,537,154,251,60,239,775,214,269,36,20,36,8,30,100,39,1493,292,89,129,31,104,250,598,1220,172,113,152,26,152,441,164
N06000016,71638,18783,8956,11686,4015,8928,16527,2743,64601,17381,8137,10680,3776,8161,14411,2055,3070,603,410,515,107,369,964,102,793,190,93,120,33,92,229,36,155,29,26,14,6,17,56,7,852,261,57,81,26,75,272,80,361,45,54,75,16,51,80,40,665,94,47,46,12,48,143,275,1141,180,132,155,39,115,372,148
N06000017,92049,27752,11027,14416,3558,10705,19789,4802,80266,25012,9758,13066,3277,9675,17093,2385,3324,857,522,535,98,363,835,114,730,206,111,94,31,79,188,21,126,27,16,30,1,9,36,7,1382,455,98,132,41,135,397,124,946,181,96,123,20,74,165,287,3430,669,263,254,42,218,487,1497,1845,345,163,182,48,152,588,367
N06000018,70709,25130,7766,10153,2428,7819,14309,3104,62262,22399,7038,9140,2198,7051,12512,1924,2219,555,286,378,78,295,550,77,723,318,79,92,32,56,119,27,70,20,9,13,2,8,15,3,3178,1432,184,289,74,240,652,307,171,33,15,23,6,24,53,17,1347,259,88,120,22,73,158,627,739,114,67,98,16,72,250,122
