GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
N06000001,40918,4745,32740,547,2886,14342,1384,11888,169,901,5634,291,5200,44,99,8708,1093,6688,125,802,23987,2769,19200,324,1694,3063,100,2904,20,39,12906,1416,10458,215,817,4209,383,3531,59,236,6261,873,4755,131,502,2436,160,2172,25,79,2679,534,1680,29,436,1652,351,1017,18,266,907,170,565,10,162,120,13,98,1,8,5339,719,4158,60,402,3413,518,2526,43,326,1926,201,1632,17,76,2589,592,1652,54,291,784,171,496,13,104,26,7,14,1,4,167,16,148,0,3,1612,398,994,40,180
N06000002,44601,19485,22632,484,2000,15823,6206,8800,189,628,6072,1957,3992,64,59,9751,4249,4808,125,569,25389,11481,12553,237,1118,2624,808,1762,22,32,11461,5186,5674,140,461,3331,1241,1910,30,150,5364,2691,2328,95,250,2766,1254,1436,15,61,2489,1054,1142,25,268,1296,588,567,10,131,1067,428,497,15,127,126,38,78,0,10,8815,4433,3975,50,357,6157,3194,2625,36,302,2658,1239,1350,14,55,3389,1798,1279,58,254,1276,751,445,17,63,37,16,14,2,5,225,108,114,1,2,1851,923,706,38,184
N06000003,46630,18926,23034,1192,3478,15710,5542,8773,347,1048,5114,1145,3828,41,100,10596,4397,4945,306,948,23964,9996,11754,628,1586,2688,631,1988,28,41,13177,6045,5937,447,748,3967,1522,2078,123,244,6753,3502,2544,296,411,2457,1021,1315,28,93,3335,1549,1240,73,473,2324,1134,816,35,339,914,383,367,35,129,97,32,57,3,5,4764,1771,2589,80,324,2940,1142,1486,56,256,1824,629,1103,24,68,6956,3388,2507,217,844,836,369,324,39,104,1518,761,550,44,163,205,56,144,3,2,4397,2202,1489,131,575
N06000004,36580,28508,7078,239,755,10445,7635,2519,72,219,3560,2598,932,11,19,6885,5037,1587,61,200,22415,17815,4046,130,424,1617,1209,400,5,3,9161,7248,1651,92,170,2051,1496,495,22,38,4495,3565,754,61,115,2615,2187,402,9,17,1720,1223,400,10,87,769,556,168,4,41,848,591,207,6,44,103,76,25,0,2,9917,8135,1595,23,164,6971,5677,1140,18,136,2946,2458,455,5,28,3720,3058,513,37,112,1811,1524,232,12,43,32,18,11,0,3,183,138,45,0,0,1694,1378,225,25,66
N06000005,36112,6862,26910,355,1985,10210,1904,7669,122,515,4253,701,3446,33,73,5957,1203,4223,89,442,24091,4531,18036,210,1314,2849,383,2401,18,47,14435,2712,10846,142,735,4459,709,3485,48,217,7056,1406,5171,74,405,2920,597,2190,20,113,2023,413,1369,13,228,1092,223,745,2,122,831,169,550,11,101,100,21,74,0,5,4784,1023,3420,37,304,3175,656,2243,26,250,1609,367,1177,11,54,1811,427,1205,23,156,699,172,464,10,53,29,5,17,2,5,106,25,80,1,0,977,225,644,10,98
N06000006,37981,14531,22035,282,1133,10031,3510,6131,83,307,4139,1253,2812,22,52,5892,2257,3319,61,255,25135,9803,14452,177,703,2687,649,2000,15,23,15278,6199,8602,101,376,4244,1317,2767,38,122,7657,3472,3914,51,220,3377,1410,1921,12,34,2084,784,1139,18,143,1044,391,569,12,72,935,362,497,6,70,105,31,73,0,1,5086,2171,2711,43,161,3218,1379,1683,28,128,1868,792,1028,15,33,2815,1218,1452,22,123,1000,474,501,6,19,283,92,157,2,32,173,63,108,2,0,1359,589,686,12,72
N06000007,37590,20848,15730,250,762,9952,5393,4310,66,183,4269,2055,2155,26,33,5683,3338,2155,40,150,24582,13519,10439,153,471,2193,933,1231,18,11,16011,8734,6921,93,263,3774,1761,1908,26,79,8661,4959,3498,49,155,3576,2014,1515,18,29,1886,1137,634,15,100,964,570,333,10,51,839,517,270,5,47,83,50,31,0,2,4492,2715,1653,27,97,2531,1596,843,16,76,1961,1119,810,11,21,3056,1936,981,31,108,1192,774,361,11,46,17,8,9,0,0,234,135,95,2,2,1613,1019,516,18,60
N06000008,38404,28110,9378,286,630,10861,7721,2863,63,214,3444,2215,1196,13,20,7417,5506,1667,50,194,23884,17503,5856,192,333,1812,1136,661,5,10,12502,8844,3343,138,177,2827,1792,945,32,58,6551,4769,1591,87,104,3124,2283,807,19,15,1685,1177,436,15,57,847,584,226,9,28,764,542,187,6,29,74,51,23,0,0,7885,6346,1416,34,89,5567,4571,901,25,70,2318,1775,515,9,19,3659,2886,659,31,83,1627,1348,248,11,20,55,38,9,0,8,169,122,45,1,1,1808,1378,357,19,54
N06000009,39850,7065,30324,413,2048,10435,1586,8309,125,415,4308,427,3793,44,44,6127,1159,4516,81,371,27348,4927,20686,266,1469,3343,309,2971,34,29,17151,3089,13048,175,839,5091,748,4063,57,223,8819,1837,6371,90,521,3241,504,2614,28,95,2456,608,1519,22,307,1376,348,838,10,180,966,244,595,11,116,114,16,86,1,11,4398,921,3148,35,294,2721,626,1836,23,236,1677,295,1312,12,58,2067,552,1329,22,164,800,230,506,7,57,12,4,6,0,2,170,20,146,2,2,1085,298,671,13,103
N06000010,33690,21290,11708,175,517,7457,4388,2928,40,101,3232,1766,1439,14,13,4225,2622,1489,26,88,23671,15152,8058,121,340,1875,916,935,14,10,15999,10465,5287,76,171,3197,1764,1347,26,60,9040,6263,2649,32,96,3762,2438,1291,18,15,1434,851,486,9,88,680,398,233,4,45,681,420,214,5,42,73,33,39,0,1,4363,2920,1350,22,71,2476,1711,701,15,49,1887,1209,649,7,22,2562,1750,722,14,76,1126,781,302,6,37,4,1,2,0,1,195,136,57,0,2,1237,832,361,8,36
