GeographyCode,DC2249NI0001,DC2249NI0002,DC2249NI0003,DC2249NI0004,DC2249NI0005,DC2249NI0006,DC2249NI0007,DC2249NI0008,DC2249NI0009,DC2249NI0010,DC2249NI0011,DC2249NI0012,DC2249NI0013,DC2249NI0014,DC2249NI0015,DC2249NI0016,DC2249NI0017,DC2249NI0018,DC2249NI0019,DC2249NI0020,DC2249NI0021,DC2249NI0022,DC2249NI0023,DC2249NI0024,DC2249NI0025,DC2249NI0026,DC2249NI0027,DC2249NI0028,DC2249NI0029,DC2249NI0030,DC2249NI0031,DC2249NI0032,DC2249NI0033,DC2249NI0034,DC2249NI0035,DC2249NI0036,DC2249NI0037,DC2249NI0038,DC2249NI0039,DC2249NI0040,DC2249NI0041,DC2249NI0042,DC2249NI0043,DC2249NI0044,DC2249NI0045,DC2249NI0046,DC2249NI0047,DC2249NI0048,DC2249NI0049,DC2249NI0050,DC2249NI0051,DC2249NI0052,DC2249NI0053,DC2249NI0054,DC2249NI0055,DC2249NI0056,DC2249NI0057,DC2249NI0058,DC2249NI0059,DC2249NI0060,DC2249NI0061,DC2249NI0062,DC2249NI0063,DC2249NI0064,DC2249NI0065,DC2249NI0066,DC2249NI0067,DC2249NI0068,DC2249NI0069,DC2249NI0070,DC2249NI0071,DC2249NI0072,DC2249NI0073,DC2249NI0074,DC2249NI0075,DC2249NI0076,DC2249NI0077,DC2249NI0078,DC2249NI0079,DC2249NI0080,DC2249NI0081,DC2249NI0082,DC2249NI0083,DC2249NI0084,DC2249NI0085,DC2249NI0086,DC2249NI0087,DC2249NI0088,DC2249NI0089,DC2249NI0090
N06000001,92221,8783,57976,25401,17011,6744,8820,1165,17570,6727,13283,1096,8639,3806,2628,971,1234,100,2402,1046,79335,7667,49911,21906,14607,5831,7567,765,15234,5758,70450,3928,47671,21076,13994,5617,6984,646,13498,4707,6712,2525,2068,812,601,209,446,88,1164,867,1280,979,11,0,0,0,11,15,181,94,105,53,6,1,0,0,5,1,35,10,788,182,155,17,12,5,121,15,356,80,1660,311,467,112,63,33,259,361,441,80
N06000002,102531,41872,38718,16659,12347,5066,4646,956,11426,9559,19019,7322,7691,3327,2531,956,877,109,2085,1812,84243,35273,31157,13428,9904,4124,3701,667,9305,7841,62717,18834,29942,13025,9551,3998,3368,524,7597,5820,19734,15411,1047,382,346,124,195,118,1269,1889,1093,800,79,6,1,1,71,9,148,57,80,44,6,0,0,0,6,0,23,7,619,184,83,15,6,1,61,16,268,68,1223,405,224,33,21,7,163,225,279,90
N06000003,111402,41803,38701,15796,12767,4070,6068,2789,19922,8187,12421,3511,5700,2465,1966,609,660,186,1963,1061,98798,39417,33289,13564,11016,3500,5209,1461,17486,7145,68694,18440,30888,12827,10286,3282,4493,1120,13101,5145,26468,19076,2107,712,712,216,467,250,3353,1682,1767,1390,34,3,5,0,26,18,222,103,127,73,5,0,0,0,5,2,44,3,1742,438,255,22,13,2,218,71,766,212,4260,755,622,83,73,28,438,1276,1331,276
N06000004,93986,68246,11589,4432,4909,886,1362,479,4187,9485,18006,13144,2274,899,1000,138,237,53,777,1758,76999,56189,9309,3556,3935,748,1070,268,3408,7825,40040,23662,8891,3447,3790,719,935,181,2214,5092,36286,32149,350,106,139,25,80,62,1034,2691,321,252,6,0,0,0,6,5,36,22,46,36,3,1,0,0,2,1,5,1,306,90,59,2,6,4,47,19,119,19,842,381,104,10,6,5,83,179,119,59
N06000005,90067,15925,54120,27416,13945,5415,7344,799,13893,5330,15028,3002,8819,4705,2090,832,1192,73,2115,1019,75621,13157,45776,22970,12029,4620,6157,568,11769,4351,67665,8676,43933,22227,11522,4441,5743,488,10770,3798,7185,4118,1699,723,497,173,306,77,780,511,281,215,15,4,1,0,10,0,33,18,43,31,2,1,0,0,1,0,10,0,447,117,127,15,9,6,97,3,176,24,1110,224,307,71,47,26,163,201,338,40
N06000006,99673,38264,46777,23446,17591,1056,4684,609,8420,5603,22777,9102,10593,5220,4381,170,822,65,1618,1399,77727,29678,36529,18437,13342,914,3836,462,6816,4242,60581,16245,34711,17677,12720,842,3472,367,5838,3420,15754,12460,1712,753,612,70,277,71,763,748,942,831,7,1,1,0,5,1,60,43,50,32,5,1,0,0,4,3,6,4,400,110,94,5,9,2,78,20,149,27,956,321,258,47,40,11,160,112,231,34
N06000007,102553,54435,36400,6839,21387,3609,4565,564,4849,6305,24206,12374,9254,1621,5746,958,929,84,910,1584,79199,42663,27380,5279,15798,2682,3621,417,3952,4787,47166,16368,25174,4893,14706,2500,3075,284,2590,2750,26431,22127,1896,378,1059,180,279,77,729,1602,1800,1568,36,1,1,0,34,11,55,130,1925,1504,68,1,10,0,57,5,209,139,1877,1096,206,6,22,2,176,40,369,166,830,413,180,14,52,10,104,80,110,47
N06000008,100807,68042,19195,9016,7672,792,1715,702,4655,8213,18967,12741,3787,1805,1610,153,219,24,701,1714,82474,56109,15461,7265,6122,651,1423,439,3906,6559,36867,16929,14152,6787,5644,602,1119,331,2387,3068,44610,38477,1233,477,470,49,237,95,1382,3423,519,450,15,0,2,0,13,3,26,25,63,39,1,0,0,0,1,0,12,11,415,214,60,1,6,0,53,10,99,32,1126,432,173,32,12,2,127,269,185,67
N06000009,101710,16776,63571,25603,23411,4694,9863,934,14695,5734,15686,2378,9871,4036,3862,681,1292,83,2260,1094,87119,14669,54434,21942,19837,4067,8588,760,12560,4696,76440,8851,51746,21015,18932,3862,7937,647,11237,3959,9086,4890,2473,910,885,203,475,95,968,660,686,550,37,4,4,0,29,2,69,28,341,227,12,0,0,0,12,5,85,12,566,151,166,13,16,2,135,11,201,37,1202,310,463,85,83,35,260,154,218,57
N06000010,99155,61964,27359,11142,11117,734,4366,379,3771,5682,24795,14703,7680,3136,3280,208,1056,55,812,1545,75696,48394,19832,8076,7913,531,3312,283,2979,4208,45828,22028,18794,7769,7558,505,2962,234,2114,2658,27121,24397,886,299,343,26,218,32,471,1335,822,717,7,0,2,0,5,1,34,63,745,602,20,2,1,0,17,3,58,62,1180,650,125,6,9,0,110,13,302,90,616,388,78,23,13,1,41,58,68,24
N06000011,112401,67807,30048,11883,11873,1612,4680,542,4916,9088,22012,12439,6808,2882,2684,296,946,57,826,1882,91663,56407,23468,9094,9289,1345,3740,391,4096,7301,47711,18705,21856,8594,8774,1252,3236,273,2647,4230,39898,34766,1333,484,487,89,273,85,949,2765,1739,1497,28,2,1,0,25,5,91,118,1280,1073,31,1,5,0,25,7,88,81,1035,366,220,13,22,4,181,21,321,107,926,445,158,28,31,3,96,113,148,62
