GeographyCode,DC3401NI0001,DC3401NI0002,DC3401NI0003,DC3401NI0004,DC3401NI0005,DC3401NI0006,DC3401NI0007,DC3401NI0008,DC3401NI0009,DC3401NI0010,DC3401NI0011,DC3401NI0012,DC3401NI0013,DC3401NI0014,DC3401NI0015,DC3401NI0016,DC3401NI0017,DC3401NI0018,DC3401NI0019,DC3401NI0020,DC3401NI0021,DC3401NI0022,DC3401NI0023,DC3401NI0024,DC3401NI0025,DC3401NI0026,DC3401NI0027,DC3401NI0028,DC3401NI0029,DC3401NI0030,DC3401NI0031,DC3401NI0032,DC3401NI0033,DC3401NI0034,DC3401NI0035,DC3401NI0036,DC3401NI0037,DC3401NI0038,DC3401NI0039,DC3401NI0040,DC3401NI0041,DC3401NI0042,DC3401NI0043,DC3401NI0044,DC3401NI0045,DC3401NI0046,DC3401NI0047,DC3401NI0048,DC3401NI0049,DC3401NI0050,DC3401NI0051,DC3401NI0052
N06000001,91207,60698,16297,14212,5621,3812,1259,550,1763,1054,493,216,1228,609,438,181,11073,6366,3480,1227,1939,879,728,332,5629,2534,2110,985,10028,5842,3020,1166,8710,4935,2539,1236,1616,787,601,228,6840,4346,1758,736,4956,3096,1209,651,60530,41781,8511,10238
N06000002,101489,60154,25478,15857,5916,3556,1711,649,2109,1056,798,255,1914,771,840,303,14587,7514,5312,1761,2729,1057,1182,490,8404,3185,3644,1575,13143,6782,4665,1696,11889,5944,4249,1696,2550,1052,1133,365,7940,4500,2497,943,6109,3327,1930,852,64373,40102,13640,10631
N06000003,108289,63047,14327,30915,4912,3371,929,612,1616,946,420,250,1301,597,462,242,9751,5666,2892,1193,2057,904,691,462,5659,2263,1987,1409,8646,4929,2507,1210,8558,4518,2133,1907,1627,721,649,257,6239,4029,1386,824,5058,3034,1065,959,78222,45319,7709,25194
N06000004,93176,54557,28438,10181,4791,2840,1536,415,1819,954,703,162,2068,889,957,222,14494,7623,5598,1273,2923,1222,1389,312,8874,3652,4223,999,12731,6749,4843,1139,11384,5815,4426,1143,2612,1098,1223,291,6778,3877,2313,588,5962,3275,2087,600,58940,36189,15925,6826
N06000005,87942,68271,8119,11552,4920,3673,699,548,1406,934,297,175,1152,688,273,191,9497,6377,1888,1232,1692,954,408,330,4335,2461,995,879,9045,6207,1639,1199,7847,5368,1330,1149,1270,731,318,221,6311,4622,994,695,4622,3366,635,621,59897,48146,3950,7801
N06000006,97681,70366,10349,16966,4918,3728,613,577,1421,950,247,224,1290,735,272,283,9898,6523,1945,1430,1880,1063,392,425,4953,2634,1177,1142,9251,6129,1746,1376,7740,4858,1460,1422,1377,778,321,278,6221,4442,969,810,4869,3441,700,728,67972,50165,5605,12202
N06000007,101557,76179,7573,17805,4820,3794,414,612,1637,1161,215,261,1453,978,220,255,10026,7112,1443,1471,2071,1311,377,383,4918,2872,1029,1017,9085,6516,1206,1363,7549,5228,1055,1266,1458,914,299,245,5989,4560,655,774,4725,3457,508,760,72629,55015,4172,13442
N06000008,99430,61599,21025,16806,4492,2816,1114,562,1608,887,503,218,1565,711,551,303,12333,6721,3872,1740,2409,1059,854,496,7586,3096,2819,1671,10749,5953,3194,1602,10075,5330,3089,1656,2007,942,708,357,6429,3858,1664,907,5647,3323,1461,863,66836,43189,12132,11515
N06000009,100083,77424,10917,11742,5046,3926,688,432,1377,917,304,156,1218,736,319,163,9629,6535,2128,966,1865,1094,511,260,4264,2455,1193,616,9171,6318,1874,979,7930,5436,1523,971,1338,761,388,189,6421,4828,1020,573,5052,3763,780,509,70550,55967,6000,8583
N06000010,98502,77070,6408,15024,4046,3219,336,491,1353,1009,160,184,1390,941,190,259,10053,7370,1230,1453,1900,1243,297,360,5323,3268,947,1108,9052,6680,1042,1330,7850,5571,1018,1261,1430,945,225,260,5435,4259,522,654,4690,3513,460,717,70313,56057,3433,10823
