GeographyCode,DC2252NI0001,DC2252NI0002,DC2252NI0003,DC2252NI0004,DC2252NI0005,DC2252NI0006,DC2252NI0007,DC2252NI0008,DC2252NI0009,DC2252NI0010,DC2252NI0011,DC2252NI0012,DC2252NI0013,DC2252NI0014,DC2252NI0015,DC2252NI0016,DC2252NI0017,DC2252NI0018,DC2252NI0019,DC2252NI0020,DC2252NI0021,DC2252NI0022,DC2252NI0023,DC2252NI0024,DC2252NI0025,DC2252NI0026,DC2252NI0027,DC2252NI0028,DC2252NI0029,DC2252NI0030,DC2252NI0031,DC2252NI0032,DC2252NI0033,DC2252NI0034,DC2252NI0035,DC2252NI0036,DC2252NI0037,DC2252NI0038,DC2252NI0039,DC2252NI0040,DC2252NI0041,DC2252NI0042,DC2252NI0043,DC2252NI0044,DC2252NI0045
N06000001,92221,11712,69533,1324,9652,13283,1428,10083,109,1663,68501,5041,56062,679,6719,5028,3071,1508,77,372,1574,321,1105,17,131,347,51,195,44,57,84,31,29,9,15,2135,1453,199,36,447,1269,316,352,353,248
N06000002,102531,48126,46821,1066,6518,19019,8413,9069,119,1418,60865,20417,35872,535,4041,18010,16465,1003,108,434,1622,1153,395,16,58,214,85,63,24,42,86,61,12,2,11,1769,1200,197,28,344,946,332,210,234,170
N06000003,111402,49025,48630,3124,10623,12421,4066,6780,201,1374,64929,19778,37743,1133,6275,22978,19965,1894,201,918,3171,1934,1012,44,181,548,152,192,74,130,278,172,55,20,31,3531,2298,348,104,781,3546,660,606,1347,933
N06000004,93986,75263,15645,549,2529,18006,14328,2999,58,621,38293,24811,11892,200,1390,34554,33805,407,57,285,1618,1469,127,6,16,118,70,24,12,12,103,81,3,7,12,663,427,83,24,129,631,272,110,185,64
N06000005,90067,18362,63148,877,7680,15028,3416,10070,78,1464,66051,9616,50495,511,5429,5815,4207,1290,54,264,1292,437,763,15,77,303,55,171,19,58,59,33,11,9,6,742,421,157,2,162,777,177,191,189,220
N06000006,99673,41564,53097,674,4338,22777,9891,11728,78,1080,58927,17002,38875,374,2676,14218,12464,1456,61,237,1401,760,597,11,33,222,60,113,19,30,106,72,19,6,9,1370,1083,123,28,136,652,232,186,97,137
N06000007,102553,59159,40100,628,2666,24206,13402,10100,93,611,45661,16939,27253,304,1165,24915,22803,1808,73,231,1337,928,383,4,22,151,63,63,9,16,164,129,28,5,2,5566,4603,343,69,551,553,292,122,71,68
N06000008,100807,75731,22193,793,2090,18967,14156,4344,28,439,35301,17841,16071,352,1037,42975,41252,1260,88,375,1441,1195,217,10,19,115,47,46,16,6,184,156,11,5,12,983,785,91,22,85,841,299,153,272,117
N06000009,101710,19346,73158,1006,8200,15686,2783,11147,90,1666,74261,9640,58284,641,5696,7144,4990,1752,72,330,1822,557,1167,19,79,322,41,193,34,54,85,43,32,5,5,1561,1026,251,18,266,829,266,332,127,104
N06000010,99155,66152,30522,438,2043,24795,15736,8425,74,560,44053,22113,20749,244,947,25307,24325,813,30,139,1637,1375,242,9,11,126,72,34,9,11,165,158,5,1,1,2736,2185,199,19,333,336,188,55,52,41
N06000011,112401,74591,34380,616,2814,22012,13704,7655,62,591,45737,19489,24606,291,1351,37866,36261,1230,77,298,1806,1395,361,17,33,148,46,74,6,22,206,184,7,1,14,4023,3227,325,42,429,603,285,122,120,76
N06000012,108207,30723,71446,801,5237,26163,7009,17557,171,1426,68066,13218,51213,473,3162,9738,8144,1336,30,228,1340,649,622,13,56,196,41,125,8,22,39,21,14,2,2,2212,1500,409,16,287,453,141,170,88,54
N06000013,89498,11269,66618,1026,10585,10943,1102,7972,86,1783,69965,6876,54576,657,7856,4377,2083,1843,53,398,2015,369,1460,29,157,389,47,212,38,92,87,36,29,5,17,833,450,201,12,170,889,306,325,146,112
N06000014,99238,31619,59349,867,7403,15824,4722,9492,73,1537,68270,15216,47507,532,5015,10790,9259,1184,41,306,1578,767,713,12,86,222,60,108,18,36,112,64,30,4,14,1768,1317,129,20,302,674,214,186,167,107
N06000015,108835,75384,29224,570,3657,22042,14911,6213,78,840,52519,29033,21169,295,2022,29288,27879,999,56,354,2219,1714,446,19,40,186,92,61,11,22,197,158,22,4,13,1824,1353,165,20,286,560,244,149,87,80
N06000016,89370,15447,65353,839,7731,15366,2912,10749,103,1602,65685,8045,51628,581,5431,5270,3382,1568,36,284,1428,395,948,15,70,287,53,158,17,59,53,24,14,8,7,854,530,108,5,211,427,106,180,74,67
N06000017,118010,51919,58998,1033,6060,21733,9534,10710,98,1391,68944,19573,45482,599,3290,19490,17627,1433,70,360,1746,981,689,34,42,250,62,130,30,28,95,75,10,3,7,4941,3771,308,42,820,811,296,236,157,122
N06000018,91199,61993,27502,361,1343,23157,15395,7324,51,387,39423,20141,18531,164,587,25124,23726,1219,49,130,1229,1015,198,10,6,147,86,38,10,13,179,157,7,8,7,1588,1265,132,11,180,352,208,53,58,33
