GeographyCode,DC6607NI0001,DC6607NI0002,DC6607NI0003,DC6607NI0004,DC6607NI0005,DC6607NI0006,DC6607NI0007,DC6607NI0008,DC6607NI0009,DC6607NI0010,DC6607NI0011,DC6607NI0012,DC6607NI0013,DC6607NI0014,DC6607NI0015,DC6607NI0016,DC6607NI0017,DC6607NI0018,DC6607NI0019,DC6607NI0020,DC6607NI0021,DC6607NI0022,DC6607NI0023,DC6607NI0024,DC6607NI0025,DC6607NI0026,DC6607NI0027,DC6607NI0028,DC6607NI0029,DC6607NI0030,DC6607NI0031,DC6607NI0032,DC6607NI0033,DC6607NI0034,DC6607NI0035,DC6607NI0036,DC6607NI0037,DC6607NI0038,DC6607NI0039,DC6607NI0040,DC6607NI0041,DC6607NI0042
N06000001,67039,11108,55931,45800,8269,37531,9221,1661,7560,27388,4631,22757,1244,335,909,3095,658,2437,2842,417,2425,2010,567,1443,21239,2839,18400,9484,1403,8081,3116,759,2357,2570,284,2286,4501,234,4267,1568,159,1409
N06000002,73558,9180,64378,45602,6761,38841,10311,1420,8891,24641,3559,21082,973,189,784,2433,444,1989,4664,551,4113,2580,598,1982,27956,2419,25537,9709,936,8773,3978,671,3307,3823,282,3541,7822,311,7511,2624,219,2405
N06000003,86086,18071,68015,59911,12993,46918,9096,1842,7254,34242,6457,27785,1492,439,1053,4177,950,3227,3435,609,2826,7469,2696,4773,26175,5078,21097,8844,1614,7230,8551,2596,5955,2477,301,2176,4347,294,4053,1956,273,1683
N06000004,67002,7119,59883,38843,5209,33634,9804,1110,8694,18848,2562,16286,829,132,697,1855,299,1556,4672,497,4175,2835,609,2226,28159,1910,26249,7479,557,6922,4641,665,3976,4267,216,4051,9001,303,8698,2771,169,2602
N06000005,66012,10743,55269,44880,7616,37264,8844,1604,7240,25450,3891,21559,1298,288,1010,3740,639,3101,2777,358,2419,2771,836,1935,21132,3127,18005,9762,1525,8237,3988,929,3059,2320,305,2015,3682,232,3450,1380,136,1244
N06000006,72822,11674,61148,46103,8077,38026,9208,1667,7541,22630,3620,19010,1565,370,1195,5725,1041,4684,4064,514,3550,2911,865,2046,26719,3597,23122,10014,1529,8485,5165,1171,3994,3581,363,3218,5110,252,4858,2849,282,2567
N06000007,73713,12349,61364,50082,9046,41036,9546,1864,7682,26264,4452,21812,1771,391,1380,7047,1372,5675,3440,448,2992,2014,519,1495,23631,3303,20328,8696,1345,7351,4411,969,3442,3412,432,2980,4610,261,4349,2502,296,2206
N06000008,73474,10330,63144,44206,7107,37099,9420,1460,7960,21546,3300,18246,1317,222,1095,3167,590,2577,5613,717,4896,3143,818,2325,29268,3223,26045,8787,1033,7754,5611,1221,4390,4151,328,3823,8001,416,7585,2718,225,2493
N06000009,73686,12463,61223,51554,8959,42595,10051,1824,8227,29916,4850,25066,1628,400,1228,5240,924,4316,2512,346,2166,2207,615,1592,22132,3504,18628,10496,1740,8756,3736,923,2813,2734,408,2326,3494,209,3285,1672,224,1448
N06000010,70671,10139,60532,46574,7325,39249,8713,1421,7292,24023,3606,20417,1594,304,1290,6826,1078,5748,3320,379,2941,2098,537,1561,24097,2814,21283,7595,933,6662,5141,1005,4136,3679,390,3289,5303,272,5031,2379,214,2165
N06000011,80362,12170,68192,53125,8998,44127,10522,1841,8681,27029,4373,22656,1797,339,1458,6510,1206,5304,4738,551,4187,2529,688,1841,27237,3172,24065,9323,1222,8101,5020,998,4022,4010,361,3649,6199,321,5878,2685,270,2415
N06000012,78306,12203,66103,52676,8848,43828,10292,1869,8423,28164,4472,23692,1769,374,1395,6827,1178,5649,3654,463,3191,1970,492,1478,25630,3355,22275,11005,1472,9533,4312,971,3341,3420,399,3021,4759,281,4478,2134,232,1902
N06000013,65480,11736,53744,44424,7941,36483,9090,1711,7379,25088,4095,20993,1678,437,1241,4145,786,3359,2468,393,2075,1955,519,1436,21056,3795,17261,11442,2138,9304,3028,814,2214,2261,399,1862,3064,224,2840,1261,220,1041
N06000014,71856,10768,61088,51300,8075,43225,9998,1611,8387,30043,4416,25627,1436,335,1101,4758,805,3953,2570,330,2240,2495,578,1917,20556,2693,17863,9259,1289,7970,3397,734,2663,2608,290,2318,3818,214,3604,1474,166,1308
N06000015,77403,12969,64434,51988,9346,42642,10078,1884,8194,25523,4404,21119,1911,458,1453,8069,1408,6661,3900,494,3406,2507,698,1809,25415,3623,21792,9150,1472,7678,4755,1059,3696,3718,451,3267,5484,356,5128,2308,285,2023
N06000016,65507,10349,55158,44439,7449,36990,9109,1602,7507,23948,3779,20169,1619,366,1253,5194,862,4332,2637,340,2297,1932,500,1432,21068,2900,18168,10425,1511,8914,3245,746,2499,2415,272,2143,3557,195,3362,1426,176,1250
N06000017,85110,11908,73202,57344,8671,48673,11181,1755,9426,32786,4654,28132,1491,281,1210,5081,832,4249,4052,450,3602,2753,699,2054,27766,3237,24529,10725,1462,9263,4634,914,3720,3518,304,3214,6511,349,6162,2378,208,2170
N06000018,65333,10234,55099,40916,7360,33556,7654,1437,6217,20276,3557,16719,1347,284,1063,6018,1062,4956,3838,451,3387,1783,569,1214,24417,2874,21543,7821,970,6851,4429,1035,3394,3434,315,3119,6217,321,5896,2516,233,2283
