GeographyCode,DC4403NI0001,DC4403NI0002,DC4403NI0003,DC4403NI0004,DC4403NI0005,DC4403NI0006,DC4403NI0007,DC4403NI0008,DC4403NI0009,DC4403NI0010,DC4403NI0011,DC4403NI0012,DC4403NI0013,DC4403NI0014,DC4403NI0015,DC4403NI0016,DC4403NI0017,DC4403NI0018,DC4403NI0019,DC4403NI0020,DC4403NI0021,DC4403NI0022,DC4403NI0023,DC4403NI0024,DC4403NI0025,DC4403NI0026,DC4403NI0027,DC4403NI0028,DC4403NI0029,DC4403NI0030,DC4403NI0031,DC4403NI0032,DC4403NI0033,DC4403NI0034,DC4403NI0035,DC4403NI0036,DC4403NI0037,DC4403NI0038,DC4403NI0039,DC4403NI0040,DC4403NI0041,DC4403NI0042,DC4403NI0043,DC4403NI0044,DC4403NI0045,DC4403NI0046,DC4403NI0047,DC4403NI0048,DC4403NI0049,DC4403NI0050,DC4403NI0051,DC4403NI0052,DC4403NI0053,DC4403NI0054,DC4403NI0055,DC4403NI0056,DC4403NI0057,DC4403NI0058,DC4403NI0059,DC4403NI0060,DC4403NI0061,DC4403NI0062,DC4403NI0063,DC4403NI0064,DC4403NI0065,DC4403NI0066,DC4403NI0067,DC4403NI0068,DC4403NI0069,DC4403NI0070,DC4403NI0071,DC4403NI0072,DC4403NI0073,DC4403NI0074,DC4403NI0075,DC4403NI0076,DC4403NI0077,DC4403NI0078,DC4403NI0079,DC4403NI0080,DC4403NI0081,DC4403NI0082,DC4403NI0083,DC4403NI0084,DC4403NI0085,DC4403NI0086,DC4403NI0087,DC4403NI0088,DC4403NI0089,DC4403NI0090,DC4403NI0091,DC4403NI0092,DC4403NI0093,DC4403NI0094,DC4403NI0095,DC4403NI0096,DC4403NI0097,DC4403NI0098,DC4403NI0099,DC4403NI0100,DC4403NI0101,DC4403NI0102,DC4403NI0103,DC4403NI0104,DC4403NI0105,DC4403NI0106,DC4403NI0107,DC4403NI0108,DC4403NI0109,DC4403NI0110,DC4403NI0111,DC4403NI0112,DC4403NI0113,DC4403NI0114,DC4403NI0115,DC4403NI0116,DC4403NI0117,DC4403NI0118,DC4403NI0119,DC4403NI0120,DC4403NI0121,DC4403NI0122,DC4403NI0123,DC4403NI0124,DC4403NI0125,DC4403NI0126,DC4403NI0127,DC4403NI0128,DC4403NI0129,DC4403NI0130,DC4403NI0131,DC4403NI0132
N06000001,91207,22127,37915,656,11588,4709,11824,69,640,190,1489,91178,22127,37914,656,11588,4707,11800,69,640,188,1489,81259,21240,36644,596,8726,3229,8966,17,550,146,1145,16998,6550,8467,9,486,241,881,2,65,30,267,33177,9486,17211,204,1674,1091,2871,7,229,49,355,31084,5204,10966,383,6566,1897,5214,8,256,67,523,9917,887,1270,60,2862,1478,2832,52,90,42,344,9150,842,1170,56,2783,1433,2387,45,83,39,312,649,36,82,4,62,32,398,3,6,2,24,118,9,18,0,17,13,47,4,1,1,8,2,0,0,0,0,0,2,0,0,0,0,29,0,1,0,0,2,24,0,0,2,0
N06000002,101489,21356,38040,758,17050,8428,12797,45,691,284,2040,101437,21352,38039,758,17045,8416,12768,45,691,283,2040,90646,20632,36819,662,13816,6302,9916,28,581,205,1685,16074,5159,8160,32,943,442,903,20,69,35,311,37005,8679,17399,371,3177,2476,4113,6,229,76,479,37567,6794,11260,259,9696,3384,4900,2,283,94,895,10767,704,1220,96,3226,2113,2848,17,110,78,355,9573,644,1064,74,3128,1960,2208,13,92,63,327,1039,36,129,20,82,148,580,1,7,12,24,155,24,27,2,16,5,60,3,11,3,4,24,16,0,0,3,1,4,0,0,0,0,52,4,1,0,5,12,29,0,0,1,0
N06000003,108289,23763,38735,549,9941,4386,27576,74,1531,257,1477,108224,23763,38733,549,9940,4382,27522,74,1531,257,1473,91700,22372,36916,438,7916,2809,18656,35,1270,152,1136,22946,8448,11950,19,464,140,1518,13,72,29,293,32448,8763,16288,153,1288,708,4558,8,392,28,262,36306,5161,8678,266,6164,1961,12580,14,806,95,581,16510,1380,1817,111,2024,1570,8866,39,261,105,337,12941,1267,1681,89,1942,1420,5931,20,225,76,290,3331,99,105,22,60,142,2796,10,31,24,42,238,14,31,0,22,8,139,9,5,5,5,14,11,0,0,0,3,0,0,0,0,0,65,0,2,0,1,4,54,0,0,0,4
N06000004,93176,15351,38536,670,20848,7590,7374,146,492,283,1886,93174,15351,38536,670,20848,7588,7374,146,492,283,1886,86029,15038,37420,594,18643,6075,5995,35,434,179,1616,10637,2416,5621,27,1212,508,523,30,42,14,244,34196,6590,17038,280,4673,2995,1855,5,158,75,527,41196,6032,14761,287,12758,2572,3617,0,234,90,845,7126,312,1109,76,2203,1510,1379,111,58,104,264,6702,297,1044,76,2078,1457,1226,109,56,102,257,316,14,47,0,97,38,111,0,2,2,5,108,1,18,0,28,15,42,2,0,0,2,19,1,7,0,2,3,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0
N06000005,87942,25110,42648,513,6946,1173,9341,53,806,81,1271,87933,25105,42648,513,6942,1173,9341,53,806,81,1271,82674,24297,41931,472,5318,644,8052,31,743,61,1125,39515,14907,21475,55,359,90,1912,10,196,20,491,22326,5041,12107,201,1382,297,2731,17,251,17,282,20833,4349,8349,216,3577,257,3409,4,296,24,352,5205,771,710,41,1622,529,1289,22,62,20,139,4808,707,666,37,1590,510,1080,19,51,16,132,286,49,26,4,19,19,154,0,8,2,5,111,15,18,0,13,0,55,3,3,2,2,54,37,7,0,2,0,0,0,1,0,7,9,5,0,0,4,0,0,0,0,0,0
N06000006,97681,30942,38899,525,8955,1394,13673,133,1165,130,1865,97673,30942,38894,525,8955,1392,13673,133,1165,129,1865,93967,30475,38578,512,8097,954,12292,115,1115,85,1744,52278,21181,23732,125,916,141,4661,50,447,40,985,25107,6118,10020,290,2516,553,4675,30,434,25,446,16582,3176,4826,97,4665,260,2956,35,234,20,313,3637,413,311,13,858,438,1376,18,50,44,116,3134,347,280,10,822,417,1072,15,47,40,84,317,36,25,3,24,21,194,0,1,1,12,186,30,6,0,12,0,110,3,2,3,20,69,54,5,0,0,0,5,0,0,0,5,8,0,5,0,0,2,0,0,0,1,0
N06000007,101557,37776,38092,311,6189,1384,14097,216,1125,220,2147,101555,37776,38092,311,6189,1382,14097,216,1125,220,2147,98757,37441,37892,272,5767,1083,12792,181,1104,192,2033,63608,29573,26001,61,765,156,5095,95,557,85,1220,22843,5128,8472,148,2114,744,5262,54,358,78,485,12306,2740,3419,63,2888,183,2435,32,189,29,328,2594,200,165,39,414,299,1294,35,16,26,106,2005,137,125,16,369,286,936,34,13,22,67,391,25,17,23,38,6,244,1,2,4,31,198,38,23,0,7,7,114,0,1,0,8,204,135,35,0,8,0,11,0,5,2,8,2,0,0,0,0,2,0,0,0,0,0
N06000008,99430,20655,40410,534,15348,5677,13749,58,964,386,1649,99390,20655,40410,534,15346,5667,13732,58,962,377,1649,93390,20385,39838,519,13554,4663,11698,49,905,321,1458,27163,8439,14057,67,1321,428,2151,29,226,42,403,34464,6412,14986,286,4136,2755,4874,11,351,165,488,31763,5534,10795,166,8097,1480,4673,9,328,114,567,5977,250,572,13,1792,1004,2034,9,57,56,190,5263,224,523,11,1737,939,1544,6,45,49,185,606,21,43,0,53,55,415,0,11,3,5,108,5,6,2,2,10,75,3,1,4,0,23,20,0,2,0,0,0,0,0,0,1,40,0,0,0,2,10,17,0,2,9,0
N06000009,100083,29510,47237,677,8631,2286,8448,862,539,319,1574,100076,29510,47237,677,8631,2284,8443,862,539,319,1574,95331,28947,46454,616,7084,1739,7461,853,495,290,1392,47544,19069,24395,52,504,122,2091,346,145,97,723,26536,5900,13666,252,1751,1009,2784,485,177,168,344,21251,3978,8393,312,4829,608,2586,22,173,25,325,4644,485,772,61,1545,545,982,9,44,27,174,4343,461,719,61,1504,513,861,4,38,27,155,214,17,46,0,29,32,77,3,5,0,5,87,7,7,0,12,0,44,2,1,0,14,101,78,11,0,2,0,0,0,0,2,8,7,0,0,0,0,2,5,0,0,0,0
N06000010,98502,34677,42010,383,5551,857,11986,104,992,134,1808,98500,34677,42010,383,5551,856,11986,104,992,134,1807,96706,34400,41835,375,5137,701,11379,84,971,107,1717,61974,27024,28289,82,592,121,4272,21,492,34,1047,22225,4667,9571,229,1853,380,4741,46,306,53,379,12507,2709,3975,64,2692,200,2366,17,173,20,291,1455,90,135,8,354,155,602,20,10,24,57,1161,51,112,5,343,145,425,17,4,21,38,167,16,1,3,9,9,113,3,2,0,11,127,23,22,0,2,1,64,0,4,3,8,339,187,40,0,60,0,5,0,11,3,33,2,0,0,0,0,1,0,0,0,0,1
N06000011,111333,35908,47470,305,7777,1769,14496,137,1094,280,2097,111333,35908,47470,305,7777,1769,14496,137,1094,280,2097,108085,35472,47210,269,7051,1403,13302,121,1042,243,1972,59306,24256,28662,58,578,251,3853,45,420,106,1077,30734,6946,12779,165,2967,819,6026,60,376,101,495,18045,4270,5769,46,3506,333,3423,16,246,36,400,2994,241,231,29,726,366,1187,16,43,37,118,2428,164,194,27,699,335,863,0,29,24,93,380,27,19,2,15,30,249,10,4,8,16,186,50,18,0,12,1,75,6,10,5,9,254,195,29,7,0,0,7,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0
N06000012,107293,36783,43200,529,9299,898,13254,65,1033,144,2088,107291,36783,43200,529,9299,897,13253,65,1033,144,2088,103753,36412,42815,501,8356,448,12113,61,997,108,1942,58963,25827,25979,118,966,95,4326,40,459,38,1115,28577,7395,12074,247,3069,256,4626,18,333,40,519,16213,3190,4762,136,4321,97,3161,3,205,30,308,3376,275,347,28,938,449,1133,4,36,36,130,2966,249,320,20,897,434,873,3,30,31,109,265,18,18,6,30,15,160,0,4,3,11,145,8,9,2,11,0,100,1,2,2,10,162,96,38,0,5,0,7,0,0,0,16,2,0,0,0,0,1,1,0,0,0,0
N06000013,87868,26009,41979,874,5647,1567,9312,430,682,341,1027,87838,26005,41979,874,5647,1562,9292,430,682,340,1027,81459,24740,41049,785,4430,770,7583,395,581,281,845,35681,14493,18460,32,160,149,1822,61,130,49,325,28843,7126,15726,490,1388,420,2944,130,247,89,283,16935,3121,6863,263,2882,201,2817,204,204,143,237,6286,1177,926,89,1217,792,1709,35,101,59,181,5611,1065,813,88,1201,766,1336,35,88,59,160,546,93,101,1,16,22,294,0,5,0,14,129,19,12,0,0,4,79,0,8,0,7,93,88,4,0,0,0,0,0,0,0,1,30,4,0,0,0,5,20,0,0,1,0
N06000014,98171,26614,50963,643,6923,693,9069,738,760,363,1405,98169,26614,50963,643,6923,693,9067,738,760,363,1405,94449,26206,50321,607,5795,443,8030,714,720,324,1289,46084,17177,25252,33,370,53,2030,166,228,99,676,27549,5428,16181,317,1142,213,3058,507,261,200,242,20816,3601,8888,257,4283,177,2942,41,231,25,371,3586,313,625,31,1125,250,1035,24,40,39,104,3285,280,581,29,1101,245,882,23,24,22,98,197,14,23,0,24,3,100,1,11,17,4,104,19,21,2,0,2,53,0,5,0,2,134,95,17,5,3,0,2,0,0,0,12,2,0,0,0,0,0,2,0,0,0,0
