GeographyCode,DC2419NI0001,DC2419NI0002,DC2419NI0003,DC2419NI0004,DC2419NI0005,DC2419NI0006,DC2419NI0007,DC2419NI0008,DC2419NI0009,DC2419NI0010,DC2419NI0011,DC2419NI0012,DC2419NI0013,DC2419NI0014,DC2419NI0015,DC2419NI0016,DC2419NI0017,DC2419NI0018,DC2419NI0019,DC2419NI0020,DC2419NI0021,DC2419NI0022,DC2419NI0023,DC2419NI0024,DC2419NI0025,DC2419NI0026,DC2419NI0027,DC2419NI0028,DC2419NI0029,DC2419NI0030,DC2419NI0031,DC2419NI0032,DC2419NI0033,DC2419NI0034,DC2419NI0035,DC2419NI0036,DC2419NI0037,DC2419NI0038,DC2419NI0039,DC2419NI0040,DC2419NI0041,DC2419NI0042,DC2419NI0043,DC2419NI0044,DC2419NI0045,DC2419NI0046,DC2419NI0047,DC2419NI0048,DC2419NI0049,DC2419NI0050,DC2419NI0051,DC2419NI0052,DC2419NI0053,DC2419NI0054,DC2419NI0055,DC2419NI0056,DC2419NI0057,DC2419NI0058,DC2419NI0059,DC2419NI0060,DC2419NI0061,DC2419NI0062,DC2419NI0063,DC2419NI0064,DC2419NI0065,DC2419NI0066,DC2419NI0067,DC2419NI0068,DC2419NI0069,DC2419NI0070
N06000001,40918,4745,32740,547,2886,25645,2463,21455,269,1458,11676,750,10419,122,385,13969,1713,11036,147,1073,281,49,202,2,28,8152,825,6715,67,545,5680,552,4672,37,419,2472,273,2043,30,126,5924,1329,3597,196,802,5425,1239,3262,181,743,34,15,14,3,2,368,62,254,8,44,97,13,67,4,13,916,79,771,13,53
N06000002,44601,19485,22632,484,2000,24048,10854,12104,230,860,10767,4279,6108,110,270,13281,6575,5996,120,590,331,167,132,10,22,12523,5073,6828,107,515,8534,2994,5096,68,376,3989,2079,1732,39,139,6449,2954,2813,121,561,5940,2728,2584,107,521,18,7,7,3,1,341,166,139,6,30,150,53,83,5,9,1250,437,755,16,42
N06000003,46630,18926,23034,1192,3478,26148,11065,13480,388,1215,12150,3923,7653,143,431,13998,7142,5827,245,784,253,105,131,2,15,7192,1818,4699,138,537,4873,926,3539,80,328,2319,892,1160,58,209,12133,5714,4132,636,1651,11314,5364,3778,607,1565,32,10,12,2,8,668,300,296,7,65,119,40,46,20,13,904,224,592,28,60
N06000004,36580,28508,7078,239,755,19735,16105,3222,86,322,7062,5510,1441,27,84,12673,10595,1781,59,238,270,217,43,3,7,11865,8779,2811,50,225,8668,6145,2326,33,164,3197,2634,485,17,61,3717,2702,746,95,174,3289,2373,662,92,162,56,45,10,0,1,239,185,45,1,8,133,99,29,2,3,993,705,256,5,27
N06000005,36112,6862,26910,355,1985,26155,4728,19936,233,1258,11866,2175,9228,87,376,14289,2553,10708,146,882,223,42,158,1,22,4423,788,3367,44,224,3638,638,2761,32,207,785,150,606,12,17,4554,1161,2877,70,446,4091,1036,2572,67,416,23,11,9,0,3,391,103,263,3,22,49,11,33,0,5,757,143,572,7,35
N06000006,37981,14531,22035,282,1133,25599,9671,15199,149,580,13423,4510,8629,75,209,12176,5161,6570,74,371,227,72,143,4,8,4980,1830,2948,37,165,4227,1562,2487,30,148,753,268,461,7,17,6152,2640,3070,84,358,5496,2359,2724,78,335,48,26,16,1,5,543,234,289,3,17,65,21,41,2,1,1023,318,675,8,22
N06000007,37590,20848,15730,250,762,26562,14054,12007,150,351,15340,7617,7486,85,152,11222,6437,4521,65,199,129,76,48,1,4,3694,2401,1175,27,91,2998,1972,945,16,65,696,429,230,11,26,6010,3694,1942,67,307,5349,3300,1699,63,287,65,41,18,3,3,504,295,195,0,14,92,58,30,1,3,1195,623,558,5,9
N06000008,38404,28110,9378,286,630,21531,15223,5899,142,267,8919,5756,3016,52,95,12612,9467,2883,90,172,220,156,57,3,4,9083,7229,1699,37,118,6616,5139,1367,25,85,2467,2090,332,12,33,6708,4884,1494,101,229,6113,4438,1359,96,220,20,12,6,1,1,436,317,115,1,3,139,117,14,3,5,862,618,229,3,12
N06000009,39850,7065,30324,413,2048,29201,5002,22776,273,1150,13534,1669,11423,133,309,15667,3333,11353,140,841,298,71,207,1,19,5283,816,4100,60,307,4235,634,3320,47,234,1048,182,780,13,73,4173,1074,2485,73,541,3505,948,2058,63,436,268,50,153,4,61,273,58,196,1,18,127,18,78,5,26,895,102,756,6,31
N06000010,33690,21290,11708,175,517,24557,15555,8666,120,216,13035,7654,5205,73,103,11522,7901,3461,47,113,144,79,58,1,6,2889,1746,1081,10,52,2479,1468,956,8,47,410,278,125,2,5,5114,3352,1494,38,230,4584,3005,1330,34,215,36,25,8,1,2,434,280,142,3,9,60,42,14,0,4,986,558,409,6,13
