GeographyCode,DC1102NI0001,DC1102NI0002,DC1102NI0003,DC1102NI0004,DC1102NI0005,DC1102NI0006,DC1102NI0007,DC1102NI0008,DC1102NI0009,DC1102NI0010,DC1102NI0011,DC1102NI0012,DC1102NI0013,DC1102NI0014,DC1102NI0015,DC1102NI0016,DC1102NI0017,DC1102NI0018,DC1102NI0019,DC1102NI0020,DC1102NI0021,DC1102NI0022,DC1102NI0023,DC1102NI0024,DC1102NI0025,DC1102NI0026,DC1102NI0027,DC1102NI0028,DC1102NI0029,DC1102NI0030,DC1102NI0031,DC1102NI0032,DC1102NI0033,DC1102NI0034,DC1102NI0035,DC1102NI0036,DC1102NI0037,DC1102NI0038,DC1102NI0039,DC1102NI0040,DC1102NI0041,DC1102NI0042,DC1102NI0043,DC1102NI0044,DC1102NI0045,DC1102NI0046,DC1102NI0047,DC1102NI0048
N06000001,713,12,6,10,5,5,4,38,128,193,129,90,33,23,33,4,359,8,2,6,3,2,3,12,64,92,69,45,19,15,17,2,354,4,4,4,2,3,1,26,64,101,60,45,14,8,16,2
N06000002,547,37,9,9,4,3,3,27,99,108,92,55,36,28,30,7,262,19,5,3,2,3,3,12,38,50,38,25,21,20,19,4,285,18,4,6,2,0,0,15,61,58,54,30,15,8,11,3
N06000003,1329,35,9,9,9,3,9,81,251,293,246,169,91,41,77,6,654,13,4,4,8,2,4,40,121,149,104,87,47,19,47,5,675,22,5,5,1,1,5,41,130,144,142,82,44,22,30,1
N06000004,416,18,3,12,4,7,5,25,75,95,66,44,30,7,20,5,199,8,1,7,1,3,2,11,37,40,34,23,14,3,13,2,217,10,2,5,3,4,3,14,38,55,32,21,16,4,7,3
N06000005,928,18,8,12,5,8,5,55,194,216,158,133,57,23,33,3,402,10,7,5,3,5,3,24,72,94,65,64,19,14,14,3,526,8,1,7,2,3,2,31,122,122,93,69,38,9,19,0
N06000006,1376,27,12,18,4,5,7,83,279,325,273,175,78,33,52,5,645,15,5,8,2,3,4,27,128,144,121,92,48,20,25,3,731,12,7,10,2,2,3,56,151,181,152,83,30,13,27,2
N06000007,1868,20,18,20,6,9,22,130,358,482,333,238,122,40,68,2,831,12,8,14,5,5,14,55,151,204,138,113,61,16,34,1,1037,8,10,6,1,4,8,75,207,278,195,125,61,24,34,1
N06000008,1457,34,11,19,7,3,4,104,274,319,261,187,102,54,76,2,678,22,4,11,4,3,1,46,112,149,121,85,52,31,36,1,779,12,7,8,3,0,3,58,162,170,140,102,50,23,40,1
N06000009,1201,20,12,27,13,10,8,89,231,249,238,143,82,37,41,1,536,8,8,15,8,4,6,41,96,113,101,60,41,12,22,1,665,12,4,12,5,6,2,48,135,136,137,83,41,25,19,0
N06000010,1361,21,9,15,4,5,11,101,335,270,252,180,68,36,52,2,632,13,5,9,2,4,7,36,151,120,107,102,30,19,26,1,729,8,4,6,2,1,4,65,184,150,145,78,38,17,26,1
N06000011,1644,31,10,17,9,5,15,132,370,358,284,205,84,47,72,5,722,15,6,7,3,3,10,55,149,139,116,101,51,27,38,2,922,16,4,10,6,2,5,77,221,219,168,104,33,20,34,3
N06000012,1291,32,10,19,8,11,16,76,269,283,240,170,61,40,53,3,577,10,5,6,5,6,11,33,120,126,104,76,24,19,30,2,714,22,5,13,3,5,5,43,149,157,136,94,37,21,23,1
N06000013,1112,23,8,25,10,9,9,46,218,248,213,142,77,36,45,3,536,9,5,13,6,6,6,19,93,125,103,63,37,21,28,2,576,14,3,12,4,3,3,27,125,123,110,79,40,15,17,1
N06000014,894,26,8,20,3,6,10,62,212,210,139,102,43,17,34,2,404,13,3,9,1,4,6,22,89,95,60,46,26,5,23,2,490,13,5,11,2,2,4,40,123,115,79,56,17,12,11,0
N06000015,1696,38,17,14,10,6,15,97,363,372,329,209,109,54,54,9,742,21,9,5,4,4,9,41,137,167,144,86,50,31,29,5,954,17,8,9,6,2,6,56,226,205,185,123,59,23,25,4
N06000016,947,24,13,18,11,5,9,47,194,218,184,109,50,24,39,2,435,10,5,10,6,4,6,16,92,94,86,41,34,11,20,0,512,14,8,8,5,1,3,31,102,124,98,68,16,13,19,2
N06000017,1337,43,12,20,3,7,10,84,315,299,248,150,64,29,48,5,682,27,7,13,1,3,9,37,159,148,114,83,29,18,30,4,655,16,5,7,2,4,1,47,156,151,134,67,35,11,18,1
N06000018,1566,16,6,6,8,7,9,80,346,388,300,177,104,52,62,5,727,11,2,4,3,5,4,34,150,169,135,88,53,28,36,5,839,5,4,2,5,2,5,46,196,219,165,89,51,24,26,0
