GeographyCode,DC4103NI0001,DC4103NI0002,DC4103NI0003,DC4103NI0004,DC4103NI0005,DC4103NI0006,DC4103NI0007,DC4103NI0008,DC4103NI0009,DC4103NI0010,DC4103NI0011,DC4103NI0012,DC4103NI0013,DC4103NI0014,DC4103NI0015,DC4103NI0016,DC4103NI0017,DC4103NI0018,DC4103NI0019,DC4103NI0020,DC4103NI0021,DC4103NI0022,DC4103NI0023,DC4103NI0024,DC4103NI0025,DC4103NI0026,DC4103NI0027,DC4103NI0028,DC4103NI0029,DC4103NI0030,DC4103NI0031,DC4103NI0032,DC4103NI0033,DC4103NI0034,DC4103NI0035,DC4103NI0036,DC4103NI0037,DC4103NI0038,DC4103NI0039,DC4103NI0040,DC4103NI0041,DC4103NI0042,DC4103NI0043,DC4103NI0044,DC4103NI0045,DC4103NI0046,DC4103NI0047,DC4103NI0048,DC4103NI0049,DC4103NI0050,DC4103NI0051,DC4103NI0052,DC4103NI0053,DC4103NI0054,DC4103NI0055,DC4103NI0056,DC4103NI0057,DC4103NI0058,DC4103NI0059,DC4103NI0060,DC4103NI0061,DC4103NI0062,DC4103NI0063,DC4103NI0064,DC4103NI0065,DC4103NI0066,DC4103NI0067,DC4103NI0068,DC4103NI0069,DC4103NI0070,DC4103NI0071,DC4103NI0072,DC4103NI0073,DC4103NI0074,DC4103NI0075,DC4103NI0076,DC4103NI0077,DC4103NI0078,DC4103NI0079,DC4103NI0080,DC4103NI0081,DC4103NI0082,DC4103NI0083,DC4103NI0084,DC4103NI0085,DC4103NI0086,DC4103NI0087,DC4103NI0088,DC4103NI0089,DC4103NI0090,DC4103NI0091,DC4103NI0092,DC4103NI0093,DC4103NI0094,DC4103NI0095,DC4103NI0096
N06000001,40918,11675,18343,9111,1418,371,14342,6830,7236,246,12,18,5634,3375,2211,41,1,6,8708,3455,5025,205,11,12,23987,4106,10131,8170,1271,309,3063,538,1891,602,28,4,5861,635,2623,2405,165,33,7168,584,2412,3599,471,102,2556,182,727,941,547,159,3413,1517,1647,225,17,7,1926,650,831,398,43,4,2589,739,976,695,135,44,784,212,314,197,43,18,26,12,3,7,3,1,167,76,66,22,3,0,1612,439,593,469,86,25
N06000002,44601,18167,18577,6488,1102,267,15823,9709,5867,211,19,17,6072,4239,1789,38,2,4,9751,5470,4078,173,17,13,25389,7112,11406,5702,944,225,2624,667,1634,309,11,3,4627,799,2405,1337,67,19,6431,737,2793,2460,367,74,2892,346,1016,987,427,116,6157,3450,2447,233,21,6,2658,1113,1111,376,51,7,3389,1346,1304,575,139,25,1276,448,514,233,71,10,37,19,7,8,2,1,225,150,55,19,1,0,1851,729,728,315,65,14
N06000003,46630,13668,19662,10732,1968,600,15710,7296,8012,324,52,26,5114,2949,2126,33,4,2,10596,4347,5886,291,48,24,23964,4057,9463,8732,1350,362,2688,388,1613,656,24,7,6291,910,2770,2421,165,25,7667,700,2233,4082,513,139,2554,190,644,996,554,170,2940,1302,1397,205,26,10,1824,567,806,372,68,11,6956,2315,2187,1676,566,212,836,231,320,201,63,21,1518,593,358,317,159,91,205,102,86,15,1,1,4397,1389,1423,1143,343,99
N06000004,36580,16314,14924,4382,760,200,10445,6857,3480,86,10,12,3560,2650,884,17,2,7,6885,4207,2596,69,8,5,22415,7936,9944,3751,630,154,1617,524,990,99,2,2,2820,644,1606,534,30,6,5343,826,2459,1770,241,47,2718,434,1133,790,280,81,6971,4062,2581,283,35,10,2946,1446,1175,275,42,8,3720,1521,1500,545,120,34,1811,664,741,307,77,22,32,17,10,3,1,1,183,107,62,10,3,1,1694,733,687,225,39,10
N06000005,36112,7406,15268,10293,2327,818,10210,4449,5414,297,31,19,4253,2307,1871,61,10,4,5957,2142,3543,236,21,15,24091,2619,9246,9446,2067,713,2849,323,1833,645,33,15,5551,354,2270,2592,275,60,7887,324,2097,4387,802,277,3020,143,600,1111,836,330,3175,1084,1752,284,44,11,1609,391,694,427,77,20,1811,338,608,550,229,86,699,98,200,222,130,49,29,6,10,7,6,0,106,35,49,21,1,0,977,199,349,300,92,37
N06000006,37981,7695,15892,10775,2618,1001,10031,4240,5356,381,38,16,4139,2039,2002,79,13,6,5892,2201,3354,302,25,10,25135,2906,9589,9578,2224,838,2687,241,1713,685,40,8,5288,376,2148,2451,256,57,8592,425,2527,4469,869,302,3482,143,766,1222,912,439,3218,1252,1675,237,46,8,1868,469,760,514,101,24,2815,549,947,816,356,147,1000,144,280,318,183,75,283,60,81,73,48,21,173,55,83,34,1,0,1359,290,503,391,124,51
N06000007,37590,6117,14910,11873,3130,1560,9952,3731,5686,424,68,43,4269,1948,2189,107,12,13,5683,1783,3497,317,56,30,24582,1858,8196,10477,2716,1335,2193,160,1402,588,39,4,4738,256,1692,2434,299,57,9500,368,2177,5398,1080,477,3659,92,568,1218,1063,718,2531,677,1512,264,57,21,1961,305,845,575,178,58,3056,528,1028,972,346,182,1192,170,346,411,170,95,17,4,6,2,4,1,234,50,129,47,8,0,1613,304,547,512,164,86
N06000008,38404,12489,16236,7549,1604,526,10861,5950,4659,205,30,17,3444,2068,1323,42,8,3,7417,3882,3336,163,22,14,23884,5371,10202,6594,1317,400,1812,296,1177,321,9,9,3674,480,1758,1290,125,21,7315,602,2837,3214,498,164,3198,276,1039,1124,570,189,5567,2894,2343,283,43,4,2318,823,1048,362,72,13,3659,1168,1375,750,257,109,1627,401,584,403,170,69,55,31,12,5,3,4,169,75,76,15,3,0,1808,661,703,327,81,36
N06000009,39850,6304,16387,13065,2946,1148,10435,3759,6226,363,57,30,4308,2076,2145,71,13,3,6127,1683,4081,292,44,27,27348,2197,9500,12019,2636,996,3343,298,1988,951,83,23,6467,305,2258,3449,371,84,9785,327,2380,5693,1012,373,3355,101,600,1157,1017,480,2721,834,1565,269,42,11,1677,332,709,500,111,25,2067,348,661,683,253,122,800,116,215,267,131,71,12,7,2,1,1,1,170,58,77,32,2,1,1085,167,367,383,119,49
N06000010,33690,4942,12862,10914,3145,1827,7457,2945,4085,337,58,32,3232,1591,1543,72,17,9,4225,1354,2542,265,41,23,23671,1635,7974,9780,2697,1585,1875,144,1204,498,24,5,3877,195,1448,1991,203,40,9721,240,2479,5215,1163,624,3835,78,623,1224,1081,829,2476,669,1450,272,56,29,1887,309,770,580,170,58,2562,362,803,797,390,210,1126,98,284,376,235,133,4,1,2,0,1,0,195,64,85,42,4,0,1237,199,432,379,150,77
N06000011,40538,7352,16510,12022,3098,1556,10225,4139,5652,341,67,26,4383,2137,2143,79,17,7,5842,2002,3509,262,50,19,27267,2682,9735,10811,2696,1343,2302,211,1441,611,29,10,4626,331,1733,2309,215,38,10209,396,2736,5502,1081,494,4114,146,740,1379,1121,728,3713,1144,2080,380,84,25,2303,454,1005,630,166,48,3046,531,1123,870,335,187,1282,148,409,404,206,115,10,3,6,1,0,0,191,47,90,45,8,1,1563,333,618,420,121,71
N06000012,41458,7117,16982,12641,3253,1465,10676,4258,5944,393,61,20,4721,2224,2388,92,9,8,5955,2034,3556,301,52,12,28061,2438,10120,11413,2825,1265,3216,263,2107,764,68,14,6002,311,2238,3038,329,86,9707,362,2490,5284,1090,481,4057,118,733,1421,1146,639,2899,971,1587,273,53,15,2180,413,965,633,139,30,2721,421,918,835,367,180,1077,115,297,368,193,104,7,4,1,1,0,1,267,64,135,52,12,4,1370,238,485,414,162,71
N06000013,37740,6614,16306,11769,2364,687,11356,4274,6662,361,42,17,4945,2381,2464,86,10,4,6411,1893,4198,275,32,13,24684,2054,9040,10826,2145,619,3611,296,2117,1114,76,8,6427,332,2310,3349,357,79,7786,300,1925,4583,761,217,2830,91,510,1082,851,296,2500,727,1490,241,33,9,1530,308,688,457,67,10,1700,286,604,582,177,51,613,82,183,233,90,25,4,2,1,1,0,0,122,34,57,30,1,0,961,168,363,318,86,26
N06000014,37715,6017,15555,12292,2748,1103,9129,3393,5344,325,41,26,3587,1719,1784,68,9,7,5542,1674,3560,257,32,19,26432,2300,9515,11269,2406,942,2649,239,1715,631,53,11,5990,305,2205,3116,300,64,9636,318,2430,5560,949,379,3351,118,630,1202,943,458,3164,989,1818,299,48,10,1642,331,717,461,113,20,2154,324,696,698,301,135,962,108,254,344,174,82,10,4,3,3,0,0,119,31,62,25,1,0,1063,181,377,326,126,53
