GeographyCode,DC4402NI0001,DC4402NI0002,DC4402NI0003,DC4402NI0004,DC4402NI0005,DC4402NI0006,DC4402NI0007,DC4402NI0008,DC4402NI0009,DC4402NI0010,DC4402NI0011,DC4402NI0012,DC4402NI0013,DC4402NI0014,DC4402NI0015,DC4402NI0016,DC4402NI0017,DC4402NI0018,DC4402NI0019,DC4402NI0020,DC4402NI0021,DC4402NI0022,DC4402NI0023,DC4402NI0024,DC4402NI0025,DC4402NI0026,DC4402NI0027,DC4402NI0028,DC4402NI0029,DC4402NI0030,DC4402NI0031,DC4402NI0032,DC4402NI0033,DC4402NI0034,DC4402NI0035,DC4402NI0036,DC4402NI0037,DC4402NI0038,DC4402NI0039,DC4402NI0040,DC4402NI0041,DC4402NI0042,DC4402NI0043,DC4402NI0044,DC4402NI0045,DC4402NI0046,DC4402NI0047,DC4402NI0048,DC4402NI0049,DC4402NI0050,DC4402NI0051,DC4402NI0052,DC4402NI0053,DC4402NI0054,DC4402NI0055,DC4402NI0056,DC4402NI0057,DC4402NI0058,DC4402NI0059,DC4402NI0060,DC4402NI0061,DC4402NI0062,DC4402NI0063,DC4402NI0064,DC4402NI0065,DC4402NI0066,DC4402NI0067,DC4402NI0068,DC4402NI0069,DC4402NI0070,DC4402NI0071,DC4402NI0072,DC4402NI0073,DC4402NI0074,DC4402NI0075,DC4402NI0076,DC4402NI0077,DC4402NI0078,DC4402NI0079,DC4402NI0080,DC4402NI0081,DC4402NI0082,DC4402NI0083,DC4402NI0084,DC4402NI0085,DC4402NI0086,DC4402NI0087,DC4402NI0088,DC4402NI0089,DC4402NI0090,DC4402NI0091,DC4402NI0092,DC4402NI0093,DC4402NI0094,DC4402NI0095,DC4402NI0096,DC4402NI0097,DC4402NI0098,DC4402NI0099,DC4402NI0100,DC4402NI0101,DC4402NI0102,DC4402NI0103,DC4402NI0104,DC4402NI0105,DC4402NI0106,DC4402NI0107,DC4402NI0108,DC4402NI0109,DC4402NI0110,DC4402NI0111,DC4402NI0112,DC4402NI0113,DC4402NI0114,DC4402NI0115,DC4402NI0116,DC4402NI0117,DC4402NI0118,DC4402NI0119,DC4402NI0120,DC4402NI0121,DC4402NI0122,DC4402NI0123,DC4402NI0124,DC4402NI0125,DC4402NI0126,DC4402NI0127,DC4402NI0128,DC4402NI0129,DC4402NI0130,DC4402NI0131,DC4402NI0132
N06000001,40918,11676,13969,281,5680,2472,5425,34,368,97,916,40903,11676,13968,281,5680,2470,5415,34,368,95,916,34267,11000,13154,246,3719,1299,3816,7,303,59,664,6419,3065,2568,5,202,98,314,1,28,14,124,13833,4999,6061,82,773,453,1116,2,115,16,216,14015,2936,4525,159,2744,748,2386,4,160,29,324,6635,676,814,35,1961,1171,1598,27,65,36,252,6183,651,755,33,1910,1139,1346,22,59,33,235,383,21,48,2,43,26,222,3,5,2,11,69,4,11,0,8,6,30,2,1,1,6,1,0,0,0,0,0,1,0,0,0,0,15,0,1,0,0,2,10,0,0,2,0
N06000002,44601,10767,13281,331,8534,3989,5940,18,341,150,1250,44565,10763,13280,331,8529,3977,5927,18,341,149,1250,37317,10263,12537,273,6221,2411,4251,10,279,99,973,5874,2311,2383,10,436,191,345,7,32,14,145,15044,4431,5994,144,1483,902,1655,2,109,37,287,16399,3521,4160,119,4302,1318,2251,1,138,48,541,7236,493,743,58,2307,1565,1673,8,62,50,277,6501,457,654,47,2252,1458,1273,6,53,44,257,648,24,76,9,46,104,364,1,3,5,16,87,12,13,2,9,3,36,1,6,1,4,12,7,0,0,1,1,3,0,0,0,0,36,4,1,0,5,12,13,0,0,1,0
N06000003,46630,12150,13998,253,4873,2319,11314,32,668,119,904,46585,12150,13997,253,4872,2315,11277,32,668,119,902,37061,11134,12824,187,3565,1075,7017,17,520,59,663,8136,3802,3380,9,194,61,497,6,35,9,143,13098,4454,5701,70,566,257,1707,4,159,13,167,15827,2878,3743,108,2805,757,4813,7,326,37,353,9520,1013,1173,66,1307,1239,4260,15,148,60,239,7776,936,1094,57,1263,1136,2893,9,127,49,212,1615,66,66,9,33,97,1291,2,18,9,24,129,11,13,0,11,6,76,4,3,2,3,4,3,0,0,0,1,0,0,0,0,0,45,0,1,0,1,4,37,0,0,0,2
N06000004,36580,7062,12673,270,8668,3197,3289,56,239,133,993,36578,7062,12673,270,8668,3195,3289,56,239,133,993,32062,6851,12035,226,7282,2066,2512,13,203,63,811,3483,900,1575,12,491,176,185,11,17,5,111,12278,3040,5276,105,1758,990,753,2,71,28,255,16301,2911,5184,109,5033,900,1574,0,115,30,445,4509,210,637,44,1385,1127,777,43,36,70,180,4284,202,604,44,1319,1099,698,41,35,68,174,165,7,25,0,57,21,48,0,1,2,4,60,1,8,0,9,7,31,2,0,0,2,7,1,1,0,1,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
N06000005,36112,11866,14289,223,3638,785,4091,23,391,49,757,36107,11864,14289,223,3635,785,4091,23,391,49,757,32428,11314,13832,198,2440,325,3290,14,345,34,636,14114,6405,6454,23,170,33,687,3,83,14,242,9005,2545,4204,83,667,152,1058,7,114,8,167,9309,2364,3174,92,1603,140,1545,4,148,12,227,3652,530,454,25,1194,460,801,9,45,15,119,3406,500,432,22,1173,445,666,6,37,12,113,171,20,14,3,11,15,96,0,6,2,4,75,10,8,0,10,0,39,3,2,1,2,27,20,3,0,1,0,0,0,1,0,2,5,2,0,0,3,0,0,0,0,0,0
N06000006,37981,13423,12176,227,4227,753,5496,48,543,65,1023,37977,13423,12175,227,4227,751,5496,48,543,64,1023,35484,13121,11972,218,3579,374,4701,39,509,39,932,18371,8652,6866,49,403,54,1643,17,196,18,473,10179,2907,3401,127,1222,215,1832,10,190,13,262,6934,1562,1705,42,1954,105,1226,12,123,8,197,2461,278,201,9,648,377,792,9,34,25,88,2165,238,186,7,629,360,614,7,31,22,71,186,23,10,2,13,17,112,0,1,1,7,110,17,5,0,6,0,66,2,2,2,10,32,24,2,0,0,0,3,0,0,0,3,4,0,1,0,0,2,0,0,0,1,0
N06000007,37590,15340,11222,129,2998,696,5349,65,504,92,1195,37588,15340,11222,129,2998,694,5349,65,504,92,1195,35975,15150,11129,110,2703,441,4691,54,492,78,1127,21581,11366,7082,29,335,59,1801,23,237,31,618,9009,2412,2832,51,1009,304,1891,20,164,32,294,5385,1372,1215,30,1359,78,999,11,91,15,215,1517,125,81,19,291,253,651,11,10,13,63,1229,100,67,10,272,242,464,10,8,10,46,176,11,6,9,14,5,114,1,1,3,12,112,14,8,0,5,6,73,0,1,0,5,96,65,12,0,4,0,7,0,2,1,5,2,0,0,0,0,2,0,0,0,0,0
N06000008,38404,8919,12612,220,6616,2467,6113,20,436,139,862,38378,8919,12612,220,6614,2458,6100,20,435,138,862,34328,8741,12293,208,5429,1644,4768,15,400,103,727,9091,3349,3951,23,534,160,773,7,91,17,186,12732,2871,4703,118,1694,955,1945,5,149,40,252,12505,2521,3639,67,3201,529,2050,3,160,46,289,4042,172,319,11,1185,814,1332,5,35,35,134,3591,156,298,10,1151,770,1012,3,28,32,131,368,14,15,0,32,37,259,0,6,2,3,83,2,6,1,2,7,61,2,1,1,0,8,6,0,1,0,0,0,0,0,0,1,26,0,0,0,2,9,13,0,1,1,0
N06000009,39850,13534,15667,298,4235,1048,3505,268,273,127,895,39843,13534,15667,298,4235,1046,3500,268,273,127,895,36596,13137,15177,255,3091,621,2947,262,243,105,758,16738,8033,7128,21,230,55,732,102,68,33,336,10680,3002,4773,103,854,365,1079,152,83,59,210,9178,2102,3276,131,2007,201,1136,8,92,13,212,3200,359,487,43,1143,425,553,6,30,20,134,3028,343,462,43,1115,412,481,4,26,20,122,119,11,20,0,21,13,45,1,3,0,5,53,5,5,0,7,0,27,1,1,0,7,47,38,3,0,1,0,0,0,0,2,3,7,0,0,0,0,2,5,0,0,0,0
N06000010,33690,13035,11522,144,2479,410,4584,36,434,60,986,33688,13035,11522,144,2479,409,4584,36,434,60,985,32682,12919,11448,141,2214,273,4273,29,418,44,923,19347,9604,7196,28,255,41,1472,7,201,16,527,8215,2058,2933,79,830,145,1773,16,135,22,224,5120,1257,1319,34,1129,87,1028,6,82,6,172,873,48,60,3,247,136,307,7,8,14,43,708,28,50,2,241,128,207,6,4,12,30,81,8,1,1,4,7,50,1,2,0,7,84,12,9,0,2,1,50,0,2,2,6,133,68,14,0,18,0,4,0,8,2,19,2,0,0,0,0,1,0,0,0,0,1
N06000011,40538,14626,13830,130,3712,788,5674,41,495,113,1129,40538,14626,13830,130,3712,788,5674,41,495,113,1129,38643,14401,13704,118,3185,504,5092,36,470,93,1040,19252,9103,7629,28,276,79,1362,15,191,40,529,11781,3182,4085,67,1387,288,2287,17,151,34,283,7610,2116,1990,23,1522,137,1443,4,128,19,228,1795,145,119,11,527,284,578,5,21,20,85,1508,109,103,10,509,261,419,0,16,12,69,182,13,9,1,14,22,104,3,1,5,10,105,23,7,0,4,1,55,2,4,3,6,100,80,7,1,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
N06000012,41458,15632,13507,207,4378,611,5342,26,499,71,1185,41456,15632,13507,207,4378,610,5341,26,499,71,1185,39104,15402,13295,189,3688,219,4679,23,475,49,1085,20607,10276,7472,42,436,43,1541,14,201,20,562,11576,3513,4085,90,1434,129,1807,7,165,18,328,6921,1613,1738,57,1818,47,1331,2,109,11,195,2290,189,200,18,689,391,659,3,24,22,95,2023,172,182,14,667,379,487,2,20,19,81,167,12,13,3,15,12,100,0,3,1,8,100,5,5,1,7,0,72,1,1,2,6,62,41,12,0,1,0,3,0,0,0,5,2,0,0,0,0,1,1,0,0,0,0
N06000013,37740,13273,14751,408,2888,986,4190,139,341,131,633,37719,13271,14751,408,2888,981,4177,139,341,130,633,33292,12379,14153,347,2032,349,3045,121,272,97,497,13676,6928,5735,19,90,41,611,20,58,21,153,11907,3717,5603,208,668,202,1158,38,108,28,177,7709,1734,2815,120,1274,106,1276,63,106,48,167,4367,836,595,61,856,632,1132,18,69,33,135,3936,772,538,60,844,611,877,18,60,33,123,343,56,51,1,12,18,193,0,5,0,7,88,8,6,0,0,3,62,0,4,0,5,60,56,3,0,0,0,0,0,0,0,1,21,2,0,0,0,5,13,0,0,1,0
N06000014,37715,11921,16455,283,3449,401,3711,229,333,129,804,37714,11921,16455,283,3449,401,3710,229,333,129,804,35248,11671,16061,261,2598,181,3132,219,309,106,710,15773,7104,7237,17,179,28,706,54,91,31,326,10409,2642,5368,130,553,85,1151,153,108,63,156,9066,1925,3456,114,1866,68,1275,12,110,12,228,2410,210,389,21,849,220,577,10,24,23,87,2265,195,369,20,834,216,504,9,17,19,82,93,7,11,0,15,3,43,1,5,4,4,52,8,9,1,0,1,30,0,2,0,1,56,40,5,1,2,0,1,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0
N06000015,39030,14314,14033,169,2556,651,5512,84,584,118,1009,39029,14314,14033,169,2556,651,5512,84,584,118,1008,36961,13962,13846,153,2223,336,4794,77,540,94,936,21263,10068,8536,29,220,48,1577,17,242,20,506,9835,2397,3669,93,933,219,2006,42,169,54,253,5863,1497,1641,31,1070,69,1211,18,129,20,177,1930,253,174,16,333,315,706,7,42,23,61,1591,209,147,14,317,306,509,2,29,13,45,218,26,17,0,11,9,124,2,11,9,9,121,18,10,2,5,0,73,3,2,1,7,138,99,13,0,0,0,12,0,2,1,11,1,0,0,0,0,0,0,0,0,0,1
N06000016,35412,12428,13575,251,3689,643,3515,30,365,50,866,35410,12428,13573,251,3689,643,3515,30,365,50,866,33166,12176,13273,231,3032,314,2971,29,331,33,776,15144,7518,6136,17,231,30,779,12,97,12,312,9862,2739,4489,126,993,169,976,7,108,16,239,8160,1919,2648,88,1808,115,1216,10,126,5,225,2181,196,299,20,657,329,544,1,32,17,86,1970,168,268,18,646,322,432,1,25,14,76,126,16,21,2,6,4,64,0,6,3,4,85,12,10,0,5,3,48,0,1,0,6,63,56,1,0,0,0,0,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0
N06000017,45766,13497,16976,313,4744,1154,7331,41,490,97,1123,45764,13497,16976,313,4744,1154,7329,41,490,97,1123,43067,13296,16798,299,3859,639,6597,34,476,55,1014,16879,7008,7701,31,306,70,1231,12,128,16,376,13297,3239,5496,179,1069,183,2633,18,165,20,295,12891,3049,3601,89,2484,386,2733,4,183,19,343,2656,169,172,14,885,515,731,7,14,42,107,2359,146,162,13,857,481,545,4,12,41,98,199,12,7,1,20,29,117,3,2,1,7,98,11,3,0,8,5,69,0,0,0,2,41,32,6,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0
N06000018,33260,12382,10126,107,3526,625,4834,26,480,61,1093,33255,12382,10126,107,3526,620,4834,26,480,61,1093,32099,12294,10061,104,3241,430,4377,22,467,51,1052,18559,9042,6557,35,398,108,1574,10,257,26,552,7837,1905,2309,49,1163,228,1780,7,128,18,250,5703,1347,1195,20,1680,94,1023,5,82,7,250,1112,55,61,3,285,190,453,4,12,9,40,934,35,48,3,278,180,345,2,7,7,29,100,4,6,0,6,8,63,2,2,2,7,78,16,7,0,1,2,45,0,3,0,4,44,33,4,0,0,0,4,0,1,1,1,5,0,0,0,0,5,0,0,0,0,0
