GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
N06000001,74196,64696,2851,838,161,1001,534,1750,2365,38945,33185,1686,492,101,563,277,1053,1588,32924,28472,1333,398,81,474,182,587,1397,6021,4713,353,94,20,89,95,466,191,35251,31511,1165,346,60,438,257,697,777,21862,19628,646,170,34,225,190,511,458,735,515,30,9,3,17,7,69,85,2609,2294,115,45,6,17,22,38,72,4302,3797,207,60,4,38,23,67,106,5743,5277,167,62,13,141,15,12,56
N06000002,80513,72234,2440,698,92,1153,466,1396,2034,35022,30595,1229,373,48,551,202,830,1194,29406,25987,974,292,44,446,131,517,1015,5616,4608,255,81,4,105,71,313,179,45491,41639,1211,325,44,602,264,566,840,29037,26652,764,157,23,329,192,401,519,856,658,26,7,2,16,13,54,80,4399,4037,128,41,3,48,24,23,95,4786,4359,152,55,5,48,25,73,69,6413,5933,141,65,11,161,10,15,77
N06000003,90664,73503,3904,943,160,3013,1051,2494,5596,40364,31903,1788,508,86,1354,420,1237,3068,32788,26498,1342,365,67,1002,232,682,2600,7576,5405,446,143,19,352,188,555,468,50300,41600,2116,435,74,1659,631,1257,2528,38110,31499,1637,289,45,1279,538,977,1846,1048,581,47,14,3,39,20,86,258,2389,1995,102,24,9,53,24,51,131,3714,3098,166,56,10,70,28,121,165,5039,4427,164,52,7,218,21,22,128
N06000004,71573,66607,1389,353,52,1149,219,505,1299,27074,24683,585,154,23,474,106,272,777,23138,21236,472,108,17,384,69,173,679,3936,3447,113,46,6,90,37,99,98,44499,41924,804,199,29,675,113,233,522,29811,28209,459,119,16,423,76,170,339,841,707,18,4,0,23,3,24,62,5020,4730,133,24,2,60,11,15,45,3879,3609,109,25,6,47,17,19,47,4948,4669,85,27,5,122,6,5,29
N06000005,70240,63061,3081,1034,134,778,378,430,1344,40314,35763,1957,640,98,493,211,260,892,35796,31880,1680,561,83,443,165,193,791,4518,3883,277,79,15,50,46,67,101,29926,27298,1124,394,36,285,167,170,452,18912,17534,557,178,14,109,113,118,289,575,464,38,7,2,8,4,16,36,2375,2108,124,50,5,23,17,9,39,3411,3030,190,73,6,21,19,21,51,4653,4162,215,86,9,124,14,6,37
N06000006,77212,68824,3272,938,145,1481,364,1024,1164,42418,37201,2002,579,88,897,224,686,741,37786,33336,1739,508,70,811,176,488,658,4632,3865,263,71,18,86,48,198,83,34794,31623,1270,359,57,584,140,338,423,23578,21734,769,172,26,299,98,213,267,865,708,31,8,3,12,6,60,37,2174,1913,104,40,5,41,11,23,37,3473,3075,183,66,8,52,15,34,40,4704,4193,183,73,15,180,10,8,42
N06000007,79297,64503,3363,523,77,4728,617,3804,1682,43215,34290,1959,324,46,3108,320,2310,858,38698,31475,1704,272,38,2869,222,1423,695,4517,2815,255,52,8,239,98,887,163,36082,30213,1404,199,31,1620,297,1494,824,25023,21578,897,90,12,685,201,999,561,1183,704,50,10,0,79,16,191,133,2095,1656,111,33,7,151,19,74,44,2689,2068,190,32,3,134,42,174,46,5092,4207,156,34,9,571,19,56,40
N06000008,77016,66667,2966,821,89,4010,405,657,1401,34602,28989,1512,444,53,2167,168,379,890,30820,25945,1291,382,50,1982,105,277,788,3782,3044,221,62,3,185,63,102,102,42414,37678,1454,377,36,1843,237,278,511,29257,26516,924,177,25,916,186,190,323,915,709,31,6,0,69,8,33,59,3942,3455,167,64,5,196,11,10,34,4025,3481,198,58,4,182,21,34,47,4275,3517,134,72,2,480,11,11,48
N06000009,79173,69411,3851,925,188,1270,554,1168,1806,47864,41171,2699,684,138,838,320,724,1290,42422,36742,2337,566,126,751,240,473,1187,5442,4429,362,118,12,87,80,251,103,31309,28240,1152,241,50,432,234,444,516,20088,18331,645,113,18,181,175,314,311,775,610,48,5,4,23,5,44,36,2129,1889,109,26,4,23,17,23,38,3474,3044,184,44,11,44,21,54,72,4843,4366,166,53,13,161,16,9,59
N06000010,75434,68575,1966,444,63,1090,350,2137,809,41302,37142,1195,270,36,706,205,1274,474,37954,34698,1032,240,32,652,118,766,416,3348,2444,163,30,4,54,87,508,58,34132,31433,771,174,27,384,145,863,335,24609,22974,489,65,13,179,101,571,217,936,737,26,2,1,19,7,110,34,2000,1776,79,31,3,31,10,53,17,2361,2033,102,38,7,25,19,99,38,4226,3913,75,38,3,130,8,30,29
N06000011,85818,72834,3008,505,113,4341,317,3529,1171,45456,37639,1813,315,71,2753,191,1950,724,41088,34638,1595,267,59,2562,141,1182,644,4368,3001,218,48,12,191,50,768,80,40362,35195,1195,190,42,1588,126,1579,447,27845,24871,714,110,20,716,94,1029,291,1096,736,39,2,1,65,4,191,58,2713,2251,136,15,5,177,4,98,27,3385,2752,162,36,11,177,12,193,42,5323,4585,144,27,5,453,12,68,29
N06000012,85237,77023,2897,936,136,888,343,1990,1024,48750,43530,1889,599,97,573,190,1191,681,43644,39465,1623,522,85,522,142,676,609,5106,4065,266,77,12,51,48,515,72,36487,33493,1008,337,39,315,153,799,343,24221,22494,579,166,14,123,100,555,190,919,744,26,4,3,9,2,95,36,2434,2182,102,39,5,32,17,26,31,3627,3217,169,50,10,28,18,96,39,5286,4856,132,78,7,123,16,27,47
N06000013,71442,61155,4679,1207,226,1212,531,551,1881,42721,36012,3090,786,149,784,313,327,1260,37640,31950,2662,655,134,712,243,180,1104,5081,4062,428,131,15,72,70,147,156,28721,25143,1589,421,77,428,218,224,621,17117,15307,835,186,28,123,137,150,351,589,456,33,10,5,9,7,20,49,2075,1761,157,32,6,33,17,10,59,4057,3427,302,94,18,55,39,36,86,4883,4192,262,99,20,208,18,8,76
N06000014,76272,67713,3407,772,149,925,363,1402,1541,45599,39788,2384,512,101,636,226,829,1123,40414,35610,2051,437,83,554,166,498,1015,5185,4178,333,75,18,82,60,331,108,30673,27925,1023,260,48,289,137,573,418,20305,18728,585,119,22,118,86,408,239,658,480,34,4,2,14,2,73,49,2395,2141,118,26,6,22,22,17,43,3148,2773,155,47,13,28,23,67,42,4167,3803,131,64,5,107,4,8,45
N06000015,82959,73547,3549,624,123,2186,264,1492,1174,45917,40046,2248,401,79,1439,158,807,739,41768,36765,1979,368,71,1311,126,486,662,4149,3281,269,33,8,128,32,321,77,37042,33501,1301,223,44,747,106,685,435,25974,23868,804,123,15,332,69,484,279,916,722,36,4,5,33,9,74,33,2336,2050,115,20,3,80,5,31,32,2983,2560,176,22,6,81,14,75,49,4833,4301,170,54,15,221,9,21,42
N06000016,70944,63984,3044,784,155,823,361,662,1131,42726,38039,2086,541,120,547,220,372,801,38180,34275,1777,455,101,493,152,226,701,4546,3764,309,86,19,54,68,146,100,28218,25945,958,243,35,276,141,290,330,17963,16772,493,111,21,98,92,201,175,580,468,24,12,1,10,2,36,27,1894,1697,80,29,4,21,17,13,33,3330,2964,184,36,5,32,20,31,58,4451,4044,177,55,4,115,10,9,37
N06000017,91390,79655,3300,727,126,1368,943,3430,1841,51210,44075,1991,480,78,844,474,2069,1199,44652,39174,1701,401,68,763,281,1210,1054,6558,4901,290,79,10,81,193,859,145,40180,35580,1309,247,48,524,469,1361,642,26439,23724,690,116,26,218,303,955,407,834,566,31,11,3,12,18,125,68,3089,2695,155,21,5,47,49,62,55,4391,3707,252,55,8,61,74,176,58,5427,4888,181,44,6,186,25,43,54
N06000018,69988,61639,2200,710,70,3139,155,1345,730,36748,31685,1296,408,40,1936,88,846,449,33692,29343,1136,365,37,1796,61,538,416,3056,2342,160,43,3,140,27,308,33,33240,29954,904,302,30,1203,67,499,281,23427,21633,577,131,16,481,45,341,203,831,652,17,7,1,54,4,78,18,2165,1858,84,42,4,140,4,17,16,2566,2154,132,59,1,142,9,51,18,4251,3657,94,63,8,386,5,12,26
