GeographyCode,DC2122NI0001,DC2122NI0002,DC2122NI0003,DC2122NI0004,DC2122NI0005,DC2122NI0006,DC2122NI0007,DC2122NI0008,DC2122NI0009,DC2122NI0010,DC2122NI0011,DC2122NI0012,DC2122NI0013,DC2122NI0014,DC2122NI0015,DC2122NI0016,DC2122NI0017,DC2122NI0018,DC2122NI0019,DC2122NI0020,DC2122NI0021,DC2122NI0022,DC2122NI0023,DC2122NI0024,DC2122NI0025,DC2122NI0026,DC2122NI0027,DC2122NI0028,DC2122NI0029,DC2122NI0030,DC2122NI0031,DC2122NI0032,DC2122NI0033,DC2122NI0034,DC2122NI0035,DC2122NI0036,DC2122NI0037,DC2122NI0038,DC2122NI0039,DC2122NI0040,DC2122NI0041,DC2122NI0042,DC2122NI0043,DC2122NI0044,DC2122NI0045,DC2122NI0046,DC2122NI0047,DC2122NI0048,DC2122NI0049,DC2122NI0050,DC2122NI0051,DC2122NI0052,DC2122NI0053,DC2122NI0054,DC2122NI0055,DC2122NI0056,DC2122NI0057,DC2122NI0058,DC2122NI0059,DC2122NI0060,DC2122NI0061,DC2122NI0062,DC2122NI0063,DC2122NI0064,DC2122NI0065,DC2122NI0066,DC2122NI0067,DC2122NI0068,DC2122NI0069,DC2122NI0070,DC2122NI0071,DC2122NI0072,DC2122NI0073,DC2122NI0074,DC2122NI0075,DC2122NI0076,DC2122NI0077,DC2122NI0078,DC2122NI0079,DC2122NI0080,DC2122NI0081,DC2122NI0082,DC2122NI0083,DC2122NI0084,DC2122NI0085,DC2122NI0086,DC2122NI0087,DC2122NI0088,DC2122NI0089,DC2122NI0090,DC2122NI0091,DC2122NI0092,DC2122NI0093,DC2122NI0094,DC2122NI0095,DC2122NI0096,DC2122NI0097,DC2122NI0098,DC2122NI0099,DC2122NI0100,DC2122NI0101,DC2122NI0102,DC2122NI0103,DC2122NI0104,DC2122NI0105,DC2122NI0106,DC2122NI0107,DC2122NI0108,DC2122NI0109,DC2122NI0110,DC2122NI0111,DC2122NI0112,DC2122NI0113,DC2122NI0114,DC2122NI0115,DC2122NI0116,DC2122NI0117,DC2122NI0118,DC2122NI0119,DC2122NI0120,DC2122NI0121,DC2122NI0122,DC2122NI0123,DC2122NI0124,DC2122NI0125,DC2122NI0126,DC2122NI0127,DC2122NI0128,DC2122NI0129,DC2122NI0130,DC2122NI0131,DC2122NI0132,DC2122NI0133,DC2122NI0134,DC2122NI0135,DC2122NI0136,DC2122NI0137,DC2122NI0138,DC2122NI0139,DC2122NI0140,DC2122NI0141,DC2122NI0142,DC2122NI0143,DC2122NI0144,DC2122NI0145,DC2122NI0146,DC2122NI0147,DC2122NI0148,DC2122NI0149,DC2122NI0150
N06000001,74196,9113,58118,1036,5929,35071,4173,27012,536,3350,39125,4940,31106,500,2579,38945,4692,30954,589,2710,19561,2172,15524,302,1563,19384,2520,15430,287,1147,32924,3431,27233,521,1739,16483,1550,13651,269,1013,16441,1881,13582,252,726,6021,1261,3721,68,971,3078,622,1873,33,550,2943,639,1848,35,421,35251,4421,27164,447,3219,15510,2001,11488,234,1787,19741,2420,15676,213,1432,21862,3171,15835,245,2611,11110,1561,7892,149,1508,10752,1610,7943,96,1103,735,156,468,40,71,386,87,226,29,44,349,69,242,11,27,2609,348,2040,47,174,1018,114,800,26,78,1591,234,1240,21,96,4302,394,3594,61,253,1720,160,1414,23,123,2582,234,2180,38,130,5743,352,5227,54,110,1276,79,1156,7,34,4467,273,4071,47,76
N06000002,80513,36775,38920,849,3969,37890,17121,18026,454,2289,42623,19654,20894,395,1680,35022,15174,17871,428,1549,17549,7395,9016,237,901,17473,7779,8855,191,648,29406,12743,15316,371,976,14714,6228,7712,204,570,14692,6515,7604,167,406,5616,2431,2555,57,573,2835,1167,1304,33,331,2781,1264,1251,24,242,45491,21601,21049,421,2420,20341,9726,9010,217,1388,25150,11875,12039,204,1032,29037,14801,12057,215,1964,14730,7404,6033,121,1172,14307,7397,6024,94,792,856,383,380,35,58,434,200,180,23,31,422,183,200,12,27,4399,2221,1972,59,147,1652,791,762,35,64,2747,1430,1210,24,83,4786,1856,2696,52,182,1982,780,1086,24,92,2804,1076,1610,28,90,6413,2340,3944,60,69,1543,551,949,14,29,4870,1789,2995,46,40
N06000003,90664,39296,41630,2407,7331,43891,18431,19825,1360,4275,46773,20865,21805,1047,3056,40364,17673,18738,1229,2724,20258,8426,9630,622,1580,20106,9247,9108,607,1144,32788,14133,15966,1063,1626,16398,6709,8201,530,958,16390,7424,7765,533,668,7576,3540,2772,166,1098,3860,1717,1429,92,622,3716,1823,1343,74,476,50300,21623,22892,1178,4607,23633,10005,10195,738,2695,26667,11618,12697,440,1912,38110,17828,15485,848,3949,19457,8672,7882,542,2361,18653,9156,7603,306,1588,1048,375,401,127,145,582,186,195,108,93,466,189,206,19,52,2389,952,1212,76,149,1012,392,498,44,78,1377,560,714,32,71,3714,1172,2210,81,251,1504,468,869,36,131,2210,704,1341,45,120,5039,1296,3584,46,113,1078,287,751,8,32,3961,1009,2833,38,81
N06000004,71573,57289,12318,438,1528,33167,26260,5784,250,873,38406,31029,6534,188,655,27074,21210,5111,219,534,13532,10479,2611,120,322,13542,10731,2500,99,212,23138,18371,4230,194,343,11565,9096,2152,110,207,11573,9275,2078,84,136,3936,2839,881,25,191,1967,1383,459,10,115,1969,1456,422,15,76,44499,36079,7207,219,994,19635,15781,3173,130,551,24864,20298,4034,89,443,29811,24427,4459,126,799,14861,12049,2279,79,454,14950,12378,2180,47,345,841,649,136,27,29,456,338,75,24,19,385,311,61,3,10,5020,4202,735,20,63,1618,1364,217,9,28,3402,2838,518,11,35,3879,2916,854,33,76,1455,1071,331,16,37,2424,1845,523,17,39,4948,3885,1023,13,27,1245,959,271,2,13,3703,2926,752,11,14
N06000005,70240,13963,51154,655,4468,33899,6650,24376,331,2542,36341,7313,26778,324,1926,40314,7633,30248,376,2057,20153,3595,15162,202,1194,20161,4038,15086,174,863,35796,6645,27271,347,1533,17905,3131,13686,188,900,17891,3514,13585,159,633,4518,988,2977,29,524,2248,464,1476,14,294,2270,524,1501,15,230,29926,6330,20906,279,2411,13746,3055,9214,129,1348,16180,3275,11692,150,1063,18912,4255,12566,140,1951,10103,2326,6542,79,1156,8809,1929,6024,61,795,575,148,374,18,35,276,72,178,9,17,299,76,196,9,18,2375,514,1688,27,146,935,203,660,7,65,1440,311,1028,20,81,3411,594,2573,57,187,1340,264,966,25,85,2071,330,1607,32,102,4653,819,3705,37,92,1092,190,868,9,25,3561,629,2837,28,67
N06000006,77212,31258,42950,541,2463,37697,15145,20863,275,1414,39515,16113,22087,266,1049,42418,16516,24506,300,1096,21203,8006,12404,150,643,21215,8510,12102,150,453,37786,14661,22081,261,783,18890,7134,11162,126,468,18896,7527,10919,135,315,4632,1855,2425,39,313,2313,872,1242,24,175,2319,983,1183,15,138,34794,14742,18444,241,1367,16494,7139,8459,125,771,18300,7603,9985,116,596,23578,10758,11595,132,1093,12659,5746,6184,84,645,10919,5012,5411,48,448,865,355,462,10,38,440,197,216,7,20,425,158,246,3,18,2174,952,1134,22,66,880,376,466,3,35,1294,576,668,19,31,3473,1124,2178,48,123,1412,443,890,25,54,2061,681,1288,23,69,4704,1553,3075,29,47,1103,377,703,6,17,3601,1176,2372,23,30
N06000007,79297,45252,31907,529,1609,39612,22688,15750,254,920,39685,22564,16157,275,689,43215,23596,18519,281,819,21594,11639,9338,138,479,21621,11957,9181,143,340,38698,20831,17076,245,546,19348,10259,8636,123,330,19350,10572,8440,122,216,4517,2765,1443,36,273,2246,1380,702,15,149,2271,1385,741,21,124,36082,21656,13388,248,790,18018,11049,6412,116,441,18064,10607,6976,132,349,25023,15597,8673,164,589,14359,8946,4987,88,338,10664,6651,3686,76,251,1183,775,360,14,34,658,450,181,6,21,525,325,179,8,13,2095,1266,764,16,49,838,499,310,5,24,1257,767,454,11,25,2689,1439,1136,29,85,1121,610,456,13,42,1568,829,680,16,43,5092,2579,2455,25,33,1042,544,478,4,16,4050,2035,1977,21,17
N06000008,77016,57311,17825,582,1298,37067,27252,8713,313,789,39949,30059,9112,269,509,34602,24555,9198,343,506,17300,12121,4687,185,307,17302,12434,4511,158,199,30820,21896,8242,318,364,15411,10814,4202,172,223,15409,11082,4040,146,141,3782,2659,956,25,142,1889,1307,485,13,84,1893,1352,471,12,58,42414,32756,8627,239,792,19767,15131,4026,128,482,22647,17625,4601,111,310,29257,23018,5488,142,609,15151,11727,2955,92,377,14106,11291,2533,50,232,915,661,193,19,42,481,341,97,10,33,434,320,96,9,9,3942,3274,601,17,50,1392,1119,242,7,24,2550,2155,359,10,26,4025,2865,1050,41,69,1578,1127,402,14,35,2447,1738,648,27,34,4275,2938,1295,20,22,1165,817,330,5,13,3110,2121,965,15,9
N06000009,79173,14520,59238,807,4608,38284,6764,28498,411,2611,40889,7756,30740,396,1997,47864,8678,36323,511,2352,23929,4065,18217,269,1378,23935,4613,18106,242,974,42422,7256,32997,458,1711,21215,3417,16556,239,1003,21207,3839,16441,219,708,5442,1422,3326,53,641,2714,648,1661,30,375,2728,774,1665,23,266,31309,5842,22915,296,2256,14355,2699,10281,142,1233,16954,3143,12634,154,1023,20088,4139,13951,161,1837,10703,2141,7442,85,1035,9385,1998,6509,76,802,775,152,559,19,45,391,71,286,10,24,384,81,273,9,21,2129,455,1527,29,118,834,162,599,17,56,1295,293,928,12,62,3474,546,2700,45,183,1314,209,1001,18,86,2160,337,1699,27,97,4843,550,4178,42,73,1113,116,953,12,32,3730,434,3225,30,41
N06000010,75434,49461,24376,365,1232,37514,24385,12204,199,726,37920,25076,12172,166,506,41302,26441,14045,207,609,20648,13087,7115,106,340,20654,13354,6930,101,269,37954,24368,12985,191,410,18975,12064,6579,95,237,18979,12304,6406,96,173,3348,2073,1060,16,199,1673,1023,536,11,103,1675,1050,524,5,96,34132,23020,10331,158,623,16866,11298,5089,93,386,17266,11722,5242,65,237,24609,17275,6775,86,473,13581,9346,3875,55,305,11028,7929,2900,31,168,936,612,272,20,32,492,312,147,8,25,444,300,125,12,7,2000,1320,625,13,42,829,532,267,7,23,1171,788,358,6,19,2361,1345,937,25,54,1021,573,410,17,21,1340,772,527,8,33,4226,2468,1722,14,22,943,535,390,6,12,3283,1933,1332,8,10
N06000011,85818,56644,26864,519,1791,42322,27715,13319,273,1015,43496,28929,13545,246,776,45456,28602,15711,312,831,22701,14163,7911,162,465,22755,14439,7800,150,366,41088,25769,14482,282,555,20546,12790,7290,144,322,20542,12979,7192,138,233,4368,2833,1229,30,276,2155,1373,621,18,143,2213,1460,608,12,133,40362,28042,11153,207,960,19621,13552,5408,111,550,20741,14490,5745,96,410,27845,19664,7296,144,741,15361,10669,4175,84,433,12484,8995,3121,60,308,1096,785,237,19,55,571,409,114,13,35,525,376,123,6,20,2713,2047,608,8,50,1012,742,246,3,21,1701,1305,362,5,29,3385,2240,1039,22,84,1428,935,438,8,47,1957,1305,601,14,37,5323,3306,1973,14,30,1249,797,435,3,14,4074,2509,1538,11,16
N06000012,85237,23605,57962,656,3014,41830,11525,28277,340,1688,43407,12080,29685,316,1326,48750,12823,34191,362,1374,24351,6252,17117,186,796,24399,6571,17074,176,578,43644,11269,31118,318,939,21823,5531,15590,157,545,21821,5738,15528,161,394,5106,1554,3073,44,435,2528,721,1527,29,251,2578,833,1546,15,184,36487,10782,23771,294,1640,17479,5273,11160,154,892,19008,5509,12611,140,748,24221,7749,14983,167,1322,13293,4190,8263,99,741,10928,3559,6720,68,581,919,316,530,31,42,449,153,247,23,26,470,163,283,8,16,2434,675,1642,17,100,1029,283,697,9,40,1405,392,945,8,60,3627,876,2574,43,134,1523,382,1057,16,68,2104,494,1517,27,66,5286,1166,4042,36,42,1185,265,896,7,17,4101,901,3146,29,25
N06000013,71442,9030,55431,816,6165,33824,4022,25985,407,3410,37618,5008,29446,409,2755,42721,5434,33742,475,3070,21352,2451,16924,242,1735,21369,2983,16818,233,1335,37640,4586,30445,424,2185,18820,2082,15267,215,1256,18820,2504,15178,209,929,5081,848,3297,51,885,2532,369,1657,27,479,2549,479,1640,24,406,28721,3596,21689,341,3095,12472,1571,9061,165,1675,16249,2025,12628,176,1420,17117,2323,12141,180,2473,8827,1154,6168,106,1399,8290,1169,5973,74,1074,589,81,435,20,53,266,35,192,9,30,323,46,243,11,23,2075,258,1603,35,179,825,95,628,17,85,1250,163,975,18,94,4057,476,3218,69,294,1510,189,1164,27,130,2547,287,2054,42,164,4883,458,4292,37,96,1044,98,909,6,31,3839,360,3383,31,65
N06000014,76272,23388,48046,685,4153,36824,11065,23094,340,2325,39448,12323,24952,345,1828,45599,13541,29514,446,2098,22768,6532,14807,234,1195,22831,7009,14707,212,903,40414,11747,26750,405,1512,20203,5657,13448,211,887,20211,6090,13302,194,625,5185,1794,2764,41,586,2565,875,1359,23,308,2620,919,1405,18,278,30673,9847,18532,239,2055,14056,4533,8287,106,1130,16617,5314,10245,133,925,20305,7039,11430,146,1690,10699,3609,6060,71,959,9606,3430,5370,75,731,658,231,361,14,52,325,120,171,8,26,333,111,190,6,26,2395,863,1405,21,106,874,287,527,12,48,1521,576,878,9,58,3148,796,2177,25,150,1202,295,821,10,76,1946,501,1356,15,74,4167,918,3159,33,57,956,222,708,5,21,3211,696,2451,28,36
N06000015,82959,56936,23433,460,2130,40939,27814,11647,230,1248,42020,29122,11786,230,882,45917,30596,14080,252,989,22925,15051,7159,133,582,22992,15545,6921,119,407,41768,27774,13034,229,731,20877,13682,6641,120,434,20891,14092,6393,109,297,4149,2822,1046,23,258,2048,1369,518,13,148,2101,1453,528,10,110,37042,26340,9353,208,1141,18014,12763,4488,97,666,19028,13577,4865,111,475,25974,18939,6021,118,896,14264,10251,3401,67,545,11710,8688,2620,51,351,916,608,260,5,43,491,322,134,2,33,425,286,126,3,10,2336,1759,489,20,68,954,707,219,7,21,1382,1052,270,13,47,2983,1995,859,40,89,1193,771,359,14,49,1790,1224,500,26,40,4833,3039,1724,25,45,1112,712,375,7,18,3721,2327,1349,18,27
N06000016,70944,12048,53686,678,4532,34374,5721,25760,323,2570,36570,6327,27926,355,1962,42726,6753,33348,399,2226,21351,3215,16660,190,1286,21375,3538,16688,209,940,38180,5866,30351,350,1613,19098,2786,15189,167,956,19082,3080,15162,183,657,4546,887,2997,49,613,2253,429,1471,23,330,2293,458,1526,26,283,28218,5295,20338,279,2306,13023,2506,9100,133,1284,15195,2789,11238,146,1022,17963,3654,12283,151,1875,9671,1938,6558,81,1094,8292,1716,5725,70,781,580,120,407,14,39,301,65,201,8,27,279,55,206,6,12,1894,364,1379,25,126,742,144,546,10,42,1152,220,833,15,84,3330,513,2576,45,196,1278,202,961,21,94,2052,311,1615,24,102,4451,644,3693,44,70,1031,157,834,13,27,3420,487,2859,31,43
