GeographyCode,DC2418NI0001,DC2418NI0002,DC2418NI0003,DC2418NI0004,DC2418NI0005,DC2418NI0006,DC2418NI0007,DC2418NI0008,DC2418NI0009,DC2418NI0010,DC2418NI0011,DC2418NI0012,DC2418NI0013,DC2418NI0014,DC2418NI0015,DC2418NI0016,DC2418NI0017,DC2418NI0018,DC2418NI0019,DC2418NI0020,DC2418NI0021,DC2418NI0022,DC2418NI0023,DC2418NI0024,DC2418NI0025,DC2418NI0026,DC2418NI0027,DC2418NI0028,DC2418NI0029,DC2418NI0030,DC2418NI0031,DC2418NI0032,DC2418NI0033,DC2418NI0034,DC2418NI0035,DC2418NI0036,DC2418NI0037,DC2418NI0038,DC2418NI0039,DC2418NI0040,DC2418NI0041,DC2418NI0042,DC2418NI0043,DC2418NI0044,DC2418NI0045,DC2418NI0046,DC2418NI0047,DC2418NI0048,DC2418NI0049,DC2418NI0050,DC2418NI0051,DC2418NI0052,DC2418NI0053,DC2418NI0054,DC2418NI0055,DC2418NI0056,DC2418NI0057,DC2418NI0058,DC2418NI0059,DC2418NI0060,DC2418NI0061,DC2418NI0062,DC2418NI0063,DC2418NI0064,DC2418NI0065,DC2418NI0066,DC2418NI0067,DC2418NI0068,DC2418NI0069,DC2418NI0070,DC2418NI0071,DC2418NI0072,DC2418NI0073,DC2418NI0074,DC2418NI0075,DC2418NI0076,DC2418NI0077,DC2418NI0078,DC2418NI0079,DC2418NI0080,DC2418NI0081,DC2418NI0082,DC2418NI0083,DC2418NI0084,DC2418NI0085,DC2418NI0086,DC2418NI0087,DC2418NI0088,DC2418NI0089,DC2418NI0090,DC2418NI0091,DC2418NI0092,DC2418NI0093,DC2418NI0094,DC2418NI0095,DC2418NI0096,DC2418NI0097,DC2418NI0098,DC2418NI0099,DC2418NI0100,DC2418NI0101,DC2418NI0102,DC2418NI0103,DC2418NI0104,DC2418NI0105,DC2418NI0106,DC2418NI0107,DC2418NI0108,DC2418NI0109,DC2418NI0110,DC2418NI0111,DC2418NI0112,DC2418NI0113,DC2418NI0114,DC2418NI0115,DC2418NI0116,DC2418NI0117,DC2418NI0118,DC2418NI0119,DC2418NI0120,DC2418NI0121,DC2418NI0122,DC2418NI0123,DC2418NI0124,DC2418NI0125,DC2418NI0126,DC2418NI0127,DC2418NI0128,DC2418NI0129,DC2418NI0130,DC2418NI0131,DC2418NI0132,DC2418NI0133,DC2418NI0134,DC2418NI0135,DC2418NI0136,DC2418NI0137,DC2418NI0138,DC2418NI0139,DC2418NI0140
N06000001,40918,3455,26667,11743,8234,3015,3675,475,7181,3140,25645,1799,17648,7850,5283,2078,2437,228,4386,1584,11676,553,8887,3965,2732,1083,1107,108,1348,780,13969,1246,8761,3885,2551,995,1330,120,3038,804,281,32,151,66,45,11,29,1,76,21,8152,568,5583,2391,1950,595,647,55,1055,891,5680,373,3856,1702,1327,405,422,32,790,629,2472,195,1727,689,623,190,225,23,265,262,5924,999,2631,1147,753,243,488,179,1557,558,5425,934,2382,1037,679,222,444,167,1440,502,34,15,10,5,0,0,5,1,3,5,368,42,188,90,52,17,29,7,95,36,97,8,51,15,22,4,10,4,19,15,916,57,654,289,203,88,74,12,107,86
N06000002,44601,16705,18512,8139,5997,2294,2082,433,4766,4185,24048,9473,9908,4408,3060,1305,1135,205,2580,1882,10767,3726,5176,2380,1600,665,531,97,820,948,13281,5747,4732,2028,1460,640,604,108,1760,934,331,137,94,42,19,15,18,10,56,34,12523,4298,5714,2446,2045,665,558,92,978,1441,8534,2496,4298,1877,1498,510,413,61,684,995,3989,1802,1416,569,547,155,145,31,294,446,6449,2432,2151,957,656,227,311,111,1084,671,5940,2247,1962,876,598,206,282,98,1008,625,18,3,5,3,2,0,0,3,5,2,341,141,118,51,36,14,17,6,55,21,150,41,66,27,20,7,12,4,16,23,1250,365,645,286,217,82,60,15,68,157
N06000003,46630,15524,17777,7347,6041,1920,2469,1057,8382,3890,26148,9427,10544,4446,3549,1208,1341,348,4019,1810,12150,3335,6269,2737,2087,732,713,124,1465,957,13998,6092,4275,1709,1462,476,628,224,2554,853,253,85,98,41,29,11,17,1,47,22,7192,1430,3900,1570,1480,430,420,127,964,771,4873,724,2960,1173,1171,336,280,75,595,519,2319,706,940,397,309,94,140,52,369,252,12133,4413,2749,1099,801,209,640,557,3254,1160,11314,4148,2490,991,719,185,595,528,3070,1078,32,10,11,5,3,2,1,2,7,2,668,226,212,91,71,14,36,7,162,61,119,29,36,12,8,8,8,20,15,19,904,169,486,191,182,62,51,24,98,127
N06000004,36580,25726,5283,2062,2260,387,574,203,1701,3667,19735,14749,2396,932,969,213,282,70,868,1652,7062,5052,1132,482,435,99,116,24,246,608,12673,9697,1264,450,534,114,166,46,622,1044,270,198,27,10,15,1,1,3,20,22,11865,7827,2153,843,1002,134,174,40,426,1419,8668,5470,1815,707,860,113,135,27,315,1041,3197,2357,338,136,142,21,39,13,111,378,3717,2311,513,204,175,28,106,86,345,462,3289,2033,455,180,157,25,93,83,312,406,56,43,7,1,3,0,3,0,1,5,239,155,28,14,7,3,4,1,27,28,133,80,23,9,8,0,6,2,5,23,993,641,194,73,99,11,11,4,42,112
N06000005,36112,5855,22440,11520,5825,2212,2883,316,5177,2324,26155,4057,16715,8719,4272,1603,2121,202,3735,1446,11866,1909,7921,4354,1931,745,891,74,1214,748,14289,2148,8794,4365,2341,858,1230,128,2521,698,223,35,120,64,31,7,18,1,53,14,4423,654,2805,1343,804,328,330,42,508,414,3638,527,2286,1097,669,264,256,31,452,342,785,127,519,246,135,64,74,11,56,72,4554,983,2317,1144,598,231,344,64,815,375,4091,871,2065,1027,532,200,306,61,753,341,23,11,8,1,2,0,5,0,3,1,391,91,222,102,58,30,32,3,51,24,49,10,22,14,6,1,1,0,8,9,757,126,483,250,120,43,70,7,66,75
N06000006,37981,13193,19013,9674,7079,450,1810,258,3123,2394,25599,8871,13196,7094,4583,319,1200,136,1946,1450,13423,4126,7628,4292,2489,187,660,70,772,827,12176,4745,5568,2802,2094,132,540,66,1174,623,227,65,119,67,35,1,16,4,27,12,4980,1642,2551,1117,1212,44,178,34,340,413,4227,1401,2162,922,1066,28,146,28,290,346,753,241,389,195,146,16,32,6,50,67,6152,2323,2553,1091,1043,73,346,78,758,440,5496,2077,2247,948,931,68,300,72,707,393,48,23,16,9,4,0,3,1,5,3,543,205,253,121,92,3,37,3,43,39,65,18,37,13,16,2,6,2,3,5,1023,292,594,305,206,13,70,6,52,79
N06000007,37590,18971,14032,2683,8270,1460,1619,227,1865,2495,26562,12935,10889,2199,6340,1186,1164,137,1088,1513,15340,6960,6829,1424,3958,768,679,78,516,957,11222,5975,4060,775,2382,418,485,59,572,556,129,71,46,9,25,3,9,1,5,6,3694,2126,981,132,661,81,107,25,188,374,2998,1740,784,111,544,59,70,16,140,318,696,386,197,21,117,22,37,9,48,56,6010,3277,1622,262,954,127,279,59,552,500,5349,2929,1415,223,839,101,252,56,512,437,65,35,15,4,5,1,5,2,5,8,504,256,169,27,100,24,18,0,31,48,92,57,23,8,10,1,4,1,4,7,1195,562,494,81,290,63,60,5,32,102
N06000008,38404,24869,8012,3841,3131,353,687,251,1983,3289,21531,13693,5165,2624,1917,233,391,118,1020,1535,8919,5093,2687,1463,957,113,154,42,354,743,12612,8600,2478,1161,960,120,237,76,666,792,220,144,49,24,20,4,1,3,14,10,9083,6385,1419,622,611,72,114,35,333,911,6616,4556,1166,526,505,56,79,24,227,643,2467,1829,253,96,106,16,35,11,106,268,6708,4108,1185,479,498,36,172,93,590,732,6113,3721,1069,427,452,34,156,88,556,679,20,11,5,2,0,0,3,1,1,2,436,279,102,44,46,2,10,1,26,28,139,97,9,6,0,0,3,3,7,23,862,539,194,92,85,8,9,2,26,101
N06000009,39850,5924,25853,10559,9774,1909,3611,383,5302,2388,29201,4243,19543,8159,7292,1416,2676,252,3640,1523,13534,1430,10010,4386,3696,716,1212,121,1137,836,15667,2813,9533,3773,3596,700,1464,131,2503,687,298,59,167,64,62,17,24,1,48,23,5283,643,3463,1330,1476,302,355,56,620,501,4235,486,2804,1069,1218,238,279,44,493,408,1048,157,659,261,258,64,76,12,127,93,4173,896,2003,728,676,124,475,68,930,276,3505,789,1647,634,595,105,313,58,767,244,268,43,125,10,17,3,95,4,82,14,273,49,165,67,59,11,28,1,49,9,127,15,66,17,5,5,39,5,32,9,895,83,677,278,268,50,81,6,64,65
N06000010,33690,19764,10325,4332,4187,283,1523,151,1332,2118,24557,14589,7702,3414,2977,188,1123,103,770,1393,13035,7143,4708,2192,1779,98,639,65,309,810,11522,7446,2994,1222,1198,90,484,38,461,583,144,72,50,20,21,2,7,1,11,10,2889,1576,957,316,481,36,124,9,110,237,2479,1329,856,275,439,31,111,7,94,193,410,247,101,41,42,5,13,2,16,44,5114,3022,1248,431,549,43,225,32,413,399,4584,2704,1109,377,492,42,198,28,384,359,36,24,3,1,1,0,1,1,6,2,434,257,125,49,53,1,22,3,20,29,60,37,11,4,3,0,4,0,3,9,986,505,368,151,159,14,44,6,28,79
