ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2506NI0001,Count,PERSONS,"All categories: Highest level of qualification, All categories: Main Language"
DC2506NI0002,Count,PERSONS,"All categories: Highest level of qualification, English"
DC2506NI0003,Count,PERSONS,"All categories: Highest level of qualification, Polish"
DC2506NI0004,Count,PERSONS,"All categories: Highest level of qualification, Lithuanian"
DC2506NI0005,Count,PERSONS,"All categories: Highest level of qualification, Irish (Gaelic)"
DC2506NI0006,Count,PERSONS,"All categories: Highest level of qualification, Portuguese"
DC2506NI0007,Count,PERSONS,"All categories: Highest level of qualification, Slovak"
DC2506NI0008,Count,PERSONS,"All categories: Highest level of qualification, Chinese"
DC2506NI0009,Count,PERSONS,"All categories: Highest level of qualification, Tagalog/Filipino"
DC2506NI0010,Count,PERSONS,"All categories: Highest level of qualification, Latvian"
DC2506NI0011,Count,PERSONS,"All categories: Highest level of qualification, Russian"
DC2506NI0012,Count,PERSONS,"All categories: Highest level of qualification, Malayalam"
DC2506NI0013,Count,PERSONS,"All categories: Highest level of qualification, Hungarian"
DC2506NI0014,Count,PERSONS,"All categories: Highest level of qualification, Other"
DC2506NI0015,Count,PERSONS,"No qualifications, All categories: Main Language"
DC2506NI0016,Count,PERSONS,"No qualifications, English"
DC2506NI0017,Count,PERSONS,"No qualifications, Polish"
DC2506NI0018,Count,PERSONS,"No qualifications, Lithuanian"
DC2506NI0019,Count,PERSONS,"No qualifications, Irish (Gaelic)"
DC2506NI0020,Count,PERSONS,"No qualifications, Portuguese"
DC2506NI0021,Count,PERSONS,"No qualifications, Slovak"
DC2506NI0022,Count,PERSONS,"No qualifications, Chinese"
DC2506NI0023,Count,PERSONS,"No qualifications, Tagalog/Filipino"
DC2506NI0024,Count,PERSONS,"No qualifications, Latvian"
DC2506NI0025,Count,PERSONS,"No qualifications, Russian"
DC2506NI0026,Count,PERSONS,"No qualifications, Malayalam"
DC2506NI0027,Count,PERSONS,"No qualifications, Hungarian"
DC2506NI0028,Count,PERSONS,"No qualifications, Other"
DC2506NI0029,Count,PERSONS,"Level 1 qualifications, All categories: Main Language"
DC2506NI0030,Count,PERSONS,"Level 1 qualifications, English"
DC2506NI0031,Count,PERSONS,"Level 1 qualifications, Polish"
DC2506NI0032,Count,PERSONS,"Level 1 qualifications, Lithuanian"
DC2506NI0033,Count,PERSONS,"Level 1 qualifications, Irish (Gaelic)"
DC2506NI0034,Count,PERSONS,"Level 1 qualifications, Portuguese"
DC2506NI0035,Count,PERSONS,"Level 1 qualifications, Slovak"
DC2506NI0036,Count,PERSONS,"Level 1 qualifications, Chinese"
DC2506NI0037,Count,PERSONS,"Level 1 qualifications, Tagalog/Filipino"
DC2506NI0038,Count,PERSONS,"Level 1 qualifications, Latvian"
DC2506NI0039,Count,PERSONS,"Level 1 qualifications, Russian"
DC2506NI0040,Count,PERSONS,"Level 1 qualifications, Malayalam"
DC2506NI0041,Count,PERSONS,"Level 1 qualifications, Hungarian"
DC2506NI0042,Count,PERSONS,"Level 1 qualifications, Other"
DC2506NI0043,Count,PERSONS,"Level 2 qualifications, All categories: Main Language"
DC2506NI0044,Count,PERSONS,"Level 2 qualifications, English"
DC2506NI0045,Count,PERSONS,"Level 2 qualifications, Polish"
DC2506NI0046,Count,PERSONS,"Level 2 qualifications, Lithuanian"
DC2506NI0047,Count,PERSONS,"Level 2 qualifications, Irish (Gaelic)"
DC2506NI0048,Count,PERSONS,"Level 2 qualifications, Portuguese"
DC2506NI0049,Count,PERSONS,"Level 2 qualifications, Slovak"
DC2506NI0050,Count,PERSONS,"Level 2 qualifications, Chinese"
DC2506NI0051,Count,PERSONS,"Level 2 qualifications, Tagalog/Filipino"
DC2506NI0052,Count,PERSONS,"Level 2 qualifications, Latvian"
DC2506NI0053,Count,PERSONS,"Level 2 qualifications, Russian"
DC2506NI0054,Count,PERSONS,"Level 2 qualifications, Malayalam"
DC2506NI0055,Count,PERSONS,"Level 2 qualifications, Hungarian"
DC2506NI0056,Count,PERSONS,"Level 2 qualifications, Other"
DC2506NI0057,Count,PERSONS,"Apprenticeship, All categories: Main Language"
DC2506NI0058,Count,PERSONS,"Apprenticeship, English"
DC2506NI0059,Count,PERSONS,"Apprenticeship, Polish"
DC2506NI0060,Count,PERSONS,"Apprenticeship, Lithuanian"
DC2506NI0061,Count,PERSONS,"Apprenticeship, Irish (Gaelic)"
DC2506NI0062,Count,PERSONS,"Apprenticeship, Portuguese"
DC2506NI0063,Count,PERSONS,"Apprenticeship, Slovak"
DC2506NI0064,Count,PERSONS,"Apprenticeship, Chinese"
DC2506NI0065,Count,PERSONS,"Apprenticeship, Tagalog/Filipino"
DC2506NI0066,Count,PERSONS,"Apprenticeship, Latvian"
DC2506NI0067,Count,PERSONS,"Apprenticeship, Russian"
DC2506NI0068,Count,PERSONS,"Apprenticeship, Malayalam"
DC2506NI0069,Count,PERSONS,"Apprenticeship, Hungarian"
DC2506NI0070,Count,PERSONS,"Apprenticeship, Other"
DC2506NI0071,Count,PERSONS,"Level 3 qualifications, All categories: Main Language"
DC2506NI0072,Count,PERSONS,"Level 3 qualifications, English"
DC2506NI0073,Count,PERSONS,"Level 3 qualifications, Polish"
DC2506NI0074,Count,PERSONS,"Level 3 qualifications, Lithuanian"
DC2506NI0075,Count,PERSONS,"Level 3 qualifications, Irish (Gaelic)"
DC2506NI0076,Count,PERSONS,"Level 3 qualifications, Portuguese"
DC2506NI0077,Count,PERSONS,"Level 3 qualifications, Slovak"
DC2506NI0078,Count,PERSONS,"Level 3 qualifications, Chinese"
DC2506NI0079,Count,PERSONS,"Level 3 qualifications, Tagalog/Filipino"
DC2506NI0080,Count,PERSONS,"Level 3 qualifications, Latvian"
DC2506NI0081,Count,PERSONS,"Level 3 qualifications, Russian"
DC2506NI0082,Count,PERSONS,"Level 3 qualifications, Malayalam"
DC2506NI0083,Count,PERSONS,"Level 3 qualifications, Hungarian"
DC2506NI0084,Count,PERSONS,"Level 3 qualifications, Other"
DC2506NI0085,Count,PERSONS,"Level 4 qualifications and above, All categories: Main Language"
DC2506NI0086,Count,PERSONS,"Level 4 qualifications and above, English"
DC2506NI0087,Count,PERSONS,"Level 4 qualifications and above, Polish"
DC2506NI0088,Count,PERSONS,"Level 4 qualifications and above, Lithuanian"
DC2506NI0089,Count,PERSONS,"Level 4 qualifications and above, Irish (Gaelic)"
