ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2509NI0073,Count,PERSONS,"Males, Level 4 qualifications and above, Protestant and other Christian (including Christian related)"
DC2509NI0074,Count,PERSONS,"Males, Level 4 qualifications and above, Other religions "
DC2509NI0075,Count,PERSONS,"Males, Level 4 qualifications and above, None"
DC2509NI0076,Count,PERSONS,"Males, Other qualifications, All categories: Religion brought up in"
DC2509NI0077,Count,PERSONS,"Males, Other qualifications, Catholic"
DC2509NI0078,Count,PERSONS,"Males, Other qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0079,Count,PERSONS,"Males, Other qualifications, Other religions "
DC2509NI0080,Count,PERSONS,"Males, Other qualifications, None"
DC2509NI0081,Count,PERSONS,"Females, All categories: Highest level of qualification, All categories: Religion brought up in"
DC2509NI0082,Count,PERSONS,"Females, All categories: Highest level of qualification, Catholic"
DC2509NI0083,Count,PERSONS,"Females, All categories: Highest level of qualification, Protestant and other Christian (including Christian related)"
DC2509NI0084,Count,PERSONS,"Females, All categories: Highest level of qualification, Other religions "
DC2509NI0085,Count,PERSONS,"Females, All categories: Highest level of qualification, None"
DC2509NI0086,Count,PERSONS,"Females, No qualifications, All categories: Religion brought up in"
DC2509NI0087,Count,PERSONS,"Females, No qualifications, Catholic"
DC2509NI0088,Count,PERSONS,"Females, No qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0089,Count,PERSONS,"Females, No qualifications, Other religions "
DC2509NI0090,Count,PERSONS,"Females, No qualifications, None"
DC2509NI0091,Count,PERSONS,"Females, Level 1 qualifications, All categories: Religion brought up in"
DC2509NI0092,Count,PERSONS,"Females, Level 1 qualifications, Catholic"
DC2509NI0093,Count,PERSONS,"Females, Level 1 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0094,Count,PERSONS,"Females, Level 1 qualifications, Other religions "
DC2509NI0095,Count,PERSONS,"Females, Level 1 qualifications, None"
DC2509NI0096,Count,PERSONS,"Females, Level 2 qualifications, All categories: Religion brought up in"
DC2509NI0097,Count,PERSONS,"Females, Level 2 qualifications, Catholic"
DC2509NI0098,Count,PERSONS,"Females, Level 2 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0099,Count,PERSONS,"Females, Level 2 qualifications, Other religions "
DC2509NI0100,Count,PERSONS,"Females, Level 2 qualifications, None"
DC2509NI0101,Count,PERSONS,"Females, Apprenticeship, All categories: Religion brought up in"
DC2509NI0102,Count,PERSONS,"Females, Apprenticeship, Catholic"
DC2509NI0103,Count,PERSONS,"Females, Apprenticeship, Protestant and other Christian (including Christian related)"
DC2509NI0104,Count,PERSONS,"Females, Apprenticeship, Other religions "
DC2509NI0105,Count,PERSONS,"Females, Apprenticeship, None"
DC2509NI0106,Count,PERSONS,"Females, Level 3 qualifications, All categories: Religion brought up in"
DC2509NI0107,Count,PERSONS,"Females, Level 3 qualifications, Catholic"
DC2509NI0108,Count,PERSONS,"Females, Level 3 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0109,Count,PERSONS,"Females, Level 3 qualifications, Other religions "
DC2509NI0110,Count,PERSONS,"Females, Level 3 qualifications, None"
DC2509NI0111,Count,PERSONS,"Females, Level 4 qualifications and above, All categories: Religion brought up in"
DC2509NI0112,Count,PERSONS,"Females, Level 4 qualifications and above, Catholic"
DC2509NI0113,Count,PERSONS,"Females, Level 4 qualifications and above, Protestant and other Christian (including Christian related)"
DC2509NI0114,Count,PERSONS,"Females, Level 4 qualifications and above, Other religions "
DC2509NI0115,Count,PERSONS,"Females, Level 4 qualifications and above, None"
DC2509NI0116,Count,PERSONS,"Females, Other qualifications, All categories: Religion brought up in"
DC2509NI0117,Count,PERSONS,"Females, Other qualifications, Catholic"
DC2509NI0118,Count,PERSONS,"Females, Other qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0119,Count,PERSONS,"Females, Other qualifications, Other religions "
DC2509NI0120,Count,PERSONS,"Females, Other qualifications, None"
