GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
N06000001,75141,11715,63426,63748,9110,54638,6740,1947,4793,1672,258,1414,2981,400,2581
N06000002,81552,9681,71871,69012,7308,61704,6149,1579,4570,2428,359,2069,3963,435,3528
N06000003,93724,18775,74949,81383,15389,65994,7966,2641,5325,1738,358,1380,2637,387,2250
N06000004,72358,7385,64973,60249,5517,54732,5207,1138,4069,2682,314,2368,4220,416,3804
N06000005,72357,11197,61160,61325,8434,52891,6642,1976,4666,1570,319,1251,2820,468,2352
N06000006,79190,12132,67058,68892,9532,59360,5708,1895,3813,1739,314,1425,2851,391,2460
N06000007,80237,12789,67448,69557,9683,59874,6019,2158,3861,1922,448,1474,2739,500,2239
N06000008,78383,10708,67675,67227,8244,58983,5690,1651,4039,2081,366,1715,3385,447,2938
N06000009,80795,13034,67761,68815,9919,58896,7396,2309,5087,1682,359,1323,2902,447,2455
N06000010,76074,10439,65635,65664,7856,57808,5764,1819,3945,1929,375,1554,2717,389,2328
N06000011,86877,12587,74290,74641,9501,65140,6709,2155,4554,2173,428,1745,3354,503,2851
N06000012,86137,12690,73447,74423,9811,64612,6725,2089,4636,1841,312,1529,3148,478,2670
N06000013,73038,12414,60624,61442,9370,52072,7429,2310,5119,1579,302,1277,2588,432,2156
N06000014,77330,11123,66207,65832,8330,57502,7009,2088,4921,1723,322,1401,2766,383,2383
N06000015,83951,13497,70454,71335,10136,61199,7024,2330,4694,2155,449,1706,3437,582,2855
N06000016,71638,10769,60869,60003,8096,51907,7005,1967,5038,1729,303,1426,2901,403,2498
N06000017,92049,12360,79689,78544,9440,69104,7535,2094,5441,2337,368,1969,3633,458,3175
N06000018,70709,10556,60153,60932,7932,53000,5209,1796,3413,1835,369,1466,2733,459,2274
