GeographyCode,DC3601NI0001,DC3601NI0002,DC3601NI0003,DC3601NI0004,DC3601NI0005,DC3601NI0006,DC3601NI0007,DC3601NI0008,DC3601NI0009,DC3601NI0010,DC3601NI0011,DC3601NI0012,DC3601NI0013,DC3601NI0014,DC3601NI0015,DC3601NI0016,DC3601NI0017,DC3601NI0018,DC3601NI0019,DC3601NI0020,DC3601NI0021,DC3601NI0022,DC3601NI0023,DC3601NI0024,DC3601NI0025
N06000001,42630,3088,8741,27358,3443,36010,2549,7174,23386,2901,4804,338,1079,2990,397,856,70,242,494,50,960,131,246,488,95
N06000002,40396,3260,9695,24906,2535,33866,2741,7878,21121,2126,4295,277,1127,2608,283,1104,121,310,621,52,1131,121,380,556,74
N06000003,55372,6590,9506,34156,5120,47963,5888,7927,29767,4381,5643,512,1138,3405,588,913,95,218,532,68,853,95,223,452,83
N06000004,33464,2837,9570,19411,1646,27720,2339,7779,16254,1348,3468,274,1047,1972,175,1122,108,331,638,45,1154,116,413,547,78
N06000005,41541,3621,8413,25805,3702,35028,3048,6857,21991,3132,4640,363,1112,2750,415,859,85,203,520,51,1014,125,241,544,104
N06000006,41416,3955,8750,24504,4207,35858,3427,7382,21413,3636,3835,344,904,2188,399,837,74,206,486,71,886,110,258,417,101
N06000007,46305,3374,9200,27849,5882,39909,2818,7665,24425,5001,4370,356,1057,2378,579,1094,93,252,616,133,932,107,226,430,169
N06000008,37685,3430,9163,22656,2436,32184,2948,7848,19376,2012,3704,295,838,2275,296,896,79,221,540,56,901,108,256,465,72
N06000009,48661,3676,9520,29945,5520,41269,3068,7754,25753,4694,5390,429,1208,3136,617,986,83,271,551,81,1016,96,287,505,128
N06000010,42894,3355,8290,26376,4873,36811,2816,6909,22983,4103,4080,326,909,2341,504,1057,108,241,596,112,946,105,231,456,154
N06000011,47887,3913,9992,28779,5203,40863,3262,8285,24914,4402,4747,421,1112,2707,507,1142,105,297,629,111,1135,125,298,529,183
N06000012,48624,3570,9742,30125,5187,41678,3002,8051,26240,4385,4829,353,1146,2754,576,1011,88,244,586,93,1106,127,301,545,133
N06000013,41565,3409,8690,25347,4119,34897,2778,7035,21609,3475,4978,425,1206,2864,483,834,79,209,478,68,856,127,240,396,93
N06000014,48258,3509,9603,30424,4722,40962,2942,7846,26168,4006,5240,369,1231,3143,497,1014,76,247,596,95,1042,122,279,517,124
N06000015,47692,4029,9661,28349,5653,40314,3323,7891,24341,4759,4942,445,1116,2772,609,1205,102,315,668,120,1231,159,339,568,165
N06000016,41427,3413,8606,25093,4315,34377,2759,6906,21153,3559,5018,417,1198,2859,544,963,90,226,564,83,1069,147,276,517,129
N06000017,52770,3976,10503,33796,4495,44915,3274,8635,29216,3790,5460,437,1270,3254,499,1233,137,276,737,83,1162,128,322,589,123
N06000018,36676,2874,7197,22150,4455,31184,2365,5994,19093,3732,3644,316,774,2106,448,946,86,211,538,111,902,107,218,413,164
