GeographyCode,DC2417NI0001,DC2417NI0002,DC2417NI0003,DC2417NI0004,DC2417NI0005,DC2417NI0006,DC2417NI0007,DC2417NI0008,DC2417NI0009,DC2417NI0010,DC2417NI0011,DC2417NI0012,DC2417NI0013,DC2417NI0014,DC2417NI0015,DC2417NI0016,DC2417NI0017,DC2417NI0018,DC2417NI0019,DC2417NI0020,DC2417NI0021,DC2417NI0022,DC2417NI0023,DC2417NI0024,DC2417NI0025,DC2417NI0026,DC2417NI0027,DC2417NI0028,DC2417NI0029,DC2417NI0030,DC2417NI0031,DC2417NI0032,DC2417NI0033,DC2417NI0034,DC2417NI0035,DC2417NI0036,DC2417NI0037,DC2417NI0038,DC2417NI0039,DC2417NI0040,DC2417NI0041,DC2417NI0042,DC2417NI0043,DC2417NI0044,DC2417NI0045,DC2417NI0046,DC2417NI0047,DC2417NI0048,DC2417NI0049,DC2417NI0050,DC2417NI0051,DC2417NI0052,DC2417NI0053,DC2417NI0054,DC2417NI0055,DC2417NI0056,DC2417NI0057,DC2417NI0058,DC2417NI0059,DC2417NI0060,DC2417NI0061,DC2417NI0062,DC2417NI0063,DC2417NI0064,DC2417NI0065,DC2417NI0066,DC2417NI0067,DC2417NI0068,DC2417NI0069,DC2417NI0070,DC2417NI0071,DC2417NI0072,DC2417NI0073,DC2417NI0074,DC2417NI0075,DC2417NI0076,DC2417NI0077,DC2417NI0078,DC2417NI0079,DC2417NI0080,DC2417NI0081,DC2417NI0082,DC2417NI0083,DC2417NI0084,DC2417NI0085,DC2417NI0086,DC2417NI0087,DC2417NI0088,DC2417NI0089,DC2417NI0090,DC2417NI0091,DC2417NI0092,DC2417NI0093,DC2417NI0094,DC2417NI0095,DC2417NI0096,DC2417NI0097,DC2417NI0098,DC2417NI0099,DC2417NI0100,DC2417NI0101,DC2417NI0102,DC2417NI0103,DC2417NI0104,DC2417NI0105,DC2417NI0106,DC2417NI0107,DC2417NI0108,DC2417NI0109,DC2417NI0110,DC2417NI0111,DC2417NI0112,DC2417NI0113,DC2417NI0114,DC2417NI0115,DC2417NI0116,DC2417NI0117,DC2417NI0118,DC2417NI0119,DC2417NI0120,DC2417NI0121,DC2417NI0122,DC2417NI0123,DC2417NI0124,DC2417NI0125
N06000001,91207,11613,68765,1307,9522,43358,4454,34809,483,3612,22822,2667,17195,298,2662,16580,2383,11770,273,2154,8447,2109,4991,253,1094,60698,6281,48203,694,5520,37175,3522,30385,403,2865,13686,1370,10660,153,1503,6967,787,5228,87,865,2870,602,1930,51,287,11588,1296,8917,90,1285,1606,130,1359,8,109,3699,321,2992,31,355,4252,483,3205,35,529,2031,362,1361,16,292,4709,754,3500,59,396,521,96,381,1,43,1272,145,1009,23,95,1874,268,1434,20,152,1042,245,676,15,106,14212,3282,8145,464,2321,4056,706,2684,71,595,4165,831,2534,91,709,3487,845,1903,131,608,2504,900,1024,171,409
N06000002,101489,47744,46198,1060,6487,38812,18511,17886,378,2037,27345,11551,13677,286,1831,22081,10453,9834,196,1598,13251,7229,4801,200,1021,60154,29259,27144,570,3181,30961,15228,14007,260,1466,15083,6898,7100,165,920,9201,4324,4247,91,539,4909,2809,1790,54,256,17050,6549,9216,129,1156,2627,904,1572,26,125,5540,1766,3364,43,367,5414,2117,2874,36,387,3469,1762,1406,24,277,8428,4741,3175,76,436,987,528,424,3,32,2152,1014,1002,25,111,3395,1988,1210,14,183,1894,1211,539,34,110,15857,7195,6663,285,1714,4237,1851,1883,89,414,4570,1873,2211,53,433,4071,2024,1503,55,489,2979,1447,1066,88,378
N06000003,108289,47918,47048,2997,10326,49460,23575,21631,813,3441,23545,9591,10974,548,2432,19934,8059,8854,721,2300,15350,6693,5589,915,2153,63047,29542,28164,1021,4320,40940,19970,18054,560,2356,12289,5337,5747,200,1005,6584,2772,3124,118,570,3234,1463,1239,143,389,9941,2192,6502,196,1051,1203,268,854,8,73,2990,544,2169,34,243,3567,714,2318,90,445,2181,666,1161,64,290,4386,1680,2013,121,572,452,151,252,9,40,947,337,477,17,116,1728,637,851,46,194,1259,555,433,49,222,30915,14504,10369,1659,4383,6865,3186,2471,236,972,7319,3373,2581,297,1068,8055,3936,2561,467,1091,8676,4009,2756,659,1252
N06000004,93176,74766,15352,543,2515,27338,21852,4758,114,614,23971,18580,4592,130,669,23421,18942,3657,118,704,18446,15392,2345,181,528,54557,45368,7844,202,1143,21712,17853,3400,70,389,14253,11707,2176,58,312,10639,8975,1380,34,250,7953,6833,888,40,192,20848,15552,4638,74,584,2611,1769,770,11,61,5481,3727,1570,23,161,6802,5120,1446,15,221,5954,4936,852,25,141,7590,6482,870,31,207,744,601,107,2,34,1330,1064,225,8,33,3276,2866,326,14,70,2240,1951,212,7,70,10181,7364,2000,236,581,2271,1629,481,31,130,2907,2082,621,41,163,2704,1981,505,55,163,2299,1672,393,109,125
N06000005,87942,17613,62053,795,7481,51736,9629,38047,422,3638,18870,3816,12941,172,1941,12028,2613,7975,128,1312,5308,1555,3090,73,590,68271,13258,49242,530,5241,46281,8439,34398,356,3088,12598,2482,8816,74,1226,6589,1485,4386,63,655,2803,852,1642,37,272,6946,1245,4982,54,665,1109,180,862,10,57,2493,420,1838,27,208,2449,431,1717,12,289,895,214,565,5,111,1173,246,855,19,53,83,16,61,3,3,284,51,220,6,7,550,103,415,5,27,256,76,159,5,16,11552,2864,6974,192,1522,4263,994,2726,53,490,3495,863,2067,65,500,2440,594,1457,48,341,1354,413,724,26,191
N06000006,97681,40824,52015,652,4190,56252,21765,31973,395,2119,19993,8764,10068,126,1035,13527,6100,6683,82,662,7909,4195,3291,49,374,70366,29556,38043,365,2402,47569,18365,27353,279,1572,11792,5397,5893,49,453,7001,3441,3291,31,238,4004,2353,1506,6,139,8955,3348,5089,50,468,1582,562,964,11,45,3059,1079,1782,18,180,2875,1049,1627,16,183,1439,658,716,5,60,1394,571,761,8,54,128,55,69,2,2,347,149,184,0,14,588,239,326,3,20,331,128,182,3,18,16966,7349,8122,229,1266,6973,2783,3587,103,500,4795,2139,2209,59,388,3063,1371,1439,32,221,2135,1056,887,35,157
N06000007,101557,58687,39632,619,2619,58723,30839,26303,324,1257,19900,12214,6972,120,594,13269,8747,3996,92,434,9665,6887,2361,83,334,76179,42463,32047,368,1301,50586,26276,23199,261,850,12884,7759,4837,58,230,7496,4799,2545,35,117,5213,3629,1466,14,104,6189,4174,1778,36,201,1044,655,355,8,26,2083,1374,647,7,55,1930,1311,534,9,76,1132,834,242,12,44,1384,907,390,13,74,173,110,45,1,17,422,264,133,6,19,505,351,133,4,17,284,182,79,2,21,17805,11143,5417,202,1043,6920,3798,2704,54,364,4511,2817,1355,49,290,3338,2286,784,44,224,3036,2242,574,55,165
N06000008,99430,74862,21777,759,2032,40648,28416,10977,335,920,23846,18005,5162,189,490,20260,16214,3521,134,391,14676,12227,2117,101,231,61599,45334,14795,413,1057,32966,22828,9211,257,670,13020,9746,2992,91,191,9105,7284,1658,38,125,6508,5476,934,27,71,15348,12327,2761,54,206,2095,1608,451,5,31,4550,3448,1009,21,72,5064,4134,838,18,74,3639,3137,463,10,29,5677,4987,591,27,72,514,451,57,1,5,1344,1198,128,5,13,2324,2023,254,15,32,1495,1315,152,6,22,16806,12214,3630,265,697,5073,3529,1258,72,214,4932,3613,1033,72,214,3767,2773,771,63,160,3034,2299,568,58,109
N06000009,100083,18985,72042,998,8058,59982,10191,45441,550,3800,21129,4098,14668,239,2124,12863,2885,8400,129,1449,6109,1811,3533,80,685,77424,14179,57555,693,4997,53621,9016,41175,467,2963,13919,2759,9915,138,1107,7042,1649,4717,53,623,2842,755,1748,35,304,8631,1385,6263,90,893,1337,209,1040,19,69,3174,419,2400,32,323,2746,424,1935,29,358,1374,333,888,10,143,2286,517,1465,28,276,177,34,114,6,23,627,104,433,5,85,912,203,598,4,107,570,176,320,13,61,11742,2904,6759,187,1892,4847,932,3112,58,745,3409,816,1920,64,609,2163,609,1150,43,361,1323,547,577,22,177
N06000010,98502,65807,30224,436,2035,56566,36204,19208,240,914,19530,13268,5660,79,523,13101,9258,3430,51,362,9305,7077,1926,66,236,77070,51901,23860,297,1012,49115,31582,16730,199,604,13520,9427,3849,41,203,8244,5981,2128,24,111,6191,4911,1153,33,94,5551,3376,2002,23,150,927,544,356,6,21,1748,968,706,5,69,1718,1089,583,2,44,1158,775,357,10,16,857,643,192,2,20,138,108,29,1,0,235,187,44,0,4,342,237,100,0,5,142,111,19,1,11,15024,9887,4170,114,853,6386,3970,2093,34,289,4027,2686,1061,33,247,2797,1951,619,25,202,1814,1280,397,22,115
