GeographyCode,DC6506NI0001,DC6506NI0002,DC6506NI0003,DC6506NI0004,DC6506NI0005,DC6506NI0006,DC6506NI0007,DC6506NI0008,DC6506NI0009,DC6506NI0010,DC6506NI0011,DC6506NI0012,DC6506NI0013,DC6506NI0014,DC6506NI0015,DC6506NI0016,DC6506NI0017,DC6506NI0018,DC6506NI0019,DC6506NI0020,DC6506NI0021,DC6506NI0022,DC6506NI0023,DC6506NI0024
N06000001,75141,11715,63426,20865,962,19903,8428,921,7507,10263,1656,8607,3418,311,3107,8427,1760,6667,20589,5752,14837,3151,353,2798
N06000002,81552,9681,71871,29063,1115,27948,10679,995,9684,11599,1613,9986,3229,296,2933,8829,1614,7215,15215,3757,11458,2938,291,2647
N06000003,93724,18775,74949,17407,895,16512,7155,875,6280,10263,1999,8264,2364,232,2132,16100,4596,11504,36543,9620,26923,3892,558,3334
N06000004,72358,7385,64973,27546,885,26661,10094,833,9261,11002,1322,9680,2646,233,2413,8158,1364,6794,10818,2543,8275,2094,205,1889
N06000005,72357,11197,61160,18282,976,17306,8817,947,7870,11342,1833,9509,3911,405,3506,9957,2068,7889,17280,4605,12675,2768,363,2405
N06000006,79190,12132,67058,24470,1242,23228,9075,1057,8018,11874,2111,9763,3107,400,2707,9976,2198,7778,17566,4660,12906,3122,464,2658
N06000007,80237,12789,67448,25573,1557,24016,8968,1202,7766,11764,2236,9528,2818,430,2388,8758,1955,6803,17041,4811,12230,5315,598,4717
N06000008,78383,10708,67675,25494,1215,24279,9146,1019,8127,11574,1944,9630,2704,327,2377,9742,1806,7936,17105,4088,13017,2618,309,2309
N06000009,80795,13034,67761,19755,1181,18574,9288,984,8304,12338,2110,10228,3680,422,3258,9802,1911,7891,22679,6039,16640,3253,387,2866
N06000010,76074,10439,65635,24511,1282,23229,8714,990,7724,11503,1899,9604,3229,446,2783,9016,1615,7401,15615,3865,11750,3486,342,3144
N06000011,86877,12587,74290,26887,1471,25416,9715,1146,8569,12970,2203,10767,3922,542,3380,10129,1921,8208,18531,4799,13732,4723,505,4218
N06000012,86137,12690,73447,27769,1516,26253,9700,1146,8554,13109,2222,10887,3959,496,3463,9896,1904,7992,17989,4950,13039,3715,456,3259
N06000013,73038,12414,60624,15293,857,14436,8413,1045,7368,11752,2067,9685,3344,370,2974,9390,1851,7539,22106,5854,16252,2740,370,2370
N06000014,77330,11123,66207,19483,1041,18442,9587,974,8613,12849,1928,10921,3717,405,3312,9772,1810,7962,18785,4637,14148,3137,328,2809
N06000015,83951,13497,70454,22788,1382,21406,9270,1205,8065,13113,2332,10781,4413,596,3817,10706,2186,8520,20057,5364,14693,3604,432,3172
N06000016,71638,10769,60869,18783,998,17785,8956,987,7969,11686,1901,9785,4015,429,3586,8928,1716,7212,16527,4401,12126,2743,337,2406
N06000017,92049,12360,79689,27752,1463,26289,11027,1165,9862,14416,2065,12351,3558,391,3167,10705,1979,8726,19789,4857,14932,4802,440,4362
N06000018,70709,10556,60153,25130,1432,23698,7766,1010,6756,10153,1976,8177,2428,337,2091,7819,1573,6246,14309,3846,10463,3104,382,2722
