GeographyCode,DC2509NI0001,DC2509NI0002,DC2509NI0003,DC2509NI0004,DC2509NI0005,DC2509NI0006,DC2509NI0007,DC2509NI0008,DC2509NI0009,DC2509NI0010,DC2509NI0011,DC2509NI0012,DC2509NI0013,DC2509NI0014,DC2509NI0015,DC2509NI0016,DC2509NI0017,DC2509NI0018,DC2509NI0019,DC2509NI0020,DC2509NI0021,DC2509NI0022,DC2509NI0023,DC2509NI0024,DC2509NI0025,DC2509NI0026,DC2509NI0027,DC2509NI0028,DC2509NI0029,DC2509NI0030,DC2509NI0031,DC2509NI0032,DC2509NI0033,DC2509NI0034,DC2509NI0035,DC2509NI0036,DC2509NI0037,DC2509NI0038,DC2509NI0039,DC2509NI0040,DC2509NI0041,DC2509NI0042,DC2509NI0043,DC2509NI0044,DC2509NI0045,DC2509NI0046,DC2509NI0047,DC2509NI0048,DC2509NI0049,DC2509NI0050,DC2509NI0051,DC2509NI0052,DC2509NI0053,DC2509NI0054,DC2509NI0055,DC2509NI0056,DC2509NI0057,DC2509NI0058,DC2509NI0059,DC2509NI0060,DC2509NI0061,DC2509NI0062,DC2509NI0063,DC2509NI0064,DC2509NI0065,DC2509NI0066,DC2509NI0067,DC2509NI0068,DC2509NI0069,DC2509NI0070,DC2509NI0071,DC2509NI0072,DC2509NI0073,DC2509NI0074,DC2509NI0075,DC2509NI0076,DC2509NI0077,DC2509NI0078,DC2509NI0079,DC2509NI0080,DC2509NI0081,DC2509NI0082,DC2509NI0083,DC2509NI0084,DC2509NI0085,DC2509NI0086,DC2509NI0087,DC2509NI0088,DC2509NI0089,DC2509NI0090,DC2509NI0091,DC2509NI0092,DC2509NI0093,DC2509NI0094,DC2509NI0095,DC2509NI0096,DC2509NI0097,DC2509NI0098,DC2509NI0099,DC2509NI0100,DC2509NI0101,DC2509NI0102,DC2509NI0103,DC2509NI0104,DC2509NI0105,DC2509NI0106,DC2509NI0107,DC2509NI0108,DC2509NI0109,DC2509NI0110,DC2509NI0111,DC2509NI0112,DC2509NI0113,DC2509NI0114,DC2509NI0115,DC2509NI0116,DC2509NI0117,DC2509NI0118,DC2509NI0119,DC2509NI0120
N06000001,75141,9199,58861,1049,6032,20865,1731,17794,199,1141,8428,848,6673,66,841,10263,1082,8040,100,1041,3418,205,3014,21,178,8427,1007,6450,109,861,20589,3526,15006,421,1636,3151,800,1884,133,334,35356,4212,27196,543,3405,8640,782,7144,85,629,3764,398,2862,34,470,4239,480,3144,53,562,3168,182,2808,18,160,4237,467,3223,51,496,9826,1491,7215,220,900,1482,412,800,82,188,39785,4987,31665,506,2627,12225,949,10650,114,512,4664,450,3811,32,371,6024,602,4896,47,479,250,23,206,3,18,4190,540,3227,58,365,10763,2035,7791,201,736,1669,388,1084,51,146
N06000002,81552,37157,39542,853,4000,29063,11534,16379,211,939,10679,4729,5267,77,606,11599,5529,5248,105,717,3229,1149,1937,16,127,8829,4321,3904,69,535,15215,8613,5444,275,883,2938,1282,1363,100,193,38323,17314,18245,458,2306,12736,5272,6850,96,518,4871,2183,2307,38,343,4827,2261,2113,56,397,3011,1064,1818,14,115,4397,2089,1944,41,323,6978,3791,2547,148,492,1503,654,666,65,118,43229,19843,21297,395,1694,16327,6262,9529,115,421,5808,2546,2960,39,263,6772,3268,3135,49,320,218,85,119,2,12,4432,2232,1960,28,212,8237,4822,2897,127,391,1435,628,697,35,75
N06000003,93724,40388,43194,2526,7616,17407,4640,11481,280,1006,7155,2584,3765,137,669,10263,4256,4915,192,900,2364,670,1568,31,95,16100,7583,6764,288,1465,36543,19166,13242,1259,2876,3892,1489,1459,339,605,45121,18872,20420,1417,4412,7472,2092,4690,154,536,3426,1261,1711,69,385,4577,1921,2041,99,516,2151,598,1438,29,86,7893,3597,3267,163,866,17697,8649,6635,713,1700,1905,754,638,190,323,48603,21516,22774,1109,3204,9935,2548,6791,126,470,3729,1323,2054,68,284,5686,2335,2874,93,384,213,72,130,2,9,8207,3986,3497,125,599,18846,10517,6607,546,1176,1987,735,821,149,282
N06000004,72358,57765,12608,444,1541,27546,21541,5553,85,367,10094,8157,1672,41,224,11002,9040,1655,42,265,2646,2078,522,12,34,8158,6620,1278,44,216,10818,8806,1502,149,361,2094,1523,426,71,74,33463,26450,5882,252,879,12500,9852,2392,43,213,4324,3450,727,24,123,4580,3753,674,22,131,2446,1919,483,12,32,3664,2885,630,17,132,4818,3772,750,89,207,1131,819,226,45,41,38895,31315,6726,192,662,15046,11689,3161,42,154,5770,4707,945,17,101,6422,5287,981,20,134,200,159,39,0,2,4494,3735,648,27,84,6000,5034,752,60,154,963,704,200,26,33
N06000005,72357,14710,52244,736,4667,18282,3483,13799,145,855,8817,1725,6322,64,706,11342,2300,8095,79,868,3911,671,3024,30,186,9957,2154,6999,69,735,17280,3717,12198,289,1076,2768,660,1807,60,241,34830,6977,24818,380,2655,8160,1693,5907,67,493,4080,842,2821,31,386,4463,919,3060,32,452,3644,609,2832,27,176,4989,1014,3517,31,427,8096,1535,5821,151,589,1398,365,860,41,132,37527,7733,27426,356,2012,10122,1790,7892,78,362,4737,883,3501,33,320,6879,1381,5035,47,416,267,62,192,3,10,4968,1140,3482,38,308,9184,2182,6377,138,487,1370,295,947,19,109
N06000006,79190,31996,44022,563,2609,24470,10111,13741,106,512,9075,3483,5188,50,354,11874,4672,6671,67,464,3107,1404,1638,13,52,9976,4111,5344,61,460,17566,6799,9937,212,618,3122,1416,1503,54,149,38713,15578,21344,285,1506,12160,5174,6635,51,300,4534,1739,2562,26,207,5262,2027,2945,37,253,2908,1317,1535,8,48,4585,1840,2450,34,261,7516,2677,4402,97,340,1748,804,815,32,97,40477,16418,22678,278,1103,12310,4937,7106,55,212,4541,1744,2626,24,147,6612,2645,3726,30,211,199,87,103,5,4,5391,2271,2894,27,199,10050,4122,5535,115,278,1374,612,688,22,52
N06000007,80237,45709,32352,538,1638,25573,14283,10747,143,400,8968,4842,3882,42,202,11764,6370,5096,66,232,2818,1688,1073,15,42,8758,4969,3550,63,176,17041,10027,6560,133,321,5315,3530,1444,76,265,39962,22853,15911,261,937,13598,7702,5582,73,241,4807,2602,2074,22,109,5324,2925,2231,37,131,2635,1573,1013,11,38,4099,2300,1672,28,99,6551,3803,2530,52,166,2948,1948,809,38,153,40275,22856,16441,277,701,11975,6581,5165,70,159,4161,2240,1808,20,93,6440,3445,2865,29,101,183,115,60,4,4,4659,2669,1878,35,77,10490,6224,4030,81,155,2367,1582,635,38,112
N06000008,78383,58172,18239,616,1356,25494,19132,5997,95,270,9146,6740,2230,40,136,11574,8564,2741,61,208,2704,1912,741,15,36,9742,7254,2199,74,215,17105,12785,3641,256,423,2618,1785,690,75,68,37621,27605,8853,341,822,11946,8930,2793,50,173,4395,3185,1101,23,86,5038,3695,1185,22,136,2489,1759,684,14,32,4631,3404,1056,48,123,7725,5674,1675,139,237,1397,958,359,45,35,40762,30567,9386,275,534,13548,10202,3204,45,97,4751,3555,1129,17,50,6536,4869,1556,39,72,215,153,57,1,4,5111,3850,1143,26,92,9380,7111,1966,117,186,1221,827,331,30,33
N06000009,80795,14879,60351,815,4750,19755,3016,15717,171,851,9288,1623,6877,76,712,12338,2097,9203,103,935,3680,551,2944,27,158,9802,1865,7096,86,755,22679,4888,16362,294,1135,3253,839,2152,58,204,39257,7020,29086,416,2735,9070,1429,7045,89,507,4490,769,3276,35,410,5270,901,3821,54,494,3427,514,2741,27,145,4809,869,3483,37,420,10533,2095,7655,142,641,1658,443,1065,32,118,41538,7859,31265,399,2015,10685,1587,8672,82,344,4798,854,3601,41,302,7068,1196,5382,49,441,253,37,203,0,13,4993,996,3613,49,335,12146,2793,8707,152,494,1595,396,1087,26,86
N06000010,76074,49798,24670,367,1239,24511,15226,8837,110,338,8714,5656,2872,31,155,11503,7603,3671,40,189,3229,2197,992,10,30,9016,6062,2770,46,138,15615,10809,4512,83,211,3486,2245,1016,47,178,37735,24505,12301,199,730,12880,8031,4597,57,195,4540,2954,1468,19,99,4973,3292,1558,24,99,3039,2074,927,9,29,4198,2780,1319,25,74,5951,3992,1795,38,126,2154,1382,637,27,108,38339,25293,12369,168,509,11631,7195,4240,53,143,4174,2702,1404,12,56,6530,4311,2113,16,90,190,123,65,1,1,4818,3282,1451,21,64,9664,6817,2717,45,85,1332,863,379,20,70
