GeographyCode,DC2506NI0001,DC2506NI0002,DC2506NI0003,DC2506NI0004,DC2506NI0005,DC2506NI0006,DC2506NI0007,DC2506NI0008,DC2506NI0009,DC2506NI0010,DC2506NI0011,DC2506NI0012,DC2506NI0013,DC2506NI0014,DC2506NI0015,DC2506NI0016,DC2506NI0017,DC2506NI0018,DC2506NI0019,DC2506NI0020,DC2506NI0021,DC2506NI0022,DC2506NI0023,DC2506NI0024,DC2506NI0025,DC2506NI0026,DC2506NI0027,DC2506NI0028,DC2506NI0029,DC2506NI0030,DC2506NI0031,DC2506NI0032,DC2506NI0033,DC2506NI0034,DC2506NI0035,DC2506NI0036,DC2506NI0037,DC2506NI0038,DC2506NI0039,DC2506NI0040,DC2506NI0041,DC2506NI0042,DC2506NI0043,DC2506NI0044,DC2506NI0045,DC2506NI0046,DC2506NI0047,DC2506NI0048,DC2506NI0049,DC2506NI0050,DC2506NI0051,DC2506NI0052,DC2506NI0053,DC2506NI0054,DC2506NI0055,DC2506NI0056,DC2506NI0057,DC2506NI0058,DC2506NI0059,DC2506NI0060,DC2506NI0061,DC2506NI0062,DC2506NI0063,DC2506NI0064,DC2506NI0065,DC2506NI0066,DC2506NI0067,DC2506NI0068,DC2506NI0069,DC2506NI0070,DC2506NI0071,DC2506NI0072,DC2506NI0073,DC2506NI0074,DC2506NI0075,DC2506NI0076,DC2506NI0077,DC2506NI0078,DC2506NI0079,DC2506NI0080,DC2506NI0081,DC2506NI0082,DC2506NI0083,DC2506NI0084,DC2506NI0085,DC2506NI0086,DC2506NI0087,DC2506NI0088,DC2506NI0089,DC2506NI0090,DC2506NI0091,DC2506NI0092,DC2506NI0093,DC2506NI0094,DC2506NI0095,DC2506NI0096,DC2506NI0097,DC2506NI0098,DC2506NI0099,DC2506NI0100,DC2506NI0101,DC2506NI0102,DC2506NI0103,DC2506NI0104,DC2506NI0105,DC2506NI0106,DC2506NI0107,DC2506NI0108,DC2506NI0109,DC2506NI0110,DC2506NI0111,DC2506NI0112
N06000001,75141,72279,1129,72,67,31,187,134,247,9,39,62,35,850,20865,20428,143,13,15,2,38,64,13,1,5,0,3,140,8428,8256,51,2,7,2,2,24,7,0,2,4,2,69,10263,10064,81,8,11,4,11,14,14,1,0,0,2,53,3418,3372,17,1,1,2,3,1,0,0,0,0,0,21,8427,8252,64,2,9,3,10,7,11,2,1,5,1,60,20589,19642,292,15,24,9,43,12,163,4,22,44,12,307,3151,2265,481,31,0,9,80,12,39,1,9,9,15,200
N06000002,81552,79065,894,67,253,53,96,91,171,19,20,107,40,676,29063,28692,104,10,60,5,20,39,3,3,2,0,5,120,10679,10470,64,5,29,7,11,8,12,4,0,4,3,62,11599,11370,85,7,41,8,8,3,11,2,2,9,4,49,3229,3187,12,0,12,0,2,2,1,0,0,0,3,10,8829,8633,65,6,36,6,9,8,8,1,1,8,5,43,15215,14411,199,21,69,18,14,15,107,7,11,77,6,260,2938,2302,365,18,6,9,32,16,29,2,4,9,14,132
N06000003,93724,87649,1469,103,252,70,217,773,224,44,88,109,126,2600,17407,16578,182,19,31,4,38,211,4,2,7,3,2,326,7155,6803,84,7,13,1,22,52,12,2,1,5,15,138,10263,9911,82,6,30,6,12,37,14,1,3,4,11,146,2364,2306,21,1,6,0,2,0,1,0,1,0,0,26,16100,15599,119,8,44,3,30,50,8,3,5,11,22,198,36543,34016,464,30,124,38,43,241,142,11,51,70,31,1282,3892,2436,517,32,4,18,70,182,43,25,20,16,45,484
N06000004,72358,70461,271,36,829,13,30,27,185,15,11,40,21,419,27546,27246,29,9,136,2,11,16,4,1,1,1,2,88,10094,9915,22,5,120,2,0,1,3,0,0,5,0,21,11002,10768,27,2,156,3,0,0,3,1,1,7,0,34,2646,2603,5,0,24,0,0,0,2,0,0,0,0,12,8158,7952,13,2,149,0,1,0,3,0,0,1,3,34,10818,10199,66,7,234,1,4,2,125,2,5,23,9,141,2094,1778,109,11,10,5,14,8,45,11,4,3,7,89
N06000005,72357,71178,210,37,31,47,33,182,27,12,41,38,7,514,18282,18152,19,7,3,9,1,29,1,0,1,0,1,59,8817,8747,11,2,2,2,2,16,3,0,2,2,0,28,11342,11265,13,3,4,6,7,6,2,1,0,2,1,32,3911,3890,3,0,1,2,3,1,1,0,0,0,0,10,9957,9877,13,2,5,0,2,13,1,1,2,0,0,41,17280,16821,64,4,12,7,5,52,11,2,28,27,2,245,2768,2426,87,19,4,21,13,65,8,8,8,7,3,99
N06000006,79190,77592,752,41,83,13,24,106,57,22,27,12,6,455,24470,24215,134,1,14,3,7,20,2,2,3,0,0,69,9075,8983,35,5,7,0,3,3,4,2,4,0,1,28,11874,11774,36,3,10,1,2,6,3,3,1,2,0,33,3107,3092,9,0,3,0,0,1,0,0,0,0,0,2,9976,9870,35,6,14,2,0,8,2,2,1,0,0,36,17566,17140,120,4,30,2,2,32,29,3,8,9,1,186,3122,2518,383,22,5,5,10,36,17,10,10,1,4,101
N06000007,80237,75276,1444,1419,152,506,107,46,42,175,155,51,76,788,25573,24475,224,350,41,158,29,22,0,40,37,0,5,192,8968,8625,99,81,14,54,9,5,1,6,11,3,7,53,11764,11438,84,87,16,34,12,5,2,11,11,4,8,52,2818,2769,10,5,7,6,3,0,0,0,2,0,3,13,8758,8501,73,53,21,25,2,1,2,1,9,2,8,60,17041,16347,209,137,51,21,6,6,21,19,27,37,5,155,5315,3121,745,706,2,208,46,7,16,98,58,5,40,263
N06000008,78383,76820,417,47,234,19,14,80,49,8,27,74,11,583,25494,25202,103,11,39,7,1,21,1,3,2,0,0,104,9146,9073,21,3,17,4,2,4,4,0,0,1,1,16,11574,11446,36,2,44,1,1,1,6,0,0,6,1,30,2704,2687,3,0,3,0,0,1,0,0,0,1,0,9,9742,9627,13,3,43,1,0,3,5,0,3,5,0,39,17105,16580,57,9,81,1,4,40,23,1,3,45,2,259,2618,2205,184,19,7,5,6,10,10,4,19,16,7,126
N06000009,80795,78943,565,232,50,39,32,79,89,33,56,81,38,558,19755,19488,62,47,4,5,7,25,8,6,7,0,2,94,9288,9146,45,17,7,5,1,7,4,4,4,5,5,38,12338,12198,38,20,4,7,1,3,5,7,2,2,9,42,3680,3654,9,0,1,0,0,0,0,0,0,0,1,15,9802,9681,41,8,9,1,0,8,5,1,1,3,1,43,22679,22126,100,43,24,13,5,22,46,3,19,55,8,215,3253,2650,270,97,1,8,18,14,21,12,23,16,12,111
N06000010,76074,73447,666,515,200,239,339,38,18,109,144,7,47,305,24511,23958,141,101,42,76,64,14,0,21,18,0,5,71,8714,8506,48,36,28,14,35,4,0,4,8,0,1,30,11503,11321,38,44,24,19,19,0,2,3,8,0,4,21,3229,3201,8,4,5,1,3,0,0,2,0,0,1,4,9016,8863,29,31,27,10,14,2,0,8,11,0,0,21,15615,15233,92,57,70,8,23,4,14,12,24,5,9,64,3486,2365,310,242,4,111,181,14,2,59,75,2,27,94
