GeographyCode,QS103NI0001,QS103NI0002,QS103NI0003,QS103NI0004,QS103NI0005,QS103NI0006,QS103NI0007,QS103NI0008,QS103NI0009,QS103NI0010,QS103NI0011,QS103NI0012,QS103NI0013,QS103NI0014,QS103NI0015,QS103NI0016,QS103NI0017,QS103NI0018,QS103NI0019,QS103NI0020,QS103NI0021,QS103NI0022,QS103NI0023,QS103NI0024,QS103NI0025,QS103NI0026,QS103NI0027,QS103NI0028,QS103NI0029,QS103NI0030,QS103NI0031,QS103NI0032,QS103NI0033,QS103NI0034,QS103NI0035,QS103NI0036,QS103NI0037,QS103NI0038,QS103NI0039,QS103NI0040,QS103NI0041,QS103NI0042,QS103NI0043,QS103NI0044,QS103NI0045,QS103NI0046,QS103NI0047,QS103NI0048,QS103NI0049,QS103NI0050,QS103NI0051,QS103NI0052,QS103NI0053,QS103NI0054,QS103NI0055,QS103NI0056,QS103NI0057,QS103NI0058,QS103NI0059,QS103NI0060,QS103NI0061,QS103NI0062,QS103NI0063,QS103NI0064,QS103NI0065,QS103NI0066,QS103NI0067,QS103NI0068,QS103NI0069,QS103NI0070,QS103NI0071,QS103NI0072,QS103NI0073,QS103NI0074,QS103NI0075,QS103NI0076,QS103NI0077,QS103NI0078,QS103NI0079,QS103NI0080,QS103NI0081,QS103NI0082,QS103NI0083,QS103NI0084,QS103NI0085,QS103NI0086,QS103NI0087,QS103NI0088,QS103NI0089,QS103NI0090,QS103NI0091,QS103NI0092,QS103NI0093,QS103NI0094,QS103NI0095,QS103NI0096,QS103NI0097,QS103NI0098,QS103NI0099,QS103NI0100,QS103NI0101,QS103NI0102
95AA01S1,1113,40,36,34,40,27,33,28,24,14,20,12,22,8,7,6,5,10,6,3,7,14,26,37,29,34,47,40,35,32,54,39,37,41,20,25,30,23,25,21,22,23,11,11,8,8,3,3,5,3,4,3,3,1,1,1,0,3,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95AA01S2,1829,22,24,19,26,17,26,22,19,27,33,33,27,41,30,35,35,24,37,20,26,12,19,18,20,19,24,17,12,19,17,16,24,18,20,11,17,18,20,26,29,33,45,31,33,30,27,30,30,45,39,30,30,23,27,16,23,26,29,22,19,22,23,19,27,19,14,22,22,16,12,13,9,10,10,4,8,7,8,10,6,5,4,3,4,2,4,4,4,2,1,2,3,1,0,0,0,1,0,1,0,0
95AA01S3,1502,30,13,24,19,21,23,22,15,21,23,22,13,18,11,17,16,20,14,11,20,14,16,15,18,19,19,23,21,27,21,24,29,26,34,21,23,24,26,18,31,26,32,24,21,18,27,30,20,17,21,14,25,14,18,19,19,20,16,18,20,17,16,18,15,12,14,16,11,9,5,7,10,10,7,10,14,10,8,6,7,3,7,4,7,4,3,1,3,3,0,2,0,1,0,0,0,1,0,0,0,0
95AA02W1,1734,15,22,14,20,13,13,16,10,7,19,23,22,16,20,16,20,17,18,11,18,21,18,25,20,24,31,20,33,19,28,20,27,20,15,15,22,23,13,24,38,13,34,32,29,30,20,22,31,18,13,19,30,18,22,22,27,23,17,17,35,32,14,22,20,21,17,24,27,25,20,22,15,28,15,25,15,14,13,10,13,11,7,5,10,9,7,8,6,4,5,5,1,4,1,0,1,0,0,0,0,0
95AA03W1,1822,29,28,29,25,30,20,23,22,15,26,16,22,26,22,25,28,14,18,20,26,30,20,24,29,28,23,14,25,27,20,25,31,25,24,24,24,32,16,29,22,22,29,22,29,26,38,32,20,29,18,23,19,23,18,10,24,16,23,19,16,19,23,20,17,20,21,19,20,28,21,12,19,18,9,25,11,10,13,8,12,12,8,2,8,9,6,5,4,2,3,4,0,1,0,0,0,0,0,1,0,0
95AA04W1,3013,22,28,41,39,44,36,42,39,27,44,39,49,52,40,40,58,61,49,48,39,52,33,36,37,25,36,31,30,21,40,23,26,21,23,31,40,39,35,35,37,35,42,55,59,54,49,75,72,63,51,50,47,48,44,50,45,37,35,41,23,29,37,36,32,23,29,26,34,27,28,18,16,20,26,23,12,18,17,13,16,13,7,7,7,5,3,7,3,4,3,2,4,2,0,0,2,1,0,0,0,0
95AA05W1,2701,43,40,32,46,49,40,37,34,29,41,29,48,34,41,33,42,32,40,22,38,34,40,45,33,42,29,35,35,34,29,26,34,31,33,34,31,35,38,40,40,34,44,34,41,47,32,61,44,32,32,38,29,33,34,40,42,31,36,33,26,32,36,21,21,25,25,21,26,27,28,24,18,13,16,18,13,16,11,9,10,13,14,6,6,8,7,10,3,5,5,4,5,5,2,4,0,0,1,0,2,0
95AA06S1,1953,22,30,41,37,34,31,39,21,30,37,39,29,26,38,30,32,29,37,35,18,30,26,25,25,19,18,22,25,28,18,23,23,28,28,32,28,28,18,29,27,21,28,47,37,26,31,26,17,27,25,26,22,24,32,27,25,18,16,21,11,12,10,17,16,18,12,19,12,22,9,9,8,14,4,14,5,16,10,18,10,14,3,4,5,10,6,3,1,0,1,2,3,2,0,0,1,1,0,0,0,0
95AA06S2,2694,50,41,42,39,49,49,38,53,52,59,48,56,61,54,51,43,44,63,40,41,38,39,27,38,31,24,30,34,30,27,33,39,28,44,24,29,43,44,37,43,54,61,55,46,39,44,45,41,37,44,39,33,37,27,19,29,26,30,22,14,24,22,10,14,14,21,17,16,12,9,8,14,8,4,6,9,6,10,11,10,6,7,8,8,4,2,4,4,2,1,2,0,1,0,0,2,1,0,0,0,0
95AA07W1,2140,23,25,22,28,32,23,27,24,33,27,22,37,26,26,29,22,20,34,24,19,24,22,24,27,23,31,32,22,20,21,32,21,15,22,20,29,28,34,35,46,35,36,34,24,30,29,40,53,31,34,35,21,23,27,20,29,31,27,30,27,37,30,29,19,22,27,23,24,23,30,19,25,13,12,18,14,9,11,7,13,9,10,7,6,1,9,9,5,3,1,5,1,0,2,0,0,0,0,0,0,0
