GeographyCode,QS303NI0001,QS303NI0002,QS303NI0003,QS303NI0004
95AA01S1,1113,9,31,1073
95AA01S2,1829,155,111,1563
95AA01S3,1502,90,111,1301
95AA02W1,1734,261,204,1269
95AA03W1,1822,281,179,1362
95AA04W1,3013,217,219,2577
95AA05W1,2701,255,235,2211
95AA06S1,1953,219,156,1578
95AA06S2,2694,253,193,2248
95AA07W1,2140,220,187,1733
95AA08W1,1698,265,187,1246
95AA09W1,2220,300,214,1706
95AA10W1,1953,252,213,1488
95AA11S1,2800,286,270,2244
95AA11S2,2564,171,167,2226
95AA12W1,2775,167,204,2404
95AA13S1,1745,177,121,1447
95AA13S2,1562,164,131,1267
95AA14W1,2349,219,176,1954
95AA15S1,2641,213,159,2269
95AA15S2,1545,178,112,1255
95AA16W1,1807,268,177,1362
95AA17W1,2142,236,183,1723
95AA18W1,2439,247,216,1976
95AA19W1,2687,265,171,2251
95BB01S1,1574,134,114,1326
95BB01S2,2035,162,158,1715
95BB02W1,2347,431,278,1638
95BB03S1,2026,280,246,1500
95BB03S2,2193,279,240,1674
95BB04S1,1438,209,178,1051
95BB04S2,1610,143,174,1293
95BB05S1,1490,142,126,1222
95BB05S2,1911,207,190,1514
95BB06W1,2870,510,368,1992
95BB07S1,1658,289,194,1175
95BB07S2,1295,117,125,1053
95BB08S1,1331,218,167,946
95BB08S2,1294,84,114,1096
95BB09S1,1325,150,114,1061
95BB09S2,1618,97,134,1387
95BB10S1,1690,234,213,1243
95BB10S2,1637,137,150,1350
95BB11S1,1408,193,152,1063
95BB11S2,1547,282,198,1067
95BB12S1,1440,181,157,1102
95BB12S2,1336,91,118,1127
95BB13S1,1392,123,107,1162
95BB13S2,1472,191,157,1124
95BB13S3,1580,98,122,1360
95BB14S1,1510,109,160,1241
95BB14S2,1606,118,139,1349
95BB15S1,2005,209,187,1609
95BB15S2,1484,165,135,1184
95BB16S1,1533,125,134,1274
95BB16S2,1603,121,132,1350
95BB17S1,1793,163,153,1477
95BB17S2,1763,190,182,1391
95BB18S1,1688,292,167,1229
95BB18S2,2591,265,205,2121
95BB19S1,1613,193,140,1280
95BB19S2,1784,115,121,1548
95BB19S3,1391,85,97,1209
95BB20S1,1889,235,196,1458
95BB20S2,1524,273,150,1101
95BB21S1,2387,359,217,1811
