GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
95AA01S1,310,188,3,71,114,113,13,20,80,6,3,3,0,3,2,1,0
95AA01S2,624,64,8,23,33,299,44,56,199,127,21,88,18,134,47,86,1
95AA01S3,588,119,30,39,50,249,54,58,137,105,26,74,5,115,45,66,4
95AA02W1,839,134,37,44,53,295,115,64,116,137,39,91,7,273,155,115,3
95AA03W1,845,179,48,38,93,304,97,67,140,131,55,68,8,231,123,107,1
95AA04W1,1014,95,21,18,56,495,49,133,313,195,28,151,16,229,73,151,5
95AA05W1,920,126,20,30,76,409,52,96,261,169,32,120,17,216,88,125,3
95AA06S1,710,119,20,23,76,317,49,51,217,102,28,63,11,172,90,81,1
95AA06S2,860,155,23,29,103,457,46,87,324,116,31,69,16,132,69,62,1
95AA07W1,820,97,29,22,46,347,58,90,199,167,41,112,14,209,73,131,5
95AA08W1,699,142,39,21,82,263,59,69,135,132,50,77,5,162,67,93,2
95AA09W1,943,203,51,31,121,365,116,87,162,168,53,103,12,207,87,118,2
95AA10W1,792,133,30,14,89,297,64,78,155,169,41,115,13,193,64,126,3
95AA11S1,1123,229,49,85,95,495,114,120,261,156,52,88,16,243,115,127,1
95AA11S2,870,190,42,59,89,462,58,113,291,87,13,63,11,131,44,82,5
95AA12W1,971,61,10,18,33,500,45,120,335,180,33,119,28,230,92,138,0
95AA13S1,625,109,24,19,66,291,54,70,167,97,26,59,12,128,47,80,1
95AA13S2,614,111,20,27,64,275,50,73,152,80,27,47,6,148,78,68,2
95AA14W1,779,55,5,14,36,335,20,96,219,170,25,122,23,219,80,138,1
95AA15S1,1013,311,61,95,155,434,81,116,237,134,31,91,12,134,50,84,0
95AA15S2,582,171,40,34,97,268,76,55,137,85,28,44,13,58,28,30,0
95AA16W1,832,209,63,44,102,307,110,73,124,117,54,60,3,199,91,106,2
95AA17W1,855,161,33,30,98,367,79,104,184,166,54,97,15,161,71,87,3
95AA18W1,1004,98,29,40,29,356,68,92,196,206,39,150,17,344,121,220,3
95AA19W1,832,123,17,16,90,371,39,70,262,145,35,86,24,193,66,119,8
95BB01S1,548,50,11,12,27,277,26,78,173,90,17,68,5,131,51,76,4
95BB01S2,759,94,24,21,49,387,53,105,229,129,32,88,9,149,56,91,2
95BB02W1,1126,169,45,45,79,365,127,88,150,182,64,105,13,410,202,204,4
95BB03S1,877,166,34,37,95,304,57,76,171,135,38,93,4,272,134,137,1
95BB03S2,899,89,12,28,49,338,49,102,187,170,36,117,17,302,117,179,6
95BB04S1,638,74,13,20,41,208,60,65,83,148,39,92,17,208,80,125,3
95BB04S2,669,42,7,14,21,226,33,61,132,137,21,109,7,264,96,167,1
95BB05S1,564,47,6,16,25,242,25,69,148,114,22,89,3,161,54,106,1
95BB05S2,754,93,14,29,50,298,46,88,164,153,35,111,7,210,80,126,4
95BB06W1,1518,332,106,114,112,495,189,137,169,203,89,104,10,488,296,188,4
95BB07S1,819,166,37,56,73,269,86,61,122,119,57,57,5,265,163,102,0
95BB07S2,496,52,8,14,30,197,19,57,121,99,14,79,6,148,47,100,1
95BB08S1,589,86,17,21,48,186,34,46,106,115,43,70,2,202,105,96,1
95BB08S2,479,84,12,24,48,216,30,64,122,99,13,80,6,80,25,54,1
95BB09S1,561,59,12,16,31,190,33,59,98,121,22,91,8,191,74,116,1
95BB09S2,692,102,33,26,43,271,55,89,127,164,44,107,13,155,67,87,1
95BB10S1,874,112,37,28,47,284,110,71,103,157,71,78,8,321,183,137,1
95BB10S2,635,46,7,17,22,226,25,58,143,147,18,108,21,216,64,150,2
95BB11S1,621,86,13,13,60,254,71,60,123,110,42,60,8,171,80,89,2
95BB11S2,717,42,8,8,26,235,55,69,111,134,53,76,5,306,155,148,3
95BB12S1,626,159,33,28,98,218,60,66,92,82,34,46,2,167,73,89,5
95BB12S2,504,49,3,6,40,197,17,54,126,107,19,70,18,151,52,98,1
95BB13S1,508,78,9,8,61,261,45,55,161,89,13,62,14,80,21,59,0
95BB13S2,603,78,14,11,53,214,40,58,116,127,30,90,7,184,58,123,3
95BB13S3,576,100,21,30,49,281,28,74,179,101,13,77,11,94,31,62,1
95BB14S1,551,32,6,12,14,238,20,76,142,118,21,82,15,163,50,111,2
