GeographyCode,QS219NI0001,QS219NI0002,QS219NI0003,QS219NI0004,QS219NI0005,QS219NI0006,QS219NI0007,QS219NI0008,QS219NI0009
95AA01S1,310,46,19,16,3,99,8,117,2
95AA01S2,624,277,116,91,18,23,4,63,32
95AA01S3,588,103,230,69,11,43,5,83,44
95AA02W1,839,223,249,160,12,30,3,86,76
95AA03W1,845,60,341,162,26,58,8,123,67
95AA04W1,1014,232,424,106,23,61,7,111,50
95AA05W1,920,495,185,69,3,43,4,56,65
95AA06S1,710,501,41,58,3,17,3,44,43
95AA06S2,860,589,71,68,2,14,0,50,66
95AA07W1,820,96,405,124,4,75,5,61,50
95AA08W1,699,268,170,72,6,26,4,90,63
95AA09W1,943,158,301,169,25,50,9,143,88
95AA10W1,792,296,187,85,22,45,8,103,46
95AA11S1,1123,341,277,165,26,58,10,177,69
95AA11S2,870,337,199,108,17,38,10,104,57
95AA12W1,971,37,545,132,14,81,5,110,47
95AA13S1,625,391,88,33,3,16,2,43,49
95AA13S2,614,356,99,48,3,22,2,39,45
95AA14W1,779,234,308,64,9,62,5,53,44
95AA15S1,1013,387,229,114,15,57,16,146,49
95AA15S2,582,231,106,57,10,28,13,102,35
95AA16W1,832,127,298,168,15,52,6,111,55
95AA17W1,855,264,171,139,18,43,11,132,77
95AA18W1,1004,100,443,159,23,71,17,131,60
95AA19W1,832,712,31,14,0,13,0,16,46
95BB01S1,548,79,256,58,18,48,7,56,26
95BB01S2,759,54,353,104,33,68,8,102,37
95BB02W1,1126,78,435,206,56,85,12,160,94
95BB03S1,877,19,347,253,32,75,7,96,48
95BB03S2,899,58,330,151,37,99,13,165,46
95BB04S1,638,43,250,92,42,44,9,96,62
95BB04S2,669,35,264,127,44,76,0,92,31
95BB05S1,564,19,265,98,18,55,8,72,29
95BB05S2,754,16,304,163,31,65,7,117,51
95BB06W1,1518,137,598,222,67,105,29,241,119
95BB07S1,819,32,357,124,38,66,9,130,63
95BB07S2,496,10,248,73,30,39,5,66,25
95BB08S1,589,27,280,84,30,45,10,74,39
95BB08S2,479,21,233,75,22,32,2,76,18
95BB09S1,561,13,261,88,23,49,2,94,31
95BB09S2,692,32,312,108,24,49,2,127,38
95BB10S1,874,46,265,211,62,50,13,166,61
95BB10S2,635,25,253,112,52,41,5,113,34
95BB11S1,621,20,261,138,35,38,6,85,38
95BB11S2,717,29,260,161,51,46,6,119,45
95BB12S1,626,71,212,95,33,37,9,116,53
95BB12S2,504,28,198,96,27,43,7,80,25
95BB13S1,508,26,168,93,33,52,6,100,30
95BB13S2,603,35,263,95,24,48,10,85,43
95BB13S3,576,28,226,94,41,51,5,107,24
95BB14S1,551,21,259,94,12,32,7,97,29
95BB14S2,621,24,254,113,17,34,10,140,29
95BB15S1,706,308,133,79,11,28,6,88,53
95BB15S2,581,340,77,43,9,18,0,59,35
95BB16S1,562,18,277,90,15,41,4,88,29
95BB16S2,614,22,281,118,18,39,2,99,35
95BB17S1,727,43,266,134,40,56,3,144,41
95BB17S2,672,29,251,102,29,73,5,137,46
95BB18S1,726,17,316,141,32,52,10,106,52
95BB18S2,912,37,344,146,70,96,4,167,48
95BB19S1,641,46,264,109,42,56,3,82,39
95BB19S2,599,34,215,109,39,61,3,112,26
95BB19S3,484,26,183,81,40,51,5,77,21
95BB20S1,677,467,52,38,15,11,1,56,37
95BB20S2,613,470,22,31,7,6,3,45,29
95BB21S1,932,17,350,151,41,188,11,112,62
95BB21S2,889,148,264,118,66,72,7,160,54
95BB22S1,596,18,236,104,28,54,3,115,38
95BB22S2,598,20,241,118,26,46,1,100,46
95BB23S1,638,55,223,118,41,53,5,103,40
95BB23S2,523,25,202,71,38,63,9,88,27
95CC01W1,904,766,14,8,1,10,4,33,68
95CC02W1,875,551,69,114,17,28,2,43,51
95CC03W1,1127,863,21,45,4,16,8,60,110
95CC04W1,790,506,135,45,0,25,2,19,58
95CC05W1,954,568,83,139,22,29,5,34,74
95CC06S1,579,291,82,88,3,21,7,42,45
95CC06S2,517,216,90,105,10,23,1,31,41
95CC07W1,1108,823,87,27,2,21,2,32,114
95CC08W1,990,831,5,8,0,9,3,27,107
95CC09S1,494,49,177,150,17,49,1,26,25
95CC09S2,696,25,228,218,36,91,6,47,45
95CC10W1,901,150,187,271,66,125,7,58,37
95CC11W1,786,644,12,3,1,5,0,18,103
95CC12W1,890,361,243,141,8,45,4,34,54
95CC13W1,817,381,158,160,8,36,6,24,44
95CC14W1,1132,89,268,425,56,140,12,92,50
95CC15W1,1007,347,108,296,58,84,4,55,55
95CC16W1,1076,153,407,259,12,111,7,64,63
95CC17W1,897,565,109,93,2,39,7,28,54
95CC18W1,937,450,106,186,14,45,8,66,62
95CC19W1,981,308,274,175,10,102,3,53,56
95CC20S1,484,15,143,157,58,40,1,42,28
95CC20S2,643,36,167,229,50,69,7,58,27
95CC21W1,1167,128,282,391,69,117,5,107,68
95CC22W1,842,150,164,306,16,56,10,73,67
95DD01W1,836,114,389,122,21,72,7,67,44
95DD02S1,599,13,336,92,13,70,5,45,25
95DD02S2,891,45,449,131,13,127,7,78,41
95DD03W1,1389,170,565,181,30,158,18,164,103
95DD04W1,859,45,386,145,19,84,9,75,96
95DD05W1,685,24,302,135,13,59,9,68,75
95DD06W1,944,153,408,118,39,90,7,85,44
95DD07S1,689,32,357,119,10,55,5,71,40
95DD07S2,723,24,368,136,10,77,2,72,34
95DD08W1,1041,331,277,98,17,77,8,115,118
95DD09W1,929,52,577,62,33,98,3,66,38
95DD10W1,1180,30,596,133,120,134,14,92,61
95DD11W1,955,478,165,72,7,46,4,73,110
95DD12W1,890,101,435,71,54,110,6,66,47
95DD13W1,741,354,140,48,6,33,3,70,87
95DD14S1,626,17,279,99,25,95,7,63,41
95DD14S2,607,50,293,76,16,90,5,59,18
95DD15W1,1174,630,312,43,9,59,10,55,56
95DD16W1,1019,112,527,96,19,116,9,94,46
95DD17W1,1148,387,428,67,11,114,5,82,54
95DD18W1,873,50,464,90,15,94,12,81,67
95DD19S1,732,24,385,157,14,49,3,67,33
95DD19S2,543,26,308,59,9,58,3,51,29
95DD20W1,826,42,390,138,22,66,5,76,87
95DD21W1,891,241,294,89,22,60,8,101,76
95DD22S1,559,170,220,43,5,50,3,22,46
95DD22S2,597,182,269,43,4,38,5,29,27
95DD23W1,881,99,498,64,6,94,8,73,39
95DD24W1,990,586,152,47,14,51,2,83,55
95EE01W1,592,510,26,6,2,9,0,17,22
95EE02W1,790,25,362,208,9,69,3,68,46
95EE03W1,808,102,330,151,12,80,6,80,47
95EE04W1,736,248,250,86,5,54,2,53,38
95EE05W1,577,39,315,90,5,44,3,47,34
95EE06W1,692,535,85,7,0,13,1,16,35
95EE07W1,740,112,325,110,4,87,9,53,40
95EE08W1,711,90,314,108,8,69,8,67,47
95EE09W1,605,195,239,45,3,47,4,43,29
95EE10W1,598,323,156,24,1,43,4,21,26
95EE11W1,551,149,236,57,2,44,5,38,20
95EE12W1,1059,118,442,215,9,99,5,100,71
95EE13W1,718,143,281,106,8,67,9,62,42
95EE14W1,1016,118,439,182,6,118,7,93,53
95EE15W1,606,101,277,98,3,40,3,52,32
95EE16W1,709,157,317,68,9,76,7,43,32
95FF01S1,781,197,228,156,18,66,4,80,32
95FF01S2,959,283,252,161,25,75,7,113,43
95FF02W1,923,469,223,73,8,50,2,56,42
95FF03W1,1169,413,255,203,19,74,7,126,72
95FF04W1,862,283,303,83,9,66,7,58,53
95FF05W1,1119,182,319,234,42,118,14,139,71
95FF06S1,820,107,237,189,32,82,7,115,51
95FF06S2,720,81,253,133,29,92,6,87,39
95FF07W1,1154,462,194,209,21,54,7,119,88
95FF08W1,993,239,285,218,28,75,3,84,61
95FF09W1,1000,345,158,255,21,59,8,81,73
95FF10W1,1216,140,499,180,18,150,7,155,67
95FF11W1,873,228,393,65,5,84,7,58,33
