GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
95AA01S1,310,21,3,13,1,4,173,18,91,4,60,116,21,54,21,19,1
95AA01S2,624,120,50,67,1,2,401,217,180,1,3,103,13,16,56,18,0
95AA01S3,588,155,29,111,3,12,328,55,258,2,13,105,11,32,47,15,0
95AA02W1,839,346,107,229,1,9,380,116,254,0,10,113,19,22,64,8,0
95AA03W1,845,323,21,277,1,24,400,31,355,1,13,122,18,62,32,10,0
95AA04W1,1014,171,47,115,1,8,694,170,507,3,14,149,19,42,67,21,0
95AA05W1,920,192,105,85,0,2,608,384,213,2,9,120,14,19,66,21,0
95AA06S1,710,187,126,57,1,3,460,385,71,0,4,63,17,3,38,5,0
95AA06S2,860,169,98,67,0,4,590,508,77,0,5,101,10,12,73,6,0
95AA07W1,820,201,35,163,0,3,520,59,450,3,8,99,9,31,46,12,1
95AA08W1,699,215,91,110,0,14,358,160,177,1,20,126,21,20,68,13,4
95AA09W1,943,307,61,223,2,21,483,91,354,6,32,153,17,49,70,15,2
95AA10W1,792,199,86,100,2,11,454,191,243,4,16,139,26,31,60,21,1
95AA11S1,1123,330,121,188,3,18,566,193,330,5,38,227,29,48,124,24,2
95AA11S2,870,157,64,85,3,5,520,236,264,2,18,193,24,32,109,28,0
95AA12W1,971,180,16,160,1,3,646,17,617,3,9,145,10,63,57,15,0
95AA13S1,625,151,97,49,0,5,388,284,95,2,7,86,22,7,48,9,0
95AA13S2,614,175,80,87,0,8,357,264,92,0,1,82,19,8,45,9,1
95AA14W1,779,130,32,96,0,2,551,188,353,4,6,98,6,29,54,8,1
95AA15S1,1013,223,106,105,2,10,560,237,289,11,23,230,39,57,103,28,3
95AA15S2,582,172,87,70,1,14,280,128,128,8,16,130,26,26,53,24,1
95AA16W1,832,318,60,233,2,23,410,63,324,2,21,104,12,34,41,17,0
95AA17W1,855,237,76,144,4,13,439,179,234,5,21,179,24,50,81,23,1
95AA18W1,1004,257,32,204,8,13,584,48,524,5,7,163,15,61,76,10,1
95AA19W1,832,157,132,22,1,2,619,583,33,1,2,56,7,7,37,5,0
95BB01S1,548,105,16,85,2,2,368,51,304,3,10,75,5,31,29,9,1
95BB01S2,759,165,13,140,1,11,489,21,451,1,16,105,5,49,38,13,0
95BB02W1,1126,438,39,373,2,24,554,31,495,5,23,134,8,65,46,12,3
95BB03S1,877,263,2,246,2,13,517,7,490,2,18,97,5,64,23,4,1
95BB03S2,899,214,14,185,5,10,557,28,498,3,28,128,8,59,44,13,4
95BB04S1,638,192,15,162,3,12,371,25,322,5,19,75,3,42,18,11,1
95BB04S2,669,157,11,140,0,6,426,9,410,0,7,86,3,44,26,13,0
95BB05S1,564,107,4,93,1,9,379,4,364,4,7,78,1,49,18,8,2
95BB05S2,754,175,6,159,4,6,471,4,451,2,14,108,2,73,27,5,1
95BB06W1,1518,680,73,555,19,33,643,48,543,8,44,195,18,88,71,16,2
95BB07S1,819,343,14,311,5,13,378,11,340,3,24,98,3,57,29,8,1
95BB07S2,496,88,5,78,1,4,361,2,344,2,13,47,1,36,8,2,0
95BB08S1,589,199,7,183,5,4,314,9,287,1,17,76,7,40,22,6,1
95BB08S2,479,80,6,70,1,3,344,6,321,1,16,55,4,26,18,7,0
95BB09S1,561,141,5,126,0,10,349,6,331,2,10,71,7,44,13,7,0
95BB09S2,692,199,9,171,2,17,418,16,382,1,19,75,1,55,14,3,2
95BB10S1,874,401,29,338,5,29,383,13,343,3,24,90,11,42,28,8,1
95BB10S2,635,114,7,97,0,10,422,9,401,1,11,99,5,50,30,14,0
95BB11S1,621,206,9,183,2,12,352,7,333,3,9,63,3,45,12,3,0
95BB11S2,717,271,15,240,2,14,366,14,339,4,9,80,3,48,24,5,0
95BB12S1,626,200,28,155,4,13,322,22,269,5,26,104,10,56,27,10,1
95BB12S2,504,91,3,80,2,6,327,14,300,3,10,86,4,45,26,11,0
95BB13S1,508,88,7,72,3,6,346,11,305,2,28,74,1,42,24,6,1
95BB13S2,603,142,14,123,3,2,380,22,336,5,17,81,3,44,31,3,0
95BB13S3,576,93,6,79,1,7,392,8,363,1,20,91,8,49,27,5,2
95BB14S1,551,97,5,85,0,7,373,10,351,2,10,81,2,45,29,5,0
95BB14S2,621,162,7,145,2,8,360,15,326,4,15,99,4,58,26,11,0
95BB15S1,706,134,61,69,2,2,439,237,191,1,10,133,15,32,75,11,0
95BB15S2,581,167,112,50,0,5,312,214,91,0,7,102,20,6,61,14,1
95BB16S1,562,98,4,89,0,5,392,8,374,2,8,72,2,38,20,10,2
95BB16S2,614,127,11,111,1,4,394,5,377,0,12,93,8,41,27,17,0
95BB17S1,727,188,8,166,1,13,422,15,374,2,31,117,5,62,37,13,0
95BB17S2,672,147,8,132,0,7,409,13,363,3,30,116,4,73,26,13,0
95BB18S1,726,216,7,194,3,12,426,5,394,3,24,84,4,61,14,3,2
