GeographyCode,QS401NI0001,QS401NI0002,QS401NI0003,QS401NI0004,QS401NI0005,QS401NI0006,QS401NI0007,QS401NI0008,QS401NI0009,QS401NI0010,QS401NI0011,QS401NI0012
95AA01S1,982,982,973,247,675,51,9,9,0,0,0,0
95AA01S2,1814,1814,1766,1472,163,131,40,38,2,0,8,0
95AA01S3,1494,1494,1416,848,274,294,76,69,7,0,2,0
95AA02W1,1734,1734,1474,209,211,1054,260,256,4,0,0,0
95AA03W1,1822,1822,1776,205,356,1215,46,40,6,0,0,0
95AA04W1,3002,3002,2948,2583,233,132,16,16,0,0,38,0
95AA05W1,2654,2654,2620,1622,863,135,29,19,6,4,5,0
95AA06S1,1953,1953,1870,858,736,276,83,76,2,5,0,0
95AA06S2,2651,2651,2586,1259,864,463,65,53,2,10,0,0
95AA07W1,2119,2119,2085,1291,292,502,29,29,0,0,5,0
95AA08W1,1676,1676,1636,180,268,1188,40,40,0,0,0,0
95AA09W1,2143,2143,1971,621,177,1173,171,163,8,0,1,0
95AA10W1,1953,1953,1846,585,649,612,107,102,5,0,0,0
95AA11S1,2698,2698,2541,1151,655,735,157,135,15,7,0,0
95AA11S2,2431,2431,2402,1068,1019,315,29,26,2,1,0,0
95AA12W1,2775,2775,2767,2344,310,113,5,1,3,1,3,0
95AA13S1,1707,1705,1614,869,555,190,91,56,25,10,0,2
95AA13S2,1561,1561,1504,591,701,212,57,37,0,20,0,0
95AA14W1,2302,2302,2288,2139,105,44,2,1,1,0,12,0
95AA15S1,2630,2630,2457,580,1257,620,173,166,7,0,0,0
95AA15S2,1472,1472,1393,192,439,762,79,70,9,0,0,0
95AA16W1,1807,1807,1594,138,327,1129,213,204,9,0,0,0
95AA17W1,2142,2142,2068,402,856,810,74,68,6,0,0,0
95AA18W1,2373,2373,2240,1576,368,296,133,119,8,6,0,0
95AA19W1,2645,2645,2610,1769,556,285,23,22,0,1,12,0
95BB01S1,1574,1574,1571,1029,330,212,3,1,2,0,0,0
95BB01S2,2035,2035,1983,763,929,291,52,42,0,10,0,0
95BB02W1,2334,2334,1859,513,792,554,475,453,22,0,0,0
95BB03S1,2026,2026,1970,770,592,608,56,41,5,10,0,0
95BB03S2,2191,2191,2108,1242,456,410,9,6,3,0,74,0
95BB04S1,1399,1399,1314,574,254,486,85,70,9,6,0,0
95BB04S2,1610,1610,1601,928,592,81,9,9,0,0,0,0
95BB05S1,1490,1490,1472,1034,284,154,18,10,7,1,0,0
95BB05S2,1911,1911,1900,1116,357,427,11,6,5,0,0,0
95BB06W1,2870,2870,2244,167,515,1562,626,574,24,28,0,0
95BB07S1,1601,1601,1347,271,454,622,254,218,20,16,0,0
95BB07S2,1295,1295,1293,532,507,254,0,0,0,0,2,0
95BB08S1,1331,1331,1305,97,765,443,26,23,3,0,0,0
95BB08S2,1294,1294,1284,367,787,130,10,10,0,0,0,0
95BB09S1,1291,1291,1261,682,439,140,30,22,8,0,0,0
95BB09S2,1618,1618,1519,689,429,401,97,81,16,0,2,0
95BB10S1,1663,1663,1344,339,242,763,318,282,16,20,1,0
95BB10S2,1615,1615,1572,1194,227,151,43,42,1,0,0,0
95BB11S1,1408,1408,1303,223,533,547,105,105,0,0,0,0
95BB11S2,1495,1495,1435,552,423,460,60,59,1,0,0,0
95BB12S1,1440,1440,1351,155,196,1000,89,75,13,1,0,0
95BB12S2,1336,1336,1336,961,89,286,0,0,0,0,0,0
95BB13S1,1392,1392,1385,749,444,192,7,1,4,2,0,0
95BB13S2,1466,1466,1417,322,492,603,49,49,0,0,0,0
95BB13S3,1580,1580,1572,558,927,87,8,3,5,0,0,0
95BB14S1,1510,1510,1508,1303,159,46,0,0,0,0,2,0
95BB14S2,1578,1578,1570,1119,180,271,8,6,2,0,0,0
95BB15S1,2005,2005,1997,1462,350,185,4,0,4,0,4,0
95BB15S2,1484,1484,1463,563,378,522,15,8,0,7,6,0
95BB16S1,1533,1533,1528,1273,178,77,5,1,1,3,0,0
