GeographyCode,QS111NI0001,QS111NI0002,QS111NI0003,QS111NI0004,QS111NI0005,QS111NI0006,QS111NI0007,QS111NI0008,QS111NI0009,QS111NI0010,QS111NI0011,QS111NI0012,QS111NI0013,QS111NI0014,QS111NI0015,QS111NI0016,QS111NI0017,QS111NI0018,QS111NI0019,QS111NI0020,QS111NI0021,QS111NI0022,QS111NI0023,QS111NI0024,QS111NI0025,QS111NI0026,QS111NI0027
95AA01S1,310,21,2,19,278,1,261,79,64,118,0,1,9,5,1,3,0,6,2,3,1,11,2,1,2,0,6
95AA01S2,624,120,47,73,465,39,345,95,62,135,53,0,34,17,8,7,2,47,10,11,26,39,5,13,0,1,20
95AA01S3,588,155,45,110,392,31,268,82,57,78,51,0,31,22,3,4,2,62,17,18,27,41,11,8,1,0,21
95AA02W1,839,346,155,191,450,53,236,93,34,47,62,0,59,34,14,8,3,102,31,29,42,43,10,6,0,1,26
95AA03W1,845,323,123,200,479,54,209,69,39,59,42,0,58,31,12,14,1,158,52,51,55,43,10,5,0,1,27
95AA04W1,1014,171,73,98,752,77,557,141,90,197,129,0,47,18,12,13,4,71,17,14,40,91,20,27,1,4,39
95AA05W1,920,192,88,104,675,69,468,91,74,178,125,0,44,17,10,10,7,94,36,21,37,53,19,9,0,4,21
95AA06S1,710,187,90,97,484,44,296,64,54,124,54,0,44,14,11,16,3,100,29,46,25,39,12,13,0,1,13
95AA06S2,860,169,69,100,637,29,435,77,75,215,68,1,43,22,6,14,1,129,43,59,27,54,15,17,0,2,20
95AA07W1,820,201,73,128,569,69,356,108,48,111,89,0,51,24,13,12,2,93,25,31,37,50,14,10,0,7,19
95AA08W1,699,215,67,148,436,48,189,50,35,40,64,0,51,18,14,14,5,148,48,52,48,48,9,12,0,2,25
95AA09W1,943,307,87,220,581,58,279,96,49,63,71,0,68,29,17,14,8,176,65,66,45,55,17,6,0,3,29
95AA10W1,792,199,64,135,542,69,276,94,38,75,69,0,47,17,9,16,5,150,43,51,56,51,19,9,0,3,20
95AA11S1,1123,330,115,215,707,68,423,139,84,140,60,1,99,52,22,19,6,116,40,36,40,86,20,12,0,3,51
