GeographyCode,QS404NI0001,QS404NI0002,QS404NI0003,QS404NI0004,QS404NI0005,QS404NI0006,QS404NI0007
95AA01S1,3,2,0,0,0,1,0
95AA01S2,134,120,0,3,0,3,8
95AA01S3,115,100,1,0,0,10,4
95AA02W1,273,178,0,55,2,18,20
95AA03W1,231,145,0,64,5,9,8
95AA04W1,229,208,2,0,0,10,9
95AA05W1,216,176,1,13,0,12,14
95AA06S1,172,113,3,13,32,3,8
95AA06S2,132,86,2,22,5,6,11
95AA07W1,209,168,0,15,1,13,12
95AA08W1,162,118,1,26,0,6,11
95AA09W1,207,136,0,57,0,4,10
95AA10W1,193,132,1,41,3,9,7
95AA11S1,243,167,0,21,17,25,13
95AA11S2,131,118,2,0,2,3,6
95AA12W1,230,185,0,13,3,11,18
95AA13S1,128,89,2,7,2,16,12
95AA13S2,148,87,0,15,30,9,7
95AA14W1,219,201,0,1,1,8,8
95AA15S1,134,92,2,31,0,4,5
95AA15S2,58,36,0,13,0,4,5
95AA16W1,199,135,0,43,0,4,17
95AA17W1,161,122,2,17,4,6,10
95AA18W1,344,313,0,1,0,12,18
95AA19W1,193,153,0,16,1,11,12
95BB01S1,131,111,0,10,0,2,8
95BB01S2,149,122,0,13,0,4,10
95BB02W1,410,222,0,74,61,24,29
95BB03S1,272,183,0,46,15,17,11
95BB03S2,302,255,1,22,0,12,12
95BB04S1,208,121,0,42,17,12,16
95BB04S2,264,246,1,3,0,6,8
95BB05S1,161,135,0,7,2,8,9
95BB05S2,210,171,0,25,0,8,6
95BB06W1,488,207,1,111,96,51,22
95BB07S1,265,111,0,35,75,21,23
95BB07S2,148,133,0,6,1,2,6
95BB08S1,202,81,0,89,0,7,25
95BB08S2,80,76,0,0,0,2,2
95BB09S1,191,166,0,1,9,10,5
95BB09S2,155,122,0,5,0,23,5
95BB10S1,321,195,2,41,41,23,19
95BB10S2,216,197,0,9,0,10,0
95BB11S1,171,98,1,43,13,7,9
95BB11S2,306,249,0,24,7,13,13
95BB12S1,167,104,1,43,2,7,10
95BB12S2,151,137,0,6,0,3,5
95BB13S1,80,48,0,22,3,2,5
95BB13S2,184,147,0,24,1,1,11
95BB13S3,94,91,0,0,0,1,2
95BB14S1,163,155,0,1,0,0,7
95BB14S2,191,175,0,3,0,9,4
95BB15S1,187,144,0,16,0,14,13
95BB15S2,137,95,0,20,0,15,7
95BB16S1,176,153,0,1,0,20,2
95BB16S2,179,166,1,5,0,5,2
95BB17S1,112,90,5,8,1,5,3
95BB17S2,161,129,0,20,0,8,4
95BB18S1,188,122,0,36,12,9,9
95BB18S2,219,201,2,3,0,8,5
95BB19S1,157,124,0,21,0,7,5
95BB19S2,64,60,0,1,0,3,0
95BB19S3,67,61,0,0,0,5,1
95BB20S1,176,139,1,13,3,14,6
95BB20S2,180,95,2,31,6,21,25
95BB21S1,243,194,0,29,0,14,6
95BB21S2,226,187,0,7,1,21,10
95BB22S1,82,64,0,14,0,3,1
95BB22S2,99,43,0,45,1,2,8
95BB23S1,220,215,0,0,0,2,3
95BB23S2,106,101,4,0,0,0,1
95CC01W1,200,151,0,28,0,13,8
95CC02W1,235,202,0,7,0,12,14
95CC03W1,261,117,2,61,37,34,10
95CC04W1,219,184,0,11,0,6,18
95CC05W1,273,233,0,15,1,11,13
95CC06S1,140,130,0,0,0,9,1
95CC06S2,140,116,1,10,1,4,8
95CC07W1,230,188,0,8,14,11,9
95CC08W1,236,161,1,37,8,16,13
95CC09S1,138,124,0,0,0,6,8
95CC09S2,139,115,0,7,0,9,8
95CC10W1,266,227,0,11,0,14,14
95CC11W1,232,158,2,29,0,22,21
95CC12W1,235,212,0,8,0,4,11
95CC13W1,194,164,0,12,1,8,9
95CC14W1,278,231,0,15,0,18,14
95CC15W1,266,213,3,17,0,16,17
95CC16W1,306,216,2,40,5,15,28
95CC17W1,217,191,0,2,0,10,14
95CC18W1,288,217,0,40,8,6,17
95CC19W1,268,213,0,19,1,16,19
95CC20S1,106,93,0,6,0,3,4
95CC20S2,134,99,1,17,12,0,5
95CC21W1,296,238,1,31,1,13,12
95CC22W1,275,169,0,58,11,15,22
95DD01W1,320,288,0,7,0,15,10
95DD02S1,175,105,0,29,18,10,13
95DD02S2,162,132,0,9,1,11,9
95DD03W1,373,329,0,5,0,20,19
95DD04W1,232,99,0,80,29,8,16
95DD05W1,121,67,2,43,1,4,4
95DD06W1,323,299,1,1,0,8,14
95DD07S1,255,184,2,35,2,16,16
95DD07S2,228,143,1,22,28,18,16
95DD08W1,333,176,0,49,53,30,25
95DD09W1,274,233,0,8,0,19,14
95DD10W1,375,238,1,69,34,13,20
95DD11W1,175,78,1,38,36,12,10
95DD12W1,252,215,0,4,0,12,21
95DD13W1,218,161,0,29,4,14,10
95DD14S1,164,135,2,11,1,8,7
95DD14S2,157,136,2,4,1,8,6
95DD15W1,258,221,1,8,1,12,15
95DD16W1,253,223,0,2,0,16,12
95DD17W1,292,245,0,12,1,15,19
95DD18W1,269,201,0,26,0,25,17
95DD19S1,142,93,0,34,0,7,8
95DD19S2,156,127,1,7,0,3,18
95DD20W1,229,135,0,64,5,10,15
95DD21W1,253,210,0,7,0,22,14
95DD22S1,158,123,0,7,0,15,13
95DD22S2,171,108,0,23,22,7,11
95DD23W1,267,224,1,1,0,19,22
95DD24W1,232,170,0,23,18,16,5
95EE01W1,136,104,1,17,0,6,8
95EE02W1,171,131,0,21,0,11,8
95EE03W1,196,143,1,33,0,10,9
95EE04W1,203,144,1,20,0,24,14
95EE05W1,165,133,0,5,0,12,15
95EE06W1,173,130,0,23,0,10,10
95EE07W1,234,160,1,37,0,19,17
95EE08W1,217,182,1,7,0,12,15
95EE09W1,160,124,0,22,0,6,8
95EE10W1,140,108,0,9,0,12,11
95EE11W1,156,127,0,12,0,13,4
95EE12W1,195,102,1,43,10,18,21
95EE13W1,279,156,1,27,57,25,13
95EE14W1,253,196,0,29,0,15,13
95EE15W1,162,113,2,25,0,6,16
95EE16W1,167,135,0,14,0,8,10
95FF01S1,176,160,0,0,1,10,5
95FF01S2,151,132,0,0,0,12,7
95FF02W1,228,192,0,10,0,14,12
95FF03W1,199,143,0,19,12,11,14
95FF04W1,224,198,0,8,2,4,12
95FF05W1,328,211,2,53,17,11,34
95FF06S1,176,126,1,16,1,20,12
95FF06S2,121,98,0,7,4,6,6
95FF07W1,229,132,0,63,0,9,25
95FF08W1,331,201,0,58,25,17,30
95FF09W1,230,148,0,39,2,20,21
95FF10W1,234,199,1,5,1,11,17
95FF11W1,229,200,0,10,0,8,11
95FF12W1,240,195,0,20,0,10,15
95FF13W1,240,191,0,18,2,10,19
95FF14W1,236,208,0,6,0,12,10
95FF15W1,323,188,2,60,18,28,27
95FF16W1,250,198,0,13,15,12,12
95FF17W1,248,133,1,62,7,19,26
95GG01S1,302,201,1,13,62,20,5
95GG01S2,226,131,1,13,21,53,7
95GG01S3,211,181,0,13,1,8,8
95GG02S1,177,108,1,29,6,19,14
95GG02S2,188,127,1,24,10,21,5
95GG02S3,207,33,1,105,42,2,24
95GG03S1,212,179,2,3,4,17,7
95GG03S2,219,183,0,5,20,8,3
95GG03S3,245,157,1,23,40,10,14
95GG04S1,190,52,0,69,46,10,13
95GG04S2,145,61,0,47,23,3,11
95GG04S3,202,52,3,111,0,13,23
95GG05S1,126,83,0,13,12,14,4
95GG05S2,106,75,1,16,3,8,3
95GG05S3,138,63,0,24,35,8,8
95GG06S1,197,122,0,58,5,4,8
95GG06S2,211,173,0,19,1,13,5
95GG06S3,164,130,0,20,0,8,6
95GG07S1,180,148,0,21,0,8,3
95GG07S2,149,90,0,14,31,8,6
95GG07S3,131,85,0,27,4,9,6
95GG08S1,193,168,1,8,0,9,7
95GG08S2,183,124,0,39,7,8,5
95GG08S3,134,89,0,35,1,3,6
95GG09S1,267,213,0,0,21,29,4
95GG09S2,228,193,0,25,0,5,5
95GG09S3,196,85,0,56,33,6,16
95GG10S1,185,104,1,60,0,12,8
95GG10S2,189,91,0,50,21,14,13
95GG11S1,209,93,1,22,70,18,5
95GG11S2,160,141,1,5,2,6,5
95GG11S3,183,122,0,8,25,21,7
95GG12S1,23,13,0,4,1,4,1
95GG12S2,57,34,0,9,4,10,0
95GG12S3,38,19,0,5,8,6,0
95GG12S4,20,2,1,2,4,11,0
95GG12S5,115,40,0,36,33,4,2
95GG13S1,166,76,0,41,24,15,10
95GG13S2,207,173,0,21,0,3,10
95GG13S3,241,136,0,80,0,6,19
95GG14S1,202,190,0,1,0,6,5
95GG14S2,165,149,0,3,0,7,6
95GG14S3,177,170,0,0,0,5,2
95GG15S1,262,246,0,5,1,4,6
95GG15S2,246,216,0,2,17,9,2
95GG15S3,337,242,2,71,3,4,15
95GG16S1,160,112,0,12,9,23,4
95GG16S2,165,100,0,3,45,14,3
95GG16S3,147,101,0,28,3,4,11
95GG17S1,128,93,0,12,11,8,4
95GG17S2,196,162,1,6,20,5,2
95GG17S3,185,92,0,64,8,10,11
95GG18S1,253,120,1,52,55,11,14
95GG18S2,180,94,0,63,6,6,11
95GG19S1,419,96,0,171,62,22,68
95GG19S2,261,33,0,98,96,11,23
95GG20S1,277,75,0,78,84,19,21
95GG20S2,251,72,1,137,11,4,26
95GG21S1,189,62,1,99,3,3,21
95GG21S2,136,52,0,66,7,5,6
95GG21S3,199,79,0,59,42,5,14
95GG22S1,234,166,0,11,33,12,12
95GG22S2,303,191,0,19,69,9,15
95GG22S3,193,133,0,22,26,8,4
95GG23S1,181,174,0,2,0,3,2
95GG23S2,191,147,0,31,0,7,6
95GG23S3,225,207,0,7,3,4,4
95GG24S1,229,157,0,30,28,8,6
95GG24S2,203,183,0,5,0,11,4
95GG24S3,155,124,0,6,9,14,2
95GG25S1,281,165,0,40,58,7,11
95GG25S2,195,156,1,24,1,7,6
95GG25S3,138,94,0,36,1,4,3
95GG26S1,212,125,2,68,0,10,7
95GG26S2,269,173,0,51,19,19,7
95GG27S1,58,36,0,21,0,1,0
95GG27S2,110,74,0,31,0,1,4
95GG27S3,151,126,0,17,1,3,4
95GG27S4,170,118,0,39,4,4,5
95GG28S1,172,146,0,11,4,6,5
95GG28S2,211,160,1,39,2,4,5
95GG28S3,154,75,0,62,2,3,12
95GG29S1,218,41,3,65,82,9,18
95GG29S2,259,135,0,19,65,32,8
95GG30S1,240,148,2,65,0,5,20
95GG30S2,205,158,0,2,28,14,3
95GG30S3,211,202,0,1,1,1,6
95GG31S1,164,151,0,5,1,5,2
95GG31S2,231,170,3,26,19,2,11
95GG31S3,180,124,0,37,5,3,11
95GG32S1,202,109,0,47,25,8,13
95GG32S2,207,123,0,40,18,12,14
95GG32S3,236,189,0,20,11,8,8
95GG33S1,221,216,0,0,1,3,1
95GG33S2,174,150,0,3,6,15,0
95GG33S3,192,168,1,2,1,18,2
95GG34S1,205,117,1,57,17,4,9
95GG34S2,164,157,0,1,1,2,3
95GG34S3,161,150,1,2,1,3,4
95GG35S1,234,74,0,85,46,10,19
95GG35S2,165,57,1,84,4,2,17
95GG35S3,119,44,1,51,7,8,8
95GG36S1,203,151,2,13,26,8,3
95GG36S2,251,190,3,9,39,7,3
95GG36S3,238,191,3,5,26,6,7
95GG37S1,136,123,0,4,0,7,2
95GG37S2,154,127,1,7,1,12,6
95GG37S3,185,118,2,5,34,20,6
95GG38S1,272,200,0,23,31,10,8
95GG38S2,200,112,1,24,30,19,14
95GG38S3,190,145,0,4,32,3,6
95GG39S1,172,44,0,65,36,6,21
95GG39S2,297,60,0,128,64,11,34
95GG39S3,235,60,0,120,16,16,23
