ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS111NI0001","Count","HOUSEHOLDS","All households"
"QS111NI0002","Count","HOUSEHOLDS","One person household: Total"
"QS111NI0003","Count","HOUSEHOLDS","One person household: Aged 65+ years"
"QS111NI0004","Count","HOUSEHOLDS","One person household: Other"
"QS111NI0005","Count","HOUSEHOLDS","One family and no other people: Total"
"QS111NI0006","Count","HOUSEHOLDS","One family and no other people: All aged 65 + years"
"QS111NI0007","Count","HOUSEHOLDS","One family and no other people: Married couple: Total"
"QS111NI0008","Count","HOUSEHOLDS","One family and no other people: Married couple: No children"
"QS111NI0009","Count","HOUSEHOLDS","One family and no other people: Married couple: One dependent child"
"QS111NI0010","Count","HOUSEHOLDS","One family and no other people: Married couple: Two or more dependent children"
"QS111NI0011","Count","HOUSEHOLDS","One family and no other people: Married couple: All children non-dependent"
"QS111NI0012","Count","HOUSEHOLDS","One family and no other people: Same-sex civil partnership couple: Total"
"QS111NI0013","Count","HOUSEHOLDS","One family and no other people: Cohabiting couple: Total"
"QS111NI0014","Count","HOUSEHOLDS","One family and no other people: Cohabiting couple: No children"
"QS111NI0015","Count","HOUSEHOLDS","One family and no other people: Cohabiting couple: One dependent child"
"QS111NI0016","Count","HOUSEHOLDS","One family and no other people: Cohabiting couple: Two or more dependent children"
"QS111NI0017","Count","HOUSEHOLDS","One family and no other people: Cohabiting couple: All children non-dependent"
"QS111NI0018","Count","HOUSEHOLDS","One family and no other people: Lone parent: Total"
"QS111NI0019","Count","HOUSEHOLDS","One family and no other people: Lone parent: One dependent child"
"QS111NI0020","Count","HOUSEHOLDS","One family and no other people: Lone parent: Two or more dependent children"
"QS111NI0021","Count","HOUSEHOLDS","One family and no other people: Lone parent: All children non-dependent"
"QS111NI0022","Count","HOUSEHOLDS","Other household types: Total"
"QS111NI0023","Count","HOUSEHOLDS","Other household types: With one dependent child"
"QS111NI0024","Count","HOUSEHOLDS","Other household types: With two or more dependent children"
"QS111NI0025","Count","HOUSEHOLDS","Other household types: All full-time students"
"QS111NI0026","Count","HOUSEHOLDS","Other household types: All aged 65 + years"
"QS111NI0027","Count","HOUSEHOLDS","Other household types: Other"
