GeographyCode,QS409NI0001,QS409NI0002,QS409NI0003,QS409NI0004,QS409NI0005
95GG03S2,1833,1167,610,23,33
95GG03S3,2072,1309,696,45,22
95GG04S1,1708,760,854,79,15
95GG04S2,1564,610,832,113,9
95GG04S3,1636,891,670,49,26
95GG05S1,1777,1068,661,30,18
95GG05S2,2009,1096,819,67,27
95GG05S3,2106,1139,845,96,26
95GG06S1,1866,932,793,99,42
95GG06S2,1779,974,739,62,4
95GG06S3,1922,938,930,39,15
95GG07S1,1844,772,890,110,72
95GG07S2,1922,744,987,161,30
95GG07S3,1701,657,927,105,12
95GG08S1,1394,759,576,44,15
95GG08S2,1730,876,765,73,16
95GG08S3,1786,882,830,56,18
95GG09S1,2089,1307,758,14,10
95GG09S2,1856,1053,758,41,4
95GG09S3,2110,1004,964,112,30
95GG10S1,1826,1033,648,123,22
95GG10S2,2171,1095,979,88,9
95GG11S1,1895,1092,691,78,34
95GG11S2,1636,1059,552,3,22
95GG11S3,1858,1113,631,58,56
95GG12S1,1488,513,842,96,37
95GG12S2,1958,638,1184,95,41
95GG12S3,1477,511,837,68,61
95GG12S4,1626,521,921,103,81
95GG12S5,2177,761,1153,214,49
95GG13S1,1329,685,589,39,16
95GG13S2,1731,1033,646,47,5
95GG13S3,1637,909,691,28,9
95GG14S1,1617,894,705,18,0
95GG14S2,1597,946,624,22,5
95GG14S3,1606,830,757,6,13
95GG15S1,1805,1230,558,17,0
95GG15S2,2004,1220,745,20,19
95GG15S3,1881,1152,686,28,15
95GG16S1,1960,1047,793,78,42
95GG16S2,1920,1049,833,26,12
95GG16S3,1486,761,687,30,8
95GG17S1,2031,883,1042,57,49
95GG17S2,1595,798,740,53,4
95GG17S3,1704,819,802,70,13
95GG18S1,2553,1048,1285,194,26
95GG18S2,2422,989,1182,218,33
95GG19S1,1961,1124,762,64,11
95GG19S2,2563,1138,1281,114,30
95GG20S1,2698,1275,1258,110,55
95GG20S2,2094,1050,899,66,79
95GG21S1,1482,598,779,85,20
95GG21S2,1699,631,891,136,41
