GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
95CC07W1,1000,751,99,381,3,58,25,144,37,4,249,112,9,41,58,29
95CC08W1,868,583,95,326,3,31,15,40,69,4,285,127,7,40,71,40
95CC09S1,446,362,29,186,1,41,14,83,6,2,84,69,1,0,3,11
95CC09S2,645,533,61,338,3,35,13,66,17,0,112,80,2,7,19,4
95CC10W1,790,631,56,375,5,59,18,95,21,2,159,129,4,7,14,5
95CC11W1,667,423,79,206,0,25,7,45,57,4,244,102,6,24,76,36
95CC12W1,795,618,75,313,1,52,20,131,25,1,177,115,2,10,33,17
95CC13W1,713,566,69,292,3,52,17,113,17,3,147,68,1,9,53,16
95CC14W1,1006,781,117,483,4,46,19,91,19,2,225,145,2,18,50,10
95CC15W1,880,669,83,400,2,48,18,92,24,2,211,131,3,23,38,16
95CC16W1,926,665,91,393,3,35,15,87,36,5,261,148,6,24,62,21
95CC17W1,806,639,64,337,3,62,25,121,25,2,167,104,2,13,33,15
95CC18W1,809,569,82,366,3,35,13,40,27,3,240,147,4,19,54,16
95CC19W1,853,660,71,360,2,53,21,131,19,3,193,115,1,20,42,15
95CC20S1,434,349,35,245,5,15,7,30,12,0,85,64,2,9,8,2
95CC20S2,581,463,53,329,0,15,9,39,17,1,118,76,0,9,20,13
95CC21W1,1032,780,90,528,1,32,22,62,39,6,252,149,4,25,57,17
95CC22W1,692,455,81,293,0,9,6,23,39,4,237,133,5,15,58,26
95DD01W1,689,476,62,318,1,41,10,34,8,2,213,173,3,9,20,8
95DD02S1,519,377,52,278,1,3,7,21,14,1,142,90,1,10,26,15
95DD02S2,810,685,54,510,2,36,8,57,16,2,125,83,3,8,21,10
95DD03W1,1228,966,100,691,1,46,14,87,20,7,262,205,5,19,17,16
95DD04W1,739,445,111,253,1,5,5,21,42,7,294,122,1,48,92,31
95DD05W1,651,403,94,232,0,6,7,21,41,2,248,101,1,49,71,26
95DD06W1,792,598,67,424,2,38,10,43,12,2,194,170,1,5,8,10
95DD07S1,556,391,60,269,0,22,7,22,9,2,165,117,2,15,18,13
95DD07S2,598,457,57,305,6,17,13,41,13,5,141,101,4,7,21,8
95DD08W1,839,552,80,379,2,13,6,28,40,4,287,129,4,19,106,29
95DD09W1,797,645,45,378,3,59,18,125,14,3,152,119,0,5,17,11
95DD10W1,996,703,113,459,6,18,18,43,41,5,293,184,2,28,50,29
95DD11W1,882,590,112,355,2,15,8,31,62,5,292,106,3,63,82,38
95DD12W1,766,612,41,353,2,60,16,127,10,3,154,111,1,7,26,9
95DD13W1,630,434,69,283,2,11,12,25,32,0,196,108,4,25,45,14
95DD14S1,537,416,42,301,2,17,11,30,12,1,121,81,1,15,21,3
95DD14S2,529,437,39,305,2,50,4,30,6,1,92,80,1,4,5,2
95DD15W1,1061,848,82,518,1,67,19,129,30,2,213,132,2,23,42,14
95DD16W1,898,743,79,424,3,62,15,146,13,1,155,116,1,6,19,13
95DD17W1,1012,839,70,482,4,63,21,180,17,2,173,118,0,14,31,10
95DD18W1,729,503,82,321,0,14,12,34,38,2,226,137,1,13,55,20
95DD19S1,668,508,64,350,0,13,9,49,22,1,160,88,0,17,43,12
95DD19S2,469,372,37,233,0,26,8,54,11,3,97,83,0,4,7,3
95DD20W1,708,432,103,263,2,1,9,11,41,2,276,119,3,26,97,31
95DD21W1,770,578,72,399,2,21,9,41,28,6,192,126,1,27,23,15
95DD22S1,469,353,41,202,2,20,10,70,8,0,116,62,3,9,32,10
95DD22S2,508,359,27,213,2,27,10,66,13,1,149,74,2,15,48,10
95DD23W1,736,618,46,311,2,67,19,159,12,2,118,82,1,9,20,6
95DD24W1,882,675,77,476,1,29,9,53,28,2,207,134,4,20,36,13
95EE01W1,534,401,31,201,1,31,15,97,24,1,133,78,2,14,30,9
95EE02W1,708,524,52,304,1,37,11,81,36,2,184,94,2,19,52,17
95EE03W1,722,482,63,302,1,22,12,35,43,4,240,102,2,37,71,28
95EE04W1,631,479,46,301,1,36,10,56,26,3,152,93,0,14,27,18
95EE05W1,502,373,36,202,2,37,15,60,20,1,129,87,0,7,27,8
95EE06W1,608,487,46,274,1,29,15,94,24,4,121,72,1,12,20,16
95EE07W1,619,418,75,258,0,11,13,35,26,0,201,111,4,28,45,13
95EE08W1,600,425,35,284,1,30,8,32,34,1,175,114,2,12,32,15
95EE09W1,522,413,45,209,1,35,10,94,17,2,109,56,2,12,28,11
95EE10W1,536,416,36,236,1,31,6,79,26,1,120,75,0,14,21,10
95EE11W1,474,373,28,183,1,43,13,93,11,1,101,68,0,10,17,6
95EE12W1,980,667,114,403,0,22,11,44,68,5,313,128,5,52,92,36
95EE13W1,572,327,56,180,3,24,13,22,28,1,245,136,4,19,62,24
95EE14W1,889,658,73,416,1,39,22,70,34,3,231,130,0,26,58,17
95EE15W1,530,396,35,199,6,43,8,85,19,1,134,80,3,8,33,10
95EE16W1,625,479,39,280,2,50,13,80,15,0,146,89,1,20,26,10
95FF01S1,713,584,62,418,0,27,11,51,11,4,129,105,1,6,10,7
95FF01S2,883,750,73,519,4,51,15,63,21,4,133,77,3,19,23,11
95FF02W1,810,654,56,301,3,57,26,174,33,4,156,92,2,12,33,17
95FF03W1,1075,834,117,571,1,18,23,64,35,5,241,112,2,35,71,21
95FF04W1,742,612,48,319,2,57,22,142,20,2,130,84,0,10,27,9
95FF05W1,948,680,87,468,1,26,8,57,32,1,268,159,5,25,64,15
95FF06S1,728,590,65,431,3,20,9,42,18,2,138,82,2,13,23,18
95FF06S2,671,579,42,412,2,28,13,64,17,1,92,65,3,7,15,2
95FF07W1,1050,696,122,416,2,21,14,42,75,4,354,138,9,42,129,36
95FF08W1,812,559,72,366,5,23,15,45,30,3,253,153,3,13,67,17
95FF09W1,890,626,68,399,2,44,19,67,23,4,264,127,4,22,83,28
95FF10W1,1126,948,68,572,1,67,27,179,31,3,178,117,0,14,37,10
95FF11W1,759,625,38,353,3,44,19,148,17,3,134,90,0,10,24,10
95FF12W1,916,687,70,448,1,57,14,72,21,4,229,145,0,20,53,11
95FF13W1,866,662,67,378,3,66,23,106,16,3,204,126,5,12,49,12
