GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
95DD03W1,1389,305,142,163,1084,73,274,204,229,51,65,188
95DD04W1,859,303,127,176,556,101,132,89,77,18,48,91
95DD05W1,685,174,51,123,511,92,115,55,70,24,53,102
95DD06W1,944,187,109,78,757,14,161,198,109,28,64,183
95DD07S1,689,186,99,87,503,39,104,139,80,16,34,91
95DD07S2,723,211,109,102,512,35,99,106,111,26,39,96
95DD08W1,1041,485,218,267,556,51,153,85,82,14,37,134
95DD09W1,929,164,78,86,765,24,154,157,129,50,70,181
95DD10W1,1180,361,195,166,819,67,187,145,146,37,54,183
95DD11W1,955,301,102,199,654,109,157,58,141,36,58,95
95DD12W1,890,163,82,81,727,16,124,135,131,49,95,177
95DD13W1,741,272,114,158,469,56,88,84,70,20,49,102
95DD14S1,626,154,73,81,472,38,99,82,95,21,47,90
95DD14S2,607,105,43,62,502,12,95,103,94,28,43,127
95DD15W1,1174,239,93,146,935,50,168,116,180,88,111,222
95DD16W1,1019,197,93,104,822,30,155,113,145,57,85,237
95DD17W1,1148,192,93,99,956,30,175,136,190,77,120,228
95DD18W1,873,311,118,193,562,49,167,130,68,15,26,107
95DD19S1,732,193,74,119,539,55,131,63,125,24,44,97
95DD19S2,543,104,49,55,439,10,89,99,83,22,35,101
95DD20W1,826,330,101,229,496,66,119,107,54,17,38,95
95DD21W1,891,242,108,134,649,68,148,123,114,19,34,143
95DD22S1,559,139,62,77,420,13,81,72,64,22,52,116
95DD22S2,597,170,84,86,427,30,79,63,87,21,43,104
95DD23W1,881,154,81,73,727,17,119,148,145,35,75,188
95DD24W1,990,198,93,105,792,54,168,119,151,36,79,185
95EE01W1,592,93,35,58,499,25,67,72,95,50,72,118
95EE02W1,790,186,71,115,604,29,155,72,126,35,51,136
95EE03W1,808,231,85,146,577,44,131,100,114,25,51,112
95EE04W1,736,168,75,93,568,25,131,86,98,32,63,133
95EE05W1,577,135,64,71,442,14,116,76,69,18,46,103
95EE06W1,692,123,72,51,569,16,55,72,127,57,99,143
95EE07W1,740,207,107,100,533,51,97,121,113,19,45,87
95EE08W1,711,224,94,130,487,29,126,109,61,20,39,103
95EE09W1,605,95,40,55,510,11,74,86,90,32,74,143
95EE10W1,598,116,48,68,482,11,83,67,92,49,50,130
95EE11W1,551,82,46,36,469,8,84,76,60,36,65,140
95EE12W1,1059,310,88,222,749,97,204,90,161,24,50,123
95EE13W1,718,297,155,142,421,23,90,104,66,21,25,92
95EE14W1,1016,213,99,114,803,47,182,134,179,47,67,147
95EE15W1,606,129,61,68,477,11,94,68,96,33,52,123
95EE16W1,709,132,52,80,577,18,106,82,129,39,77,126
95FF01S1,781,160,69,91,621,38,142,93,143,25,53,127
95FF01S2,959,175,50,125,784,76,174,82,198,45,68,141
95FF02W1,923,190,90,100,733,28,121,89,139,89,85,182
95FF03W1,1169,268,88,180,901,114,223,92,189,45,68,170
95FF04W1,862,136,77,59,726,18,131,108,125,74,78,192
95FF05W1,1119,367,145,222,752,78,164,147,151,32,35,145
95FF06S1,820,224,81,143,596,49,177,85,149,28,35,73
95FF06S2,720,130,42,88,590,34,119,70,157,53,59,98
95FF07W1,1154,363,111,252,791,137,169,97,160,39,54,135
95FF08W1,993,351,184,167,642,48,125,126,114,28,58,143
95FF09W1,1000,300,111,189,700,61,145,108,134,49,64,139
95FF10W1,1216,228,69,159,988,40,215,125,234,84,92,198
95FF11W1,873,157,85,72,716,14,142,104,132,63,75,186
95FF12W1,1018,229,86,143,789,46,186,111,134,43,77,192
95FF13W1,977,218,89,129,759,36,151,115,127,69,73,188
95FF14W1,862,149,68,81,713,7,148,140,140,53,61,164
95FF15W1,1073,335,170,165,738,72,137,124,134,48,66,157
95FF16W1,927,255,104,151,672,44,126,134,137,33,40,158
95FF17W1,857,378,143,235,479,52,136,96,71,21,25,78
95GG01S1,739,226,128,98,513,42,96,122,52,13,50,138
95GG01S2,624,226,121,105,398,35,77,78,34,11,56,107
95GG01S3,641,197,91,106,444,39,61,92,47,16,57,132
95GG02S1,749,245,89,156,504,128,93,68,55,17,56,87
95GG02S2,859,282,96,186,577,185,100,67,62,13,49,101
95GG02S3,960,358,122,236,602,173,107,54,73,13,68,114
95GG03S1,895,333,112,221,562,38,175,95,122,37,31,64
95GG03S2,767,242,114,128,525,18,127,93,107,25,28,127
95GG03S3,1005,404,132,272,601,45,198,106,114,15,30,93
95GG04S1,801,323,115,208,478,108,112,58,71,8,36,85
95GG04S2,640,232,88,144,408,110,65,33,52,14,49,85
95GG04S3,856,405,120,285,451,84,120,79,58,10,26,74
95GG05S1,845,325,67,258,520,39,204,49,97,19,22,90
95GG05S2,948,360,69,291,588,38,247,26,107,13,29,128
95GG05S3,1007,393,89,304,614,78,234,38,75,9,25,155
