GeographyCode,QS411NI0001,QS411NI0002,QS411NI0003
95AA01S1,368,368,0
95AA01S2,652,652,0
95AA01S3,633,633,0
95AA02W1,929,929,0
95AA03W1,880,880,0
95AA04W1,1061,1061,0
95AA05W1,960,960,0
95AA06S1,741,741,0
95AA06S2,888,888,0
95AA07W1,854,854,0
95AA08W1,734,734,0
95AA09W1,975,975,0
95AA10W1,812,812,0
95AA11S1,1159,1159,0
95AA11S2,885,885,0
95AA12W1,1014,1014,0
95AA13S1,680,679,1
95AA13S2,631,631,0
95AA14W1,820,820,0
95AA15S1,1050,1050,0
95AA15S2,591,591,0
95AA16W1,865,865,0
95AA17W1,884,884,0
95AA18W1,1076,1076,0
95AA19W1,848,848,0
95BB01S1,577,577,0
95BB01S2,779,779,0
95BB02W1,1167,1167,0
95BB03S1,962,962,0
95BB03S2,1008,1008,0
95BB04S1,665,665,0
95BB04S2,693,693,0
95BB05S1,600,600,0
95BB05S2,805,805,0
95BB06W1,1670,1670,0
95BB07S1,877,877,0
95BB07S2,506,506,0
95BB08S1,596,596,0
95BB08S2,487,487,0
95BB09S1,580,580,0
95BB09S2,752,752,0
95BB10S1,1002,1002,0
95BB10S2,683,683,0
95BB11S1,643,643,0
95BB11S2,789,789,0
95BB12S1,663,663,0
95BB12S2,528,528,0
95BB13S1,519,519,0
95BB13S2,623,623,0
95BB13S3,586,586,0
95BB14S1,590,590,0
95BB14S2,661,661,0
95BB15S1,782,782,0
95BB15S2,626,626,0
95BB16S1,594,594,0
95BB16S2,637,637,0
95BB17S1,745,745,0
95BB17S2,702,702,0
95BB18S1,789,789,0
95BB18S2,970,970,0
95BB19S1,676,676,0
95BB19S2,605,605,0
95BB19S3,490,490,0
95BB20S1,745,745,0
95BB20S2,696,696,0
95BB21S1,1017,1017,0
95BB21S2,1060,1060,0
95BB22S1,619,619,0
95BB22S2,620,620,0
95BB23S1,654,654,0
95BB23S2,531,531,0
95CC01W1,956,956,0
95CC02W1,931,931,0
95CC03W1,1200,1200,0
95CC04W1,891,891,0
95CC05W1,1021,1021,0
95CC06S1,611,611,0
95CC06S2,539,539,0
95CC07W1,1234,1234,0
95CC08W1,1056,1056,0
95CC09S1,539,539,0
95CC09S2,751,751,0
95CC10W1,974,974,0
95CC11W1,896,896,0
95CC12W1,959,959,0
95CC13W1,869,869,0
95CC14W1,1192,1192,0
95CC15W1,1092,1092,0
95CC16W1,1126,1126,0
95CC17W1,971,971,0
95CC18W1,1017,1017,0
95CC19W1,1053,1053,0
95CC20S1,497,497,0
95CC20S2,668,668,0
95CC21W1,1237,1237,0
95CC22W1,911,911,0
95DD01W1,881,881,0
95DD02S1,615,615,0
95DD02S2,918,918,0
95DD03W1,1431,1431,0
95DD04W1,886,886,0
95DD05W1,705,705,0
95DD06W1,967,967,0
95DD07S1,720,720,0
95DD07S2,747,747,0
95DD08W1,1098,1098,0
95DD09W1,981,981,0
95DD10W1,1224,1224,0
95DD11W1,974,974,0
95DD12W1,934,934,0
95DD13W1,768,768,0
95DD14S1,651,651,0
95DD14S2,637,637,0
95DD15W1,1228,1228,0
95DD16W1,1092,1092,0
95DD17W1,1207,1207,0
95DD18W1,933,933,0
95DD19S1,753,753,0
95DD19S2,566,566,0
95DD20W1,866,866,0
95DD21W1,927,927,0
95DD22S1,595,595,0
95DD22S2,614,614,0
95DD23W1,950,950,0
95DD24W1,1005,1005,0
95EE01W1,600,600,0
95EE02W1,823,823,0
95EE03W1,838,838,0
95EE04W1,758,758,0
95EE05W1,600,600,0
95EE06W1,712,712,0
95EE07W1,767,767,0
95EE08W1,777,777,0
95EE09W1,632,632,0
95EE10W1,619,619,0
95EE11W1,567,567,0
95EE12W1,1095,1095,0
95EE13W1,784,783,1
95EE14W1,1060,1060,0
95EE15W1,628,628,0
95EE16W1,757,757,0
95FF01S1,802,802,0
95FF01S2,993,993,0
95FF02W1,1007,1007,0
95FF03W1,1216,1216,0
95FF04W1,920,920,0
95FF05W1,1193,1192,1
95FF06S1,860,860,0
95FF06S2,748,748,0
95FF07W1,1222,1222,0
95FF08W1,1040,1040,0
95FF09W1,1066,1066,0
95FF10W1,1309,1309,0
95FF11W1,938,938,0
95FF12W1,1059,1059,0
95FF13W1,1019,1019,0
95FF14W1,953,953,0
95FF15W1,1136,1136,0
95FF16W1,976,976,0
95FF17W1,919,919,0
95GG01S1,750,750,0
95GG01S2,636,635,1
95GG01S3,668,668,0
95GG02S1,796,796,0
