ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS113NI0001","Count","HOUSEHOLDS","All households"
"QS113NI0002","Count","HOUSEHOLDS","One person household: Total"
"QS113NI0003","Count","HOUSEHOLDS","One person household: Person aged 65+ years "
"QS113NI0004","Count","HOUSEHOLDS","One person household: Person aged <65 years"
"QS113NI0005","Count","HOUSEHOLDS","Other households: Total"
"QS113NI0006","Count","HOUSEHOLDS","Other households: One adult and one or more children "
"QS113NI0007","Count","HOUSEHOLDS","Other households: Two adults aged 16-64 years and no children "
"QS113NI0008","Count","HOUSEHOLDS","Other households: Two adults, of whom at least one aged 65+ years, and no children "
"QS113NI0009","Count","HOUSEHOLDS","Other households: Two adults and one or two children "
"QS113NI0010","Count","HOUSEHOLDS","Other households: Two adults and three or more children"
"QS113NI0011","Count","HOUSEHOLDS","Other households: Three or more adults and one or more children "
"QS113NI0012","Count","HOUSEHOLDS","Other households: Three or more adults and no children "
