GeographyCode,QS105NI0001,QS105NI0002,QS105NI0003
95GG18S2,2422,1197,1225
95GG19S1,2019,935,1084
95GG19S2,2563,1181,1382
95GG20S1,2807,1516,1291
95GG20S2,2094,1003,1091
95GG21S1,1497,732,765
95GG21S2,1752,786,966
95GG21S3,1935,970,965
95GG22S1,1687,786,901
95GG22S2,1935,887,1048
95GG22S3,1721,789,932
95GG23S1,1418,673,745
95GG23S2,1552,713,839
95GG23S3,1585,749,836
95GG24S1,1388,590,798
95GG24S2,1540,745,795
95GG24S3,1633,750,883
95GG25S1,2158,1063,1095
95GG25S2,1839,892,947
95GG25S3,1576,743,833
95GG26S1,1995,965,1030
95GG26S2,1754,812,942
95GG27S1,1548,758,790
95GG27S2,1614,754,860
95GG27S3,1705,909,796
95GG27S4,1631,776,855
95GG28S1,2149,1043,1106
95GG28S2,1733,831,902
95GG28S3,1769,805,964
95GG29S1,2257,1087,1170
95GG29S2,2757,1289,1468
95GG30S1,1604,771,833
95GG30S2,1685,788,897
95GG30S3,1538,737,801
95GG31S1,2227,1049,1178
95GG31S2,2032,975,1057
95GG31S3,2260,1062,1198
95GG32S1,3232,1514,1718
95GG32S2,1553,733,820
95GG32S3,1624,774,850
95GG33S1,1951,937,1014
95GG33S2,1639,796,843
95GG33S3,1965,958,1007
95GG34S1,1452,661,791
95GG34S2,1590,779,811
95GG34S3,1885,941,944
95GG35S1,1970,950,1020
95GG35S2,1478,729,749
95GG35S3,1502,714,788
95GG36S1,1794,868,926
95GG36S2,1926,922,1004
95GG36S3,1899,897,1002
95GG37S1,2082,1001,1081
95GG37S2,1826,848,978
95GG37S3,2133,1059,1074
95GG38S1,3099,1496,1603
95GG38S2,1880,845,1035
95GG38S3,1585,729,856
95GG39S1,2409,1303,1106
95GG39S2,2711,1397,1314
95GG39S3,2094,1040,1054
95GG40S1,1697,790,907
95GG40S2,2119,997,1122
95GG41S1,1926,935,991
95GG41S2,1524,748,776
95GG41S3,2098,991,1107
95GG42S1,1826,873,953
95GG42S2,1784,776,1008
95GG42S3,2261,1086,1175
95GG42S4,2268,1140,1128
95GG43S1,1480,719,761
95GG43S2,1670,783,887
95GG43S3,1724,840,884
95GG44S1,2864,1448,1416
95GG44S2,2727,1394,1333
95GG45S1,1670,790,880
95GG45S2,1554,724,830
95GG45S3,1617,744,873
95GG46S1,1712,796,916
95GG46S2,1874,864,1010
95GG46S3,1664,798,866
95GG47S1,2314,1225,1089
95GG47S2,1717,821,896
95GG47S3,1798,917,881
95GG48S1,1615,764,851
95GG48S2,2411,1114,1297
95GG48S3,1668,782,886
95GG49S1,1662,779,883
95GG49S2,2270,1203,1067
95GG49S3,2142,1023,1119
95GG49S4,2067,988,1079
95GG50S1,1499,717,782
95GG50S2,2061,979,1082
95GG50S3,1885,931,954
95GG51S1,1353,643,710
95GG51S2,1399,669,730
95GG51S3,1336,641,695
95HH01W1,2059,997,1062
95HH02S1,1358,666,692
95HH02S2,1604,814,790
95HH03W1,1663,787,876
95HH04S1,1709,834,875
95HH04S2,1358,669,689
95HH05W1,2171,1035,1136
95HH06S1,2231,1119,1112
95HH06S2,2566,1270,1296
95HH07W1,1493,725,768
95HH08W1,2619,1250,1369
95HH09W1,2620,1250,1370
95HH10W1,2489,1221,1268
95HH11W1,1417,634,783
95HH12W1,1552,741,811
95HH13W1,1407,669,738
95HH14W1,1530,727,803
95HH15W1,2630,1194,1436
95HH16W1,2159,1027,1132
95HH17W1,2479,1222,1257
95II01S1,1550,760,790
95II01S2,1534,756,778
95II02S1,1781,917,864
95II02S2,1700,833,867
95II02S3,1480,711,769
95II03S1,1739,847,892
95II03S2,1784,857,927
95II04S1,2352,1144,1208
95II04S2,1965,931,1034
95II05S1,1634,795,839
95II05S2,1912,890,1022
95II06S1,1519,737,782
95II06S2,1879,891,988
95II07W1,2090,989,1101
95II08W1,2417,1143,1274
95II09S1,1950,945,1005
95II09S2,1413,673,740
95II10W1,2592,1238,1354
95II11W1,2567,1207,1360
95II12W1,2512,1215,1297
95II13W1,2702,1284,1418
95II14W1,2561,1219,1342
95II15S1,1793,869,924
95II15S2,1564,770,794
95II16W1,2126,1032,1094
95II17W1,2493,1196,1297
95II18W1,2226,1045,1181
95II19S1,1826,926,900
95II19S2,1944,985,959
95II20W1,2780,1287,1493
95II21W1,2419,1123,1296
95II22W1,2248,1049,1199
95II23W1,2190,1023,1167
95JJ01W1,2499,1266,1233
95JJ02W1,2374,1155,1219
95JJ03S1,1406,685,721
95JJ03S2,1064,512,552
95JJ04S1,1546,782,764
95JJ04S2,1565,753,812
95JJ05W1,1835,880,955
95JJ06W1,2472,1191,1281
95JJ07W1,2665,1225,1440
95JJ08S1,1377,690,687
95JJ08S2,1899,883,1016
95JJ09W1,1990,1013,977
95JJ10W1,2795,1412,1383
95JJ11S1,1821,879,942
95JJ11S2,1949,922,1027
95JJ12W1,2724,1383,1341
95JJ13S1,2144,1054,1090
95JJ13S2,1751,886,865
95JJ14W1,2325,1158,1167
95JJ15W1,1879,899,980
95JJ16W1,1799,866,933
95JJ17W1,2455,1272,1183
95JJ18W1,2032,982,1050
95JJ19S1,1690,818,872
95JJ19S2,1252,567,685
95JJ20S1,2173,1058,1115
95JJ20S2,1919,917,1002
95JJ21W1,2873,1324,1549
95JJ22W1,2794,1310,1484
95KK01W1,2578,1315,1263
95KK02W1,2029,998,1031
95KK03W1,2357,1176,1181
95KK04W1,2787,1348,1439
95KK05W1,2616,1333,1283
95KK06W1,1885,891,994
95KK07W1,2045,1068,977
95KK08W1,2646,1300,1346
95KK09W1,2187,1106,1081
95KK10W1,2181,1129,1052
95KK11W1,2373,1134,1239
95KK12W1,2309,1165,1144
95KK13W1,1817,926,891
95KK14W1,2041,1004,1037
95KK15W1,2946,1474,1472
95KK16W1,2216,1098,1118
95LL01S1,2488,1245,1243
95LL01S2,2443,1234,1209
95LL02S1,1612,763,849
95LL02S2,1430,736,694
95LL03W1,2436,1176,1260
95LL04W1,2985,1431,1554
95LL05S1,2383,1177,1206
95LL05S2,1736,882,854
95LL06S1,1654,807,847
95LL06S2,1718,808,910
95LL07W1,2131,1028,1103
95LL08S1,1649,786,863
95LL08S2,1671,833,838
95LL09S1,1467,729,738
95LL09S2,1683,768,915
95LL10S1,3074,1520,1554
95LL10S2,2401,1213,1188
95LL11S1,1538,779,759
95LL11S2,2451,1247,1204
95LL12S1,2929,1415,1514
95LL12S2,1283,602,681
95LL13S1,1401,679,722
95LL13S2,1344,670,674
95LL14S1,1270,626,644
95LL14S2,1381,691,690
95LL15S1,1449,691,758
95LL15S2,1599,786,813
95LL16S1,2791,1359,1432
95LL16S2,3316,1625,1691
95LL17W1,2539,1198,1341
95LL18S1,1974,917,1057
95LL18S2,1377,677,700
95LL19S1,2283,1116,1167
95LL19S2,2865,1395,1470
95LL20W1,2401,1193,1208
95LL21W1,3983,1947,2036
95LL22W1,3728,1918,1810
95LL23W1,2157,1075,1082
95LL24S1,2027,1033,994
95LL24S2,1742,861,881
95LL25S1,2583,1288,1295
95LL25S2,1953,980,973
95LL26S1,1519,822,697
95LL26S2,2179,1050,1129
95MM01S1,1471,706,765
95MM01S2,1777,871,906
95MM01S3,1614,784,830
95MM02S1,1559,732,827
95MM02S2,1685,837,848
95MM03W1,3508,1781,1727
95MM04W1,2151,1031,1120
95MM05W1,2495,1198,1297
95MM06S1,1376,639,737
95MM06S2,1227,565,662
95MM07W1,2601,1212,1389
95MM08S1,1291,627,664
95MM08S2,1656,821,835
95MM09S1,1588,776,812
95MM09S2,1974,1015,959
95MM10S1,1456,643,813
95MM10S2,1294,650,644
95MM11W1,2277,1064,1213
95MM12S1,2022,998,1024
95MM12S2,1298,591,707
95MM12S3,2538,1185,1353
95MM13S1,1205,604,601
95MM13S2,1236,565,671
95MM13S3,1569,760,809
95MM13S4,2553,1232,1321
95MM13S5,2309,1107,1202
95MM14S1,833,372,461
95MM14S2,1736,821,915
95MM15S1,1753,878,875
95MM15S2,2648,1332,1316
95MM16S1,2407,1191,1216
95MM16S2,3338,1611,1727
95MM17S1,1962,989,973
95MM17S2,1787,895,892
95MM18S1,2241,1147,1094
95MM18S2,2939,1427,1512
95MM19S1,1558,765,793
95MM19S2,1486,734,752
95MM20S1,1614,789,825
95MM20S2,1752,830,922
95MM21S1,1644,798,846
95MM21S2,1762,846,916
95MM22S1,1239,610,629
95MM22S2,1253,604,649
95MM23W1,2521,1338,1183
95MM24W1,2503,1187,1316
95MM25S1,1289,608,681
95MM25S2,1458,667,791
95MM25S3,1559,734,825
95MM25S4,2057,995,1062
95MM26S1,1745,827,918
95MM26S2,1386,673,713
95MM27S1,2002,1115,887
95MM27S2,1831,903,928
95MM28W1,2351,1247,1104
95MM29W1,3410,1709,1701
95MM30W1,2083,1012,1071
95NN01S1,1492,712,780
95NN01S2,1686,882,804
95NN02W1,2211,1049,1162
95NN03S1,1319,622,697
95NN03S2,1577,768,809
95NN04W1,2934,1436,1498
95NN05W1,2497,1186,1311
95NN06S1,1095,549,546
95NN06S2,2447,1219,1228
95NN07S1,1687,804,883
95NN07S2,1571,753,818
95NN08S1,1501,753,748
95NN08S2,1768,871,897
95NN09S1,1695,871,824
95NN09S2,1326,656,670
95NN10S1,1507,731,776
95NN10S2,1686,833,853
95NN11S1,1784,871,913
95NN11S2,2092,1052,1040
95NN12W1,2851,1416,1435
95NN13W1,3058,1525,1533
95NN14S1,1781,876,905
95NN14S2,1778,1011,767
95NN15W1,2994,1440,1554
