GeographyCode,QS603NI0001,QS603NI0002,QS603NI0003,QS603NI0004
95AA01S1,26,7,0,19
95AA01S2,114,39,14,61
95AA01S3,80,28,9,43
95AA02W1,71,31,9,31
95AA03W1,68,21,8,39
95AA04W1,231,88,18,125
95AA05W1,169,61,9,99
95AA06S1,148,59,17,72
95AA06S2,208,65,22,121
95AA07W1,105,33,10,62
95AA08W1,82,23,16,43
95AA09W1,117,38,10,69
95AA10W1,111,44,16,51
95AA11S1,118,35,14,69
95AA11S2,135,65,12,58
95AA12W1,202,58,7,137
95AA13S1,102,34,7,61
95AA13S2,81,22,7,52
95AA14W1,149,61,9,79
95AA15S1,129,53,17,59
95AA15S2,83,31,8,44
95AA16W1,85,36,1,48
95AA17W1,116,34,9,73
95AA18W1,135,53,2,80
95AA19W1,196,51,10,135
95BB01S1,100,40,3,57
95BB01S2,127,37,7,83
95BB02W1,125,41,14,70
95BB03S1,74,16,8,50
95BB03S2,104,26,6,72
95BB04S1,86,22,8,56
95BB04S2,74,22,5,47
95BB05S1,73,28,4,41
95BB05S2,83,26,3,54
95BB06W1,133,39,17,77
95BB07S1,66,22,8,36
95BB07S2,76,27,4,45
95BB08S1,61,22,6,33
95BB08S2,60,17,2,41
95BB09S1,56,22,2,32
95BB09S2,107,44,5,58
95BB10S1,59,18,2,39
95BB10S2,95,28,2,65
95BB11S1,67,20,7,40
95BB11S2,85,29,5,51
95BB12S1,71,17,9,45
95BB12S2,80,26,2,52
95BB13S1,121,42,13,66
95BB13S2,69,22,5,42
95BB13S3,92,26,15,51
95BB14S1,98,30,2,66
95BB14S2,97,25,6,66
95BB15S1,101,29,11,61
95BB15S2,112,32,14,66
95BB16S1,108,37,3,68
95BB16S2,82,19,3,60
95BB17S1,85,24,8,53
95BB17S2,90,29,4,57
95BB18S1,66,19,5,42
95BB18S2,119,38,5,76
95BB19S1,78,25,9,44
95BB19S2,117,43,11,63
95BB19S3,101,41,8,52
95BB20S1,103,31,2,70
95BB20S2,102,21,6,75
95BB21S1,112,38,5,69
95BB21S2,124,37,10,77
95BB22S1,70,13,11,46
95BB22S2,70,23,4,43
95BB23S1,81,30,6,45
95BB23S2,104,34,6,64
95CC01W1,174,48,14,112
95CC02W1,212,62,15,135
95CC03W1,172,40,8,124
95CC04W1,186,52,6,128
95CC05W1,189,41,23,125
95CC06S1,86,17,11,58
95CC06S2,71,19,7,45
95CC07W1,257,52,14,191
95CC08W1,175,31,14,130
95CC09S1,99,25,3,71
95CC09S2,97,25,5,67
95CC10W1,169,52,7,110
95CC11W1,98,16,6,76
95CC12W1,206,59,11,136
95CC13W1,177,56,7,114
95CC14W1,151,46,11,94
95CC15W1,197,44,12,141
95CC16W1,177,63,5,109
95CC17W1,202,52,16,134
95CC18W1,146,30,6,110
95CC19W1,164,47,5,112
95CC20S1,76,19,3,54
95CC20S2,88,19,3,66
95CC21W1,145,53,4,88
95CC22W1,98,27,7,64
95DD01W1,103,31,1,71
95DD02S1,86,27,3,56
95DD02S2,118,34,13,71
95DD03W1,172,50,19,103
95DD04W1,101,27,21,53
95DD05W1,99,32,7,60
95DD06W1,146,46,7,93
95DD07S1,66,16,3,47
95DD07S2,94,30,8,56
95DD08W1,91,24,12,55
95DD09W1,150,38,10,102
95DD10W1,140,50,10,80
95DD11W1,124,33,4,87
95DD12W1,169,48,15,106
95DD13W1,73,16,5,52
95DD14S1,82,24,8,50
95DD14S2,115,33,8,74
95DD15W1,198,52,9,137
95DD16W1,165,56,11,98
95DD17W1,240,68,17,155
95DD18W1,64,26,3,35
95DD19S1,107,34,10,63
95DD19S2,79,24,1,54
95DD20W1,67,19,9,39
95DD21W1,113,40,11,62
95DD22S1,113,33,2,78
95DD22S2,87,17,4,66
95DD23W1,152,55,1,96
95DD24W1,170,53,21,96
95EE01W1,137,13,13,111
95EE02W1,109,34,10,65
95EE03W1,110,24,8,78
95EE04W1,133,28,8,97
95EE05W1,91,15,6,70
