GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
95CC02W1,2693,2364,1169,1195,0,75,37,38,209,156,3,47,3,45
95CC03W1,2791,1246,402,825,19,654,580,74,827,762,3,22,40,64
95CC04W1,2384,2051,986,1065,0,96,96,0,199,168,3,28,0,38
95CC05W1,2749,2306,1026,1272,8,80,52,28,304,245,9,43,7,59
95CC06S1,1458,1216,488,728,0,8,6,2,215,188,0,27,0,19
95CC06S2,1292,1000,366,627,7,100,91,9,176,168,5,3,0,16
95CC07W1,3475,2837,1290,1547,0,221,74,147,358,320,0,32,6,59
95CC08W1,2511,1577,544,1019,14,360,288,72,522,467,6,38,11,52
95CC09S1,1485,1372,642,730,0,0,0,0,87,68,0,14,5,26
95CC09S2,1838,1486,601,882,3,65,65,0,261,216,17,27,1,26
95CC10W1,2495,2180,1127,1046,7,54,51,3,219,197,2,18,2,42
95CC11W1,1787,1141,541,590,10,201,197,4,383,335,11,36,1,62
95CC12W1,2751,2480,1308,1168,4,71,71,0,138,118,0,16,4,62
95CC13W1,2474,2164,1084,1078,2,90,69,21,164,149,0,14,1,56
95CC14W1,3017,2541,967,1564,10,92,92,0,350,318,5,25,2,34
95CC15W1,2893,2406,1062,1333,11,142,117,25,293,250,14,22,7,52
95CC16W1,2801,2041,960,1076,5,226,213,13,466,444,0,17,5,68
95CC17W1,2724,2421,1052,1365,4,24,21,3,241,222,0,15,4,38
95CC18W1,2309,1627,739,880,8,264,213,51,344,317,0,25,2,74
95CC19W1,2720,2248,1063,1183,2,175,137,38,239,213,0,15,11,58
95CC20S1,1308,1117,498,613,6,41,39,2,121,103,3,15,0,29
95CC20S2,1658,1265,463,797,5,122,83,39,255,237,0,13,5,16
95CC21W1,2925,2214,925,1277,12,265,259,6,394,370,0,24,0,52
95CC22W1,1724,961,499,462,0,407,338,69,315,274,1,33,7,41
95DD01W1,2031,1687,956,721,10,53,36,17,247,225,4,13,5,44
95DD02S1,1453,1110,439,666,5,200,175,25,120,114,0,5,1,23
95DD02S2,2419,2065,721,1324,20,31,29,2,288,268,0,20,0,35
95DD03W1,3474,2754,1109,1621,24,39,38,1,634,575,12,40,7,47
95DD04W1,1926,845,309,522,14,863,819,44,163,157,0,4,2,55
95DD05W1,1739,917,318,583,16,648,647,1,126,114,3,6,3,48
95DD06W1,2427,2111,1120,990,1,16,16,0,264,246,0,18,0,36
95DD07S1,1596,1143,626,510,7,147,139,8,258,241,3,13,1,48
95DD07S2,1767,1400,584,802,14,124,72,52,202,192,0,3,7,41
95DD08W1,2083,895,478,404,13,285,198,87,844,775,0,53,16,59
95DD09W1,2572,2274,1229,1042,3,40,40,0,218,185,1,32,0,40
95DD10W1,2805,1983,944,1028,11,450,354,96,323,301,0,19,3,49
95DD11W1,2363,1033,320,704,9,676,603,73,615,570,5,19,21,39
95DD12W1,2582,2322,1289,1033,0,51,44,7,142,128,2,9,3,67
95DD13W1,1743,1106,496,594,16,239,211,28,366,343,2,20,1,32
95DD14S1,1601,1311,554,747,10,63,56,7,201,182,0,14,5,26
95DD14S2,1667,1524,583,937,4,23,21,2,100,98,0,0,2,20
95DD15W1,3451,2927,1272,1651,4,106,96,10,370,316,0,52,2,48
95DD16W1,2943,2636,1291,1334,11,44,44,0,202,160,6,36,0,61
95DD17W1,3461,3104,1350,1741,13,65,60,5,212,182,0,30,0,80
95DD18W1,1813,1206,628,556,22,160,157,3,398,382,0,7,9,49
95DD19S1,1855,1372,396,962,14,198,198,0,251,236,3,12,0,34
95DD19S2,1460,1292,623,665,4,42,42,0,92,82,0,10,0,34
95DD20W1,1742,862,394,463,5,565,532,33,272,251,0,21,0,43
95DD21W1,2130,1407,639,755,13,45,38,7,640,605,5,21,9,38
95DD22S1,1537,1322,791,531,0,51,50,1,120,96,2,19,3,44
95DD22S2,1581,1220,532,684,4,157,97,60,166,160,0,6,0,38
95DD23W1,2490,2159,1295,860,4,19,18,1,243,225,3,15,0,69
95DD24W1,2692,2088,768,1289,31,157,122,35,435,406,2,24,3,12
95EE01W1,1895,1579,641,932,6,158,158,0,133,108,0,23,2,25
95EE02W1,2095,1521,682,826,13,291,289,2,240,210,0,27,3,43
95EE03W1,1983,1277,481,775,21,446,437,9,231,218,0,13,0,29
95EE04W1,1990,1592,580,1007,5,126,126,0,227,205,0,19,3,45
95EE05W1,1497,1215,689,524,2,76,76,0,164,143,0,21,0,42
95EE06W1,2278,1827,736,1088,3,172,163,9,255,230,0,25,0,24
95EE07W1,1798,1264,461,797,6,168,168,0,341,308,0,33,0,25
95EE08W1,1633,1263,637,616,10,31,31,0,298,278,0,19,1,41
95EE09W1,1859,1482,693,789,0,154,149,5,183,164,0,17,2,40
95EE10W1,1797,1360,668,674,18,128,125,3,233,218,0,15,0,76
95EE11W1,1677,1464,795,667,2,68,68,0,137,104,0,28,5,8
95EE12W1,2500,1437,390,1011,36,459,426,33,546,508,0,32,6,58
95EE13W1,1529,887,467,416,4,305,216,89,299,267,0,21,11,38
95EE14W1,2684,1996,730,1228,38,210,210,0,452,433,0,17,2,26
95EE15W1,1728,1446,698,741,7,135,135,0,112,94,0,17,1,35
95EE16W1,2111,1783,789,987,7,103,103,0,201,193,1,7,0,24
95FF01S1,2098,1851,640,1202,9,3,0,3,225,218,0,5,2,19
95FF01S2,2655,2106,648,1455,3,32,9,23,475,446,0,27,2,42
95FF02W1,2817,2494,1173,1316,5,54,54,0,214,165,29,20,0,55
95FF03W1,3006,2100,621,1468,11,273,185,88,589,552,3,31,3,44
95FF04W1,2629,2355,1135,1214,6,78,49,29,135,107,2,22,4,61
95FF05W1,2563,1745,616,1112,17,399,340,59,349,330,1,17,1,70
95FF06S1,1974,1548,459,1057,32,97,85,12,292,264,1,27,0,37
95FF06S2,2080,1836,518,1317,1,67,58,9,160,158,1,1,0,17
95FF07W1,2763,1594,416,1157,21,655,534,121,444,417,0,25,2,70
95FF08W1,2328,1731,652,1075,4,314,264,50,221,196,0,21,4,62
95FF09W1,2521,1879,627,1232,20,259,242,17,329,290,6,29,4,54
95FF10W1,3473,3053,1217,1818,18,116,74,42,245,227,0,18,0,59
95FF11W1,2582,2330,1082,1248,0,58,54,4,146,113,0,33,0,48
95FF12W1,2721,2285,955,1320,10,120,114,6,269,228,5,29,7,47
95FF13W1,2708,2347,1030,1308,9,81,79,2,209,186,0,22,1,71
95FF14W1,2413,2214,1086,1126,2,21,21,0,123,110,0,13,0,55
95FF15W1,2680,1764,781,977,6,346,323,23,485,435,0,43,7,85
95FF16W1,2317,1872,742,1121,9,206,170,36,189,174,0,5,10,50
95FF17W1,1717,954,410,539,5,283,261,22,427,393,0,26,8,53
95GG01S1,1765,1273,514,751,8,324,92,232,151,141,0,5,5,17
95GG01S2,1464,914,340,563,11,239,94,145,280,259,0,7,14,31
95GG01S3,1616,1305,480,823,2,123,109,14,165,146,5,13,1,23
95GG02S1,1745,900,337,552,11,542,380,162,257,241,0,12,4,46
95GG02S2,2018,859,390,462,7,716,349,367,381,351,0,20,10,62
95GG02S3,2224,572,93,467,12,1440,974,466,121,110,0,9,2,91
95GG03S1,1952,1490,542,934,14,66,35,31,362,328,3,25,6,34
95GG03S2,1833,1526,547,979,0,63,33,30,230,208,6,12,4,14
95GG03S3,2072,1259,424,830,5,283,124,159,492,467,0,15,10,38
95GG04S1,1708,598,165,430,3,870,671,199,189,167,1,16,5,51
95GG04S2,1564,613,201,399,13,819,464,355,107,94,0,6,7,25
95GG04S3,1636,491,139,340,12,745,710,35,334,325,0,9,0,66
95GG05S1,1777,887,284,594,9,246,159,87,629,591,4,33,1,15
95GG05S2,2009,1018,308,682,28,165,111,54,811,764,1,46,0,15
95GG05S3,2106,570,208,344,18,737,293,444,758,698,4,42,14,41
95GG06S1,1866,960,381,576,3,617,592,25,252,238,0,13,1,37
95GG06S2,1779,1213,464,740,9,259,237,22,284,262,0,21,1,23
95GG06S3,1922,1475,376,1079,20,251,222,29,161,156,0,4,1,35
95GG07S1,1844,1084,420,650,14,241,181,60,499,319,107,16,57,20
95GG07S2,1922,741,324,408,9,676,190,486,442,411,0,23,8,63
95GG07S3,1701,1033,313,686,34,422,320,102,216,196,4,7,9,30
95GG08S1,1394,1132,412,718,2,133,126,7,119,92,11,16,0,10
95GG08S2,1730,986,319,648,19,413,277,136,306,271,2,26,7,25
95GG08S3,1786,1079,279,771,29,390,347,43,301,290,0,11,0,16
95GG09S1,2089,1840,735,1094,11,51,3,48,167,156,0,9,2,31
95GG09S2,1856,1448,580,853,15,242,237,5,147,142,0,1,4,19
95GG09S3,2110,924,246,666,12,841,651,190,303,292,0,11,0,42
95GG10S1,1826,710,340,364,6,448,435,13,629,592,0,34,3,39
95GG10S2,2171,616,281,328,7,795,624,171,705,635,0,64,6,55
95GG11S1,1895,750,290,436,24,535,212,323,582,557,0,6,19,28
95GG11S2,1636,1308,497,800,11,51,28,23,262,254,0,8,0,15
95GG11S3,1858,1001,374,601,26,156,66,90,678,663,0,14,1,23
95GG12S1,1488,210,88,117,5,125,76,49,1131,1061,4,37,29,22
95GG12S2,1958,207,119,87,1,181,89,92,1561,1403,3,148,7,9
95GG12S3,1477,284,136,123,25,137,62,75,1046,1006,3,30,7,10
95GG12S4,1626,94,30,47,17,184,41,143,1341,1313,1,20,7,7
95GG12S5,2177,491,214,270,7,1052,550,502,590,551,3,31,5,44
95GG13S1,1329,625,197,423,5,471,429,42,189,172,0,12,5,44
95GG13S2,1731,1472,545,918,9,121,111,10,104,101,0,2,1,34
95GG13S3,1637,1027,395,625,7,381,379,2,155,142,0,9,4,74
