GeographyCode,QS410NI0001,QS410NI0002,QS410NI0003
95AA01S1,368,310,58
95AA01S2,652,624,28
95AA01S3,633,588,45
95AA02W1,929,839,90
95AA03W1,880,845,35
95AA04W1,1061,1014,47
95AA05W1,960,920,40
95AA06S1,741,710,31
95AA06S2,888,860,28
95AA07W1,854,820,34
95AA08W1,734,699,35
95AA09W1,975,943,32
95AA10W1,812,792,20
95AA11S1,1159,1123,36
95AA11S2,885,870,15
95AA12W1,1014,971,43
95AA13S1,681,625,56
95AA13S2,631,614,17
95AA14W1,820,779,41
95AA15S1,1050,1013,37
95AA15S2,591,582,9
95AA16W1,865,832,33
95AA17W1,884,855,29
95AA18W1,1076,1004,72
95AA19W1,848,832,16
95BB01S1,577,548,29
95BB01S2,779,759,20
95BB02W1,1167,1126,41
95BB03S1,962,877,85
95BB03S2,1008,899,109
95BB04S1,665,638,27
95BB04S2,693,669,24
95BB05S1,600,564,36
95BB05S2,805,754,51
95BB06W1,1670,1518,152
95BB07S1,877,819,58
95BB07S2,506,496,10
95BB08S1,596,589,7
95BB08S2,487,479,8
95BB09S1,580,561,19
95BB09S2,752,692,60
95BB10S1,1002,874,128
95BB10S2,683,635,48
95BB11S1,643,621,22
95BB11S2,789,717,72
95BB12S1,663,626,37
95BB12S2,528,504,24
95BB13S1,519,508,11
95BB13S2,623,603,20
95BB13S3,586,576,10
95BB14S1,590,551,39
95BB14S2,661,621,40
95BB15S1,782,706,76
95BB15S2,626,581,45
95BB16S1,594,562,32
95BB16S2,637,614,23
95BB17S1,745,727,18
95BB17S2,702,672,30
95BB18S1,789,726,63
95BB18S2,970,912,58
95BB19S1,676,641,35
95BB19S2,605,599,6
95BB19S3,490,484,6
95BB20S1,745,677,68
95BB20S2,696,613,83
95BB21S1,1017,932,85
95BB21S2,1060,889,171
95BB22S1,619,596,23
95BB22S2,620,598,22
95BB23S1,654,638,16
95BB23S2,531,523,8
95CC01W1,956,904,52
95CC02W1,931,875,56
95CC03W1,1200,1127,73
95CC04W1,891,790,101
95CC05W1,1021,954,67
95CC06S1,611,579,32
95CC06S2,539,517,22
95CC07W1,1234,1108,126
95CC08W1,1056,990,66
95CC09S1,539,494,45
95CC09S2,751,696,55
95CC10W1,974,901,73
95CC11W1,896,786,110
95CC12W1,959,890,69
95CC13W1,869,817,52
95CC14W1,1192,1132,60
95CC15W1,1092,1007,85
95CC16W1,1126,1076,50
95CC17W1,971,897,74
95CC18W1,1017,937,80
95CC19W1,1053,981,72
95CC20S1,497,484,13
95CC20S2,668,643,25
95CC21W1,1237,1167,70
95CC22W1,911,842,69
95DD01W1,881,836,45
95DD02S1,615,599,16
95DD02S2,918,891,27
95DD03W1,1431,1389,42
95DD04W1,886,859,27
95DD05W1,705,685,20
95DD06W1,967,944,23
95DD07S1,720,689,31
95DD07S2,747,723,24
95DD08W1,1098,1041,57
95DD09W1,981,929,52
95DD10W1,1224,1180,44
95DD11W1,974,955,19
