GeographyCode,QS204NI0001,QS204NI0002,QS204NI0003,QS204NI0004,QS204NI0005,QS204NI0006
95AA01S1,310,21,274,7,7,1
95AA01S2,624,120,498,2,3,1
95AA01S3,588,155,427,2,4,0
95AA02W1,839,346,482,0,9,2
95AA03W1,845,323,513,1,6,2
95AA04W1,1014,171,834,1,5,3
95AA05W1,920,192,724,1,2,1
95AA06S1,710,187,514,3,6,0
95AA06S2,860,169,685,3,3,0
95AA07W1,820,201,613,2,4,0
95AA08W1,699,215,478,3,2,1
95AA09W1,943,307,620,7,8,1
95AA10W1,792,199,587,2,3,1
95AA11S1,1123,330,779,4,7,3
95AA11S2,870,157,699,2,12,0
95AA12W1,971,180,784,3,3,1
95AA13S1,625,151,467,3,4,0
95AA13S2,614,175,432,4,3,0
95AA14W1,779,130,648,0,1,0
95AA15S1,1013,223,778,2,9,1
95AA15S2,582,172,398,5,6,1
95AA16W1,832,318,507,3,3,1
95AA17W1,855,237,610,3,2,3
95AA18W1,1004,257,735,4,6,2
95AA19W1,832,157,671,1,2,1
95BB01S1,548,105,435,0,8,0
95BB01S2,759,165,586,2,3,3
95BB02W1,1126,438,686,1,1,0
95BB03S1,877,263,609,0,4,1
95BB03S2,899,214,679,1,4,1
95BB04S1,638,192,440,1,3,2
95BB04S2,669,157,508,0,3,1
95BB05S1,564,107,449,3,5,0
95BB05S2,754,175,568,8,3,0
95BB06W1,1518,680,819,7,6,6
95BB07S1,819,343,471,2,2,1
95BB07S2,496,88,404,0,4,0
95BB08S1,589,199,387,0,3,0
95BB08S2,479,80,389,2,6,2
95BB09S1,561,141,415,2,3,0
95BB09S2,692,199,487,2,3,1
95BB10S1,874,401,462,3,5,3
95BB10S2,635,114,517,1,3,0
95BB11S1,621,206,414,0,1,0
95BB11S2,717,271,443,1,2,0
95BB12S1,626,200,419,4,2,1
95BB12S2,504,91,408,2,3,0
95BB13S1,508,88,416,3,1,0
95BB13S2,603,142,456,1,4,0
95BB13S3,576,93,479,1,3,0
95BB14S1,551,97,446,3,4,1
95BB14S2,621,162,451,1,6,1
95BB15S1,706,134,566,0,5,1
95BB15S2,581,167,412,1,1,0
95BB16S1,562,98,462,1,0,1
95BB16S2,614,127,483,0,2,2
95BB17S1,727,188,534,2,3,0
95BB17S2,672,147,520,2,3,0
95BB18S1,726,216,507,1,2,0
95BB18S2,912,156,749,1,5,1
95BB19S1,641,161,470,6,4,0
95BB19S2,599,65,530,1,2,1
95BB19S3,484,75,406,1,2,0
95BB20S1,677,170,502,3,2,0
95BB20S2,613,199,409,0,4,1
95BB21S1,932,231,695,3,3,0
95BB21S2,889,209,676,0,4,0
95BB22S1,596,143,447,2,4,0
95BB22S2,598,177,417,3,1,0
95BB23S1,638,150,476,4,7,1
95BB23S2,523,86,432,1,2,2
95CC01W1,904,234,666,1,1,2
95CC02W1,875,171,696,5,3,0
95CC03W1,1127,367,748,5,6,1
95CC04W1,790,177,609,0,3,1
95CC05W1,954,227,723,3,1,0
95CC06S1,579,150,424,4,1,0
95CC06S2,517,151,360,2,4,0
95CC07W1,1108,227,876,1,3,1
95CC08W1,990,286,696,5,2,1
95CC09S1,494,78,414,0,2,0
95CC09S2,696,157,532,0,6,1
95CC10W1,901,186,704,3,8,0
95CC11W1,786,290,495,1,0,0
95CC12W1,890,175,711,3,1,0
95CC13W1,817,168,645,1,2,1
95CC14W1,1132,249,876,3,4,0
95CC15W1,1007,213,787,4,2,1
95CC16W1,1076,302,770,2,2,0
95CC17W1,897,178,714,2,3,0
95CC18W1,937,284,641,3,5,4
95CC19W1,981,242,734,0,5,0
95CC20S1,484,112,368,1,3,0
95CC20S2,643,163,477,1,2,0
95CC21W1,1167,307,853,2,3,2
95CC22W1,842,370,466,1,5,0
95DD01W1,836,196,630,5,4,1
95DD02S1,599,167,425,3,3,1
95DD02S2,891,178,707,0,3,3
95DD03W1,1389,305,1065,3,9,7
95DD04W1,859,303,552,2,2,0
95DD05W1,685,174,509,0,2,0
95DD06W1,944,187,753,1,3,0
95DD07S1,689,186,495,4,4,0
95DD07S2,723,211,508,2,2,0
95DD08W1,1041,485,548,2,2,4
95DD09W1,929,164,763,1,0,1
95DD10W1,1180,361,818,1,0,0
95DD11W1,955,301,643,9,2,0
95DD12W1,890,163,724,2,0,1
95DD13W1,741,272,458,3,4,4
95DD14S1,626,154,463,3,4,2
95DD14S2,607,105,493,4,3,2
95DD15W1,1174,239,930,3,1,1
95DD16W1,1019,197,813,2,6,1
95DD17W1,1148,192,949,1,2,4
95DD18W1,873,311,545,5,9,3
95DD19S1,732,193,536,2,1,0
95DD19S2,543,104,435,1,3,0
95DD20W1,826,330,494,0,2,0
95DD21W1,891,242,642,5,1,1
95DD22S1,559,139,415,0,5,0
95DD22S2,597,170,422,2,3,0
95DD23W1,881,154,722,4,1,0
95DD24W1,990,198,789,1,2,0
95EE01W1,592,93,498,0,0,1
95EE02W1,790,186,599,1,4,0
95EE03W1,808,231,573,1,2,1
95EE04W1,736,168,562,2,4,0
95EE05W1,577,135,436,0,4,2
95EE06W1,692,123,562,3,2,2
95EE07W1,740,207,530,0,1,2
95EE08W1,711,224,476,5,4,2
95EE09W1,605,95,509,0,0,1
95EE10W1,598,116,478,1,1,2
95EE11W1,551,82,465,1,3,0
95EE12W1,1059,310,744,1,3,1
95EE13W1,718,297,418,1,2,0
95EE14W1,1016,213,796,1,5,1
95EE15W1,606,129,474,2,1,0
95EE16W1,709,132,574,1,2,0
95FF01S1,781,160,603,3,11,4
95FF01S2,959,175,771,3,8,2
95FF02W1,923,190,729,1,3,0
95FF03W1,1169,268,887,3,10,1
95FF04W1,862,136,720,2,3,1
95FF05W1,1119,367,741,3,7,1
95FF06S1,820,224,590,0,5,1
95FF06S2,720,130,581,1,8,0
95FF07W1,1154,363,783,5,3,0
95FF08W1,993,351,635,5,2,0
95FF09W1,1000,300,693,2,2,3
95FF10W1,1216,228,972,10,6,0
95FF11W1,873,157,712,1,2,1
95FF12W1,1018,229,781,2,5,1
95FF13W1,977,218,754,1,3,1
95FF14W1,862,149,711,2,0,0
95FF15W1,1073,335,732,5,0,1
95FF16W1,927,255,668,1,3,0
95FF17W1,857,378,472,1,3,3
95GG01S1,739,226,511,2,0,0
95GG01S2,624,226,396,1,0,1
95GG01S3,641,197,441,1,0,2
95GG02S1,749,245,498,3,2,1
95GG02S2,859,282,569,5,1,2
95GG02S3,960,358,594,4,2,2
95GG03S1,895,333,542,4,12,4
95GG03S2,767,242,507,6,7,5
95GG03S3,1005,404,585,2,9,5
95GG04S1,801,323,467,6,3,2
95GG04S2,640,232,404,2,2,0
95GG04S3,856,405,430,4,15,2
95GG05S1,845,325,492,8,14,6
95GG05S2,948,360,560,6,10,12
95GG05S3,1007,393,568,9,14,23
95GG06S1,794,212,571,7,3,1
95GG06S2,833,303,524,4,1,1
95GG06S3,754,208,531,3,8,4
95GG07S1,796,286,495,8,2,5
95GG07S2,788,253,523,5,3,4
95GG07S3,685,203,474,2,4,2
95GG08S1,554,158,389,4,1,2
95GG08S2,810,319,478,6,4,3
95GG08S3,787,258,518,1,8,2
95GG09S1,844,225,606,3,9,1
95GG09S2,808,233,563,2,8,2
95GG09S3,952,344,592,4,7,5
95GG10S1,966,453,492,4,8,9
95GG10S2,1051,430,596,2,15,8
95GG11S1,987,462,505,5,10,5
95GG11S2,701,233,457,1,6,4
95GG11S3,998,467,511,4,10,6
95GG12S1,558,160,361,4,4,29
95GG12S2,727,232,430,3,4,58
95GG12S3,586,209,356,5,5,11
95GG12S4,719,308,372,6,8,25
95GG12S5,839,231,576,7,10,15
95GG13S1,664,317,338,4,5,0
95GG13S2,665,180,479,3,3,0
95GG13S3,787,322,457,3,2,3
95GG14S1,618,155,454,4,3,2
95GG14S2,582,137,441,2,1,1
95GG14S3,617,148,460,3,5,1
95GG15S1,736,194,539,1,2,0
95GG15S2,890,304,564,5,14,3
95GG15S3,918,391,513,1,11,2
95GG16S1,866,341,511,8,4,2
95GG16S2,777,267,490,10,9,1
95GG16S3,587,168,406,5,5,3
95GG17S1,770,198,565,6,1,0
95GG17S2,623,170,447,3,3,0
95GG17S3,744,268,468,6,2,0
95GG18S1,1073,361,700,8,1,3
95GG18S2,1070,385,664,5,5,11
95GG19S1,1061,525,531,1,4,0
95GG19S2,1178,479,686,4,6,3
95GG20S1,1393,616,734,10,16,17
95GG20S2,966,392,554,8,7,5
95GG21S1,639,235,396,5,0,3
95GG21S2,675,187,481,4,0,3
95GG21S3,948,432,502,3,7,4
95GG22S1,733,275,445,3,6,4
95GG22S2,814,317,484,7,5,1
95GG22S3,661,191,466,3,0,1
95GG23S1,566,115,441,3,4,3
95GG23S2,579,178,393,3,4,1
95GG23S3,676,197,463,3,8,5
95GG24S1,612,260,337,3,10,2
95GG24S2,712,259,445,7,1,0
95GG24S3,621,195,415,2,8,1
95GG25S1,868,280,579,5,2,2
95GG25S2,716,224,488,2,1,1
95GG25S3,610,164,442,2,1,1
95GG26S1,848,273,564,1,4,6
95GG26S2,806,290,507,2,5,2
95GG27S1,487,85,395,2,2,3
95GG27S2,607,169,433,0,5,0
95GG27S3,727,241,479,6,0,1
95GG27S4,646,191,452,2,1,0
95GG28S1,839,203,622,4,9,1
95GG28S2,712,195,502,6,6,3
95GG28S3,774,238,525,6,3,2
95GG29S1,1083,438,630,4,4,7
95GG29S2,1347,563,747,17,11,9
95GG30S1,763,291,459,5,5,3
95GG30S2,695,201,481,4,8,1
95GG30S3,625,140,481,2,2,0
95GG31S1,793,152,632,4,3,2
95GG31S2,800,196,593,8,3,0
95GG31S3,870,219,643,2,4,2
95GG32S1,1257,346,890,8,11,2
95GG32S2,698,262,426,2,3,5
95GG32S3,694,230,456,3,2,3
95GG33S1,737,167,551,3,10,6
95GG33S2,618,172,422,7,13,4
95GG33S3,840,302,510,6,13,9
95GG34S1,650,252,384,5,7,2
95GG34S2,553,90,457,2,2,2
95GG34S3,796,253,525,5,10,3
95GG35S1,867,331,527,2,2,5
95GG35S2,731,337,383,6,5,0
95GG35S3,646,229,409,4,3,1
95GG36S1,827,307,510,1,7,2
95GG36S2,836,267,558,2,9,0
95GG36S3,818,266,542,3,5,2
95GG37S1,779,192,577,2,3,5
95GG37S2,819,295,505,6,8,5
95GG37S3,1089,444,618,6,14,7
95GG38S1,1369,482,868,1,10,8
95GG38S2,853,366,474,5,5,3
95GG38S3,693,251,429,5,4,4
95GG39S1,1172,508,637,3,12,12
95GG39S2,1402,663,682,7,27,23
95GG39S3,1042,496,515,6,9,16
95GG40S1,802,317,482,0,2,1
95GG40S2,1059,539,496,11,3,10
95GG41S1,789,193,589,1,6,0
95GG41S2,596,155,438,1,2,0
95GG41S3,788,257,521,2,7,1
95GG42S1,689,163,505,5,10,6
95GG42S2,209,72,124,2,6,5
95GG42S3,740,197,518,0,10,15
95GG42S4,968,309,619,11,19,10
95GG43S1,720,312,396,4,4,4
95GG43S2,734,224,496,5,6,3
95GG43S3,862,353,492,6,10,1
95GG44S1,1390,584,778,7,13,8
95GG44S2,1315,567,718,10,13,7
95GG45S1,694,176,503,5,7,3
95GG45S2,686,244,428,5,6,3
95GG45S3,749,292,436,6,12,3
95GG46S1,663,176,480,4,3,0
95GG46S2,646,127,515,1,2,1
95GG46S3,623,182,436,1,3,1
95GG47S1,1025,466,530,6,12,11
95GG47S2,801,349,444,4,2,2
95GG47S3,815,344,461,0,6,4
95GG48S1,620,158,453,3,3,3
95GG48S2,842,187,647,5,2,1
95GG48S3,589,133,447,3,1,5
95GG49S1,748,302,423,8,8,7
95GG49S2,948,299,598,4,12,35
95GG49S3,821,259,492,8,12,50
95GG49S4,834,274,503,8,7,42
95GG50S1,764,325,414,8,11,6
95GG50S2,972,384,568,5,11,4
95GG50S3,917,381,498,9,17,12
95GG51S1,683,291,381,5,5,1
95GG51S2,710,324,381,3,2,0
95GG51S3,688,328,356,3,1,0
95HH01W1,890,292,592,2,4,0
95HH02S1,522,110,408,1,3,0
95HH02S2,541,62,475,0,4,0
95HH03W1,726,207,514,1,3,1
95HH04S1,645,124,516,2,3,0
95HH04S2,515,90,421,0,3,1
95HH05W1,908,254,645,4,2,3
95HH06S1,762,133,620,2,5,2
95HH06S2,920,169,741,0,9,1
95HH07W1,733,313,415,0,5,0
95HH08W1,1083,310,765,1,6,1
95HH09W1,1423,731,671,6,10,5
95HH10W1,945,188,748,4,4,1
95HH11W1,655,252,399,0,4,0
95HH12W1,626,130,490,1,4,1
95HH13W1,614,188,423,2,1,0
95HH14W1,764,319,439,3,3,0
95HH15W1,1083,334,735,6,7,1
95HH16W1,917,286,619,3,6,3
95HH17W1,928,182,739,2,5,0
95II01S1,626,144,468,4,7,3
95II01S2,634,163,467,1,1,2
95II02S1,507,110,383,2,11,1
95II02S2,678,191,471,6,9,1
95II02S3,726,340,378,1,6,1
95II03S1,575,98,465,1,9,2
95II03S2,729,187,533,3,6,0
95II04S1,864,171,686,2,5,0
