GeographyCode,QS208NI0001,QS208NI0002,QS208NI0003,QS208NI0004,QS208NI0005,QS208NI0006,QS208NI0007,QS208NI0008,QS208NI0009,QS208NI0010,QS208NI0011,QS208NI0012,QS208NI0013,QS208NI0014,QS208NI0015,QS208NI0016,QS208NI0017,QS208NI0018,QS208NI0019,QS208NI0020,QS208NI0021,QS208NI0022,QS208NI0023,QS208NI0024,QS208NI0025,QS208NI0026,QS208NI0027,QS208NI0028,QS208NI0029,QS208NI0030,QS208NI0031,QS208NI0032,QS208NI0033,QS208NI0034,QS208NI0035,QS208NI0036,QS208NI0037,QS208NI0038,QS208NI0039,QS208NI0040,QS208NI0041,QS208NI0042,QS208NI0043,QS208NI0044,QS208NI0045,QS208NI0046,QS208NI0047,QS208NI0048,QS208NI0049,QS208NI0050,QS208NI0051,QS208NI0052,QS208NI0053,QS208NI0054,QS208NI0055,QS208NI0056,QS208NI0057,QS208NI0058,QS208NI0059,QS208NI0060,QS208NI0061,QS208NI0062,QS208NI0063,QS208NI0064,QS208NI0065,QS208NI0066,QS208NI0067,QS208NI0068,QS208NI0069,QS208NI0070,QS208NI0071
95AA01S1,1113,1032,963,586,78,269,30,0,5,0,1,63,59,53,1,2,0,0,0,0,3,4,0,0,4,38,0,17,2,15,21,2,9,1,7,2,0,13,1,1,0,0,4,0,3,1,5,0,0,3,2,3,0,0,0,0,3,0,0,17,7,0,10,0,0,3,10,0,1,9,0
95AA01S2,1829,1796,1751,70,13,1666,2,0,24,0,1,20,20,4,0,3,11,0,0,0,2,0,0,0,0,14,0,2,0,2,12,1,10,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,1,0,13,9,4,0,0,0,0,2,2,0,0,0
95AA01S3,1502,1474,1402,66,14,1320,2,0,16,0,0,56,54,9,0,4,20,2,4,11,4,2,0,0,2,4,0,0,0,0,4,0,1,0,1,2,0,14,2,2,0,0,2,0,2,0,7,0,3,3,1,3,0,0,0,1,2,0,0,3,0,3,0,0,0,0,7,6,1,0,0
95AA02W1,1734,1708,1619,89,21,1505,4,0,23,0,1,65,64,6,0,3,29,1,1,14,10,1,0,0,1,3,0,0,0,0,3,0,1,0,2,0,0,9,0,0,0,0,4,1,3,0,2,0,1,0,1,3,1,0,2,0,0,0,0,9,4,4,1,0,0,1,4,4,0,0,0
95AA03W1,1822,1790,1720,65,19,1632,4,0,23,0,0,47,45,6,0,1,23,1,0,3,11,2,0,1,1,11,0,2,1,1,9,0,9,0,0,0,0,15,0,0,0,0,3,0,3,0,6,0,0,3,3,6,4,0,0,0,2,0,0,3,0,2,1,0,0,0,3,2,1,0,0
95AA04W1,3013,2979,2919,113,12,2791,3,0,40,0,1,19,10,3,0,0,0,0,0,5,2,9,4,0,5,7,0,3,2,1,4,1,2,0,1,0,0,8,1,0,0,1,2,0,2,0,2,0,1,1,0,3,1,0,0,0,2,0,0,13,4,8,1,0,0,1,5,4,1,0,0
95AA05W1,2701,2662,2586,90,14,2477,5,0,28,0,0,48,47,4,0,22,6,3,0,2,10,1,0,0,1,11,0,3,1,2,8,0,3,2,3,0,0,5,0,0,0,0,2,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,13,9,4,0,0,1,0,9,8,1,0,0
95AA06S1,1953,1920,1883,75,10,1792,5,1,25,0,1,11,11,4,0,1,2,0,0,0,4,0,0,0,0,5,1,2,0,2,2,0,1,1,0,0,0,12,0,0,0,0,1,0,1,0,7,0,7,0,0,4,4,0,0,0,0,0,0,10,1,9,0,0,0,1,5,2,3,0,0
95AA06S2,2694,2674,2609,90,11,2504,4,0,34,0,0,31,30,10,0,0,15,1,0,2,2,1,1,0,0,7,0,4,0,4,3,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,11,6,4,1,0,0,0,0,0,0,0,0
95AA07W1,2140,2123,2055,77,21,1956,1,0,15,0,0,53,52,7,1,23,9,1,0,7,4,1,0,0,1,3,0,0,0,0,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,3,2,1,0,0,1,0,7,5,2,0,0
95AA08W1,1698,1677,1580,88,25,1465,2,0,19,0,0,78,71,3,3,12,22,6,2,10,13,7,0,1,6,7,2,0,0,0,5,2,2,0,1,0,0,11,0,0,0,0,3,1,2,0,2,0,2,0,0,6,4,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,1,1,0
95AA09W1,2220,2140,2025,101,24,1898,2,0,37,0,0,78,77,8,0,3,49,0,1,8,8,1,0,0,1,6,1,0,0,0,4,0,3,0,0,1,1,68,1,0,1,0,30,5,25,0,28,0,24,4,0,9,1,0,6,1,1,0,0,4,1,2,1,0,0,0,2,1,1,0,0
95AA10W1,1953,1918,1842,101,16,1721,4,0,24,0,2,50,49,2,2,10,28,1,0,0,6,1,0,0,1,11,1,2,1,1,8,0,1,1,6,0,0,21,0,0,0,0,14,0,14,0,5,0,5,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
95AA11S1,2800,2746,2504,114,42,2344,4,0,34,0,1,207,203,11,0,9,110,10,4,47,12,4,0,1,3,8,0,0,0,0,8,1,4,1,2,0,0,30,0,0,0,0,6,0,6,0,18,1,17,0,0,6,2,0,0,3,1,0,0,8,1,7,0,0,0,1,7,5,2,0,0
95AA11S2,2564,2465,2333,194,38,2094,7,0,24,0,1,107,102,14,1,13,33,0,12,20,9,5,1,0,4,6,0,0,0,0,6,1,4,0,1,0,0,74,1,0,1,0,12,1,11,0,33,0,30,2,1,28,27,0,0,0,0,1,0,4,0,4,0,0,0,2,13,13,0,0,0
95AA12W1,2775,2753,2706,105,12,2582,6,1,33,0,1,13,12,6,0,0,1,0,0,1,4,1,0,0,1,6,0,0,0,0,6,0,4,0,1,1,0,8,1,1,0,0,0,0,0,0,2,0,2,0,0,5,0,0,1,1,2,1,0,6,3,3,0,0,0,0,2,2,0,0,0
