GeographyCode,QS215NI0001,QS215NI0002,QS215NI0003,QS215NI0004,QS215NI0005,QS215NI0006,QS215NI0007,QS215NI0008,QS215NI0009,QS215NI0010
95AA01S1,1003,36,1,4,1,3,0,2,0,956
95AA01S2,1764,99,2,10,0,4,0,4,0,1645
95AA01S3,1435,107,13,12,0,5,1,16,1,1280
95AA02W1,1683,121,10,7,0,10,0,31,4,1500
95AA03W1,1736,133,11,11,1,10,3,36,1,1530
95AA04W1,2922,204,21,30,0,14,1,24,1,2627
95AA05W1,2586,162,11,18,0,16,1,22,0,2356
95AA06S1,1860,58,2,5,1,4,0,7,0,1783
95AA06S2,2561,61,1,5,0,3,0,8,1,2482
95AA07W1,2070,268,36,23,0,22,0,23,1,1697
95AA08W1,1616,100,5,9,0,3,1,14,0,1484
95AA09W1,2105,155,7,19,1,18,0,24,1,1880
95AA10W1,1884,97,14,13,0,13,0,22,1,1724
95AA11S1,2685,151,11,10,0,5,1,19,0,2488
95AA11S2,2424,132,11,12,2,9,0,20,1,2237
95AA12W1,2690,353,45,38,0,32,1,44,2,2175
95AA13S1,1660,78,6,10,0,2,0,15,3,1546
95AA13S2,1487,82,1,5,0,3,2,14,0,1380
95AA14W1,2275,283,37,35,1,29,0,49,1,1840
95AA15S1,2474,113,10,12,0,7,2,18,0,2312
95AA15S2,1432,48,6,4,0,8,0,14,0,1352
95AA16W1,1722,127,11,10,0,3,0,37,1,1533
95AA17W1,2044,107,11,8,0,8,1,12,5,1892
95AA18W1,2369,228,15,48,0,23,1,19,0,2035
95AA19W1,2555,88,6,13,0,8,0,17,1,2422
95BB01S1,1521,119,20,17,1,5,2,10,0,1347
95BB01S2,1964,126,7,13,0,8,0,9,0,1801
95BB02W1,2280,214,23,24,0,15,1,28,3,1972
95BB03S1,1942,230,47,34,8,25,1,49,1,1547
95BB03S2,2116,325,39,29,0,38,2,44,0,1639
95BB04S1,1396,111,12,20,0,12,0,19,0,1222
95BB04S2,1563,163,15,21,0,8,0,15,0,1341
95BB05S1,1454,179,40,29,1,23,1,25,4,1152
95BB05S2,1847,238,26,47,1,25,0,42,1,1467
95BB06W1,2778,205,23,27,0,31,0,34,0,2458
