GeographyCode,QS203NI0001,QS203NI0002,QS203NI0003,QS203NI0004,QS203NI0005,QS203NI0006,QS203NI0007,QS203NI0008,QS203NI0009,QS203NI0010,QS203NI0011,QS203NI0012,QS203NI0013
95AA01S1,310,285,1,0,0,1,0,2,5,8,3,2,3
95AA01S2,624,620,0,0,0,0,0,0,0,1,1,1,1
95AA01S3,588,581,1,0,1,2,0,1,0,0,1,1,0
95AA02W1,839,832,1,1,2,1,0,0,0,0,0,1,1
95AA03W1,845,835,0,0,0,1,0,2,1,1,0,4,1
95AA04W1,1014,1006,1,0,0,2,0,1,0,1,0,3,0
95AA05W1,920,913,0,0,1,0,0,1,1,2,1,1,0
95AA06S1,710,701,0,0,2,0,0,2,0,1,0,3,1
95AA06S2,860,853,0,1,0,1,0,0,0,2,0,3,0
95AA07W1,820,818,0,0,1,0,0,0,0,0,0,0,1
95AA08W1,699,691,3,0,2,0,1,1,0,0,0,1,0
95AA09W1,943,911,12,0,12,2,0,1,0,0,1,4,0
95AA10W1,792,779,8,0,3,0,0,0,0,2,0,0,0
95AA11S1,1123,1102,2,2,9,2,0,1,0,3,1,1,0
95AA11S2,870,836,6,1,12,1,0,12,0,0,0,1,1
95AA12W1,971,969,1,0,0,0,0,0,0,0,0,1,0
95AA13S1,625,621,2,1,0,0,0,1,0,0,0,0,0
95AA13S2,614,611,1,0,1,0,0,0,0,0,0,1,0
95AA14W1,779,776,0,0,2,0,0,0,0,1,0,0,0
95AA15S1,1013,960,4,0,31,0,0,12,2,2,0,2,0
95AA15S2,582,554,0,0,16,1,0,4,0,2,0,4,1
95AA16W1,832,816,4,0,2,1,0,3,1,3,0,1,1
95AA17W1,855,842,2,0,9,0,0,0,0,1,0,1,0
95AA18W1,1004,986,1,0,8,3,0,3,0,0,0,2,1
95AA19W1,832,825,0,0,6,0,0,0,0,0,0,0,1
95BB01S1,548,540,2,0,1,0,1,0,0,1,2,0,1
95BB01S2,759,757,2,0,0,0,0,0,0,0,0,0,0
95BB02W1,1126,1120,1,1,0,0,3,0,0,1,0,0,0
95BB03S1,877,871,0,0,1,0,1,1,0,1,0,2,0
95BB03S2,899,893,1,0,1,0,0,0,0,1,0,1,2
95BB04S1,638,633,1,0,0,0,3,0,0,0,0,1,0
95BB04S2,669,666,1,0,0,0,0,0,0,0,1,1,0
95BB05S1,564,561,0,0,2,0,0,0,0,1,0,0,0
95BB05S2,754,748,3,0,1,0,0,0,0,0,0,1,1
95BB06W1,1518,1496,5,0,1,3,7,4,0,0,0,0,2
95BB07S1,819,809,0,0,0,2,3,3,0,0,0,2,0
95BB07S2,496,495,0,0,0,0,0,0,0,0,0,0,1
95BB08S1,589,585,0,0,1,0,0,1,0,0,0,1,1
95BB08S2,479,475,2,0,0,0,0,1,0,0,0,1,0
95BB09S1,561,557,2,0,0,0,1,1,0,0,0,0,0
95BB09S2,692,689,0,0,1,0,0,0,0,0,0,2,0
95BB10S1,874,854,0,1,2,0,0,11,0,1,1,1,3
95BB10S2,635,632,0,1,1,0,0,0,0,0,0,1,0
95BB11S1,621,615,0,1,0,0,1,1,0,1,0,1,1
95BB11S2,717,713,0,0,1,0,0,2,0,0,0,1,0
95BB12S1,626,616,4,0,0,0,5,0,0,0,0,0,1
95BB12S2,504,502,0,0,0,0,0,1,0,0,0,0,1
95BB13S1,508,505,1,0,1,0,1,0,0,0,0,0,0
95BB13S2,603,595,2,0,1,0,3,1,0,1,0,0,0
95BB13S3,576,575,1,0,0,0,0,0,0,0,0,0,0
95BB14S1,551,549,1,0,0,0,0,0,0,0,0,0,1
95BB14S2,621,620,0,0,0,0,0,1,0,0,0,0,0
95BB15S1,706,700,0,1,0,0,0,1,0,1,1,1,1
95BB15S2,581,579,0,0,1,0,0,1,0,0,0,0,0
95BB16S1,562,562,0,0,0,0,0,0,0,0,0,0,0
95BB16S2,614,613,0,0,0,0,0,0,0,0,0,1,0
95BB17S1,727,726,0,0,0,0,0,0,0,0,0,1,0
95BB17S2,672,667,3,1,0,0,0,0,0,0,0,0,1
95BB18S1,726,722,3,0,0,0,0,1,0,0,0,0,0
95BB18S2,912,909,0,0,1,0,0,0,0,1,0,0,1
95BB19S1,641,636,1,0,1,0,1,2,0,0,0,0,0
95BB19S2,599,594,4,0,0,0,0,0,0,1,0,0,0
95BB19S3,484,480,2,0,0,0,2,0,0,0,0,0,0
95BB20S1,677,672,3,1,0,0,0,0,0,0,0,1,0
95BB20S2,613,611,0,0,0,0,0,0,0,0,0,1,1
95BB21S1,932,931,0,0,0,0,0,0,0,0,0,0,1
95BB21S2,889,887,1,0,0,0,0,0,0,0,0,1,0
95BB22S1,596,589,5,0,0,0,0,0,1,0,0,0,1
95BB22S2,598,597,0,0,0,0,0,0,0,0,0,1,0
95BB23S1,638,627,3,0,1,0,1,3,0,0,2,1,0
95BB23S2,523,521,0,0,0,0,2,0,0,0,0,0,0
95CC01W1,904,892,5,0,4,1,0,0,0,0,0,0,2
95CC02W1,875,868,1,0,0,1,0,1,0,0,0,3,1
95CC03W1,1127,1091,11,18,5,1,0,0,0,0,0,1,0
95CC04W1,790,786,1,1,0,0,0,0,0,0,0,0,2
95CC05W1,954,948,0,0,5,0,0,0,0,0,0,0,1
95CC06S1,579,571,2,2,2,1,0,0,0,1,0,0,0
95CC06S2,517,515,1,0,0,0,0,0,0,0,0,1,0
95CC07W1,1108,1106,0,0,1,0,0,0,0,0,0,0,1
95CC08W1,990,980,0,1,5,0,2,1,0,0,1,0,0
95CC09S1,494,493,0,1,0,0,0,0,0,0,0,0,0
95CC09S2,696,694,1,0,0,0,0,0,1,0,0,0,0
95CC10W1,901,896,0,0,1,0,0,0,1,0,1,2,0
95CC11W1,786,783,0,1,0,0,0,0,0,0,0,1,1
95CC12W1,890,885,0,1,1,0,0,2,0,0,0,0,1
95CC13W1,817,813,1,1,0,0,0,0,0,0,0,0,2
95CC14W1,1132,1127,0,2,1,0,0,1,0,0,0,1,0
95CC15W1,1007,1000,1,0,1,0,0,1,1,0,0,3,0
95CC16W1,1076,1072,0,0,0,0,0,1,0,1,0,1,1
95CC17W1,897,895,0,1,1,0,0,0,0,0,0,0,0
95CC18W1,937,926,3,1,5,0,0,1,0,1,0,0,0
95CC19W1,981,981,0,0,0,0,0,0,0,0,0,0,0
95CC20S1,484,484,0,0,0,0,0,0,0,0,0,0,0
95CC20S2,643,640,0,0,0,0,0,2,0,0,0,0,1
95CC21W1,1167,1162,4,0,0,0,0,0,0,0,0,1,0
95CC22W1,842,833,3,0,0,0,0,3,0,0,1,2,0
95DD01W1,836,820,2,1,8,0,0,3,0,1,0,0,1
95DD02S1,599,591,2,0,0,0,0,3,0,0,0,1,2
95DD02S2,891,887,1,0,0,1,0,0,0,0,0,1,1
95DD03W1,1389,1364,4,1,7,5,0,5,0,0,0,3,0
95DD04W1,859,854,0,0,1,0,1,0,0,0,0,0,3
95DD05W1,685,675,0,0,1,4,0,0,0,4,0,1,0
95DD06W1,944,938,5,0,0,0,0,0,0,0,0,0,1
95DD07S1,689,687,1,1,0,0,0,0,0,0,0,0,0
95DD07S2,723,722,1,0,0,0,0,0,0,0,0,0,0
95DD08W1,1041,1020,7,1,5,0,0,4,0,0,0,0,4
95DD09W1,929,925,1,0,0,0,0,0,0,1,1,1,0
95DD10W1,1180,1176,1,0,2,1,0,0,0,0,0,0,0
95DD11W1,955,927,2,21,0,1,0,3,0,1,0,0,0
95DD12W1,890,889,0,0,0,0,0,0,0,0,0,0,1
95DD13W1,741,717,2,12,3,0,0,3,0,2,0,1,1
95DD14S1,626,622,1,0,0,0,0,1,1,0,0,1,0
95DD14S2,607,594,8,0,2,1,0,1,0,1,0,0,0
95DD15W1,1174,1173,0,0,0,1,0,0,0,0,0,0,0
95DD16W1,1019,1015,0,0,1,0,1,1,0,0,0,0,1
95DD17W1,1148,1143,1,1,0,0,0,1,1,0,0,0,1
95DD18W1,873,856,1,1,1,1,0,4,0,1,1,4,3
95DD19S1,732,726,1,0,0,0,0,2,0,2,0,1,0
95DD19S2,543,540,1,1,0,0,0,0,0,1,0,0,0
95DD20W1,826,824,2,0,0,0,0,0,0,0,0,0,0
95DD21W1,891,879,0,0,1,3,0,3,0,0,1,2,2
95DD22S1,559,553,2,0,1,0,0,1,0,0,0,0,2
95DD22S2,597,594,0,0,1,0,0,0,0,0,0,0,2
95DD23W1,881,879,0,0,0,0,0,0,0,0,0,0,2
95DD24W1,990,984,4,0,1,0,0,1,0,0,0,0,0
95EE01W1,592,592,0,0,0,0,0,0,0,0,0,0,0
95EE02W1,790,789,0,0,0,0,0,0,0,0,0,1,0
95EE03W1,808,805,0,0,2,0,0,0,0,0,0,1,0
95EE04W1,736,731,1,0,0,0,0,0,1,0,0,1,2
95EE05W1,577,575,0,0,0,0,0,0,1,0,0,1,0
95EE06W1,692,687,0,1,0,0,0,0,2,0,0,1,1
95EE07W1,740,737,2,0,0,0,0,1,0,0,0,0,0
95EE08W1,711,703,3,0,5,0,0,0,0,0,0,0,0
95EE09W1,605,604,0,1,0,0,0,0,0,0,0,0,0
95EE10W1,598,594,0,1,0,0,0,0,1,0,0,2,0
95EE11W1,551,551,0,0,0,0,0,0,0,0,0,0,0
95EE12W1,1059,1054,2,0,2,0,0,0,0,0,0,1,0
95EE13W1,718,712,3,0,2,0,0,0,0,1,0,0,0
95EE14W1,1016,1013,2,0,1,0,0,0,0,0,0,0,0
95EE15W1,606,604,0,0,0,0,0,0,0,0,0,2,0
95EE16W1,709,709,0,0,0,0,0,0,0,0,0,0,0
95FF01S1,781,776,1,0,0,0,0,4,0,0,0,0,0
95FF01S2,959,950,0,1,0,3,0,1,0,0,0,1,3
95FF02W1,923,920,0,0,0,0,0,1,0,0,0,1,1
95FF03W1,1169,1163,1,0,0,0,0,1,0,0,0,1,3
