GeographyCode,QS405NI0001,QS405NI0002,QS405NI0003,QS405NI0004,QS405NI0005,QS405NI0006,QS405NI0007,QS405NI0008,QS405NI0009,QS405NI0010,QS405NI0011,QS405NI0012,QS405NI0013,QS405NI0014
95AA01S1,310,26,5,21,0,9,2,7,270,24,186,1,59,5
95AA01S2,624,540,230,310,0,12,11,1,58,45,4,7,2,14
95AA01S3,588,469,215,253,1,4,3,1,99,85,4,7,3,16
95AA02W1,839,503,253,245,5,148,141,7,162,148,0,12,2,26
95AA03W1,845,476,206,263,7,233,226,7,121,112,3,6,0,15
95AA04W1,1014,924,480,439,5,5,5,0,61,53,0,8,0,24
95AA05W1,920,730,357,370,3,68,68,0,98,83,1,10,4,24
95AA06S1,710,552,180,362,10,74,38,36,71,54,4,11,2,13
95AA06S2,860,679,157,513,9,85,58,27,78,61,1,11,5,18
95AA07W1,820,618,344,273,1,70,69,1,110,95,2,11,2,22
95AA08W1,699,416,171,233,12,161,160,1,101,96,0,5,0,21
95AA09W1,943,516,248,267,1,276,274,2,129,124,0,5,0,22
95AA10W1,792,489,234,249,6,222,216,6,62,54,0,7,1,19
95AA11S1,1123,800,274,520,6,88,61,27,205,185,2,13,5,30
95AA11S2,870,745,204,533,8,12,2,10,103,98,0,4,1,10
95AA12W1,971,838,420,417,1,33,22,11,64,56,0,8,0,36
95AA13S1,625,430,195,232,3,46,21,25,129,115,0,11,3,20
95AA13S2,614,420,147,271,2,70,36,34,115,107,0,5,3,9
95AA14W1,779,707,425,281,1,4,3,1,49,42,0,5,2,19
95AA15S1,1013,714,160,536,18,97,97,0,186,168,2,15,1,16
95AA15S2,582,283,70,207,6,183,182,1,100,94,3,3,0,16
95AA16W1,832,453,183,264,6,207,204,3,148,139,2,6,1,24
95AA17W1,855,598,195,388,15,158,141,17,78,70,1,5,2,21
95AA18W1,1004,842,519,321,2,10,8,2,128,109,3,15,1,24
95AA19W1,832,604,339,264,1,110,99,11,92,71,4,14,3,26
95BB01S1,548,484,230,253,1,25,23,2,29,27,0,1,1,10
95BB01S2,759,664,258,404,2,45,45,0,35,32,0,3,0,15
95BB02W1,1126,600,330,258,12,345,267,78,127,99,1,17,10,54
95BB03S1,877,568,268,290,10,157,119,38,137,119,1,15,2,15
95BB03S2,899,714,389,313,12,64,64,0,90,81,1,6,2,31
95BB04S1,638,417,230,184,3,109,84,25,93,84,0,7,2,19
95BB04S2,669,610,368,237,5,8,6,2,36,30,0,4,2,15
