GeographyCode,QS604NI0001,QS604NI0002,QS604NI0003,QS604NI0004,QS604NI0005,QS604NI0006,QS604NI0007,QS604NI0008,QS604NI0009,QS604NI0010,QS604NI0011,QS604NI0012,QS604NI0013,QS604NI0014,QS604NI0015,QS604NI0016,QS604NI0017,QS604NI0018,QS604NI0019,QS604NI0020,QS604NI0021,QS604NI0022,QS604NI0023,QS604NI0024,QS604NI0025,QS604NI0026,QS604NI0027,QS604NI0028
95AA01S1,591,1,0,26,1,1,1,3,4,10,6,1,0,15,35,16,16,3,7,1,17,66,314,20,39,14,0,0
95AA01S2,939,50,1,98,11,4,6,25,8,22,22,5,9,83,146,51,41,27,29,5,43,37,57,108,118,31,0,0
95AA01S3,813,26,4,90,14,3,0,24,9,25,15,2,8,62,121,49,36,24,27,4,33,31,67,75,122,32,0,0
95AA02W1,826,3,0,84,7,3,2,14,11,37,10,1,7,43,163,62,68,16,11,3,23,45,69,52,132,44,0,0
95AA03W1,775,4,1,84,2,2,1,15,15,38,11,0,5,42,150,76,54,10,17,2,15,45,52,38,148,29,2,1
95AA04W1,1570,94,3,130,21,0,2,20,20,33,34,4,14,124,269,101,72,46,37,16,74,46,124,151,192,71,1,1
95AA05W1,1276,39,1,118,19,8,2,26,13,36,14,6,11,191,187,50,49,21,32,11,47,29,97,115,238,34,0,0
95AA06S1,892,13,1,80,7,4,0,22,4,26,17,1,4,74,169,60,37,20,22,8,36,25,87,68,157,30,0,0
95AA06S2,1201,4,4,105,10,1,6,32,12,32,12,5,8,87,201,101,51,45,39,11,54,38,112,106,171,59,0,0
95AA07W1,1046,40,1,112,19,6,4,18,12,35,18,5,24,114,153,45,44,26,29,5,36,41,63,77,189,42,0,0
95AA08W1,700,2,0,121,1,4,3,28,9,51,25,1,4,28,135,58,47,4,8,4,18,29,40,30,142,29,0,0
95AA09W1,915,4,0,106,6,6,6,28,10,30,20,4,7,49,186,63,77,15,17,5,26,55,52,53,159,37,0,0
95AA10W1,807,3,1,89,3,3,5,17,14,32,15,3,5,46,143,54,71,18,13,8,15,28,56,63,158,32,0,1
95AA11S1,1405,6,1,168,8,8,7,40,16,66,23,5,14,83,263,112,80,35,28,8,37,55,119,105,240,45,1,0
95AA11S2,1395,4,2,139,12,8,5,25,13,53,23,8,10,85,230,87,85,32,39,14,46,41,203,99,237,31,2,1
95AA12W1,1459,82,2,111,17,3,1,17,19,33,21,13,10,124,242,67,53,41,63,12,90,58,126,137,164,60,1,3
95AA13S1,823,13,0,79,7,5,3,7,9,37,11,1,14,103,110,41,36,20,25,5,39,19,67,77,157,17,0,0
95AA13S2,750,10,1,72,9,3,0,14,7,20,19,3,13,84,101,36,48,20,23,6,22,21,57,51,162,20,0,0
95AA14W1,1151,45,1,103,15,3,3,18,13,39,12,9,7,117,204,41,38,24,35,9,61,43,99,92,185,38,0,0
95AA15S1,1428,3,1,142,10,4,2,29,18,55,24,6,11,87,246,98,77,43,27,2,42,61,115,87,331,48,0,1
