GeographyCode,QS601NI0001,QS601NI0002,QS601NI0003,QS601NI0004,QS601NI0005,QS601NI0006,QS601NI0007,QS601NI0008,QS601NI0009,QS601NI0010,QS601NI0011,QS601NI0012,QS601NI0013,QS601NI0014,QS601NI0015,QS601NI0016
95AA01S1,754,625,80,483,3,4,9,5,34,7,129,3,22,84,3,17
95AA01S2,1313,987,173,528,7,53,43,96,34,53,326,140,63,37,63,23
95AA01S3,1110,861,130,507,4,46,32,66,39,37,249,132,44,36,28,9
95AA02W1,1319,892,189,543,4,22,13,24,57,40,427,232,32,37,99,27
95AA03W1,1317,840,204,502,0,8,7,33,57,29,477,204,42,69,103,59
95AA04W1,2227,1660,318,800,9,99,60,196,72,106,567,244,125,77,75,46
95AA05W1,1924,1362,228,758,8,50,26,145,77,70,562,242,99,69,98,54
95AA06S1,1322,968,221,507,4,27,22,52,59,76,354,139,74,55,68,18
95AA06S2,1811,1290,282,724,5,26,31,68,67,87,521,137,123,86,138,37
95AA07W1,1592,1112,206,591,3,52,32,129,56,43,480,215,64,48,117,36
95AA08W1,1262,804,200,434,2,10,8,23,88,39,458,182,44,59,136,37
95AA09W1,1595,1015,233,576,3,16,26,23,90,48,580,251,73,78,126,52
95AA10W1,1461,900,196,488,1,16,18,44,77,60,561,260,53,75,127,46
95AA11S1,1995,1486,266,974,5,36,31,58,67,49,509,254,70,47,102,36
95AA11S2,1839,1448,247,961,1,22,28,71,41,77,391,162,58,48,84,39
95AA12W1,2037,1495,283,781,12,86,60,179,29,65,542,252,138,67,56,29
95AA13S1,1230,882,140,528,2,26,24,69,52,41,348,151,64,37,75,21
95AA13S2,1109,799,153,472,8,19,17,59,42,29,310,140,53,27,65,25
95AA14W1,1678,1215,231,627,6,63,32,131,55,70,463,215,80,55,85,28
95AA15S1,1930,1521,256,993,5,24,41,56,76,70,409,154,59,60,100,36
95AA15S2,1098,755,157,456,1,9,12,21,60,39,343,92,47,54,120,30
95AA16W1,1351,896,191,552,2,9,7,31,67,37,455,197,48,56,114,40
95AA17W1,1614,1117,236,658,5,13,18,45,99,43,497,214,73,62,112,36
95AA18W1,1821,1160,198,655,18,82,33,84,35,55,661,402,83,68,71,37
95AA19W1,1888,1271,233,653,1,62,31,155,75,61,617,164,135,101,152,65
95BB01S1,1143,861,163,472,6,38,32,72,35,43,282,140,59,30,35,18
95BB01S2,1507,1115,228,638,6,37,28,81,53,44,392,185,87,44,60,16
95BB02W1,1711,1037,221,545,1,41,30,50,94,55,674,305,74,73,160,62
95BB03S1,1460,887,182,509,1,24,21,46,80,24,573,295,50,64,115,49
95BB03S2,1620,974,188,514,6,60,30,87,57,32,646,347,76,76,104,43
95BB04S1,1110,680,150,357,0,18,24,39,62,30,430,239,57,42,71,21
95BB04S2,1177,749,162,399,6,48,34,45,28,27,428,297,50,37,32,12
95BB05S1,1121,793,161,379,5,47,43,93,33,32,328,185,41,38,42,22
95BB05S2,1438,991,197,485,6,53,40,133,48,29,447,227,54,55,88,23
95BB06W1,2163,1353,277,773,3,22,24,56,142,56,810,358,82,89,209,72
95BB07S1,1150,758,147,435,3,24,13,45,61,30,392,201,36,51,82,22
95BB07S2,986,656,151,346,4,24,17,44,39,31,330,192,46,41,36,15
95BB08S1,952,591,131,326,4,7,14,37,44,28,361,174,33,40,91,23
95BB08S2,986,726,168,436,1,22,7,40,33,19,260,141,41,26,40,12
95BB09S1,1001,666,142,363,1,27,29,57,23,24,335,233,33,20,28,21
95BB09S2,1292,938,180,571,1,20,28,49,40,49,354,220,59,30,33,12
