Geography,GeographyCode,AllHouseholds
Titanic_Q,N21000210,1000
Titanic_R,N21000211,882
Titanic_S,N21000212,729
Titanic_T,N21000213,944
Titanic_U,N21000214,608
Titanic_W,N21000215,731
Titanic_X,N21000216,607
Titanic_Y,N21000217,805
Titanic_Z,N21000218,663
Ormiston_A,N21000219,894
Ormiston_B,N21000220,875
Ormiston_C,N21000221,984
Ormiston_D,N21000222,957
Ormiston_E,N21000223,880
Ormiston_F,N21000224,973
Ormiston_G,N21000225,994
Ormiston_H,N21000226,876
Ormiston_J,N21000227,931
Ormiston_K,N21000228,866
Ormiston_L,N21000229,1001
Ormiston_N,N21000230,1007
Ormiston_P,N21000231,941
Ormiston_Q,N21000232,563
Ormiston_R,N21000233,686
Ormiston_S,N21000234,802
Ormiston_T,N21000235,962
Lisnasharragh_A,N21000236,818
Lisnasharragh_B,N21000237,1091
Lisnasharragh_C,N21000238,619
Lisnasharragh_D,N21000239,828
Lisnasharragh_E,N21000240,882
Lisnasharragh_F,N21000241,685
Lisnasharragh_G,N21000242,727
Lisnasharragh_H,N21000243,682
Lisnasharragh_J,N21000244,770
Lisnasharragh_K,N21000245,947
Lisnasharragh_L,N21000246,827
Lisnasharragh_N,N21000247,1122
Lisnasharragh_P,N21000248,1085
Lisnasharragh_Q,N21000249,736
Lisnasharragh_R,N21000250,1086
Botanic_A,N21000251,884
Botanic_B,N21000252,787
Botanic_C,N21000253,842
Botanic_D,N21000254,791
Botanic_E,N21000255,871
Botanic_F,N21000256,957
Botanic_G,N21000257,788
Botanic_H,N21000258,1285
Botanic_J,N21000259,781
Botanic_K,N21000260,887
Botanic_L,N21000261,922
Botanic_N,N21000262,1073
Botanic_P,N21000263,1088
Botanic_Q,N21000264,982
Botanic_R,N21000265,1181
Botanic_S,N21000266,939
Botanic_T,N21000267,901
Botanic_U,N21000268,656
Botanic_W,N21000269,1168
Botanic_X,N21000270,777
Botanic_Y,N21000271,1140
Botanic_Z,N21000272,704
Balmoral_A,N21000273,963
Balmoral_B,N21000274,614
Balmoral_C,N21000275,661
Balmoral_D,N21000276,842
Balmoral_E,N21000277,896
Balmoral_F,N21000278,948
Balmoral_G,N21000279,807
Balmoral_H,N21000280,620
Balmoral_J,N21000281,984
Balmoral_K,N21000282,774
Balmoral_L,N21000283,784
Balmoral_N,N21000284,899
Balmoral_P,N21000285,872
Collin_A,N21000286,730
Collin_B,N21000287,991
Collin_C,N21000288,841
