Geography,GeographyCode,Total,Level4Plus,Level4Plus_pct
Antrim and Newtownabbey,N09000001,116396,36690,31.52
"Armagh City, Banbridge and Craigavon",N09000002,170413,51769,30.38
Belfast,N09000003,279306,96156,34.43
Causeway Coast and Glens,N09000004,114155,33321,29.19
Derry City and Strabane,N09000005,118813,35219,29.64
Fermanagh and Omagh,N09000006,92013,29244,31.78
Lisburn and Castlereagh,N09000007,118922,46620,39.20
Mid and East Antrim,N09000008,113075,32513,28.75
Mid Ulster,N09000009,115659,33912,29.32
"Newry, Mourne and Down",N09000010,141995,45135,31.79
Ards and North Down,N09000011,133990,45752,34.15
