Geography,GeographyCode,AllHouseholds
ANTRIM,N11000001,10819
CRUMLIN,N11000003,2014
PARKGATE,N11000009,278
RANDALSTOWN,N11000010,2112
TEMPLEPATRICK,N11000011,685
TOOME,N11000012,381
BALLYGOWAN,N11000022,1246
BALLYHALBERT,N11000023,528
BALLYWALTER,N11000025,909
CARROWDORE,N11000026,434
CLOUGHEY,N11000027,562
COMBER,N11000028,4281
DONAGHADEE,N11000030,3326
GREYABBEY,N11000032,422
KIRCUBBIN,N11000035,494
LISBANE,N11000037,206
MILLISLE,N11000039,1093
NEWTOWNARDS,N11000040,13016
PORTAFERRY,N11000041,1023
PORTAVOGIE,N11000042,894
ARMAGH,N11000051,6506
HAMILTONSBAWN,N11000072,392
KEADY,N11000073,1321
LAURELVALE / MULLAVILLY,N11000076,543
MARKETHILL,N11000081,794
MILFORD,N11000083,211
POYNTZPASS,N11000088,267
RICHHILL,N11000089,1131
TANDRAGEE,N11000093,1468
AHOGHILL,N11000098,1457
BALLYMENA,N11000099,13236
BROUGHSHANE,N11000100,1381
CARGAN,N11000101,243
CULLYBACKEY,N11000103,1205
GRANGE CORNER,N11000104,200
KELLS / CONNOR,N11000105,882
PORTGLENONE,N11000107,586
BALLYBOGY,N11000108,228
BALLYMONEY,N11000109,4792
BALNAMORE,N11000110,341
BENDOORAGH,N11000111,232
CLOGH MILLS,N11000114,529
DERVOCK,N11000117,330
DUNLOY,N11000119,401
RASHARKIN,N11000123,424
BANBRIDGE,N11000131,7348
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,2662
GILFORD,N11000137,851
KINALLEN,N11000141,427
LAWRENCETOWN,N11000142,401
LOUGHBRICKLAND,N11000145,335
RATHFRILAND,N11000147,1040
BELFAST CITY,N11000151,127735
CARRICKFERGUS,N11000153,12229
GREENISLAND,N11000154,2609
WHITEHEAD,N11000157,1638
CARRYDUFF,N11000159,2795
METROPOLITAN CASTLEREAGH,N11000162,25209
MONEYREAGH,N11000163,624
ARTICLAVE,N11000165,382
CASTLEROCK,N11000170,554
CASTLEROE,N11000171,282
COLERAINE,N11000173,10588
GARVAGH,N11000176,532
KILREA,N11000179,689
MACOSQUIN,N11000180,251
PORTBALLINTRAE,N11000182,277
PORTRUSH,N11000183,2861
PORTSTEWART,N11000184,3498
ARDBOE,N11000186,245
BALLYRONAN,N11000190,223
COAGH,N11000192,288
COOKSTOWN,N11000193,5007
MONEYMORE,N11000203,834
MOORTOWN,N11000204,191
POMEROY,N11000206,320
STEWARTSTOWN,N11000208,283
AGHAGALLON,N11000212,420
BLEARY,N11000216,438
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,29151
DERRYMACASH,N11000220,232
DOLLINGSTOWN,N11000223,874
DONAGHCLONEY,N11000224,775
DRUMNACANVY,N11000225,436
MAGHERALIN,N11000228,821
SCOTCH STREET,N11000232,234
THE BIRCHES,N11000234,204
WARINGSTOWN,N11000235,1527
CLAUDY,N11000240,540
CULMORE,N11000242,1231
DERRY CITY,N11000243,35713
EGLINTON,N11000244,1359
LETTERSHENDONEY,N11000248,219
NEWBUILDINGS,N11000250,1116
STRATHFOYLE,N11000254,999
ANNSBOROUGH,N11000258,307
ARDGLASS,N11000259,709
BALLYNAHINCH,N11000263,2635
CASTLEWELLAN,N11000268,1104
CROSSGAR,N11000273,826
DARRAGH CROSS,N11000274,200
DOWNPATRICK,N11000276,4597
DRUMANESS,N11000278,534
DUNDRUM,N11000280,694
KILLOUGH,N11000283,387
KILLYLEAGH,N11000284,1252
NEWCASTLE,N11000288,3548
SAINTFIELD,N11000290,1514
STRANGFORD,N11000294,260
THE SPA,N11000295,206
ANNAGHMORE (MID ULSTER LGD),N11000297,331
AUGHNACLOY,N11000299,456
BALLYGAWLEY,N11000300,398
CALEDON,N11000304,226
CASTLECAULFIELD,N11000308,381
CLOGHER,N11000309,282
COALISLAND,N11000311,2446
DONAGHMORE,N11000314,466
DUNGANNON,N11000315,5982
EGLISH (MID ULSTER LGD),N11000318,162
FIVEMILETOWN,N11000319,621
KILLYMAN,N11000323,387
MOY,N11000324,769
NEWMILLS,N11000325,308
THE BUSH,N11000327,213
BALLINAMALLARD,N11000331,587
BELLANALECK,N11000334,239
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,459
DERRYGONNELLY,N11000342,251
DERRYLIN,N11000343,272
EDERNEY,N11000345,259
ENNISKILLEN,N11000346,6218
IRVINESTOWN,N11000349,1049
KESH,N11000350,478
LISBELLAW,N11000356,471
LISNASKEA,N11000358,1272
MAGUIRESBRIDGE,N11000360,428
NEWTOWNBUTLER,N11000363,429
BALLYCARRY,N11000371,612
BALLYGALLEY,N11000372,328
BALLYSTRUDDER,N11000373,412
CARNLOUGH,N11000378,603
GLENARM,N11000385,240
GLYNN,N11000387,273
LARNE,N11000389,8649
BALLYKELLY,N11000398,807
DUNGIVEN,N11000403,1296
FEENY,N11000404,272
GREYSTEEL,N11000408,559
LIMAVADY,N11000410,5113
AGHALEE,N11000412,342
ANNAHILT,N11000413,425
DROMARA,N11000421,444
DRUMBEG,N11000422,325
GLENAVY,N11000430,812
HILLSBOROUGH AND CULCAVY,N11000434,1893
LISBURN CITY,N11000438,21322
LOWER BALLINDERRY,N11000440,342
MAGHABERRY,N11000445,1071
METROPOLITAN LISBURN,N11000447,12778
MILLTOWN,N11000448,644
MOIRA,N11000449,2078
RAVERNET,N11000452,228
STONEYFORD,N11000454,241
BELLAGHY,N11000461,465
CASTLEDAWSON,N11000462,905
CLADY (MID ULSTER LGD),N11000463,202
DRAPERSTOWN,N11000468,720
GULLADUFF,N11000472,222
MAGHERA (MID ULSTER LGD),N11000477,1668
MAGHERAFELT,N11000478,3809
TOBERMORE,N11000484,310
BALLYCASTLE,N11000488,2405
BUSHMILLS,N11000490,600
CUSHENDALL,N11000493,483
ANNALONG,N11000502,824
BALLYHOLLAND,N11000504,216
BALLYMARTIN,N11000506,220
BESSBROOK,N11000510,1146
CAMLOUGH,N11000511,398
CROSSMAGLEN,N11000513,694
FORKHILL,N11000519,215
HILLTOWN,N11000524,658
KILKEEL,N11000527,2691
MAYOBRIDGE,N11000533,401
MEIGH,N11000534,372
MULLAGHBANE,N11000535,248
NEWRY,N11000537,11239
NEWTOWNCLOGHOGE,N11000538,212
NEWTOWNHAMILTON,N11000539,347
ROSTREVOR,N11000540,1043
WARRENPOINT / BURREN,N11000544,3565
BALLYCLARE,N11000546,4614
BALLYNURE,N11000550,425
BALLYROBERT,N11000551,329
COGRY / KILBRIDE,N11000553,527
DOAGH,N11000555,633
METROPOLITAN NEWTOWNABBEY,N11000559,28610
BANGOR,N11000564,28066
CRAWFORDSBURN,N11000566,206
GROOMSPORT,N11000568,622
HELEN'S BAY,N11000569,616
HOLYWOOD,N11000570,4660
SEAHILL,N11000573,444
BERAGH,N11000576,300
CARRICKMORE,N11000577,231
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,487
DRUMQUIN,N11000584,241
FINTONA,N11000589,580
LOUGHMACRORY,N11000599,195
OMAGH TOWN,N11000603,8754
