Geography,GeographyCode,Total,NoCar,NoCar_pct
ANTRIM,N11000001,10819,2482,22.94
CRUMLIN,N11000003,2014,263,13.06
PARKGATE,N11000009,278,23,8.27
RANDALSTOWN,N11000010,2112,344,16.29
TEMPLEPATRICK,N11000011,684,52,7.60
TOOME,N11000012,382,69,18.06
BALLYGOWAN,N11000022,1246,86,6.90
BALLYHALBERT,N11000023,527,53,10.06
BALLYWALTER,N11000025,909,160,17.60
CARROWDORE,N11000026,434,72,16.59
CLOUGHEY,N11000027,562,46,8.19
COMBER,N11000028,4280,617,14.42
DONAGHADEE,N11000030,3326,585,17.59
GREYABBEY,N11000032,422,64,15.17
KIRCUBBIN,N11000035,494,113,22.87
LISBANE,N11000037,208,14,6.73
MILLISLE,N11000039,1093,151,13.82
NEWTOWNARDS,N11000040,13016,2678,20.57
PORTAFERRY,N11000041,1023,248,24.24
PORTAVOGIE,N11000042,894,105,11.74
ARMAGH,N11000051,6507,1422,21.85
HAMILTONSBAWN,N11000072,392,21,5.36
KEADY,N11000073,1322,261,19.74
LAURELVALE / MULLAVILLY,N11000076,543,42,7.73
MARKETHILL,N11000081,793,133,16.77
MILFORD,N11000083,208,28,13.46
POYNTZPASS,N11000088,267,26,9.74
RICHHILL,N11000089,1131,110,9.73
TANDRAGEE,N11000093,1471,219,14.89
AHOGHILL,N11000098,1456,173,11.88
BALLYMENA,N11000099,13236,3190,24.10
BROUGHSHANE,N11000100,1379,176,12.76
CARGAN,N11000101,243,38,15.64
CULLYBACKEY,N11000103,1205,239,19.83
GRANGE CORNER,N11000104,200,15,7.50
KELLS / CONNOR,N11000105,881,106,12.03
PORTGLENONE,N11000107,586,116,19.80
BALLYBOGY,N11000108,228,20,8.77
BALLYMONEY,N11000109,4792,930,19.41
BALNAMORE,N11000110,340,55,16.18
BENDOORAGH,N11000111,232,12,5.17
CLOGH MILLS,N11000114,529,78,14.74
DERVOCK,N11000117,330,76,23.03
DUNLOY,N11000119,401,50,12.47
RASHARKIN,N11000123,424,73,17.22
BANBRIDGE,N11000131,7346,1297,17.66
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,2662,366,13.75
GILFORD,N11000137,852,184,21.60
KINALLEN,N11000141,429,10,2.33
LAWRENCETOWN,N11000142,402,49,12.19
LOUGHBRICKLAND,N11000145,335,47,14.03
RATHFRILAND,N11000147,1040,167,16.06
BELFAST CITY,N11000151,127735,45623,35.72
CARRICKFERGUS,N11000153,12230,2451,20.04
GREENISLAND,N11000154,2609,456,17.48
WHITEHEAD,N11000157,1639,317,19.34
CARRYDUFF,N11000159,2796,229,8.19
METROPOLITAN CASTLEREAGH,N11000162,25206,4211,16.71
MONEYREAGH,N11000163,624,36,5.77
ARTICLAVE,N11000165,382,48,12.57
CASTLEROCK,N11000170,555,82,14.77
CASTLEROE,N11000171,281,33,11.74
COLERAINE,N11000173,10588,2589,24.45
GARVAGH,N11000176,532,103,19.36
KILREA,N11000179,690,132,19.13
MACOSQUIN,N11000180,250,49,19.60
PORTBALLINTRAE,N11000182,277,46,16.61
PORTRUSH,N11000183,2861,612,21.39
PORTSTEWART,N11000184,3498,493,14.09
ARDBOE,N11000186,245,21,8.57
BALLYRONAN,N11000190,222,20,9.01
COAGH,N11000192,288,27,9.38
COOKSTOWN,N11000193,5007,1060,21.17
MONEYMORE,N11000203,834,110,13.19
MOORTOWN,N11000204,191,15,7.85
POMEROY,N11000206,320,59,18.44
STEWARTSTOWN,N11000208,282,85,30.14
AGHAGALLON,N11000212,418,39,9.33
BLEARY,N11000216,438,25,5.71
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,29151,6972,23.92
DERRYMACASH,N11000220,232,8,3.45
DOLLINGSTOWN,N11000223,874,76,8.70
DONAGHCLONEY,N11000224,775,69,8.90
DRUMNACANVY,N11000225,436,14,3.21
MAGHERALIN,N11000228,821,76,9.26
SCOTCH STREET,N11000232,234,20,8.55
THE BIRCHES,N11000234,205,17,8.29
WARINGSTOWN,N11000235,1527,105,6.88
CLAUDY,N11000240,540,94,17.41
CULMORE,N11000242,1231,52,4.22
DERRY CITY,N11000243,35713,11020,30.86
EGLINTON,N11000244,1359,148,10.89
LETTERSHENDONEY,N11000248,218,48,22.02
NEWBUILDINGS,N11000250,1116,149,13.35
STRATHFOYLE,N11000254,999,230,23.02
ANNSBOROUGH,N11000258,308,69,22.40
ARDGLASS,N11000259,709,148,20.87
BALLYNAHINCH,N11000263,2635,479,18.18
CASTLEWELLAN,N11000268,1104,224,20.29
CROSSGAR,N11000273,826,108,13.08
DARRAGH CROSS,N11000274,200,8,4.00
DOWNPATRICK,N11000276,4595,971,21.13
DRUMANESS,N11000278,534,77,14.42
DUNDRUM,N11000280,694,111,15.99
KILLOUGH,N11000283,387,73,18.86
KILLYLEAGH,N11000284,1251,259,20.70
NEWCASTLE,N11000288,3548,723,20.38
SAINTFIELD,N11000290,1514,136,8.98
STRANGFORD,N11000294,260,41,15.77
THE SPA,N11000295,206,11,5.34
ANNAGHMORE (MID ULSTER LGD),N11000297,331,25,7.55
AUGHNACLOY,N11000299,455,63,13.85
BALLYGAWLEY,N11000300,400,65,16.25
CALEDON,N11000304,226,38,16.81
CASTLECAULFIELD,N11000308,381,33,8.66
CLOGHER,N11000309,282,43,15.25
COALISLAND,N11000311,2446,447,18.27
DONAGHMORE,N11000314,466,58,12.45
DUNGANNON,N11000315,5984,1664,27.81
EGLISH (MID ULSTER LGD),N11000318,163,11,6.75
FIVEMILETOWN,N11000319,621,130,20.93
KILLYMAN,N11000323,388,16,4.12
MOY,N11000324,769,89,11.57
NEWMILLS,N11000325,308,21,6.82
THE BUSH,N11000327,210,14,6.67
BALLINAMALLARD,N11000331,588,68,11.56
BELLANALECK,N11000334,239,15,6.28
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,457,71,15.54
DERRYGONNELLY,N11000342,254,43,16.93
DERRYLIN,N11000343,271,41,15.13
EDERNEY,N11000345,261,54,20.69
ENNISKILLEN,N11000346,6217,1398,22.49
IRVINESTOWN,N11000349,1049,261,24.88
KESH,N11000350,477,83,17.40
LISBELLAW,N11000356,471,56,11.89
LISNASKEA,N11000358,1275,310,24.31
MAGUIRESBRIDGE,N11000360,428,62,14.49
NEWTOWNBUTLER,N11000363,429,104,24.24
BALLYCARRY,N11000371,612,56,9.15
BALLYGALLEY,N11000372,329,11,3.34
BALLYSTRUDDER,N11000373,412,34,8.25
CARNLOUGH,N11000378,602,124,20.60
GLENARM,N11000385,240,57,23.75
GLYNN,N11000387,274,49,17.88
LARNE,N11000389,8649,2037,23.55
BALLYKELLY,N11000398,806,141,17.49
DUNGIVEN,N11000403,1296,248,19.14
FEENY,N11000404,272,39,14.34
GREYSTEEL,N11000408,559,92,16.46
LIMAVADY,N11000410,5113,1175,22.98
AGHALEE,N11000412,343,22,6.41
ANNAHILT,N11000413,424,25,5.90
DROMARA,N11000421,444,38,8.56
DRUMBEG,N11000422,326,14,4.29
GLENAVY,N11000430,811,40,4.93
HILLSBOROUGH AND CULCAVY,N11000434,1893,175,9.24
LISBURN CITY,N11000438,21323,3896,18.27
LOWER BALLINDERRY,N11000440,342,7,2.05
MAGHABERRY,N11000445,1071,29,2.71
METROPOLITAN LISBURN,N11000447,12777,3324,26.02
MILLTOWN,N11000448,645,85,13.18
MOIRA,N11000449,2076,167,8.04
RAVERNET,N11000452,229,21,9.17
STONEYFORD,N11000454,240,6,2.50
BELLAGHY,N11000461,463,69,14.90
CASTLEDAWSON,N11000462,905,149,16.46
CLADY (MID ULSTER LGD),N11000463,200,27,13.50
DRAPERSTOWN,N11000468,720,114,15.83
GULLADUFF,N11000472,222,17,7.66
MAGHERA (MID ULSTER LGD),N11000477,1668,316,18.94
MAGHERAFELT,N11000478,3809,695,18.25
TOBERMORE,N11000484,311,38,12.22
BALLYCASTLE,N11000488,2407,475,19.73
BUSHMILLS,N11000490,600,168,28.00
