Geography,GeographyCode,Total,PrivateRented,PrivateRented_pct
ANTRIM,N11000001,10820,2021,18.68
CRUMLIN,N11000003,2013,240,11.92
PARKGATE,N11000009,279,29,10.39
RANDALSTOWN,N11000010,2112,476,22.54
TEMPLEPATRICK,N11000011,687,96,13.97
TOOME,N11000012,380,62,16.32
BALLYGOWAN,N11000022,1247,90,7.22
BALLYHALBERT,N11000023,529,130,24.57
BALLYWALTER,N11000025,909,168,18.48
CARROWDORE,N11000026,435,70,16.09
CLOUGHEY,N11000027,563,82,14.56
COMBER,N11000028,4281,534,12.47
DONAGHADEE,N11000030,3326,411,12.36
GREYABBEY,N11000032,423,43,10.17
KIRCUBBIN,N11000035,495,128,25.86
LISBANE,N11000037,205,20,9.76
MILLISLE,N11000039,1093,168,15.37
NEWTOWNARDS,N11000040,13018,1693,13.01
PORTAFERRY,N11000041,1025,207,20.20
PORTAVOGIE,N11000042,893,135,15.12
ARMAGH,N11000051,6504,1501,23.08
HAMILTONSBAWN,N11000072,391,100,25.58
KEADY,N11000073,1321,401,30.36
LAURELVALE / MULLAVILLY,N11000076,543,90,16.57
MARKETHILL,N11000081,795,194,24.40
MILFORD,N11000083,210,71,33.81
POYNTZPASS,N11000088,267,66,24.72
RICHHILL,N11000089,1131,163,14.41
TANDRAGEE,N11000093,1468,282,19.21
AHOGHILL,N11000098,1457,200,13.73
BALLYMENA,N11000099,13239,2705,20.43
BROUGHSHANE,N11000100,1380,210,15.22
CARGAN,N11000101,244,54,22.13
CULLYBACKEY,N11000103,1206,166,13.76
GRANGE CORNER,N11000104,198,36,18.18
KELLS / CONNOR,N11000105,877,129,14.71
PORTGLENONE,N11000107,587,145,24.70
BALLYBOGY,N11000108,227,53,23.35
BALLYMONEY,N11000109,4793,993,20.72
BALNAMORE,N11000110,341,62,18.18
BENDOORAGH,N11000111,233,49,21.03
CLOGH MILLS,N11000114,527,111,21.06
DERVOCK,N11000117,332,67,20.18
DUNLOY,N11000119,398,59,14.82
RASHARKIN,N11000123,424,86,20.28
BANBRIDGE,N11000131,7347,1436,19.55
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,2662,439,16.49
GILFORD,N11000137,852,173,20.31
KINALLEN,N11000141,430,77,17.91
LAWRENCETOWN,N11000142,400,80,20.00
LOUGHBRICKLAND,N11000145,335,67,20.00
RATHFRILAND,N11000147,1041,238,22.86
BELFAST CITY,N11000151,127735,28593,22.38
CARRICKFERGUS,N11000153,12229,1783,14.58
GREENISLAND,N11000154,2609,339,12.99
WHITEHEAD,N11000157,1636,290,17.73
CARRYDUFF,N11000159,2795,310,11.09
