Geography,GeographyCode,Total,Catholic,Catholic_pct
Antrim and Newtownabbey,N09000001,145661,41317,28.37
"Armagh City, Banbridge and Craigavon",N09000002,218656,89737,41.04
Belfast,N09000003,345418,150129,43.46
Causeway Coast and Glens,N09000004,141749,53301,37.60
Derry City and Strabane,N09000005,150756,103053,68.36
Fermanagh and Omagh,N09000006,116812,71430,61.15
Lisburn and Castlereagh,N09000007,149106,35714,23.95
Mid and East Antrim,N09000008,138994,24186,17.40
Mid Ulster,N09000009,150293,93703,62.35
"Newry, Mourne and Down",N09000010,182074,124153,68.19
Ards and North Down,N09000011,163659,18428,11.26
