Geography,GeographyCode,AverageHouseholdSize
ANTRIM,N11000001,2.3404196321286626
CRUMLIN,N11000003,2.65441906653426
PARKGATE,N11000009,2.398550724637681
RANDALSTOWN,N11000010,2.3948863636363638
TEMPLEPATRICK,N11000011,2.216374269005848
TOOME,N11000012,2.545931758530184
BALLYGOWAN,N11000022,2.518459069020867
BALLYHALBERT,N11000023,2.4071969696969697
BALLYWALTER,N11000025,2.209020902090209
CARROWDORE,N11000026,2.4331797235023043
CLOUGHEY,N11000027,2.391459074733096
COMBER,N11000028,2.208177570093458
DONAGHADEE,N11000030,2.169323308270677
GREYABBEY,N11000032,2.078014184397163
KIRCUBBIN,N11000035,2.160243407707911
LISBANE,N11000037,2.5217391304347827
MILLISLE,N11000039,2.343092406221409
NEWTOWNARDS,N11000040,2.261160199769497
PORTAFERRY,N11000041,2.297165200391007
PORTAVOGIE,N11000042,2.533557046979866
ARMAGH,N11000051,2.454042422379342
HAMILTONSBAWN,N11000072,2.607594936708861
KEADY,N11000073,2.4814253222137985
LAURELVALE / MULLAVILLY,N11000076,2.559852670349908
MARKETHILL,N11000081,2.398486759142497
MILFORD,N11000083,2.6113744075829386
POYNTZPASS,N11000088,2.363295880149813
RICHHILL,N11000089,2.37842617152962
TANDRAGEE,N11000093,2.414850136239782
AHOGHILL,N11000098,2.416609471516815
BALLYMENA,N11000099,2.328825085001889
BROUGHSHANE,N11000100,2.246734397677794
CARGAN,N11000101,2.5843621399176953
CULLYBACKEY,N11000103,2.2066390041493777
GRANGE CORNER,N11000104,2.605
KELLS / CONNOR,N11000105,2.4058956916099774
PORTGLENONE,N11000107,2.3276450511945392
BALLYBOGY,N11000108,2.473684210526316
BALLYMONEY,N11000109,2.2835976627712853
BALNAMORE,N11000110,2.439882697947214
BENDOORAGH,N11000111,2.788793103448276
CLOGH MILLS,N11000114,2.335227272727273
DERVOCK,N11000117,2.3393939393939394
DUNLOY,N11000119,2.7930174563591024
RASHARKIN,N11000123,2.527315914489311
BANBRIDGE,N11000131,2.3437244759052547
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,2.3882838903492303
GILFORD,N11000137,2.2969483568075115
KINALLEN,N11000141,2.6370023419203745
LAWRENCETOWN,N11000142,2.481296758104738
LOUGHBRICKLAND,N11000145,2.3671641791044777
RATHFRILAND,N11000147,2.3384615384615386
BELFAST CITY,N11000151,2.2245995584574194
CARRICKFERGUS,N11000153,2.2795584627964023
GREENISLAND,N11000154,2.286316596397087
WHITEHEAD,N11000157,2.115314215985357
CARRYDUFF,N11000159,2.5413237924865832
METROPOLITAN CASTLEREAGH,N11000162,2.307548891268991
MONEYREAGH,N11000163,2.4743589743589745
ARTICLAVE,N11000165,2.4083769633507854
CASTLEROCK,N11000170,2.0848375451263537
CASTLEROE,N11000171,2.393617021276596
COLERAINE,N11000173,2.2651114469210425
GARVAGH,N11000176,2.2598870056497176
KILREA,N11000179,2.4281567489114657
MACOSQUIN,N11000180,2.402390438247012
PORTBALLINTRAE,N11000182,1.8050541516245486
PORTRUSH,N11000183,2.1121593291404612
PORTSTEWART,N11000184,2.2253360022876754
ARDBOE,N11000186,3.0368852459016393
BALLYRONAN,N11000190,2.588495575221239
COAGH,N11000192,2.6805555555555554
COOKSTOWN,N11000193,2.4725494110600916
MONEYMORE,N11000203,2.5335731414868103
MOORTOWN,N11000204,2.8541666666666665
POMEROY,N11000206,2.4875
STEWARTSTOWN,N11000208,2.2614840989399294
AGHAGALLON,N11000212,2.7928571428571427
BLEARY,N11000216,2.5273972602739727
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,2.4621796850879902
DERRYMACASH,N11000220,3.0952380952380953
DOLLINGSTOWN,N11000223,2.5812356979405036
DONAGHCLONEY,N11000224,2.5561290322580645
DRUMNACANVY,N11000225,2.5753424657534247
MAGHERALIN,N11000228,2.4884287454323997
SCOTCH STREET,N11000232,2.8846153846153846
THE BIRCHES,N11000234,2.6715686274509802
WARINGSTOWN,N11000235,2.5317616240995418
CLAUDY,N11000240,2.4609665427509295
CULMORE,N11000242,2.9099025974025974
DERRY CITY,N11000243,2.359178987455197
EGLINTON,N11000244,2.6276674025018396
LETTERSHENDONEY,N11000248,2.583710407239819
NEWBUILDINGS,N11000250,2.521505376344086
STRATHFOYLE,N11000254,2.6106106106106104
ANNSBOROUGH,N11000258,2.583061889250814
ARDGLASS,N11000259,2.398876404494382
BALLYNAHINCH,N11000263,2.3057349031522976
CASTLEWELLAN,N11000268,2.563800904977376
CROSSGAR,N11000273,2.4532199270959905
DARRAGH CROSS,N11000274,2.66
DOWNPATRICK,N11000276,2.473249238799478
DRUMANESS,N11000278,2.50187265917603
DUNDRUM,N11000280,2.217579250720461
KILLOUGH,N11000283,2.4935064935064934
KILLYLEAGH,N11000284,2.22444089456869
NEWCASTLE,N11000288,2.3063697857948138
SAINTFIELD,N11000290,2.3513870541611626
STRANGFORD,N11000294,2.1494252873563218
THE SPA,N11000295,2.6553398058252426
