Geography,GeographyCode,Total,Catholic,Catholic_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3354,908,27.07
Aldergrove,N08000102,4687,1424,30.38
Antrim Centre,N08000103,4091,1524,37.25
Ballyclare East,N08000104,4145,214,5.16
Ballyclare West,N08000105,4043,169,4.18
Ballyduff,N08000106,3020,142,4.70
Ballyhenry,N08000107,2710,895,33.03
Ballynure,N08000108,3610,128,3.55
Ballyrobert,N08000109,3810,131,3.44
Burnthill,N08000110,3715,485,13.06
Carnmoney,N08000111,2607,592,22.71
Carnmoney Hill,N08000112,3303,545,16.50
Clady,N08000113,3834,1639,42.75
Collinbridge,N08000114,2927,2231,76.22
Cranfield,N08000115,3176,1432,45.09
Crumlin,N08000116,3706,2715,73.26
Doagh,N08000117,3471,104,3.00
Fairview,N08000118,3114,304,9.76
Fountain Hill,N08000119,3464,1028,29.68
Glebe (Antrim and Newtownabbey LGD),N08000120,3042,2031,66.77
Glengormley,N08000121,3421,1199,35.05
Greystone (Antrim and Newtownabbey LGD),N08000122,3072,635,20.67
Hightown,N08000123,3126,1555,49.74
Jordanstown,N08000124,3244,432,13.32
Mallusk,N08000125,6279,3085,49.13
Monkstown,N08000126,3731,406,10.88
Mossley,N08000127,3709,315,8.49
O'Neill,N08000128,3326,85,2.56
Parkgate,N08000129,3259,154,4.73
Randalstown,N08000130,3733,2113,56.60
Rathcoole,N08000131,3377,124,3.67
Rostulla,N08000132,3921,729,18.59
Shilvodan,N08000133,3896,1577,40.48
Springfarm,N08000134,5543,2082,37.56
Steeple,N08000135,3794,619,16.32
Stiles,N08000136,3990,1396,34.99
Templepatrick,N08000137,3519,443,12.59
Toome,N08000138,3939,3058,77.63
Valley (Antrim and Newtownabbey LGD),N08000139,3717,2205,59.32
Whitehouse,N08000140,3220,446,13.85
Aghagallon,N08000201,5047,4086,80.96
Ballybay,N08000202,5458,751,13.76
Banbridge East,N08000203,4479,1243,27.75
Banbridge North,N08000204,4272,1137,26.62
Banbridge South,N08000205,5046,1518,30.08
Banbridge West,N08000206,5431,2130,39.22
Blackwatertown,N08000207,5500,3826,69.56
Bleary,N08000208,4980,852,17.11
Brownlow,N08000209,6625,5073,76.57
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,5119,4107,80.23
Corcrain,N08000211,5454,4398,80.64
Craigavon Centre,N08000212,6750,2401,35.57
Demesne,N08000213,5707,3966,69.49
Derrytrasna,N08000214,4981,4201,84.34
Donaghcloney,N08000215,4935,476,9.65
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4842,660,13.63
Gilford,N08000217,4997,2322,46.47
Gransha,N08000218,5155,887,17.21
Hamiltonsbawn,N08000219,4969,479,9.64
Keady,N08000220,5243,4183,79.78
Kernan,N08000221,5895,871,14.78
Killycomain,N08000222,5247,1157,22.05
Knocknashane,N08000223,4556,500,10.97
Lough Road,N08000224,5600,4688,83.71
Loughbrickland,N08000225,5711,2474,43.32
Loughgall,N08000226,5484,2129,38.82
Magheralin,N08000227,5368,1093,20.36
Mahon,N08000228,5171,879,17.00
Markethill,N08000229,5632,1061,18.84
Mourneview,N08000230,5495,1671,30.41
Navan,N08000231,5298,3097,58.46
Parklake,N08000232,5648,4584,81.16
Quilly,N08000233,4497,640,14.23
Rathfriland,N08000234,5007,1583,31.62
Richhill,N08000235,4840,334,6.90
Seagahan,N08000236,5603,3944,70.39
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6449,5203,80.68
Tandragee,N08000238,5171,456,8.82
The Birches,N08000239,6099,2033,33.33
The Mall,N08000240,5512,2242,40.67
Waringstown,N08000241,5400,409,7.57
Andersonstown,N08000301,4648,4088,87.95
Ardoyne,N08000302,5490,4785,87.16
Ballygomartin,N08000303,5952,477,8.01
Ballymacarrett,N08000304,5904,2425,41.07
Ballymurphy,N08000305,5130,4609,89.84
Ballysillan,N08000306,5289,384,7.26
Beechmount,N08000307,5394,4220,78.24
Beersbridge,N08000308,6610,753,11.39
Bellevue,N08000309,5429,3168,58.35
Belmont,N08000310,4694,377,8.03
Belvoir,N08000311,5361,1056,19.70
Blackstaff,N08000312,7547,887,11.75
Bloomfield (Belfast LGD),N08000313,5893,765,12.98
Cavehill,N08000314,4434,2421,54.60
Central,N08000315,15446,6666,43.16
Chichester Park,N08000316,5410,2902,53.64
Cliftonville,N08000317,5657,3764,66.54
Clonard,N08000318,5999,4888,81.48
Collin Glen,N08000319,5655,4956,87.64
Connswater,N08000320,5931,688,11.60
Cregagh,N08000321,4587,1242,27.08
Duncairn,N08000322,8338,2461,29.52
Dunmurry,N08000323,5207,3223,61.90
Falls,N08000324,5179,4379,84.55
Falls Park,N08000325,4742,4174,88.02
Finaghy,N08000326,4527,2152,47.54
Forth River,N08000327,4921,900,18.29
Fortwilliam,N08000328,4717,2052,43.50
Garnerville,N08000329,4788,392,8.19
Gilnahirk,N08000330,5153,301,5.84
Hillfoot,N08000331,4582,961,20.97
Innisfayle,N08000332,5316,2067,38.88
Knock,N08000333,5010,749,14.95
Ladybrook,N08000334,4818,3730,77.42
Lagmore,N08000335,8348,7397,88.61
Legoniel,N08000336,6134,3060,49.89
Malone,N08000337,4811,2793,58.05
Merok,N08000338,4438,396,8.92
Musgrave,N08000339,4836,2578,53.31
New Lodge,N08000340,4881,3907,80.05
Orangefield,N08000341,4756,433,9.10
Ormeau,N08000342,6532,2683,41.07
Poleglass,N08000343,6104,5453,89.33
Ravenhill,N08000344,4823,1542,31.97
Rosetta,N08000345,5793,2755,47.56
Sandown,N08000346,4470,399,8.93
Shandon,N08000347,5380,516,9.59
Shankill (Belfast LGD),N08000348,6442,311,4.83
Shaw's Road,N08000349,5481,4816,87.87
Stewartstown (Belfast LGD),N08000350,4579,4048,88.40
Stormont,N08000351,5045,550,10.90
Stranmillis,N08000352,8978,3575,39.82
Sydenham,N08000353,5591,474,8.48
Turf Lodge,N08000354,4569,4156,90.96
Twinbrook,N08000355,4918,4355,88.55
Upper Malone,N08000356,4975,1405,28.24
Water Works,N08000357,6909,4345,62.89
Windsor,N08000358,11302,3672,32.49
Woodstock,N08000359,6432,1143,17.77
Woodvale,N08000360,5170,319,6.17
Aghadowey,N08000401,3453,1058,30.64
Altahullion,N08000402,3191,1434,44.94
Atlantic,N08000403,4536,1238,27.29
Ballycastle,N08000404,3397,2452,72.18
Ballykelly,N08000405,3102,1568,50.55
Ballymoney East,N08000406,3111,369,11.86
Ballymoney North,N08000407,3402,525,15.43
Ballymoney South,N08000408,3386,485,14.32
Castlerock,N08000409,3394,483,14.23
Churchland,N08000410,3645,798,21.89
Clogh Mills,N08000411,3643,1376,37.77
Coolessan,N08000412,2923,1569,53.68
Dervock,N08000413,3450,184,5.33
Drumsurn,N08000414,3663,1739,47.47
Dundooan,N08000415,3909,627,16.04
Dungiven,N08000416,3297,2805,85.08
Dunloy,N08000417,3627,2390,65.89
Feeny,N08000418,3612,3110,86.10
Garvagh,N08000419,3514,1804,51.34
Giant's Causeway,N08000420,3381,121,3.58
Greysteel,N08000421,4642,3343,72.02
Greystone (Causeway Coast and Glens LGD),N08000422,3485,1471,42.21
Hopefield,N08000423,3589,694,19.34
Kilrea,N08000424,3751,2096,55.88
Kinbane,N08000425,4041,1932,47.81
Loughguile and Stranocum,N08000426,3678,2000,54.38
Lurigethan,N08000427,2764,2503,90.56
Macosquin,N08000428,3431,375,10.93
Magilligan,N08000429,3481,1576,45.27
Mountsandel,N08000430,3808,893,23.45
Portrush and Dunluce,N08000431,2759,481,17.43
Portstewart,N08000432,2915,915,31.39
Quarry,N08000433,4458,697,15.63
Rasharkin,N08000434,3906,1617,41.40
Roeside,N08000435,2654,952,35.87
Route,N08000436,3445,399,11.58
Torr Head and Rathlin,N08000437,3598,2487,69.12
University,N08000438,3652,602,16.48
Waterside,N08000439,4305,1491,34.63
Windy Hall,N08000440,3756,649,17.28
Artigarvan,N08000501,3645,2023,55.50
Ballycolman,N08000502,3531,3172,89.83
Ballymagroarty,N08000503,3984,3578,89.81
Brandywell,N08000504,3185,2819,88.51
Carn Hill,N08000505,2850,2633,92.39
Castlederg,N08000506,3443,1847,53.65
Caw,N08000507,4334,1382,31.89
City Walls,N08000508,3242,2378,73.35
Claudy,N08000509,3501,2427,69.32
Clondermot,N08000510,3849,2860,74.31
Creggan,N08000511,3477,3058,87.95
Creggan South,N08000512,3849,3569,92.73
Culmore,N08000513,4323,3721,86.07
Drumahoe,N08000514,4497,1164,25.88
Dunnamanagh,N08000515,3512,1295,36.87
Ebrington,N08000516,4020,1765,43.91
Eglinton,N08000517,3910,2142,54.78
Enagh,N08000518,4393,2895,65.90
Finn,N08000519,4322,3298,76.31
Foyle Springs,N08000520,3041,2699,88.75
Galliagh,N08000521,3748,3399,90.69
Glenderg,N08000522,3199,1579,49.36
Glenelly Valley,N08000523,3403,2257,66.32
Kilfennan,N08000524,4735,2304,48.66
Lisnagelvin,N08000525,3165,649,20.51
Madam's Bank,N08000526,2864,2370,82.75
New Buildings,N08000527,3830,1128,29.45
Newtownstewart,N08000528,3102,1079,34.78
Northland,N08000529,4844,3437,70.95
Park (Derry City and Strabane LGD),N08000530,3530,2277,64.50
Shantallow,N08000531,3665,3295,89.90
Shantallow East,N08000532,4265,3788,88.82
Sheriff's Mountain,N08000533,3338,2902,86.94
Sion Mills,N08000534,3734,2463,65.96
Skeoge,N08000535,6386,5735,89.81
Slievekirk,N08000536,3574,1602,44.82
Springtown,N08000537,2884,2638,91.47
Strabane North,N08000538,4008,3480,86.83
Strabane West,N08000539,3108,2744,88.29
Victoria (Derry City and Strabane LGD),N08000540,4467,3200,71.64
Ballinamallard,N08000601,2945,858,29.13
Belcoo and Garrison,N08000602,2643,2063,78.06
Belleek and Boa,N08000603,3123,1854,59.37
Beragh,N08000604,2911,1424,48.92
"Boho, Cleenish and Letterbreen",N08000605,3465,1798,51.89
Brookeborough,N08000606,2578,1029,39.91
Camowen,N08000607,3212,1103,34.34
