Geography,GeographyCode,AverageHouseholdSize
Antrim and Newtownabbey,N09000001,2.4131725448643557
"Armagh City, Banbridge and Craigavon",N09000002,2.5640122873345934
Belfast,N09000003,2.2520374242667955
Causeway Coast and Glens,N09000004,2.4281198436821536
Derry City and Strabane,N09000005,2.4500681075935864
Fermanagh and Omagh,N09000006,2.5277480039374383
Lisburn and Castlereagh,N09000007,2.43727139722019
Mid and East Antrim,N09000008,2.3640575134689956
Mid Ulster,N09000009,2.761188778816776
"Newry, Mourne and Down",N09000010,2.6354079857303683
Ards and North Down,N09000011,2.298435636817898
