Geography,GeographyCode,Total,OwnerOccupied,OwnerOccupied_pct
ANTRIM,N11000001,10820,6496,60.04
CRUMLIN,N11000003,2013,1452,72.13
PARKGATE,N11000009,279,210,75.27
RANDALSTOWN,N11000010,2112,1323,62.64
TEMPLEPATRICK,N11000011,687,566,82.39
TOOME,N11000012,380,212,55.79
BALLYGOWAN,N11000022,1247,1039,83.32
BALLYHALBERT,N11000023,529,367,69.38
BALLYWALTER,N11000025,909,548,60.29
CARROWDORE,N11000026,435,257,59.08
CLOUGHEY,N11000027,563,436,77.44
COMBER,N11000028,4281,2902,67.79
DONAGHADEE,N11000030,3326,2349,70.63
GREYABBEY,N11000032,423,298,70.45
KIRCUBBIN,N11000035,495,258,52.12
LISBANE,N11000037,205,172,83.90
MILLISLE,N11000039,1093,731,66.88
NEWTOWNARDS,N11000040,13018,8401,64.53
PORTAFERRY,N11000041,1025,578,56.39
PORTAVOGIE,N11000042,893,664,74.36
ARMAGH,N11000051,6504,3722,57.23
HAMILTONSBAWN,N11000072,391,269,68.80
KEADY,N11000073,1321,651,49.28
LAURELVALE / MULLAVILLY,N11000076,543,424,78.08
MARKETHILL,N11000081,795,441,55.47
MILFORD,N11000083,210,136,64.76
POYNTZPASS,N11000088,267,170,63.67
RICHHILL,N11000089,1131,860,76.04
TANDRAGEE,N11000093,1468,990,67.44
AHOGHILL,N11000098,1457,1052,72.20
BALLYMENA,N11000099,13239,7703,58.18
BROUGHSHANE,N11000100,1380,911,66.01
CARGAN,N11000101,244,147,60.25
CULLYBACKEY,N11000103,1206,715,59.29
GRANGE CORNER,N11000104,198,142,71.72
KELLS / CONNOR,N11000105,877,593,67.62
PORTGLENONE,N11000107,587,292,49.74
BALLYBOGY,N11000108,227,157,69.16
BALLYMONEY,N11000109,4793,2873,59.94
BALNAMORE,N11000110,341,204,59.82
BENDOORAGH,N11000111,233,171,73.39
CLOGH MILLS,N11000114,527,333,63.19
DERVOCK,N11000117,332,141,42.47
DUNLOY,N11000119,398,257,64.57
RASHARKIN,N11000123,424,223,52.59
BANBRIDGE,N11000131,7347,4682,63.73
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,2662,1829,68.71
GILFORD,N11000137,852,494,57.98
KINALLEN,N11000141,430,311,72.33
LAWRENCETOWN,N11000142,400,262,65.50
LOUGHBRICKLAND,N11000145,335,202,60.30
RATHFRILAND,N11000147,1041,567,54.47
BELFAST CITY,N11000151,127735,61670,48.28
CARRICKFERGUS,N11000153,12229,8382,68.54
GREENISLAND,N11000154,2609,1808,69.30
WHITEHEAD,N11000157,1636,1094,66.87
CARRYDUFF,N11000159,2795,2247,80.39
METROPOLITAN CASTLEREAGH,N11000162,25209,18132,71.93
MONEYREAGH,N11000163,624,535,85.74
ARTICLAVE,N11000165,382,245,64.14
CASTLEROCK,N11000170,553,387,69.98
CASTLEROE,N11000171,283,179,63.25
COLERAINE,N11000173,10588,6034,56.99
GARVAGH,N11000176,532,265,49.81
KILREA,N11000179,691,344,49.78
MACOSQUIN,N11000180,251,141,56.18
PORTBALLINTRAE,N11000182,277,207,74.73
PORTRUSH,N11000183,2861,1744,60.96
PORTSTEWART,N11000184,3498,2119,60.58
ARDBOE,N11000186,244,167,68.44
BALLYRONAN,N11000190,225,145,64.44
COAGH,N11000192,288,183,63.54
COOKSTOWN,N11000193,5005,2712,54.19
MONEYMORE,N11000203,834,513,61.51
MOORTOWN,N11000204,192,130,67.71
POMEROY,N11000206,322,145,45.03
STEWARTSTOWN,N11000208,283,112,39.58
AGHAGALLON,N11000212,420,317,75.48
BLEARY,N11000216,438,355,81.05
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,29156,16582,56.87
DERRYMACASH,N11000220,228,203,89.04
DOLLINGSTOWN,N11000223,877,704,80.27
DONAGHCLONEY,N11000224,774,560,72.35
DRUMNACANVY,N11000225,436,382,87.61
MAGHERALIN,N11000228,820,630,76.83
SCOTCH STREET,N11000232,234,132,56.41
THE BIRCHES,N11000234,204,135,66.18
WARINGSTOWN,N11000235,1527,1190,77.93
CLAUDY,N11000240,540,326,60.37
CULMORE,N11000242,1231,1068,86.76
DERRY CITY,N11000243,35715,17485,48.96
EGLINTON,N11000244,1359,985,72.48
LETTERSHENDONEY,N11000248,218,133,61.01
NEWBUILDINGS,N11000250,1115,786,70.49
STRATHFOYLE,N11000254,1002,485,48.40
ANNSBOROUGH,N11000258,306,166,54.25
ARDGLASS,N11000259,706,353,50.00
BALLYNAHINCH,N11000263,2637,1583,60.03
CASTLEWELLAN,N11000268,1104,616,55.80
CROSSGAR,N11000273,826,555,67.19
DARRAGH CROSS,N11000274,199,162,81.41
DOWNPATRICK,N11000276,4597,2648,57.60
DRUMANESS,N11000278,534,324,60.67
DUNDRUM,N11000280,694,417,60.09
KILLOUGH,N11000283,387,217,56.07
KILLYLEAGH,N11000284,1249,690,55.24
NEWCASTLE,N11000288,3548,2175,61.30
SAINTFIELD,N11000290,1514,1139,75.23
STRANGFORD,N11000294,260,183,70.38
THE SPA,N11000295,206,179,86.89
ANNAGHMORE (MID ULSTER LGD),N11000297,329,199,60.49
AUGHNACLOY,N11000299,454,240,52.86
BALLYGAWLEY,N11000300,398,238,59.80
CALEDON,N11000304,225,107,47.56
CASTLECAULFIELD,N11000308,381,270,70.87
CLOGHER,N11000309,283,142,50.18
COALISLAND,N11000311,2446,1250,51.10
DONAGHMORE,N11000314,466,302,64.81
DUNGANNON,N11000315,5982,2885,48.23
EGLISH (MID ULSTER LGD),N11000318,162,118,72.84
FIVEMILETOWN,N11000319,620,312,50.32
KILLYMAN,N11000323,385,303,78.70
MOY,N11000324,769,435,56.57
NEWMILLS,N11000325,310,213,68.71
THE BUSH,N11000327,213,121,56.81
BALLINAMALLARD,N11000331,588,436,74.15
BELLANALECK,N11000334,238,187,78.57
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,459,261,56.86
DERRYGONNELLY,N11000342,249,154,61.85
DERRYLIN,N11000343,268,156,58.21
EDERNEY,N11000345,261,151,57.85
ENNISKILLEN,N11000346,6216,3440,55.34
IRVINESTOWN,N11000349,1049,559,53.29
KESH,N11000350,480,305,63.54
LISBELLAW,N11000356,471,311,66.03
LISNASKEA,N11000358,1272,710,55.82
MAGUIRESBRIDGE,N11000360,428,264,61.68
NEWTOWNBUTLER,N11000363,426,167,39.20
BALLYCARRY,N11000371,613,463,75.53
BALLYGALLEY,N11000372,329,298,90.58
BALLYSTRUDDER,N11000373,411,311,75.67
CARNLOUGH,N11000378,604,351,58.11
GLENARM,N11000385,240,139,57.92
GLYNN,N11000387,273,204,74.73
LARNE,N11000389,8646,5393,62.38
BALLYKELLY,N11000398,806,502,62.28
DUNGIVEN,N11000403,1295,757,58.46
FEENY,N11000404,276,184,66.67
GREYSTEEL,N11000408,559,350,62.61
LIMAVADY,N11000410,5113,2855,55.84
AGHALEE,N11000412,343,266,77.55
ANNAHILT,N11000413,423,370,87.47
DROMARA,N11000421,443,289,65.24
DRUMBEG,N11000422,324,300,92.59
GLENAVY,N11000430,812,639,78.69
HILLSBOROUGH AND CULCAVY,N11000434,1894,1472,77.72
LISBURN CITY,N11000438,21322,13716,64.33
LOWER BALLINDERRY,N11000440,342,279,81.58
MAGHABERRY,N11000445,1071,944,88.14
METROPOLITAN LISBURN,N11000447,12777,6920,54.16
MILLTOWN,N11000448,644,442,68.63
MOIRA,N11000449,2077,1608,77.42
RAVERNET,N11000452,229,166,72.49
STONEYFORD,N11000454,242,212,87.60
BELLAGHY,N11000461,464,270,58.19
CASTLEDAWSON,N11000462,905,535,59.12
CLADY (MID ULSTER LGD),N11000463,202,140,69.31
DRAPERSTOWN,N11000468,720,444,61.67
GULLADUFF,N11000472,225,147,65.33
MAGHERA (MID ULSTER LGD),N11000477,1668,935,56.06
MAGHERAFELT,N11000478,3810,2123,55.72
TOBERMORE,N11000484,310,197,63.55
BALLYCASTLE,N11000488,2406,1420,59.02
BUSHMILLS,N11000490,599,257,42.90
CUSHENDALL,N11000493,485,323,66.60
ANNALONG,N11000502,824,533,64.68
BALLYHOLLAND,N11000504,215,151,70.23
BALLYMARTIN,N11000506,220,151,68.64
BESSBROOK,N11000510,1144,567,49.56
CAMLOUGH,N11000511,399,198,49.62
CROSSMAGLEN,N11000513,695,320,46.04
FORKHILL,N11000519,216,105,48.61
HILLTOWN,N11000524,658,410,62.31
KILKEEL,N11000527,2687,1506,56.05
MAYOBRIDGE,N11000533,400,280,70.00
MEIGH,N11000534,371,243,65.50
MULLAGHBANE,N11000535,246,114,46.34
NEWRY,N11000537,11240,6510,57.92
NEWTOWNCLOGHOGE,N11000538,209,120,57.42
NEWTOWNHAMILTON,N11000539,346,138,39.88
ROSTREVOR,N11000540,1043,665,63.76
WARRENPOINT / BURREN,N11000544,3564,2274,63.80
BALLYCLARE,N11000546,4614,3181,68.94
BALLYNURE,N11000550,426,348,81.69
BALLYROBERT,N11000551,329,305,92.71
COGRY / KILBRIDE,N11000553,528,445,84.28
DOAGH,N11000555,633,451,71.25
