Geography,GeographyCode,AllUsualResidents
ANTRIM,N11000001,25606
CRUMLIN,N11000003,5366
PARKGATE,N11000009,662
RANDALSTOWN,N11000010,5151
TEMPLEPATRICK,N11000011,1538
TOOME,N11000012,1017
BALLYGOWAN,N11000022,3138
BALLYHALBERT,N11000023,1271
BALLYWALTER,N11000025,2008
CARROWDORE,N11000026,1056
CLOUGHEY,N11000027,1347
COMBER,N11000028,9529
DONAGHADEE,N11000030,7325
GREYABBEY,N11000032,879
KIRCUBBIN,N11000035,1065
LISBANE,N11000037,522
MILLISLE,N11000039,2561
NEWTOWNARDS,N11000040,29677
PORTAFERRY,N11000041,2372
PORTAVOGIE,N11000042,2274
ARMAGH,N11000051,16310
HAMILTONSBAWN,N11000072,1041
KEADY,N11000073,3343
LAURELVALE / MULLAVILLY,N11000076,1390
MARKETHILL,N11000081,1912
MILFORD,N11000083,551
POYNTZPASS,N11000088,631
RICHHILL,N11000089,2738
TANDRAGEE,N11000093,3545
AHOGHILL,N11000098,3537
BALLYMENA,N11000099,31205
BROUGHSHANE,N11000100,3097
CARGAN,N11000101,628
CULLYBACKEY,N11000103,2659
GRANGE CORNER,N11000104,521
KELLS / CONNOR,N11000105,2122
PORTGLENONE,N11000107,1369
BALLYBOGY,N11000108,564
BALLYMONEY,N11000109,11048
BALNAMORE,N11000110,832
BENDOORAGH,N11000111,647
CLOGH MILLS,N11000114,1233
DERVOCK,N11000117,772
DUNLOY,N11000119,1120
RASHARKIN,N11000123,1072
BANBRIDGE,N11000131,17400
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6395
GILFORD,N11000137,1957
KINALLEN,N11000141,1126
LAWRENCETOWN,N11000142,995
LOUGHBRICKLAND,N11000145,793
RATHFRILAND,N11000147,2496
BELFAST CITY,N11000151,293298
CARRICKFERGUS,N11000153,28141
GREENISLAND,N11000154,5965
WHITEHEAD,N11000157,3537
CARRYDUFF,N11000159,7173
METROPOLITAN CASTLEREAGH,N11000162,58763
MONEYREAGH,N11000163,1544
ARTICLAVE,N11000165,920
CASTLEROCK,N11000170,1155
CASTLEROE,N11000171,675
COLERAINE,N11000173,24483
GARVAGH,N11000176,1252
KILREA,N11000179,1673
MACOSQUIN,N11000180,603
PORTBALLINTRAE,N11000182,500
PORTRUSH,N11000183,6150
PORTSTEWART,N11000184,7854
ARDBOE,N11000186,772
BALLYRONAN,N11000190,614
COAGH,N11000192,774
COOKSTOWN,N11000193,12546
MONEYMORE,N11000203,2141
MOORTOWN,N11000204,548
POMEROY,N11000206,796
STEWARTSTOWN,N11000208,640
AGHAGALLON,N11000212,1173
BLEARY,N11000216,1107
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,72301
DERRYMACASH,N11000220,715
DOLLINGSTOWN,N11000223,2256
DONAGHCLONEY,N11000224,1981
DRUMNACANVY,N11000225,1128
MAGHERALIN,N11000228,2043
SCOTCH STREET,N11000232,675
THE BIRCHES,N11000234,545
WARINGSTOWN,N11000235,3866
CLAUDY,N11000240,1324
CULMORE,N11000242,3652
DERRY CITY,N11000243,85279
EGLINTON,N11000244,3571
LETTERSHENDONEY,N11000248,571
NEWBUILDINGS,N11000250,2837
STRATHFOYLE,N11000254,2608
ANNSBOROUGH,N11000258,793
ARDGLASS,N11000259,1761
BALLYNAHINCH,N11000263,6164
CASTLEWELLAN,N11000268,2834
CROSSGAR,N11000273,2019
DARRAGH CROSS,N11000274,532
DOWNPATRICK,N11000276,11545
DRUMANESS,N11000278,1336
DUNDRUM,N11000280,1539
KILLOUGH,N11000283,960
KILLYLEAGH,N11000284,2787
NEWCASTLE,N11000288,8298
SAINTFIELD,N11000290,3588
STRANGFORD,N11000294,561
THE SPA,N11000295,588
ANNAGHMORE (MID ULSTER LGD),N11000297,1051
AUGHNACLOY,N11000299,1154
BALLYGAWLEY,N11000300,976
CALEDON,N11000304,522
CASTLECAULFIELD,N11000308,1001
CLOGHER,N11000309,675
COALISLAND,N11000311,6349
DONAGHMORE,N11000314,1184
DUNGANNON,N11000315,16282
EGLISH (MID ULSTER LGD),N11000318,515
FIVEMILETOWN,N11000319,1341
KILLYMAN,N11000323,1057
MOY,N11000324,1944
NEWMILLS,N11000325,803
THE BUSH,N11000327,606
BALLINAMALLARD,N11000331,1364
BELLANALECK,N11000334,714
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,968
DERRYGONNELLY,N11000342,580
DERRYLIN,N11000343,656
EDERNEY,N11000345,553
ENNISKILLEN,N11000346,14086
IRVINESTOWN,N11000349,2320
KESH,N11000350,1098
LISBELLAW,N11000356,1089
LISNASKEA,N11000358,3020
MAGUIRESBRIDGE,N11000360,1033
NEWTOWNBUTLER,N11000363,972
BALLYCARRY,N11000371,1484
BALLYGALLEY,N11000372,745
BALLYSTRUDDER,N11000373,992
CARNLOUGH,N11000378,1457
GLENARM,N11000385,507
GLYNN,N11000387,583
LARNE,N11000389,18853
BALLYKELLY,N11000398,2029
DUNGIVEN,N11000403,3346
FEENY,N11000404,780
GREYSTEEL,N11000408,1418
LIMAVADY,N11000410,11729
AGHALEE,N11000412,926
ANNAHILT,N11000413,1032
DROMARA,N11000421,1118
DRUMBEG,N11000422,776
GLENAVY,N11000430,2399
HILLSBOROUGH AND CULCAVY,N11000434,4170
LISBURN CITY,N11000438,51447
LOWER BALLINDERRY,N11000440,936
MAGHABERRY,N11000445,2966
METROPOLITAN LISBURN,N11000447,32643
MILLTOWN,N11000448,1633
MOIRA,N11000449,4891
RAVERNET,N11000452,563
STONEYFORD,N11000454,658
BELLAGHY,N11000461,1257
CASTLEDAWSON,N11000462,2348
CLADY (MID ULSTER LGD),N11000463,519
DRAPERSTOWN,N11000468,1853
GULLADUFF,N11000472,676
MAGHERA (MID ULSTER LGD),N11000477,4235
MAGHERAFELT,N11000478,9648
TOBERMORE,N11000484,717
BALLYCASTLE,N11000488,5628
BUSHMILLS,N11000490,1234
CUSHENDALL,N11000493,1184
ANNALONG,N11000502,2038
BALLYHOLLAND,N11000504,642
BALLYMARTIN,N11000506,576
BESSBROOK,N11000510,2892
CAMLOUGH,N11000511,1044
CROSSMAGLEN,N11000513,1688
FORKHILL,N11000519,550
HILLTOWN,N11000524,1760
KILKEEL,N11000527,6633
MAYOBRIDGE,N11000533,1140
MEIGH,N11000534,951
MULLAGHBANE,N11000535,642
NEWRY,N11000537,28530
NEWTOWNCLOGHOGE,N11000538,511
NEWTOWNHAMILTON,N11000539,845
ROSTREVOR,N11000540,2502
WARRENPOINT / BURREN,N11000544,9091
BALLYCLARE,N11000546,10850
BALLYNURE,N11000550,1043
BALLYROBERT,N11000551,874
COGRY / KILBRIDE,N11000553,1339
DOAGH,N11000555,1403
METROPOLITAN NEWTOWNABBEY,N11000559,67599
BANGOR,N11000564,64596
CRAWFORDSBURN,N11000566,493
GROOMSPORT,N11000568,1224
HELEN'S BAY,N11000569,1547
HOLYWOOD,N11000570,10757
SEAHILL,N11000573,1055
BERAGH,N11000576,698
CARRICKMORE,N11000577,626
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1102
DRUMQUIN,N11000584,532
FINTONA,N11000589,1212
LOUGHMACRORY,N11000599,575
OMAGH TOWN,N11000603,20458
ARTIGARVAN,N11000616,801
BALLYMAGORRY,N11000617,648
CASTLEDERG,N11000619,2980
CLADY (DERRY CITY AND STRABANE LGD),N11000620,623
DONEMANA,N11000624,640
ERGANAGH,N11000627,512
GLEBE,N11000629,761
MAGHERAMASON,N11000633,549
NEWTOWNSTEWART,N11000634,1414
SION MILLS,N11000636,1974
STRABANE,N11000638,13507
ELSEWHERE IN NI,N11999999,460593
