Geography,GeographyCode,Total,NoQuals,NoQuals_pct
ANTRIM,N11000001,20169,5121,25.39
CRUMLIN,N11000003,4163,854,20.51
PARKGATE,N11000009,555,98,17.66
RANDALSTOWN,N11000010,4132,1010,24.44
TEMPLEPATRICK,N11000011,1298,232,17.87
TOOME,N11000012,754,219,29.05
BALLYGOWAN,N11000022,2521,412,16.34
BALLYHALBERT,N11000023,955,201,21.05
BALLYWALTER,N11000025,1644,442,26.89
CARROWDORE,N11000026,823,231,28.07
CLOUGHEY,N11000027,1057,196,18.54
COMBER,N11000028,7936,1729,21.79
DONAGHADEE,N11000030,6141,1140,18.56
GREYABBEY,N11000032,752,213,28.32
KIRCUBBIN,N11000035,891,267,29.97
LISBANE,N11000037,408,55,13.48
MILLISLE,N11000039,1996,500,25.05
NEWTOWNARDS,N11000040,24184,5613,23.21
PORTAFERRY,N11000041,1963,459,23.38
PORTAVOGIE,N11000042,1792,521,29.07
ARMAGH,N11000051,12663,3683,29.08
HAMILTONSBAWN,N11000072,757,118,15.59
KEADY,N11000073,2563,840,32.77
LAURELVALE / MULLAVILLY,N11000076,1081,226,20.91
MARKETHILL,N11000081,1446,409,28.28
MILFORD,N11000083,408,85,20.83
POYNTZPASS,N11000088,474,96,20.25
RICHHILL,N11000089,2221,470,21.16
TANDRAGEE,N11000093,2762,756,27.37
AHOGHILL,N11000098,2844,665,23.38
BALLYMENA,N11000099,25216,7737,30.68
BROUGHSHANE,N11000100,2552,693,27.16
CARGAN,N11000101,456,89,19.52
CULLYBACKEY,N11000103,2195,686,31.25
GRANGE CORNER,N11000104,373,76,20.38
KELLS / CONNOR,N11000105,1661,365,21.97
PORTGLENONE,N11000107,1070,261,24.39
BALLYBOGY,N11000108,442,102,23.08
BALLYMONEY,N11000109,8916,2539,28.48
BALNAMORE,N11000110,643,188,29.24
BENDOORAGH,N11000111,478,97,20.29
CLOGH MILLS,N11000114,979,309,31.56
DERVOCK,N11000117,592,202,34.12
DUNLOY,N11000119,857,248,28.94
RASHARKIN,N11000123,841,289,34.36
BANBRIDGE,N11000131,13933,3296,23.66
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,5065,915,18.07
GILFORD,N11000137,1538,475,30.88
KINALLEN,N11000141,831,107,12.88
LAWRENCETOWN,N11000142,752,188,25.00
LOUGHBRICKLAND,N11000145,612,184,30.07
RATHFRILAND,N11000147,1951,600,30.75
BELFAST CITY,N11000151,238848,57488,24.07
CARRICKFERGUS,N11000153,23265,5223,22.45
GREENISLAND,N11000154,4807,798,16.60
WHITEHEAD,N11000157,2983,565,18.94
CARRYDUFF,N11000159,5705,769,13.48
METROPOLITAN CASTLEREAGH,N11000162,47393,8775,18.52
MONEYREAGH,N11000163,1251,204,16.31
ARTICLAVE,N11000165,726,218,30.03
CASTLEROCK,N11000170,1001,188,18.78
CASTLEROE,N11000171,517,122,23.60
COLERAINE,N11000173,19885,5362,26.97
GARVAGH,N11000176,1017,372,36.58
KILREA,N11000179,1261,347,27.52
MACOSQUIN,N11000180,469,182,38.81
PORTBALLINTRAE,N11000182,453,118,26.05
PORTRUSH,N11000183,5160,1125,21.80
PORTSTEWART,N11000184,6687,1044,15.61
ARDBOE,N11000186,545,157,28.81
BALLYRONAN,N11000190,445,107,24.04
COAGH,N11000192,548,142,25.91
COOKSTOWN,N11000193,9907,3163,31.93
MONEYMORE,N11000203,1598,480,30.04
MOORTOWN,N11000204,395,120,30.38
POMEROY,N11000206,622,203,32.64
